"pgoeffd","year","education","migback","n","percent","lower_confidence","upper_confidence"
"No","1987","no degree/no degree yet","indirect migration background","","","",""
"Yes","1988","lower secondary degree","no migration background","443","0.211058428375784","0.193913233889135","0.228203622862433"
"Yes","1988","lower secondary degree","direct migration background","","","",""
"Yes","1988","lower secondary degree","indirect migration background","","","",""
"Yes","1988","secondary school degree","no migration background","310","0.302906271880464","0.27448254933621","0.331329994424717"
"Yes","1988","secondary school degree","direct migration background","","","",""
"Yes","1988","secondary school degree","indirect migration background","","","",""
"Yes","1988","college entrance qualification","no migration background","289","0.433060287561061","0.395596983771484","0.470523591350639"
"Yes","1988","college entrance qualification","direct migration background","","","",""
"Yes","1988","college entrance qualification","indirect migration background","","","",""
"Yes","1988","Other degree","no migration background","","","",""
"Yes","1988","Other degree","direct migration background","67","0.0951563834385355","0.073648345324919","0.116664421552152"
"Yes","1988","Other degree","indirect migration background","","","",""
"Yes","1988","no degree/no degree yet","no migration background","","","",""
"Yes","1988","no degree/no degree yet","direct migration background","36","0.0761488305980126","0.0489384708010489","0.103359190394976"
"Yes","1988","no degree/no degree yet","indirect migration background","","","",""
"No","1988","lower secondary degree","no migration background","1733","0.788941571624216","0.771796377137567","0.806086766110865"
"No","1988","lower secondary degree","direct migration background","358","0.90355510340446","0.874144119328944","0.932966087479976"
"No","1988","lower secondary degree","indirect migration background","55","0.833604038353574","0.740898956396041","0.926309120311107"
"No","1988","secondary school degree","no migration background","694","0.697093728119536","0.668670005575283","0.72551745066379"
"No","1988","secondary school degree","direct migration background","69","0.73835756664579","0.645999268990883","0.830715864300697"
"No","1988","secondary school degree","indirect migration background","","","",""
"No","1988","college entrance qualification","no migration background","383","0.566939712438939","0.529476408649362","0.604403016228516"
"No","1988","college entrance qualification","direct migration background","44","0.633739955875548","0.516617079630416","0.75086283212068"
"No","1988","college entrance qualification","indirect migration background","","","",""
"No","1988","Other degree","no migration background","","","",""
"No","1988","Other degree","direct migration background","648","0.904843616561465","0.883335578447848","0.926351654675081"
"No","1988","Other degree","indirect migration background","","","",""
"No","1988","no degree/no degree yet","no migration background","","","",""
"No","1988","no degree/no degree yet","direct migration background","329","0.923851169401987","0.896640809605024","0.951061529198951"
"No","1988","no degree/no degree yet","indirect migration background","","","",""
"Yes","1989","lower secondary degree","no migration background","433","0.202059409756243","0.185141594362977","0.218977225149509"
"Yes","1989","lower secondary degree","direct migration background","38","0.170550177683075","0.133645383255304","0.207454972110847"
"Yes","1989","lower secondary degree","indirect migration background","","","",""
"Yes","1989","secondary school degree","no migration background","309","0.297998106538066","0.269956781134049","0.326039431942084"
"Yes","1989","secondary school degree","direct migration background","","","",""
"Yes","1989","secondary school degree","indirect migration background","","","",""
"Yes","1989","college entrance qualification","no migration background","288","0.405320876943597","0.369459853832963","0.441181900054232"
"Yes","1989","college entrance qualification","direct migration background","","","",""
"Yes","1989","college entrance qualification","indirect migration background","","","",""
"Yes","1989","Other degree","no migration background","","","",""
"Yes","1989","Other degree","direct migration background","61","0.0872599505834253","0.0665739703678381","0.107945930799012"
"Yes","1989","Other degree","indirect migration background","","","",""
"Yes","1989","no degree/no degree yet","no migration background","","","",""
"Yes","1989","no degree/no degree yet","direct migration background","41","0.111328296172385","0.0785161833962707","0.144140408948499"
"Yes","1989","no degree/no degree yet","indirect migration background","","","",""
"No","1989","lower secondary degree","no migration background","1731","0.797940590243757","0.781022774850491","0.814858405637023"
"No","1989","lower secondary degree","direct migration background","361","0.829449822316925","0.792545027889153","0.866354616744696"
"No","1989","lower secondary degree","indirect migration background","63","0.835923001014841","0.749778827955094","0.922067174074588"
"No","1989","secondary school degree","no migration background","713","0.702001893461934","0.673960568057916","0.730043218865951"
"No","1989","secondary school degree","direct migration background","72","0.6898481177891","0.595838871855737","0.783857363722464"
"No","1989","secondary school degree","indirect migration background","","","",""
"No","1989","college entrance qualification","no migration background","432","0.594679123056403","0.558818099945768","0.630540146167037"
"No","1989","college entrance qualification","direct migration background","50","0.688926572487404","0.581996522927382","0.795856622047427"
"No","1989","college entrance qualification","indirect migration background","","","",""
"No","1989","Other degree","no migration background","","","",""
"No","1989","Other degree","direct migration background","654","0.912740049416575","0.892054069200988","0.933426029632162"
"No","1989","Other degree","indirect migration background","","","",""
"No","1989","no degree/no degree yet","no migration background","","","",""
"No","1989","no degree/no degree yet","direct migration background","312","0.888671703827615","0.855859591051501","0.921483816603729"
"No","1989","no degree/no degree yet","indirect migration background","","","",""
"Yes","1990","lower secondary degree","no migration background","700","0.219960635726417","0.205400397760665","0.234520873692168"
"Yes","1990","lower secondary degree","direct migration background","56","0.176695147854397","0.141097488272948","0.212292807435846"
"Yes","1990","lower secondary degree","indirect migration background","","","",""
"Yes","1990","secondary school degree","no migration background","894","0.3202305613414","0.302622164236757","0.337838958446044"
"Yes","1990","secondary school degree","direct migration background","30","0.308014390789795","0.222513012639015","0.393515768940574"
"Yes","1990","secondary school degree","indirect migration background","","","",""
"Yes","1990","college entrance qualification","no migration background","472","0.408845322303129","0.38016848833362","0.437522156272638"
"Yes","1990","college entrance qualification","direct migration background","","","",""
"Yes","1990","college entrance qualification","indirect migration background","","","",""
"Yes","1990","Other degree","no migration background","","","",""
"Yes","1990","Other degree","direct migration background","56","0.0825417443335432","0.0619037391637844","0.103179749503302"
"Yes","1990","Other degree","indirect migration background","","","",""
"Yes","1990","no degree/no degree yet","no migration background","","","",""
"Yes","1990","no degree/no degree yet","direct migration background","35","0.102524526316649","0.0701863949388972","0.134862657694401"
"Yes","1990","no degree/no degree yet","indirect migration background","","","",""
"No","1990","lower secondary degree","no migration background","2409","0.780039364273583","0.765479126307832","0.794599602239335"
"No","1990","lower secondary degree","direct migration background","385","0.823304852145603","0.787707192564154","0.858902511727052"
"No","1990","lower secondary degree","indirect migration background","83","0.850328522349982","0.777030831766283","0.923626212933681"
"No","1990","secondary school degree","no migration background","1803","0.6797694386586","0.662161041553956","0.697377835763243"
"No","1990","secondary school degree","direct migration background","82","0.691985609210205","0.606484231059426","0.777486987360985"
"No","1990","secondary school degree","indirect migration background","30","0.924527398121721","0.837015193872097","1.01203960237135"
"No","1990","college entrance qualification","no migration background","657","0.591154677696871","0.562477843727362","0.61983151166638"
"No","1990","college entrance qualification","direct migration background","58","0.665987014085191","0.566880312789144","0.765093715381238"
"No","1990","college entrance qualification","indirect migration background","","","",""
"No","1990","Other degree","no migration background","36","0.755908735191215","0.641341083336077","0.870476387046354"
"No","1990","Other degree","direct migration background","627","0.917458255666457","0.896820250496698","0.938096260836216"
"No","1990","Other degree","indirect migration background","","","",""
"No","1990","no degree/no degree yet","no migration background","30","0.88991131459263","0.784702206317448","0.995120422867813"
"No","1990","no degree/no degree yet","direct migration background","303","0.897475473683351","0.865137342305599","0.929813605061103"
"No","1990","no degree/no degree yet","indirect migration background","","","",""
"Yes","1991","lower secondary degree","no migration background","623","0.220705131149406","0.205524446175882","0.23588581612293"
"Yes","1991","lower secondary degree","direct migration background","51","0.14985566331786","0.11635234993884","0.183358976696881"
"Yes","1991","lower secondary degree","indirect migration background","","","",""
"Yes","1991","secondary school degree","no migration background","822","0.310484919844287","0.292529936693378","0.328439902995196"
"Yes","1991","secondary school degree","direct migration background","32","0.244366709346009","0.166503603684019","0.322229815007999"
"Yes","1991","secondary school degree","indirect migration background","","","",""
"Yes","1991","college entrance qualification","no migration background","454","0.396191206375567","0.367774149743229","0.424608263007905"
"Yes","1991","college entrance qualification","direct migration background","32","0.379755785826631","0.278926509950315","0.480585061702948"
"Yes","1991","college entrance qualification","indirect migration background","","","",""
"Yes","1991","Other degree","no migration background","","","",""
"Yes","1991","Other degree","direct migration background","63","0.0991356511089643","0.0768375347468755","0.121433767471053"
"Yes","1991","Other degree","indirect migration background","","","",""
"Yes","1991","no degree/no degree yet","no migration background","","","",""
"Yes","1991","no degree/no degree yet","direct migration background","40","0.117494209863857","0.0833669002728043","0.151621519454909"
"Yes","1991","no degree/no degree yet","indirect migration background","","","",""
"No","1991","lower secondary degree","no migration background","2244","0.779294868850594","0.76411418387707","0.794475553824118"
"No","1991","lower secondary degree","direct migration background","385","0.85014433668214","0.816641023303119","0.88364765006116"
"No","1991","lower secondary degree","indirect migration background","102","0.851059297301618","0.785988552106932","0.916130042496304"
"No","1991","secondary school degree","no migration background","1729","0.689515080155713","0.671560097004804","0.707470063306622"
"No","1991","secondary school degree","direct migration background","85","0.755633290653991","0.677770184992001","0.833496396315981"
"No","1991","secondary school degree","indirect migration background","35","0.917922825448962","0.833905191664261","1.00194045923366"
"No","1991","college entrance qualification","no migration background","684","0.603808793624433","0.575391736992095","0.632225850256771"
"No","1991","college entrance qualification","direct migration background","57","0.620244214173369","0.519414938297052","0.721073490049685"
"No","1991","college entrance qualification","indirect migration background","","","",""
"No","1991","Other degree","no migration background","32","0.71891497308081","0.590399096612543","0.847430849549076"
"No","1991","Other degree","direct migration background","627","0.900864348891036","0.878566232528947","0.923162465253125"
"No","1991","Other degree","indirect migration background","","","",""
"No","1991","no degree/no degree yet","no migration background","35","0.817726363094102","0.700967629696649","0.934485096491555"
"No","1991","no degree/no degree yet","direct migration background","302","0.882505790136143","0.848378480545091","0.916633099727196"
"No","1991","no degree/no degree yet","indirect migration background","","","",""
"Yes","1992","lower secondary degree","no migration background","584","0.223309387803269","0.207198752185364","0.239420023421175"
"Yes","1992","lower secondary degree","direct migration background","47","0.1404148887541","0.106453449508032","0.174376328000169"
"Yes","1992","lower secondary degree","indirect migration background","","","",""
"Yes","1992","secondary school degree","no migration background","816","0.330087807451883","0.311135757122969","0.349039857780798"
"Yes","1992","secondary school degree","direct migration background","30","0.268713642837012","0.186980638458906","0.350446647215119"
"Yes","1992","secondary school degree","indirect migration background","","","",""
"Yes","1992","college entrance qualification","no migration background","460","0.422674498199299","0.393402469400991","0.451946526997607"
"Yes","1992","college entrance qualification","direct migration background","31","0.457189447276669","0.35065729827373","0.563721596279609"
"Yes","1992","college entrance qualification","indirect migration background","","","",""
"Yes","1992","Other degree","no migration background","","","",""
"Yes","1992","Other degree","direct migration background","64","0.103333482828597","0.0798058293737253","0.126861136283469"
"Yes","1992","Other degree","indirect migration background","","","",""
"Yes","1992","no degree/no degree yet","no migration background","","","",""
"Yes","1992","no degree/no degree yet","direct migration background","37","0.14810526078194","0.107223715549029","0.18898680601485"
"Yes","1992","no degree/no degree yet","indirect migration background","","","",""
"No","1992","lower secondary degree","no migration background","1983","0.776690612196731","0.760579976578825","0.792801247814636"
"No","1992","lower secondary degree","direct migration background","355","0.8595851112459","0.825623671999831","0.893546550491968"
"No","1992","lower secondary degree","indirect migration background","102","0.848187201623973","0.783714679373907","0.912659723874039"
"No","1992","secondary school degree","no migration background","1549","0.669912192548117","0.650960142219202","0.688864242877031"
"No","1992","secondary school degree","direct migration background","83","0.731286357162988","0.649553352784881","0.813019361541094"
"No","1992","secondary school degree","indirect migration background","43","0.780423311694393","0.672002586048081","0.888844037340705"
"No","1992","college entrance qualification","no migration background","634","0.577325501800701","0.548053473002393","0.606597530599009"
"No","1992","college entrance qualification","direct migration background","53","0.54281055272333","0.436278403720391","0.64934270172627"
"No","1992","college entrance qualification","indirect migration background","","","",""
"No","1992","Other degree","no migration background","","","",""
"No","1992","Other degree","direct migration background","579","0.896666517171403","0.873138863716531","0.920194170626275"
"No","1992","Other degree","indirect migration background","","","",""
"No","1992","no degree/no degree yet","no migration background","34","0.769564477527516","0.64513623323814","0.893992721816891"
"No","1992","no degree/no degree yet","direct migration background","253","0.85189473921806","0.81101319398515","0.892776284450971"
"No","1992","no degree/no degree yet","indirect migration background","","","",""
"Yes","1993","lower secondary degree","no migration background","528","0.215528282266564","0.199098150034196","0.231958414498933"
"Yes","1993","lower secondary degree","direct migration background","35","0.1101179442698","0.078685303045104","0.141550585494497"
"Yes","1993","lower secondary degree","indirect migration background","","","",""
"Yes","1993","secondary school degree","no migration background","786","0.314057924782123","0.295359821175733","0.332756028388514"
"Yes","1993","secondary school degree","direct migration background","30","0.266629850013549","0.181643843919383","0.351615856107716"
"Yes","1993","secondary school degree","indirect migration background","","","",""
"Yes","1993","college entrance qualification","no migration background","466","0.409125880852196","0.38008362198626","0.438168139718131"
"Yes","1993","college entrance qualification","direct migration background","31","0.413605856599409","0.316101683154547","0.511110030044272"
"Yes","1993","college entrance qualification","indirect migration background","","","",""
"Yes","1993","Other degree","no migration background","","","",""
"Yes","1993","Other degree","direct migration background","59","0.114028518515193","0.0888465896835014","0.139210447346885"
"Yes","1993","Other degree","indirect migration background","","","",""
"Yes","1993","no degree/no degree yet","no migration background","","","",""
"Yes","1993","no degree/no degree yet","direct migration background","35","0.15426646383949","0.11195854975933","0.196574377919651"
"Yes","1993","no degree/no degree yet","indirect migration background","","","",""
"No","1993","lower secondary degree","no migration background","1878","0.784471717733436","0.768041585501067","0.800901849965804"
"No","1993","lower secondary degree","direct migration background","346","0.8898820557302","0.858449414505503","0.921314696954896"
"No","1993","lower secondary degree","indirect migration background","133","0.90801579971171","0.861296885070659","0.954734714352761"
"No","1993","secondary school degree","no migration background","1581","0.685942075217877","0.667243971611486","0.704640178824267"
"No","1993","secondary school degree","direct migration background","74","0.73337014998645","0.648384143892284","0.818356156080617"
"No","1993","secondary school degree","indirect migration background","55","0.716151862155356","0.612009498520704","0.820294225790007"
"No","1993","college entrance qualification","no migration background","635","0.590874119147804","0.561831860281868","0.61991637801374"
"No","1993","college entrance qualification","direct migration background","67","0.586394143400591","0.488889969955728","0.683898316845453"
"No","1993","college entrance qualification","indirect migration background","","","",""
"No","1993","Other degree","no migration background","","","",""
"No","1993","Other degree","direct migration background","553","0.885971481484807","0.860789552653115","0.911153410316499"
"No","1993","Other degree","indirect migration background","","","",""
"No","1993","no degree/no degree yet","no migration background","30","0.669096070951789","0.52679156640843","0.811400575495149"
"No","1993","no degree/no degree yet","direct migration background","245","0.84573353616051","0.803425622080349","0.88804145024067"
"No","1993","no degree/no degree yet","indirect migration background","","","",""
"Yes","1994","lower secondary degree","no migration background","474","0.213681920253407","0.196526087854048","0.230837752652765"
"Yes","1994","lower secondary degree","direct migration background","","","",""
"Yes","1994","lower secondary degree","indirect migration background","","","",""
"Yes","1994","secondary school degree","no migration background","743","0.321310943108212","0.30208373087894","0.340538155337484"
"Yes","1994","secondary school degree","direct migration background","","","",""
"Yes","1994","secondary school degree","indirect migration background","","","",""
"Yes","1994","college entrance qualification","no migration background","471","0.407638298237404","0.378974608382763","0.436301988092044"
"Yes","1994","college entrance qualification","direct migration background","","","",""
"Yes","1994","college entrance qualification","indirect migration background","","","",""
"Yes","1994","Other degree","no migration background","","","",""
"Yes","1994","Other degree","direct migration background","53","0.110600744482694","0.083695295390092","0.137506193575297"
"Yes","1994","Other degree","indirect migration background","","","",""
"Yes","1994","no degree/no degree yet","no migration background","","","",""
"Yes","1994","no degree/no degree yet","direct migration background","33","0.140816466128373","0.0976995411750459","0.1839333910817"
"Yes","1994","no degree/no degree yet","indirect migration background","","","",""
"No","1994","lower secondary degree","no migration background","1719","0.786318079746594","0.769162247347235","0.803473912145952"
"No","1994","lower secondary degree","direct migration background","293","0.90931472290338","0.877753048543017","0.940876397263744"
"No","1994","lower secondary degree","indirect migration background","119","0.830514879857714","0.767460082611969","0.893569677103458"
"No","1994","secondary school degree","no migration background","1523","0.678689056891788","0.659461844662516","0.69791626912106"
"No","1994","secondary school degree","direct migration background","66","0.752961995838517","0.665307331692414","0.84061665998462"
"No","1994","secondary school degree","indirect migration background","51","0.702433716746395","0.593769095737819","0.811098337754971"
"No","1994","college entrance qualification","no migration background","658","0.592361701762596","0.563698011907956","0.621025391617236"
"No","1994","college entrance qualification","direct migration background","62","0.60389862586312","0.502288197341751","0.705509054384489"
"No","1994","college entrance qualification","indirect migration background","","","",""
"No","1994","Other degree","no migration background","","","",""
"No","1994","Other degree","direct migration background","469","0.889399255517306","0.862493806424703","0.916304704609908"
"No","1994","Other degree","indirect migration background","","","",""
"No","1994","no degree/no degree yet","no migration background","","","",""
"No","1994","no degree/no degree yet","direct migration background","217","0.859183533871627","0.8160666089183","0.902300458824954"
"No","1994","no degree/no degree yet","indirect migration background","","","",""
"Yes","1995","lower secondary degree","no migration background","470","0.217336885288983","0.200133943913902","0.234539826664063"
"Yes","1995","lower secondary degree","direct migration background","31","0.0997309008129106","0.0677394317660343","0.131722369859787"
"Yes","1995","lower secondary degree","indirect migration background","","","",""
"Yes","1995","secondary school degree","no migration background","739","0.305256237331632","0.286832103836547","0.323680370826717"
"Yes","1995","secondary school degree","direct migration background","34","0.26905065717326","0.1886951162911","0.349406198055419"
"Yes","1995","secondary school degree","indirect migration background","","","",""
"Yes","1995","college entrance qualification","no migration background","477","0.398382814274559","0.370648883300225","0.426116745248893"
"Yes","1995","college entrance qualification","direct migration background","35","0.4039889820995","0.313913297847654","0.494064666351345"
"Yes","1995","college entrance qualification","indirect migration background","","","",""
"Yes","1995","Other degree","no migration background","","","",""
"Yes","1995","Other degree","direct migration background","85","0.149126010670118","0.122372310293464","0.175879711046773"
"Yes","1995","Other degree","indirect migration background","","","",""
"Yes","1995","no degree/no degree yet","no migration background","","","",""
"Yes","1995","no degree/no degree yet","direct migration background","33","0.155303964576169","0.108393271545638","0.202214657606699"
"Yes","1995","no degree/no degree yet","indirect migration background","","","",""
"No","1995","lower secondary degree","no migration background","1738","0.782663114711017","0.765460173335937","0.799866056086098"
"No","1995","lower secondary degree","direct migration background","306","0.900269099187089","0.868277630140213","0.932260568233966"
"No","1995","lower secondary degree","indirect migration background","119","0.885544638690424","0.830817881593066","0.940271395787782"
"No","1995","secondary school degree","no migration background","1661","0.694743762668368","0.676319629173283","0.713167896163453"
"No","1995","secondary school degree","direct migration background","83","0.73094934282674","0.650593801944581","0.8113048837089"
"No","1995","secondary school degree","indirect migration background","60","0.720646851133388","0.622327018695693","0.818966683571083"
"No","1995","college entrance qualification","no migration background","720","0.601617185725441","0.573883254751107","0.629351116699775"
"No","1995","college entrance qualification","direct migration background","79","0.5960110179005","0.505935333648655","0.686086702152346"
"No","1995","college entrance qualification","indirect migration background","34","0.827893931762713","0.706266182458705","0.949521681066721"
"No","1995","Other degree","no migration background","","","",""
"No","1995","Other degree","direct migration background","596","0.850873989329882","0.824120288953227","0.877627689706536"
"No","1995","Other degree","indirect migration background","","","",""
"No","1995","no degree/no degree yet","no migration background","","","",""
"No","1995","no degree/no degree yet","direct migration background","196","0.844696035423831","0.797785342393301","0.891606728454362"
"No","1995","no degree/no degree yet","indirect migration background","","","",""
"Yes","1996","lower secondary degree","no migration background","441","0.215777760291735","0.198082484570774","0.233473036012695"
"Yes","1996","lower secondary degree","direct migration background","44","0.133341140597324","0.0963827897540567","0.170299491440592"
"Yes","1996","lower secondary degree","indirect migration background","","","",""
"Yes","1996","secondary school degree","no migration background","718","0.313106509521053","0.294219223279473","0.331993795762633"
"Yes","1996","secondary school degree","direct migration background","","","",""
"Yes","1996","secondary school degree","indirect migration background","","","",""
"Yes","1996","college entrance qualification","no migration background","461","0.396374642601751","0.368536361492473","0.42421292371103"
"Yes","1996","college entrance qualification","direct migration background","","","",""
