"pgoeffd","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1985","no migration background","middle vocational","1843","0.757508635493729","0.740509877386212","0.774507393601247","2"
"No","1985","direct migration background","vocational + Abi","70","0.898224884673184","0.830691880213176","0.965757889133191","2"
"No","1985","direct migration background","higher vocational","20","","","","2"
"No","1985","direct migration background","higher education","46","0.615473043339898","0.507511594732064","0.723434491947732","2"
"No","1985","no migration background","inadequately","26","","","","2"
"No","1985","no migration background","general elemantary","614","0.805522137522738","0.777474828481276","0.8335694465642","2"
"No","1985","no migration background","vocational + Abi","75","0.797293782371373","0.716453278447181","0.878134286295566","2"
"No","1985","no migration background","in school","2","","","","2"
"No","1985","direct migration background","in school","","","","","2"
"No","1985","direct migration background","inadequately","387","0.915777929754794","0.889436326993898","0.94211953251569","2"
"No","1985","direct migration background","general elemantary","520","0.877497420342223","0.850628784459986","0.904366056224459","2"
"Yes","1985","no migration background","in school","","","","","1"
"Yes","1985","no migration background","inadequately","4","","","","1"
"Yes","1985","no migration background","general elemantary","151","0.194477862477262","0.1664305534358","0.222525171518724","1"
"Yes","1985","no migration background","middle vocational","599","0.242491364506271","0.225492606398753","0.259490122613788","1"
"Yes","1985","no migration background","vocational + Abi","20","","","","1"
"Yes","1985","no migration background","higher vocational","138","0.358226545103105","0.310081082899195","0.406372007307015","1"
"Yes","1985","no migration background","higher education","250","0.512737575398874","0.468480869588293","0.556994281209455","1"
"Yes","1985","direct migration background","in school","","","","","1"
"Yes","1985","direct migration background","inadequately","40","0.0842220702452065","0.0578804674843105","0.110563673006103","1"
"Yes","1985","direct migration background","general elemantary","52","0.122502579657777","0.0956339437755406","0.149371215540014","1"
"Yes","1985","direct migration background","middle vocational","52","0.0957374738609507","0.0730130225391387","0.118461925182763","1"
"Yes","1985","direct migration background","vocational + Abi","7","","","","1"
"Yes","1985","direct migration background","higher vocational","9","","","","1"
"Yes","1985","direct migration background","higher education","32","0.384526956660102","0.276565508052268","0.492488405267937","1"
"Yes","1985","indirect migration background","in school","","","","","1"
"Yes","1985","indirect migration background","inadequately","","","","","1"
"Yes","1985","indirect migration background","general elemantary","5","","","","1"
"Yes","1985","indirect migration background","middle vocational","2","","","","1"
"Yes","1985","indirect migration background","vocational + Abi","","","","","1"
"Yes","1985","indirect migration background","higher vocational","1","","","","1"
"Yes","1985","indirect migration background","higher education","1","","","","1"
"No","1986","indirect migration background","in school","","","","","2"
"No","1986","indirect migration background","inadequately","3","","","","2"
"No","1986","indirect migration background","general elemantary","24","","","","2"
"No","1986","indirect migration background","vocational + Abi","1","","","","2"
"No","1986","indirect migration background","higher vocational","3","","","","2"
"No","1986","indirect migration background","higher education","1","","","","2"
"No","1986","no migration background","higher education","233","0.49176056893567","0.446849267103507","0.536671870767834","2"
"No","1986","indirect migration background","middle vocational","30","0.78586694150897","0.651864345886398","0.919869537131542","2"
"No","1986","no migration background","general elemantary","561","0.794028325846918","0.764239512072442","0.823817139621393","2"
"No","1986","no migration background","middle vocational","1730","0.752948608934455","0.735341463739644","0.770555754129267","2"
"No","1986","no migration background","higher vocational","213","0.63670705805852","0.585358121600483","0.688055994516557","2"
"No","1986","direct migration background","higher education","46","0.640007210793847","0.530643921082677","0.749370500505018","2"
"No","1986","direct migration background","vocational + Abi","66","0.880201762588909","0.805710901932963","0.954692623244855","2"
"No","1986","direct migration background","higher vocational","21","","","","2"
"No","1986","no migration background","inadequately","26","","","","2"
"No","1986","direct migration background","middle vocational","556","0.897699651302051","0.873471797726351","0.921927504877751","2"
"No","1986","no migration background","in school","2","","","","2"
"No","1986","no migration background","vocational + Abi","77","0.790265957902021","0.709662039670279","0.870869876133762","2"
"No","1986","direct migration background","in school","","","","","2"
"No","1986","direct migration background","inadequately","323","0.912958878139193","0.883717231070963","0.942200525207423","2"
"No","1986","direct migration background","general elemantary","502","0.871565662410824","0.843578907165322","0.899552417656327","2"
"Yes","1986","no migration background","in school","","","","","1"
"Yes","1986","no migration background","inadequately","5","","","","1"
"Yes","1986","no migration background","general elemantary","147","0.205971674153083","0.176182860378607","0.235760487927558","1"
"Yes","1986","no migration background","middle vocational","575","0.247051391065545","0.229444245870733","0.264658536260356","1"
"Yes","1986","no migration background","vocational + Abi","21","","","","1"
"Yes","1986","no migration background","higher vocational","124","0.36329294194148","0.311944005483443","0.414641878399517","1"
"Yes","1986","no migration background","higher education","243","0.508239431064329","0.463328129232166","0.553150732896493","1"
"Yes","1986","direct migration background","in school","","","","","1"
"Yes","1986","direct migration background","inadequately","34","0.0870411218608067","0.0577994747925767","0.116282768929037","1"
"Yes","1986","direct migration background","general elemantary","47","0.128434337589175","0.100447582343673","0.156421092834678","1"
"Yes","1986","direct migration background","middle vocational","45","0.102300348697949","0.0780724951222485","0.126528202273649","1"
"Yes","1986","direct migration background","vocational + Abi","7","","","","1"
"Yes","1986","direct migration background","higher vocational","8","","","","1"
"Yes","1986","direct migration background","higher education","28","","","","1"
"Yes","1986","indirect migration background","in school","","","","","1"
"Yes","1986","indirect migration background","inadequately","","","","","1"
"Yes","1986","indirect migration background","general elemantary","4","","","","1"
"Yes","1986","indirect migration background","middle vocational","6","","","","1"
"Yes","1986","indirect migration background","vocational + Abi","","","","","1"
"Yes","1986","indirect migration background","higher vocational","1","","","","1"
"Yes","1986","indirect migration background","higher education","2","","","","1"
"No","1987","indirect migration background","higher vocational","2","","","","2"
"No","1987","indirect migration background","higher education","1","","","","2"
"No","1987","no migration background","higher education","247","0.510998663381644","0.466510740739076","0.555486586024212","2"
"No","1987","indirect migration background","in school","","","","","2"
"No","1987","no migration background","general elemantary","583","0.790464759809611","0.760921792047822","0.8200077275714","2"
"No","1987","no migration background","higher vocational","201","0.633215391430394","0.580658688486155","0.685772094374632","2"
"No","1987","indirect migration background","inadequately","3","","","","2"
"No","1987","indirect migration background","general elemantary","20","","","","2"
"No","1987","indirect migration background","vocational + Abi","1","","","","2"
"No","1987","no migration background","inadequately","23","","","","2"
"No","1987","indirect migration background","middle vocational","36","0.872985394580344","0.771059042013132","0.974911747147555","2"
"No","1987","no migration background","in school","4","","","","2"
"No","1987","direct migration background","vocational + Abi","64","0.84836440417144","0.764936618506759","0.93179218983612","2"
"No","1987","direct migration background","higher vocational","23","","","","2"
"No","1987","direct migration background","higher education","39","0.583313284804847","0.464372202993857","0.702254366615836","2"
"No","1987","no migration background","middle vocational","1770","0.753836599413843","0.736412537901153","0.771260660926533","2"
"No","1987","no migration background","vocational + Abi","82","0.756347886791063","0.675008275567233","0.837687498014892","2"
"No","1987","direct migration background","inadequately","318","0.915735063079105","0.88667457497355","0.944795551184659","2"
"No","1987","direct migration background","middle vocational","562","0.899916902370063","0.87612062296252","0.923713181777606","2"
"No","1987","direct migration background","in school","1","","","","2"
"No","1987","direct migration background","general elemantary","503","0.863560820859664","0.835105846326061","0.892015795393268","2"
"Yes","1987","no migration background","in school","","","","","1"
"Yes","1987","no migration background","inadequately","4","","","","1"
"Yes","1987","no migration background","general elemantary","146","0.209535240190389","0.1799922724286","0.239078207952178","1"
"Yes","1987","no migration background","middle vocational","578","0.246163400586157","0.228739339073467","0.263587462098847","1"
"Yes","1987","no migration background","vocational + Abi","25","","","","1"
"Yes","1987","no migration background","higher vocational","122","0.366784608569606","0.314227905625368","0.419341311513845","1"
"Yes","1987","no migration background","higher education","238","0.489001336618356","0.444513413975788","0.533489259260924","1"
"Yes","1987","direct migration background","in school","","","","","1"
"Yes","1987","direct migration background","inadequately","33","0.0842649369208951","0.0552044488153406","0.11332542502645","1"
"Yes","1987","direct migration background","general elemantary","56","0.136439179140336","0.107984204606732","0.164894153673939","1"
"Yes","1987","direct migration background","middle vocational","49","0.100083097629937","0.0762868182223939","0.12387937703748","1"
"Yes","1987","direct migration background","vocational + Abi","7","","","","1"
"Yes","1987","direct migration background","higher vocational","11","","","","1"
"Yes","1987","direct migration background","higher education","27","","","","1"
"Yes","1987","indirect migration background","in school","","","","","1"
"Yes","1987","indirect migration background","inadequately","","","","","1"
"Yes","1987","indirect migration background","general elemantary","5","","","","1"
"Yes","1987","indirect migration background","middle vocational","5","","","","1"
"Yes","1987","indirect migration background","vocational + Abi","","","","","1"
"Yes","1987","indirect migration background","higher vocational","2","","","","1"
"Yes","1987","indirect migration background","higher education","2","","","","1"
"No","1988","no migration background","higher education","253","0.532701138242865","0.487785446339901","0.577616830145829","2"
"No","1988","indirect migration background","general elemantary","35","0.83452993157429","0.717903639107111","0.951156224041469","2"
"No","1988","no migration background","higher vocational","204","0.637173434727396","0.5844102357336","0.689936633721193","2"
"No","1988","indirect migration background","higher vocational","2","","","","2"
"No","1988","indirect migration background","in school","1","","","","2"
"No","1988","indirect migration background","higher education","1","","","","2"
"No","1988","indirect migration background","inadequately","6","","","","2"
"No","1988","no migration background","general elemantary","582","0.800065804417578","0.77087225821867","0.829259350616487","2"
"No","1988","no migration background","middle vocational","1711","0.75422259242436","0.736495443774497","0.771949741074223","2"
"No","1988","no migration background","vocational + Abi","80","0.762523143261219","0.680343048187415","0.844703238335022","2"
"No","1988","no migration background","inadequately","18","","","","2"
"No","1988","indirect migration background","middle vocational","48","0.948694053358789","0.889850599931463","1.00753750678612","2"
"No","1988","indirect migration background","vocational + Abi","1","","","","2"
"No","1988","no migration background","in school","5","","","","2"
"No","1988","direct migration background","inadequately","293","0.923573473803826","0.894689017574076","0.952457930033576","2"
"No","1988","direct migration background","general elemantary","511","0.865043785430779","0.836969581707145","0.893117989154413","2"
"No","1988","direct migration background","middle vocational","537","0.903602445553641","0.879562664048626","0.927642227058657","2"
"No","1988","direct migration background","vocational + Abi","58","0.923718079601183","0.85764374820576","0.989792410996607","2"
"No","1988","direct migration background","higher vocational","27","","","","2"
"No","1988","direct migration background","higher education","36","0.553634466758866","0.428884608878327","0.678384324639404","2"
"No","1988","direct migration background","in school","","","","","2"
"Yes","1988","no migration background","in school","","","","","1"
"Yes","1988","no migration background","inadequately","2","","","","1"
"Yes","1988","no migration background","general elemantary","139","0.199934195582422","0.170740649383513","0.22912774178133","1"
"Yes","1988","no migration background","middle vocational","555","0.24577740757564","0.228050258925777","0.263504556225503","1"
"Yes","1988","no migration background","vocational + Abi","23","","","","1"
"Yes","1988","no migration background","higher vocational","115","0.362826565272604","0.310063366278808","0.4155897642664","1"
"Yes","1988","no migration background","higher education","221","0.467298861757135","0.422383169854171","0.512214553660099","1"
"Yes","1988","direct migration background","in school","","","","","1"
"Yes","1988","direct migration background","inadequately","32","0.0764265261961736","0.0475420699664238","0.105310982425923","1"
"Yes","1988","direct migration background","general elemantary","58","0.134956214569221","0.106882010845587","0.163030418292855","1"
"Yes","1988","direct migration background","middle vocational","42","0.0963975544463588","0.0723577729413434","0.120437335951374","1"
"Yes","1988","direct migration background","vocational + Abi","4","","","","1"
"Yes","1988","direct migration background","higher vocational","12","","","","1"
"Yes","1988","direct migration background","higher education","25","","","","1"
"Yes","1988","indirect migration background","in school","","","","","1"
"Yes","1988","indirect migration background","inadequately","1","","","","1"
"Yes","1988","indirect migration background","general elemantary","4","","","","1"
"Yes","1988","indirect migration background","middle vocational","6","","","","1"
"Yes","1988","indirect migration background","vocational + Abi","","","","","1"
"Yes","1988","indirect migration background","higher vocational","2","","","","1"
"Yes","1988","indirect migration background","higher education","1","","","","1"
"No","1989","no migration background","higher education","263","0.54247859455744","0.497910457167193","0.587046731947687","2"
"No","1989","indirect migration background","in school","3","","","","2"
"No","1989","indirect migration background","general elemantary","45","0.816522664467204","0.710294827752615","0.922750501181793","2"
"No","1989","no migration background","higher vocational","206","0.664024415994137","0.611946879402165","0.716101952586109","2"
"No","1989","indirect migration background","inadequately","6","","","","2"
"No","1989","indirect migration background","higher vocational","2","","","","2"
"No","1989","indirect migration background","higher education","2","","","","2"
"No","1989","no migration background","inadequately","28","","","","2"
"No","1989","no migration background","general elemantary","571","0.796663619432695","0.767162390549995","0.826164848315395","2"
"No","1989","no migration background","middle vocational","1751","0.759976875821789","0.742548736425953","0.777405015217626","2"
"No","1989","no migration background","vocational + Abi","106","0.836002034788706","0.770565780360606","0.901438289216806","2"
"No","1989","indirect migration background","middle vocational","53","0.954983761264668","0.901623654443113","1.00834386808622","2"
"No","1989","indirect migration background","vocational + Abi","2","","","","2"
"No","1989","no migration background","in school","6","","","","2"
"No","1989","direct migration background","in school","1","","","","2"
"No","1989","direct migration background","inadequately","270","0.88348497718406","0.847477829648007","0.919492124720113","2"
"No","1989","direct migration background","general elemantary","528","0.863306019090951","0.835348979951522","0.891263058230379","2"
"No","1989","direct migration background","middle vocational","537","0.839659327529888","0.810226340828764","0.869092314231013","2"
"No","1989","direct migration background","vocational + Abi","59","0.975112511411526","0.936335873830506","1.01388914899255","2"
"No","1989","direct migration background","higher vocational","25","","","","2"
"No","1989","direct migration background","higher education","44","0.631204715459396","0.517363023255321","0.745046407663472","2"
"Yes","1989","no migration background","in school","","","","","1"
"Yes","1989","no migration background","inadequately","2","","","","1"
"Yes","1989","no migration background","general elemantary","144","0.203336380567304","0.173835151684604","0.232837609450004","1"
"Yes","1989","no migration background","middle vocational","556","0.240023124178211","0.222594984782374","0.257451263574047","1"
"Yes","1989","no migration background","vocational + Abi","17","","","","1"
"Yes","1989","no migration background","higher vocational","110","0.335975584005863","0.283898047413891","0.388053120597835","1"
"Yes","1989","no migration background","higher education","217","0.45752140544256","0.412953268052313","0.502089542832807","1"
"Yes","1989","direct migration background","in school","","","","","1"
"Yes","1989","direct migration background","inadequately","35","0.11651502281594","0.0805078752798873","0.152522170351992","1"
"Yes","1989","direct migration background","general elemantary","52","0.136693980909049","0.108736941769621","0.164651020048478","1"
"Yes","1989","direct migration background","middle vocational","60","0.160340672470111","0.130907685768987","0.189773659171236","1"
"Yes","1989","direct migration background","vocational + Abi","3","","","","1"
"Yes","1989","direct migration background","higher vocational","10","","","","1"
"Yes","1989","direct migration background","higher education","25","","","","1"
"Yes","1989","indirect migration background","in school","2","","","","1"
"Yes","1989","indirect migration background","inadequately","","","","","1"
"Yes","1989","indirect migration background","general elemantary","6","","","","1"
"Yes","1989","indirect migration background","middle vocational","5","","","","1"
"Yes","1989","indirect migration background","vocational + Abi","","","","","1"
"Yes","1989","indirect migration background","higher vocational","2","","","","1"
"Yes","1989","indirect migration background","higher education","1","","","","1"
"No","1990","no migration background","higher vocational","362","0.674348423858303","0.63414790993425","0.714548937782357","2"
"No","1990","no migration background","higher education","667","0.531667118092653","0.504298689107897","0.55903554707741","2"
"No","1990","no migration background","inadequately","32","0.929072724038123","0.844028354833695","1.01411709324255","2"
"No","1990","indirect migration background","in school","","","","","2"
"No","1990","no migration background","general elemantary","665","0.775723417945612","0.747862723909163","0.80358411198206","2"
"No","1990","no migration background","middle vocational","3072","0.745724227064732","0.732498049512746","0.758950404616718","2"
"No","1990","no migration background","vocational + Abi","149","0.842779511106195","0.789749665921224","0.895809356291167","2"
"No","1990","indirect migration background","inadequately","5","","","","2"
"No","1990","indirect migration background","general elemantary","63","0.845497315151526","0.760828554497716","0.930166075805337","2"
"No","1990","indirect migration background","higher education","2","","","","2"
"No","1990","indirect migration background","higher vocational","2","","","","2"
"No","1990","no migration background","in school","3","","","","2"
"No","1990","indirect migration background","middle vocational","58","0.946609404800869","0.891957009441685","1.00126180016005","2"
"No","1990","indirect migration background","vocational + Abi","3","","","","2"
"No","1990","direct migration background","in school","1","","","","2"
"No","1990","direct migration background","inadequately","269","0.894067964097481","0.859243343788946","0.928892584406015","2"
"No","1990","direct migration background","general elemantary","520","0.876529039409143","0.84966307610652","0.903395002711766","2"
"No","1990","direct migration background","middle vocational","540","0.840790624535628","0.811588282425927","0.869992966645328","2"
"No","1990","direct migration background","vocational + Abi","57","0.884999284882351","0.805589507843804","0.964409061920898","2"
"No","1990","direct migration background","higher vocational","28","","","","2"
"No","1990","direct migration background","higher education","55","0.580216856061394","0.482003649048014","0.678430063074774","2"
"Yes","1990","no migration background","in school","","","","","1"
"Yes","1990","no migration background","inadequately","3","","","","1"
"Yes","1990","no migration background","general elemantary","196","0.224276582054389","0.19641588801794","0.252137276090837","1"
"Yes","1990","no migration background","middle vocational","1092","0.254275772935268","0.241049595383282","0.267501950487254","1"
"Yes","1990","no migration background","vocational + Abi","32","0.157220488893805","0.104190643708833","0.210250334078776","1"
"Yes","1990","no migration background","higher vocational","160","0.325651576141697","0.285451062217643","0.36585209006575","1"
"Yes","1990","no migration background","higher education","610","0.468332881907347","0.44096445292259","0.495701310892103","1"
"Yes","1990","direct migration background","in school","","","","","1"
"Yes","1990","direct migration background","inadequately","31","0.105932035902519","0.0711074155939848","0.140756656211054","1"
"Yes","1990","direct migration background","general elemantary","56","0.123470960590857","0.0966049972882345","0.15033692389348","1"
"Yes","1990","direct migration background","middle vocational","63","0.159209375464372","0.130007033354672","0.188411717574073","1"
"Yes","1990","direct migration background","vocational + Abi","5","","","","1"
"Yes","1990","direct migration background","higher vocational","11","","","","1"
"Yes","1990","direct migration background","higher education","42","0.419783143938606","0.321569936925226","0.517996350951986","1"
"Yes","1990","indirect migration background","in school","1","","","","1"
"Yes","1990","indirect migration background","inadequately","","","","","1"
"Yes","1990","indirect migration background","general elemantary","7","","","","1"
"Yes","1990","indirect migration background","middle vocational","7","","","","1"
"Yes","1990","indirect migration background","vocational + Abi","1","","","","1"
"Yes","1990","indirect migration background","higher vocational","2","","","","1"
"Yes","1990","indirect migration background","higher education","","","","","1"
"No","1991","no migration background","general elemantary","611","0.760764588286705","0.731312340412613","0.790216836160797","2"
"No","1991","no migration background","inadequately","33","0.83026375697161","0.713927944263467","0.946599569679752","2"
"No","1991","no migration background","middle vocational","2911","0.751965898637504","0.738387409063348","0.76554438821166","2"
"No","1991","no migration background","higher vocational","363","0.684249633887145","0.643909046159256","0.724590221615034","2"
"No","1991","no migration background","vocational + Abi","152","0.792186131587782","0.734794528263462","0.849577734912101","2"
"No","1991","no migration background","higher education","664","0.550323088616072","0.522488489472078","0.578157687760066","2"
"No","1991","no migration background","in school","13","","","","2"
"No","1991","indirect migration background","in school","","","","","2"
"No","1991","indirect migration background","higher education","2","","","","2"
"No","1991","indirect migration background","inadequately","7","","","","2"
"No","1991","indirect migration background","general elemantary","77","0.828784930764883","0.750524000921147","0.907045860608618","2"
"No","1991","indirect migration background","higher vocational","3","","","","2"
"No","1991","indirect migration background","middle vocational","76","0.947630873527296","0.899991535990053","0.995270211064539","2"
"No","1991","indirect migration background","vocational + Abi","6","","","","2"
"No","1991","direct migration background","in school","2","","","","2"
"No","1991","direct migration background","inadequately","268","0.879511314243982","0.842917713261539","0.916104915226425","2"
"No","1991","direct migration background","general elemantary","508","0.865633872610875","0.837562181083561","0.893705564138189","2"
"No","1991","direct migration background","middle vocational","548","0.884322243385532","0.859003155454835","0.909641331316228","2"
"No","1991","direct migration background","vocational + Abi","64","0.912520440505967","0.846333292855625","0.978707588156309","2"
"No","1991","direct migration background","higher vocational","27","","","","2"
"No","1991","direct migration background","higher education","55","0.542691387696336","0.441983075123839","0.643399700268834","2"
"Yes","1991","no migration background","in school","4","","","","1"
"Yes","1991","no migration background","inadequately","7","","","","1"
"Yes","1991","no migration background","general elemantary","195","0.239235411713295","0.209783163839203","0.268687659587387","1"
"Yes","1991","no migration background","middle vocational","975","0.248034101362496","0.23445561178834","0.261612590936652","1"
"Yes","1991","no migration background","vocational + Abi","40","0.207813868412219","0.1504222650879","0.265205471736538","1"
"Yes","1991","no migration background","higher vocational","147","0.315750366112855","0.275409778384966","0.356090953840743","1"
"Yes","1991","no migration background","higher education","563","0.449676911383928","0.421842312239934","0.477511510527922","1"
"Yes","1991","direct migration background","in school","","","","","1"
"Yes","1991","direct migration background","inadequately","36","0.120488685756018","0.0838950847735746","0.157082286738461","1"
"Yes","1991","direct migration background","general elemantary","59","0.134366127389125","0.106294435861811","0.162437818916439","1"
"Yes","1991","direct migration background","middle vocational","65","0.115677756614469","0.0903586686837719","0.140996844545165","1"
"Yes","1991","direct migration background","vocational + Abi","6","","","","1"
"Yes","1991","direct migration background","higher vocational","15","","","","1"
"Yes","1991","direct migration background","higher education","39","0.457308612303664","0.356600299731166","0.558016924876161","1"
"Yes","1991","indirect migration background","in school","","","","","1"
"Yes","1991","indirect migration background","inadequately","1","","","","1"
"Yes","1991","indirect migration background","general elemantary","12","","","","1"
"Yes","1991","indirect migration background","middle vocational","8","","","","1"
"Yes","1991","indirect migration background","vocational + Abi","1","","","","1"
"Yes","1991","indirect migration background","higher vocational","1","","","","1"
"Yes","1991","indirect migration background","higher education","","","","","1"
"No","1992","no migration background","inadequately","30","0.78792636219622","0.657956561975695","0.917896162416746","2"
"No","1992","no migration background","general elemantary","561","0.780234829350705","0.750175698030189","0.810293960671221","2"
"No","1992","no migration background","higher education","606","0.538820076719921","0.510034235035825","0.567605918404017","2"
"No","1992","no migration background","middle vocational","2573","0.737566579040357","0.723059283519378","0.752073874561336","2"
"No","1992","no migration background","vocational + Abi","135","0.740718518593671","0.67615698935189","0.805280047835452","2"
"No","1992","no migration background","higher vocational","336","0.648959987946532","0.607207390018613","0.69071258587445","2"
"No","1992","no migration background","in school","10","","","","2"
"No","1992","indirect migration background","inadequately","9","","","","2"
"No","1992","indirect migration background","general elemantary","82","0.797957646157527","0.719651016145208","0.876264276169846","2"
"No","1992","indirect migration background","in school","1","","","","2"
"No","1992","indirect migration background","higher vocational","2","","","","2"
"No","1992","indirect migration background","higher education","2","","","","2"
"No","1992","indirect migration background","middle vocational","77","0.881592706354551","0.814088633521185","0.949096779187918","2"
"No","1992","indirect migration background","vocational + Abi","7","","","","2"
"No","1992","direct migration background","in school","1","","","","2"
"No","1992","direct migration background","inadequately","224","0.857192159257207","0.814416506004806","0.899967812509608","2"
"No","1992","direct migration background","general elemantary","472","0.869080526923342","0.840417344432621","0.897743709414063","2"
"No","1992","direct migration background","middle vocational","505","0.878521444084682","0.851631954703683","0.905410933465682","2"
"No","1992","direct migration background","vocational + Abi","55","0.909218339846595","0.836523159257756","0.981913520435435","2"
"No","1992","direct migration background","higher vocational","28","","","","2"
"No","1992","direct migration background","higher education","54","0.520782163539354","0.418140913474311","0.623423413604397","2"
"Yes","1992","no migration background","in school","2","","","","1"
"Yes","1992","no migration background","inadequately","8","","","","1"
"Yes","1992","no migration background","general elemantary","168","0.219765170649295","0.189706039328779","0.249824301969811","1"
"Yes","1992","no migration background","middle vocational","960","0.262433420959643","0.247926125438664","0.276940716480622","1"
"Yes","1992","no migration background","vocational + Abi","42","0.259281481406329","0.194719952164548","0.32384301064811","1"
"Yes","1992","no migration background","higher vocational","166","0.351040012053468","0.30928741412555","0.392792609981387","1"
"Yes","1992","no migration background","higher education","546","0.461179923280079","0.432394081595983","0.489965764964175","1"
"Yes","1992","direct migration background","in school","1","","","","1"
"Yes","1992","direct migration background","inadequately","33","0.142807840742793","0.100032187490392","0.185583493995194","1"
"Yes","1992","direct migration background","general elemantary","60","0.130919473076658","0.102256290585937","0.159582655567379","1"
"Yes","1992","direct migration background","middle vocational","62","0.121478555915318","0.0945890665343184","0.148368045296317","1"
"Yes","1992","direct migration background","vocational + Abi","5","","","","1"
"Yes","1992","direct migration background","higher vocational","13","","","","1"
"Yes","1992","direct migration background","higher education","37","0.479217836460646","0.376576586395603","0.581859086525689","1"
"Yes","1992","indirect migration background","in school","","","","","1"
"Yes","1992","indirect migration background","inadequately","1","","","","1"
"Yes","1992","indirect migration background","general elemantary","19","","","","1"
"Yes","1992","indirect migration background","middle vocational","11","","","","1"
"Yes","1992","indirect migration background","vocational + Abi","1","","","","1"
"Yes","1992","indirect migration background","higher vocational","2","","","","1"
"Yes","1992","indirect migration background","higher education","","","","","1"
"No","1993","no migration background","higher education","599","0.542676052723417","0.513719279892765","0.571632825554069","2"
"No","1993","no migration background","higher vocational","326","0.668525019179178","0.62601200994387","0.711038028414486","2"
"No","1993","no migration background","middle vocational","2548","0.752115361439971","0.737713559352094","0.766517163527848","2"
"No","1993","no migration background","in school","6","","","","2"
"No","1993","no migration background","inadequately","33","0.79007059372781","0.666903970898227","0.913237216557393","2"
