"pli0097_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1986","secondary school degree","Female","","","",""
"Daily","1986","college entrance qualification","Male","","","",""
"Daily","1986","college entrance qualification","Female","","","",""
"Daily","1986","Other degree","Male","","","",""
"Daily","1986","Other degree","Female","","","",""
"Daily","1986","no degree/no degree yet","Male","","","",""
"Daily","1986","no degree/no degree yet","Female","","","",""
"Min 1x per week","1986","lower secondary degree","Male","32","0.0138084234748782","0.00915232536196109","0.0184645215877954"
"Min 1x per week","1986","lower secondary degree","Female","7","","",""
"Min 1x per week","1986","secondary school degree","Male","9","","",""
"Min 1x per week","1986","secondary school degree","Female","3","","",""
"Min 1x per week","1986","college entrance qualification","Male","25","","",""
"Min 1x per week","1986","college entrance qualification","Female","7","","",""
"Min 1x per week","1986","Other degree","Male","8","","",""
"Min 1x per week","1986","Other degree","Female","1","","",""
"Min 1x per week","1986","no degree/no degree yet","Male","3","","",""
"Min 1x per week","1986","no degree/no degree yet","Female","1","","",""
"Min 1x per month","1986","lower secondary degree","Male","62","0.0280973170275463","0.0215038589920553","0.0346907750630374"
"Min 1x per month","1986","lower secondary degree","Female","26","","",""
"Min 1x per month","1986","secondary school degree","Male","10","","",""
"Min 1x per month","1986","secondary school degree","Female","11","","",""
"Min 1x per month","1986","college entrance qualification","Male","31","0.0427370787163606","0.0283759478304388","0.0570982096022825"
"Min 1x per month","1986","college entrance qualification","Female","15","","",""
"Min 1x per month","1986","Other degree","Male","5","","",""
"Min 1x per month","1986","Other degree","Female","2","","",""
"Min 1x per month","1986","no degree/no degree yet","Male","4","","",""
"Min 1x per month","1986","no degree/no degree yet","Female","1","","",""
"Rarely","1986","lower secondary degree","Male","122","0.0522586317969372","0.0433790325343796","0.0611382310594947"
"Rarely","1986","lower secondary degree","Female","62","0.0202846335973703","0.0149593332522127","0.0256099339425279"
"Rarely","1986","secondary school degree","Male","68","0.0901711318140122","0.0700702825691965","0.110271981058828"
"Rarely","1986","secondary school degree","Female","53","0.0456804641968379","0.0330455438515317","0.058315384542144"
"Rarely","1986","college entrance qualification","Male","90","0.122917260482119","0.0996043055700689","0.146230215394169"
"Rarely","1986","college entrance qualification","Female","57","0.119538628973479","0.0906957076734412","0.148381550273517"
"Rarely","1986","Other degree","Male","18","","",""
"Rarely","1986","Other degree","Female","10","","",""
"Rarely","1986","no degree/no degree yet","Male","10","","",""
"Rarely","1986","no degree/no degree yet","Female","5","","",""
"Never","1986","lower secondary degree","Male","2197","0.905835627700638","0.894182636004949","0.917488619396328"
"Never","1986","lower secondary degree","Female","2597","0.967461477963718","0.960759140123501","0.974163815803935"
"Never","1986","secondary school degree","Male","693","0.882897787501492","0.860332620385429","0.905462954617554"
"Never","1986","secondary school degree","Female","982","0.942119587948265","0.927988383792564","0.956250792103965"
"Never","1986","college entrance qualification","Male","616","0.802076216396348","0.773786576654143","0.830365856138553"
"Never","1986","college entrance qualification","Female","407","0.83413439304768","0.80106500626408","0.867203779831279"
"Never","1986","Other degree","Male","676","0.966846566518076","0.953649378021461","0.980043755014692"
"Never","1986","Other degree","Female","444","0.977109750255445","0.963398188310594","0.990821312200295"
"Never","1986","no degree/no degree yet","Male","463","0.962062927891286","0.944972178054812","0.97915367772776"
"Never","1986","no degree/no degree yet","Female","537","0.979974471809032","0.968202532555841","0.991746411062223"
"Daily","1987","lower secondary degree","Male","","","",""
"Daily","1987","lower secondary degree","Female","","","",""
"Daily","1987","secondary school degree","Male","","","",""
"Daily","1987","secondary school degree","Female","","","",""
"Daily","1987","college entrance qualification","Male","","","",""
"Daily","1987","college entrance qualification","Female","","","",""
"Daily","1987","Other degree","Male","","","",""
"Daily","1987","Other degree","Female","","","",""
"Daily","1987","no degree/no degree yet","Male","","","",""
"Daily","1987","no degree/no degree yet","Female","","","",""
"Min 1x per week","1987","lower secondary degree","Male","","","",""
"Min 1x per week","1987","lower secondary degree","Female","","","",""
"Min 1x per week","1987","secondary school degree","Male","","","",""
"Min 1x per week","1987","secondary school degree","Female","","","",""
"Min 1x per week","1987","college entrance qualification","Male","","","",""
"Min 1x per week","1987","college entrance qualification","Female","","","",""
"Min 1x per week","1987","Other degree","Male","","","",""
"Min 1x per week","1987","Other degree","Female","","","",""
"Min 1x per week","1987","no degree/no degree yet","Male","","","",""
"Min 1x per week","1987","no degree/no degree yet","Female","","","",""
"Min 1x per month","1987","lower secondary degree","Male","","","",""
"Min 1x per month","1987","lower secondary degree","Female","","","",""
"Min 1x per month","1987","secondary school degree","Male","","","",""
"Min 1x per month","1987","secondary school degree","Female","","","",""
"Min 1x per month","1987","college entrance qualification","Male","","","",""
"Min 1x per month","1987","college entrance qualification","Female","","","",""
"Min 1x per month","1987","Other degree","Male","","","",""
"Min 1x per month","1987","Other degree","Female","","","",""
"Min 1x per month","1987","no degree/no degree yet","Male","","","",""
"Min 1x per month","1987","no degree/no degree yet","Female","","","",""
"Rarely","1987","lower secondary degree","Male","","","",""
"Rarely","1987","lower secondary degree","Female","","","",""
"Rarely","1987","secondary school degree","Male","","","",""
"Rarely","1987","secondary school degree","Female","","","",""
"Rarely","1987","college entrance qualification","Male","","","",""
"Rarely","1987","college entrance qualification","Female","","","",""
"Rarely","1987","Other degree","Male","","","",""
"Rarely","1987","Other degree","Female","","","",""
"Rarely","1987","no degree/no degree yet","Male","","","",""
"Rarely","1987","no degree/no degree yet","Female","","","",""
"Never","1987","lower secondary degree","Male","","","",""
"Never","1987","lower secondary degree","Female","","","",""
"Never","1987","secondary school degree","Male","","","",""
"Never","1987","secondary school degree","Female","","","",""
"Never","1987","college entrance qualification","Male","","","",""
"Never","1987","college entrance qualification","Female","","","",""
"Never","1987","Other degree","Male","","","",""
"Never","1987","Other degree","Female","","","",""
"Never","1987","no degree/no degree yet","Male","","","",""
"Never","1987","no degree/no degree yet","Female","","","",""
"Daily","1988","lower secondary degree","Male","","","",""
"Daily","1988","lower secondary degree","Female","","","",""
"Daily","1988","secondary school degree","Male","","","",""
"Daily","1988","secondary school degree","Female","","","",""
"Daily","1988","college entrance qualification","Male","","","",""
"Daily","1988","college entrance qualification","Female","","","",""
"Daily","1988","Other degree","Male","","","",""
"Daily","1988","Other degree","Female","","","",""
"Daily","1988","no degree/no degree yet","Male","","","",""
"Daily","1988","no degree/no degree yet","Female","","","",""
"Min 1x per week","1988","lower secondary degree","Male","22","","",""
"Min 1x per week","1988","lower secondary degree","Female","6","","",""
"Min 1x per week","1988","secondary school degree","Male","10","","",""
"Min 1x per week","1988","secondary school degree","Female","2","","",""
"Min 1x per week","1988","college entrance qualification","Male","18","","",""
"Min 1x per week","1988","college entrance qualification","Female","5","","",""
"Min 1x per week","1988","Other degree","Male","4","","",""
"Min 1x per week","1988","Other degree","Female","","","",""
"Min 1x per week","1988","no degree/no degree yet","Male","2","","",""
"Min 1x per week","1988","no degree/no degree yet","Female","","","",""
"Min 1x per month","1988","lower secondary degree","Male","42","0.0196115906735655","0.0139631562965333","0.0252600250505977"
"Min 1x per month","1988","lower secondary degree","Female","12","","",""
"Min 1x per month","1988","secondary school degree","Male","11","","",""
"Min 1x per month","1988","secondary school degree","Female","12","","",""
"Min 1x per month","1988","college entrance qualification","Male","32","0.0460655369228363","0.0308588712026171","0.0612722026430555"
"Min 1x per month","1988","college entrance qualification","Female","8","","",""
"Min 1x per month","1988","Other degree","Male","5","","",""
"Min 1x per month","1988","Other degree","Female","1","","",""
"Min 1x per month","1988","no degree/no degree yet","Male","1","","",""
"Min 1x per month","1988","no degree/no degree yet","Female","","","",""
"Rarely","1988","lower secondary degree","Male","124","0.055981846600005","0.0466173081709983","0.0653463850290117"
"Rarely","1988","lower secondary degree","Female","61","0.0221072986829306","0.0163575122302865","0.0278570851355747"
"Rarely","1988","secondary school degree","Male","71","0.107771657223066","0.0853078771512105","0.130235437294921"
"Rarely","1988","secondary school degree","Female","43","0.043029977086671","0.0305889175790728","0.0554710365942693"
"Rarely","1988","college entrance qualification","Male","109","0.141078844171985","0.115826932744236","0.166330755599734"
"Rarely","1988","college entrance qualification","Female","55","0.115767732095368","0.086107723545115","0.145427740645621"
"Rarely","1988","Other degree","Male","19","","",""
"Rarely","1988","Other degree","Female","3","","",""
"Rarely","1988","no degree/no degree yet","Male","8","","",""
"Rarely","1988","no degree/no degree yet","Female","10","","",""
"Never","1988","lower secondary degree","Male","2127","0.914901478417179","0.90353513520569","0.926267821628667"
"Never","1988","lower secondary degree","Female","2433","0.97144355334057","0.964930282437929","0.97795682424321"
"Never","1988","secondary school degree","Male","640","0.864193181914645","0.839375640501376","0.889010723327914"
"Never","1988","secondary school degree","Female","965","0.943705553923333","0.929574528632076","0.957836579214589"
"Never","1988","college entrance qualification","Male","571","0.785676838358133","0.755909281640528","0.815444395075737"
"Never","1988","college entrance qualification","Female","379","0.850242346565489","0.817162749692893","0.883321943438086"
"Never","1988","Other degree","Male","608","0.948433184316256","0.931245868362853","0.965620500269659"
"Never","1988","Other degree","Female","422","0.993671654855687","0.986141397467818","1.00120191224356"
"Never","1988","no degree/no degree yet","Male","383","0.961721065581074","0.942775635684376","0.980666495477772"
"Never","1988","no degree/no degree yet","Female","501","0.969353205202278","0.954409055945019","0.984297354459536"
"Daily","1989","lower secondary degree","Male","","","",""
"Daily","1989","lower secondary degree","Female","","","",""
"Daily","1989","secondary school degree","Male","","","",""
"Daily","1989","secondary school degree","Female","","","",""
"Daily","1989","college entrance qualification","Male","","","",""
"Daily","1989","college entrance qualification","Female","","","",""
"Daily","1989","Other degree","Male","","","",""
"Daily","1989","Other degree","Female","","","",""
"Daily","1989","no degree/no degree yet","Male","","","",""
"Daily","1989","no degree/no degree yet","Female","","","",""
"Min 1x per week","1989","lower secondary degree","Male","","","",""
"Min 1x per week","1989","lower secondary degree","Female","","","",""
"Min 1x per week","1989","secondary school degree","Male","","","",""
"Min 1x per week","1989","secondary school degree","Female","","","",""
"Min 1x per week","1989","college entrance qualification","Male","","","",""
"Min 1x per week","1989","college entrance qualification","Female","","","",""
"Min 1x per week","1989","Other degree","Male","","","",""
"Min 1x per week","1989","Other degree","Female","","","",""
"Min 1x per week","1989","no degree/no degree yet","Male","","","",""
"Min 1x per week","1989","no degree/no degree yet","Female","","","",""
"Min 1x per month","1989","lower secondary degree","Male","","","",""
"Min 1x per month","1989","lower secondary degree","Female","","","",""
"Min 1x per month","1989","secondary school degree","Male","","","",""
"Min 1x per month","1989","secondary school degree","Female","","","",""
"Min 1x per month","1989","college entrance qualification","Male","","","",""
"Min 1x per month","1989","college entrance qualification","Female","","","",""
"Min 1x per month","1989","Other degree","Male","","","",""
"Min 1x per month","1989","Other degree","Female","","","",""
"Min 1x per month","1989","no degree/no degree yet","Male","","","",""
"Min 1x per month","1989","no degree/no degree yet","Female","","","",""
"Rarely","1989","lower secondary degree","Male","","","",""
"Rarely","1989","lower secondary degree","Female","","","",""
"Rarely","1989","secondary school degree","Male","","","",""
"Rarely","1989","secondary school degree","Female","","","",""
"Rarely","1989","college entrance qualification","Male","","","",""
"Rarely","1989","college entrance qualification","Female","","","",""
"Rarely","1989","Other degree","Male","","","",""
"Rarely","1989","Other degree","Female","","","",""
"Rarely","1989","no degree/no degree yet","Male","","","",""
"Rarely","1989","no degree/no degree yet","Female","","","",""
"Never","1989","lower secondary degree","Male","","","",""
"Never","1989","lower secondary degree","Female","","","",""
"Never","1989","secondary school degree","Male","","","",""
"Never","1989","secondary school degree","Female","","","",""
"Never","1989","college entrance qualification","Male","","","",""
"Never","1989","college entrance qualification","Female","","","",""
"Never","1989","Other degree","Male","","","",""
"Never","1989","Other degree","Female","","","",""
"Never","1989","no degree/no degree yet","Male","","","",""
"Never","1989","no degree/no degree yet","Female","","","",""
"Daily","1990","lower secondary degree","Male","8","","",""
"Daily","1990","lower secondary degree","Female","4","","",""
"Daily","1990","secondary school degree","Male","3","","",""
"Daily","1990","secondary school degree","Female","1","","",""
"Daily","1990","college entrance qualification","Male","3","","",""
"Daily","1990","college entrance qualification","Female","2","","",""
"Daily","1990","Other degree","Male","1","","",""
"Daily","1990","Other degree","Female","","","",""
"Daily","1990","no degree/no degree yet","Male","1","","",""
"Daily","1990","no degree/no degree yet","Female","1","","",""
"Min 1x per week","1990","lower secondary degree","Male","39","0.0124370763934903","0.00841388817524328","0.0164602646117373"
"Min 1x per week","1990","lower secondary degree","Female","12","","",""
"Min 1x per week","1990","secondary school degree","Male","42","0.02128372009822","0.0142985281834555","0.0282689120129844"
"Min 1x per week","1990","secondary school degree","Female","21","","",""
"Min 1x per week","1990","college entrance qualification","Male","36","0.0321898409640707","0.0214626521435194","0.042917029784622"
"Min 1x per week","1990","college entrance qualification","Female","14","","",""
"Min 1x per week","1990","Other degree","Male","2","","",""
"Min 1x per week","1990","Other degree","Female","2","","",""
"Min 1x per week","1990","no degree/no degree yet","Male","4","","",""
"Min 1x per week","1990","no degree/no degree yet","Female","1","","",""
"Min 1x per month","1990","lower secondary degree","Male","111","0.0363122291369562","0.0295213900376359","0.0431030682362765"
"Min 1x per month","1990","lower secondary degree","Female","49","0.0119794759431263","0.00827041258421699","0.0156885393020357"
"Min 1x per month","1990","secondary school degree","Male","77","0.0401672291961553","0.0306642475385535","0.0496702108537571"
"Min 1x per month","1990","secondary school degree","Female","70","0.0308983130648412","0.0233726427518861","0.0384239833777963"
"Min 1x per month","1990","college entrance qualification","Male","75","0.0738533548622458","0.0579585055698924","0.0897482041545992"
"Min 1x per month","1990","college entrance qualification","Female","36","0.0532083110381398","0.036412422323468","0.0700041997528116"
"Min 1x per month","1990","Other degree","Male","8","","",""
"Min 1x per month","1990","Other degree","Female","5","","",""
"Min 1x per month","1990","no degree/no degree yet","Male","6","","",""
"Min 1x per month","1990","no degree/no degree yet","Female","1","","",""
"Rarely","1990","lower secondary degree","Male","361","0.136938749413017","0.124458800737635","0.149418698088399"
"Rarely","1990","lower secondary degree","Female","257","0.0778576986830174","0.0687226237764724","0.0869927735895623"
"Rarely","1990","secondary school degree","Male","229","0.160379216820434","0.142619264265038","0.17813916937583"
"Rarely","1990","secondary school degree","Female","235","0.117475786727179","0.103472479239912","0.131479094214446"
"Rarely","1990","college entrance qualification","Male","227","0.212247500100745","0.187396286153676","0.237098714047814"
"Rarely","1990","college entrance qualification","Female","123","0.188578558932552","0.159306354524674","0.217850763340431"
"Rarely","1990","Other degree","Male","40","0.066518605629238","0.0469827478960045","0.0860544633624715"
"Rarely","1990","Other degree","Female","24","","",""
"Rarely","1990","no degree/no degree yet","Male","24","","",""
"Rarely","1990","no degree/no degree yet","Female","14","","",""
"Never","1990","lower secondary degree","Male","2396","0.8111400948778","0.796931647287278","0.825348542468322"
"Never","1990","lower secondary degree","Female","2983","0.904534146075296","0.894515734417227","0.914552557733365"
"Never","1990","secondary school degree","Male","1289","0.775381904779951","0.755183997796803","0.795579811763099"
"Never","1990","secondary school degree","Female","1704","0.844530728971611","0.828771929159225","0.860289528783996"
"Never","1990","college entrance qualification","Male","699","0.679121811191008","0.650750764428052","0.707492857953964"
"Never","1990","college entrance qualification","Female","511","0.731247113215656","0.6980733542821","0.764420872149211"
"Never","1990","Other degree","Male","574","0.914231467182294","0.892278149831067","0.936184784533521"
"Never","1990","Other degree","Female","409","0.920546442261237","0.89527667284592","0.945816211676554"
"Never","1990","no degree/no degree yet","Male","369","0.88842281960364","0.857721647782136","0.919123991425143"
"Never","1990","no degree/no degree yet","Female","466","0.958154178459106","0.940296776522884","0.976011580395328"
"Daily","1991","lower secondary degree","Male","","","",""
"Daily","1991","lower secondary degree","Female","","","",""
"Daily","1991","secondary school degree","Male","","","",""
"Daily","1991","secondary school degree","Female","","","",""
"Daily","1991","college entrance qualification","Male","","","",""
"Daily","1991","college entrance qualification","Female","","","",""
"Daily","1991","Other degree","Male","","","",""
"Daily","1991","Other degree","Female","","","",""
"Daily","1991","no degree/no degree yet","Male","","","",""
"Daily","1991","no degree/no degree yet","Female","","","",""
"Min 1x per week","1991","lower secondary degree","Male","","","",""
"Min 1x per week","1991","lower secondary degree","Female","","","",""
"Min 1x per week","1991","secondary school degree","Male","","","",""
"Min 1x per week","1991","secondary school degree","Female","","","",""
"Min 1x per week","1991","college entrance qualification","Male","","","",""
"Min 1x per week","1991","college entrance qualification","Female","","","",""
"Min 1x per week","1991","Other degree","Male","","","",""
"Min 1x per week","1991","Other degree","Female","","","",""
"Min 1x per week","1991","no degree/no degree yet","Male","","","",""
"Min 1x per week","1991","no degree/no degree yet","Female","","","",""
"Min 1x per month","1991","lower secondary degree","Male","","","",""
"Min 1x per month","1991","lower secondary degree","Female","","","",""
"Min 1x per month","1991","secondary school degree","Male","","","",""
"Min 1x per month","1991","secondary school degree","Female","","","",""
"Min 1x per month","1991","college entrance qualification","Male","","","",""
"Min 1x per month","1991","college entrance qualification","Female","","","",""
"Min 1x per month","1991","Other degree","Male","","","",""
"Min 1x per month","1991","Other degree","Female","","","",""
"Min 1x per month","1991","no degree/no degree yet","Male","","","",""
"Min 1x per month","1991","no degree/no degree yet","Female","","","",""
"Rarely","1991","lower secondary degree","Male","","","",""
"Rarely","1991","lower secondary degree","Female","","","",""
"Rarely","1991","secondary school degree","Male","","","",""
"Rarely","1991","secondary school degree","Female","","","",""
"Rarely","1991","college entrance qualification","Male","","","",""
"Rarely","1991","college entrance qualification","Female","","","",""
"Rarely","1991","Other degree","Male","","","",""
"Rarely","1991","Other degree","Female","","","",""
"Rarely","1991","no degree/no degree yet","Male","","","",""
"Rarely","1991","no degree/no degree yet","Female","","","",""
"Never","1991","lower secondary degree","Male","","","",""
"Never","1991","lower secondary degree","Female","","","",""
"Never","1991","secondary school degree","Male","","","",""
"Never","1991","secondary school degree","Female","","","",""
"Never","1991","college entrance qualification","Male","","","",""
"Never","1991","college entrance qualification","Female","","","",""
"Never","1991","Other degree","Male","","","",""
"Never","1991","Other degree","Female","","","",""
"Never","1991","no degree/no degree yet","Male","","","",""
"Never","1991","no degree/no degree yet","Female","","","",""
"Daily","1992","lower secondary degree","Male","","","",""
"Daily","1992","lower secondary degree","Female","","","",""
"Daily","1992","secondary school degree","Male","","","",""
"Daily","1992","secondary school degree","Female","","","",""
"Daily","1992","college entrance qualification","Male","","","",""
"Daily","1992","college entrance qualification","Female","","","",""
"Daily","1992","Other degree","Male","","","",""
"Daily","1992","Other degree","Female","","","",""
"Daily","1992","no degree/no degree yet","Male","","","",""
"Daily","1992","no degree/no degree yet","Female","","","",""
"Min 1x per week","1992","lower secondary degree","Male","28","","",""
"Min 1x per week","1992","lower secondary degree","Female","4","","",""
"Min 1x per week","1992","secondary school degree","Male","22","","",""
"Min 1x per week","1992","secondary school degree","Female","8","","",""
"Min 1x per week","1992","college entrance qualification","Male","33","0.0287793125185341","0.0185343719338662","0.039024253103202"
"Min 1x per week","1992","college entrance qualification","Female","11","","",""
"Min 1x per week","1992","Other degree","Male","2","","",""
"Min 1x per week","1992","Other degree","Female","","","",""
"Min 1x per week","1992","no degree/no degree yet","Male","3","","",""
"Min 1x per week","1992","no degree/no degree yet","Female","","","",""
"Min 1x per month","1992","lower secondary degree","Male","55","0.0200535801887012","0.0148123063391838","0.0252948540382186"
"Min 1x per month","1992","lower secondary degree","Female","34","0.0137302270949596","0.00957440135131707","0.0178860528386022"
"Min 1x per month","1992","secondary school degree","Male","44","0.0288465628647321","0.0205435138443563","0.037149611885108"
"Min 1x per month","1992","secondary school degree","Female","40","0.0198715212379275","0.013765877404954","0.025977165070901"
"Min 1x per month","1992","college entrance qualification","Male","38","0.0429204375315738","0.0305005871052448","0.0553402879579028"
"Min 1x per month","1992","college entrance qualification","Female","17","","",""
"Min 1x per month","1992","Other degree","Male","1","","",""
"Min 1x per month","1992","Other degree","Female","1","","",""
"Min 1x per month","1992","no degree/no degree yet","Male","2","","",""
"Min 1x per month","1992","no degree/no degree yet","Female","","","",""
"Rarely","1992","lower secondary degree","Male","164","0.0588701098736288","0.0500695169405281","0.0676707028067295"
"Rarely","1992","lower secondary degree","Female","94","0.0330671266595681","0.0266813018558507","0.0394529514632855"
"Rarely","1992","secondary school degree","Male","128","0.0856567186722607","0.0717737611378255","0.099539676206696"
"Rarely","1992","secondary school degree","Female","122","0.0526073406813311","0.0428403092175852","0.062374372145077"
"Rarely","1992","college entrance qualification","Male","107","0.102881181631976","0.0842644589548709","0.121497904309081"
"Rarely","1992","college entrance qualification","Female","54","0.087160007620539","0.0663974460884538","0.107922569152624"
"Rarely","1992","Other degree","Male","24","","",""
"Rarely","1992","Other degree","Female","8","","",""
"Rarely","1992","no degree/no degree yet","Male","7","","",""
"Rarely","1992","no degree/no degree yet","Female","12","","",""
"Never","1992","lower secondary degree","Male","2501","0.911717915430099","0.901110581015106","0.922325249845091"
"Never","1992","lower secondary degree","Female","2880","0.951948770340199","0.944310770431203","0.959586770249195"
"Never","1992","secondary school degree","Male","1367","0.872623008131147","0.856084152222137","0.889161864040157"
"Never","1992","secondary school degree","Female","1837","0.924407429251845","0.912842428219385","0.935972430284304"
"Never","1992","college entrance qualification","Male","845","0.825419068317916","0.802157128579741","0.848681008056092"
"Never","1992","college entrance qualification","Female","627","0.878661374459862","0.854626864222083","0.902695884697641"
"Never","1992","Other degree","Male","548","0.95564810060768","0.938820612942757","0.972475588272604"
"Never","1992","Other degree","Female","410","0.965491061060835","0.948013492631186","0.982968629490483"
"Never","1992","no degree/no degree yet","Male","350","0.955080016759081","0.933743010838676","0.976417022679487"
"Never","1992","no degree/no degree yet","Female","474","0.962792068745567","0.94596478684144","0.979619350649694"
"Daily","1993","lower secondary degree","Male","","","",""
"Daily","1993","lower secondary degree","Female","","","",""
"Daily","1993","secondary school degree","Male","","","",""
"Daily","1993","secondary school degree","Female","","","",""
"Daily","1993","college entrance qualification","Male","","","",""
"Daily","1993","college entrance qualification","Female","","","",""
"Daily","1993","Other degree","Male","","","",""
"Daily","1993","Other degree","Female","","","",""
"Daily","1993","no degree/no degree yet","Male","","","",""
"Daily","1993","no degree/no degree yet","Female","","","",""
"Min 1x per week","1993","lower secondary degree","Male","","","",""
"Min 1x per week","1993","lower secondary degree","Female","","","",""
"Min 1x per week","1993","secondary school degree","Male","","","",""
"Min 1x per week","1993","secondary school degree","Female","","","",""
"Min 1x per week","1993","college entrance qualification","Male","","","",""
"Min 1x per week","1993","college entrance qualification","Female","","","",""
"Min 1x per week","1993","Other degree","Male","","","",""
"Min 1x per week","1993","Other degree","Female","","","",""
"Min 1x per week","1993","no degree/no degree yet","Male","","","",""
"Min 1x per week","1993","no degree/no degree yet","Female","","","",""
"Min 1x per month","1993","lower secondary degree","Male","","","",""
"Min 1x per month","1993","lower secondary degree","Female","","","",""
"Min 1x per month","1993","secondary school degree","Male","","","",""
"Min 1x per month","1993","secondary school degree","Female","","","",""
"Min 1x per month","1993","college entrance qualification","Male","","","",""
"Min 1x per month","1993","college entrance qualification","Female","","","",""
"Min 1x per month","1993","Other degree","Male","","","",""
"Min 1x per month","1993","Other degree","Female","","","",""
"Min 1x per month","1993","no degree/no degree yet","Male","","","",""
"Min 1x per month","1993","no degree/no degree yet","Female","","","",""
"Rarely","1993","lower secondary degree","Male","","","",""
"Rarely","1993","lower secondary degree","Female","","","",""
"Rarely","1993","secondary school degree","Male","","","",""
"Rarely","1993","secondary school degree","Female","","","",""
"Rarely","1993","college entrance qualification","Male","","","",""
"Rarely","1993","college entrance qualification","Female","","","",""
"Rarely","1993","Other degree","Male","","","",""
"Rarely","1993","Other degree","Female","","","",""
"Rarely","1993","no degree/no degree yet","Male","","","",""
"Rarely","1993","no degree/no degree yet","Female","","","",""
"Never","1993","lower secondary degree","Male","","","",""
"Never","1993","lower secondary degree","Female","","","",""
"Never","1993","secondary school degree","Male","","","",""
"Never","1993","secondary school degree","Female","","","",""
"Never","1993","college entrance qualification","Male","","","",""
"Never","1993","college entrance qualification","Female","","","",""
"Never","1993","Other degree","Male","","","",""
"Never","1993","Other degree","Female","","","",""
"Never","1993","no degree/no degree yet","Male","","","",""
"Never","1993","no degree/no degree yet","Female","","","",""
"Daily","1994","lower secondary degree","Male","","","",""
"Daily","1994","lower secondary degree","Female","","","",""
"Daily","1994","secondary school degree","Male","","","",""
