"pli0097_h","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1987","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1987","no migration background","West Germany","","","","","2"
"Min 1x per week","1987","no migration background","East Germany","","","","","2"
"Min 1x per week","1987","direct migration background","West Germany","","","","","2"
"Min 1x per week","1987","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1987","direct migration background","East Germany","","","","","2"
"Min 1x per week","1987","indirect migration background","East Germany","","","","","2"
"Never","1987","no migration background","West Germany","","","","","5"
"Never","1987","no migration background","East Germany","","","","","5"
"Never","1987","direct migration background","West Germany","","","","","5"
"Never","1987","direct migration background","East Germany","","","","","5"
"Never","1987","indirect migration background","West Germany","","","","","5"
"Never","1987","indirect migration background","East Germany","","","","","5"
"Rarely","1987","no migration background","West Germany","","","","","4"
"Rarely","1987","direct migration background","West Germany","","","","","4"
"Rarely","1987","no migration background","East Germany","","","","","4"
"Rarely","1987","indirect migration background","West Germany","","","","","4"
"Rarely","1987","direct migration background","East Germany","","","","","4"
"Rarely","1987","indirect migration background","East Germany","","","","","4"
"Daily","1988","no migration background","West Germany","","","","","1"
"Daily","1988","no migration background","East Germany","","","","","1"
"Daily","1988","direct migration background","West Germany","","","","","1"
"Daily","1988","direct migration background","East Germany","","","","","1"
"Daily","1988","indirect migration background","West Germany","","","","","1"
"Daily","1988","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1988","direct migration background","West Germany","11","","","","3"
"Min 1x per month","1988","no migration background","West Germany","109","0.0154012591081765","0.0125220655233286","0.0182804526930244","3"
"Min 1x per month","1988","no migration background","East Germany","","","","","3"
"Min 1x per month","1988","indirect migration background","West Germany","4","","","","3"
"Min 1x per month","1988","direct migration background","East Germany","","","","","3"
"Min 1x per month","1988","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1988","no migration background","West Germany","56","0.00760734492226023","0.00557582334767096","0.00963886649684948","2"
"Min 1x per week","1988","direct migration background","West Germany","13","","","","2"
"Min 1x per week","1988","no migration background","East Germany","","","","","2"
"Min 1x per week","1988","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1988","direct migration background","East Germany","","","","","2"
"Min 1x per week","1988","indirect migration background","East Germany","","","","","2"
"Never","1988","no migration background","West Germany","6425","0.917877892896682","0.911458623363697","0.924297162429667","5"
"Never","1988","no migration background","East Germany","","","","","5"
"Never","1988","direct migration background","West Germany","2578","0.951033831578525","0.942843855609227","0.959223807547823","5"
"Never","1988","direct migration background","East Germany","","","","","5"
"Never","1988","indirect migration background","West Germany","210","0.914667080022737","0.877833682351432","0.951500477694041","5"
"Never","1988","indirect migration background","East Germany","","","","","5"
"Rarely","1988","no migration background","West Germany","437","0.0591135030728812","0.0535993974548749","0.0646276086908876","4"
"Rarely","1988","direct migration background","West Germany","65","0.0378956820752798","0.0306489445901824","0.0451424195603773","4"
"Rarely","1988","no migration background","East Germany","","","","","4"
"Rarely","1988","direct migration background","East Germany","","","","","4"
"Rarely","1988","indirect migration background","West Germany","7","","","","4"
"Rarely","1988","indirect migration background","East Germany","","","","","4"
"Daily","1989","no migration background","West Germany","","","","","1"
"Daily","1989","no migration background","East Germany","","","","","1"
"Daily","1989","direct migration background","West Germany","","","","","1"
"Daily","1989","direct migration background","East Germany","","","","","1"
"Daily","1989","indirect migration background","West Germany","","","","","1"
"Daily","1989","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1989","no migration background","West Germany","","","","","3"
"Min 1x per month","1989","direct migration background","West Germany","","","","","3"
"Min 1x per month","1989","no migration background","East Germany","","","","","3"
"Min 1x per month","1989","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1989","direct migration background","East Germany","","","","","3"
"Min 1x per month","1989","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1989","no migration background","East Germany","","","","","2"
"Min 1x per week","1989","no migration background","West Germany","","","","","2"
"Min 1x per week","1989","direct migration background","West Germany","","","","","2"
"Min 1x per week","1989","direct migration background","East Germany","","","","","2"
"Min 1x per week","1989","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1989","indirect migration background","East Germany","","","","","2"
"Never","1989","no migration background","West Germany","","","","","5"
"Never","1989","no migration background","East Germany","","","","","5"
"Never","1989","direct migration background","West Germany","","","","","5"
"Never","1989","direct migration background","East Germany","","","","","5"
"Never","1989","indirect migration background","West Germany","","","","","5"
"Never","1989","indirect migration background","East Germany","","","","","5"
"Rarely","1989","no migration background","West Germany","","","","","4"
"Rarely","1989","direct migration background","West Germany","","","","","4"
"Rarely","1989","no migration background","East Germany","","","","","4"
"Rarely","1989","indirect migration background","West Germany","","","","","4"
"Rarely","1989","direct migration background","East Germany","","","","","4"
"Rarely","1989","indirect migration background","East Germany","","","","","4"
"Daily","1990","no migration background","West Germany","20","","","","1"
"Daily","1990","no migration background","East Germany","","","","","1"
"Daily","1990","direct migration background","West Germany","4","","","","1"
"Daily","1990","direct migration background","East Germany","","","","","1"
"Daily","1990","indirect migration background","West Germany","","","","","1"
"Daily","1990","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1990","no migration background","West Germany","181","0.0279412124387198","0.0239790086259585","0.0319034162514811","3"
"Min 1x per month","1990","no migration background","East Germany","216","0.0501582221066568","0.0435397068522955","0.0567767373610182","3"
"Min 1x per month","1990","direct migration background","West Germany","29","","","","3"
"Min 1x per month","1990","direct migration background","East Germany","10","","","","3"
"Min 1x per month","1990","indirect migration background","West Germany","3","","","","3"
"Min 1x per month","1990","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1990","no migration background","West Germany","70","0.0106076282401813","0.00814464562288749","0.0130706108574751","2"
"Min 1x per week","1990","no migration background","East Germany","86","0.0191573523976055","0.015000818872307","0.023313885922904","2"
"Min 1x per week","1990","direct migration background","West Germany","11","","","","2"
"Min 1x per week","1990","direct migration background","East Germany","6","","","","2"
"Min 1x per week","1990","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1990","indirect migration background","East Germany","","","","","2"
"Never","1990","no migration background","West Germany","5426","0.819303202185023","0.810052696447177","0.82855370792287","5"
"Never","1990","no migration background","East Germany","3440","0.835798970692727","0.824565790467064","0.847032150918391","5"
"Never","1990","direct migration background","West Germany","2343","0.898854450442213","0.887116907749725","0.910591993134701","5"
"Never","1990","direct migration background","East Germany","113","0.863974345856444","0.80593045364718","0.922018238065708","5"
"Never","1990","indirect migration background","West Germany","271","0.935918144138101","0.907876675559065","0.963959612717137","5"
"Never","1990","indirect migration background","East Germany","2","","","","5"
"Rarely","1990","no migration background","West Germany","949","0.139406535149273","0.131079152695117","0.147733917603429","4"
"Rarely","1990","no migration background","East Germany","436","0.0948854548030104","0.0859992674188429","0.103771642187178","4"
"Rarely","1990","direct migration background","West Germany","148","0.0778940734424123","0.0674612532203231","0.0883268936645015","4"
"Rarely","1990","indirect migration background","West Germany","19","","","","4"
"Rarely","1990","direct migration background","East Germany","5","","","","4"
"Rarely","1990","indirect migration background","East Germany","","","","","4"
"Daily","1991","no migration background","West Germany","","","","","1"
"Daily","1991","no migration background","East Germany","","","","","1"
"Daily","1991","direct migration background","West Germany","","","","","1"
"Daily","1991","direct migration background","East Germany","","","","","1"
"Daily","1991","indirect migration background","West Germany","","","","","1"
"Daily","1991","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1991","no migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","West Germany","","","","","3"
"Min 1x per month","1991","no migration background","East Germany","","","","","3"
"Min 1x per month","1991","direct migration background","East Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1991","no migration background","East Germany","","","","","2"
"Min 1x per week","1991","no migration background","West Germany","","","","","2"
"Min 1x per week","1991","direct migration background","West Germany","","","","","2"
"Min 1x per week","1991","direct migration background","East Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","East Germany","","","","","2"
"Never","1991","no migration background","West Germany","","","","","5"
"Never","1991","no migration background","East Germany","","","","","5"
"Never","1991","direct migration background","West Germany","","","","","5"
"Never","1991","direct migration background","East Germany","","","","","5"
"Never","1991","indirect migration background","West Germany","","","","","5"
"Never","1991","indirect migration background","East Germany","","","","","5"
"Rarely","1991","no migration background","West Germany","","","","","4"
"Rarely","1991","no migration background","East Germany","","","","","4"
"Rarely","1991","direct migration background","West Germany","","","","","4"
"Rarely","1991","indirect migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","East Germany","","","","","4"
"Rarely","1991","indirect migration background","East Germany","","","","","4"
"Daily","1992","no migration background","West Germany","","","","","1"
"Daily","1992","no migration background","East Germany","","","","","1"
"Daily","1992","direct migration background","West Germany","","","","","1"
"Daily","1992","direct migration background","East Germany","","","","","1"
"Daily","1992","indirect migration background","West Germany","","","","","1"
"Daily","1992","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1992","no migration background","West Germany","125","0.0209792278889793","0.0174873978671901","0.0244710579107685","3"
"Min 1x per month","1992","direct migration background","West Germany","8","","","","3"
"Min 1x per month","1992","no migration background","East Germany","93","0.0235065925203317","0.0186786797173678","0.0283345053232956","3"
"Min 1x per month","1992","indirect migration background","West Germany","3","","","","3"
"Min 1x per month","1992","direct migration background","East Germany","3","","","","3"
"Min 1x per month","1992","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1992","no migration background","East Germany","44","0.0105275930254388","0.00727525027269359","0.013779935778184","2"
"Min 1x per week","1992","no migration background","West Germany","59","0.00839058830891764","0.00616815407881262","0.0106130225390227","2"
"Min 1x per week","1992","direct migration background","West Germany","6","","","","2"
"Min 1x per week","1992","direct migration background","East Germany","2","","","","2"
"Min 1x per week","1992","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","East Germany","","","","","2"
"Never","1992","no migration background","West Germany","5895","0.908909354812507","0.901898684134589","0.915920025490424","5"
"Never","1992","no migration background","East Germany","3421","0.912781735768419","0.903790547101322","0.921772924435516","5"
"Never","1992","direct migration background","West Germany","2277","0.951628121657237","0.942999401314249","0.960256842000225","5"
"Never","1992","direct migration background","East Germany","127","0.902167459924895","0.853474596279917","0.950860323569872","5"
"Never","1992","indirect migration background","West Germany","371","0.918707974502386","0.89168926939716","0.945726679607613","5"
"Never","1992","indirect migration background","East Germany","6","","","","5"
"Rarely","1992","no migration background","West Germany","392","0.0617208289895965","0.0558574994447834","0.0675841585344095","4"
"Rarely","1992","direct migration background","West Germany","84","0.0437766147917672","0.0355481834116888","0.0520050461718456","4"
"Rarely","1992","no migration background","East Germany","225","0.0531840786858102","0.046033297041603","0.0603348603300173","4"
"Rarely","1992","indirect migration background","West Germany","19","","","","4"
"Rarely","1992","direct migration background","East Germany","11","","","","4"
"Rarely","1992","indirect migration background","East Germany","3","","","","4"
"Daily","1993","no migration background","West Germany","","","","","1"
"Daily","1993","no migration background","East Germany","","","","","1"
"Daily","1993","direct migration background","West Germany","","","","","1"
"Daily","1993","direct migration background","East Germany","","","","","1"
"Daily","1993","indirect migration background","West Germany","","","","","1"
"Daily","1993","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1993","no migration background","West Germany","","","","","3"
"Min 1x per month","1993","no migration background","East Germany","","","","","3"
"Min 1x per month","1993","direct migration background","West Germany","","","","","3"
"Min 1x per month","1993","direct migration background","East Germany","","","","","3"
"Min 1x per month","1993","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1993","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1993","no migration background","West Germany","","","","","2"
"Min 1x per week","1993","no migration background","East Germany","","","","","2"
"Min 1x per week","1993","direct migration background","West Germany","","","","","2"
"Min 1x per week","1993","direct migration background","East Germany","","","","","2"
"Min 1x per week","1993","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1993","indirect migration background","East Germany","","","","","2"
"Never","1993","no migration background","West Germany","","","","","5"
"Never","1993","no migration background","East Germany","","","","","5"
"Never","1993","direct migration background","West Germany","","","","","5"
"Never","1993","direct migration background","East Germany","","","","","5"
"Never","1993","indirect migration background","West Germany","","","","","5"
"Never","1993","indirect migration background","East Germany","","","","","5"
"Rarely","1993","no migration background","West Germany","","","","","4"
"Rarely","1993","no migration background","East Germany","","","","","4"
"Rarely","1993","direct migration background","West Germany","","","","","4"
"Rarely","1993","indirect migration background","West Germany","","","","","4"
"Rarely","1993","direct migration background","East Germany","","","","","4"
"Rarely","1993","indirect migration background","East Germany","","","","","4"
"Daily","1994","no migration background","West Germany","","","","","1"
"Daily","1994","no migration background","East Germany","","","","","1"
"Daily","1994","direct migration background","West Germany","","","","","1"
"Daily","1994","direct migration background","East Germany","","","","","1"
"Daily","1994","indirect migration background","West Germany","","","","","1"
"Daily","1994","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1994","no migration background","West Germany","104","0.0148960731729594","0.0119189523740744","0.0178731939718443","3"
"Min 1x per month","1994","no migration background","East Germany","84","0.0249628378389014","0.0198594517112906","0.0300662239665123","3"
"Min 1x per month","1994","direct migration background","West Germany","15","","","","3"
"Min 1x per month","1994","indirect migration background","West Germany","5","","","","3"
"Min 1x per month","1994","direct migration background","East Germany","2","","","","3"
"Min 1x per month","1994","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1994","no migration background","West Germany","58","0.00845855857517408","0.00620782987501165","0.0107092872753365","2"
"Min 1x per week","1994","direct migration background","West Germany","9","","","","2"
"Min 1x per week","1994","no migration background","East Germany","36","0.00842208268494055","0.00543275144775991","0.0114114139221212","2"
"Min 1x per week","1994","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1994","direct migration background","East Germany","3","","","","2"
"Min 1x per week","1994","indirect migration background","East Germany","","","","","2"
"Never","1994","no migration background","West Germany","5735","0.902568241207968","0.895280216634864","0.909856265781072","5"
"Never","1994","no migration background","East Germany","3280","0.91665930937541","0.90761795709818","0.925700661652639","5"
"Never","1994","direct migration background","West Germany","2083","0.943521120250538","0.933888061988057","0.953154178513019","5"
"Never","1994","direct migration background","East Germany","127","0.917290065328294","0.871663659709089","0.9629164709475","5"
"Never","1994","indirect migration background","West Germany","446","0.92183007257105","0.89766410376774","0.94599604137436","5"
"Never","1994","indirect migration background","East Germany","16","","","","5"
"Rarely","1994","no migration background","West Germany","463","0.0740771270438988","0.0676406384380294","0.0805136156497682","4"
"Rarely","1994","no migration background","East Germany","190","0.0499557701007484","0.0428294453719224","0.0570820948295743","4"
"Rarely","1994","direct migration background","West Germany","99","0.0455506367679826","0.0368496399567542","0.0542516335792111","4"
"Rarely","1994","direct migration background","East Germany","8","","","","4"
"Rarely","1994","indirect migration background","West Germany","23","","","","4"
"Rarely","1994","indirect migration background","East Germany","","","","","4"
"Daily","1995","no migration background","West Germany","13","","","","1"
"Daily","1995","no migration background","East Germany","8","","","","1"
"Daily","1995","direct migration background","West Germany","5","","","","1"
"Daily","1995","direct migration background","East Germany","","","","","1"
"Daily","1995","indirect migration background","West Germany","1","","","","1"
"Daily","1995","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1995","no migration background","West Germany","127","0.0209314182867269","0.0174369979728243","0.0244258386006294","3"
"Min 1x per month","1995","no migration background","East Germany","83","0.0230480580810895","0.0180895166817265","0.0280065994804525","3"
"Min 1x per month","1995","direct migration background","West Germany","23","","","","3"
"Min 1x per month","1995","direct migration background","East Germany","4","","","","3"
"Min 1x per month","1995","indirect migration background","West Germany","4","","","","3"
"Min 1x per month","1995","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1995","no migration background","West Germany","69","0.00908230054686504","0.00676658088336187","0.0113980202103682","2"
"Min 1x per week","1995","direct migration background","West Germany","16","","","","2"
"Min 1x per week","1995","no migration background","East Germany","37","0.0110938524669529","0.0076327145520804","0.0145549903818253","2"
"Min 1x per week","1995","direct migration background","East Germany","","","","","2"
"Min 1x per week","1995","indirect migration background","West Germany","1","","","","2"
"Min 1x per week","1995","indirect migration background","East Germany","","","","","2"
"Never","1995","no migration background","West Germany","5638","0.869882761838489","0.861670419661235","0.878095104015743","5"
"Never","1995","no migration background","East Germany","3115","0.892107547234034","0.881855648366477","0.902359446101591","5"
"Never","1995","direct migration background","West Germany","2493","0.932548918722982","0.922992758107762","0.942105079338202","5"
"Never","1995","direct migration background","East Germany","128","0.915494835023572","0.869906928563075","0.961082741484068","5"
"Never","1995","indirect migration background","West Germany","466","0.894734468968731","0.867726157718862","0.921742780218599","5"
"Never","1995","indirect migration background","East Germany","15","","","","5"
"Rarely","1995","no migration background","West Germany","600","0.0983286575953281","0.0910603475568292","0.105596967633827","4"
"Rarely","1995","no migration background","East Germany","275","0.0711292459078456","0.0626354480663434","0.0796230437493479","4"
"Rarely","1995","direct migration background","West Germany","109","0.0431403518666445","0.0353989585580993","0.0508817451751898","4"
"Rarely","1995","direct migration background","East Germany","11","","","","4"
"Rarely","1995","indirect migration background","West Germany","24","","","","4"
"Rarely","1995","indirect migration background","East Germany","1","","","","4"
"Daily","1996","no migration background","West Germany","","","","","1"
"Daily","1996","no migration background","East Germany","","","","","1"
"Daily","1996","direct migration background","West Germany","","","","","1"
"Daily","1996","direct migration background","East Germany","","","","","1"
"Daily","1996","indirect migration background","West Germany","","","","","1"
"Daily","1996","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1996","no migration background","West Germany","103","0.0157945634907827","0.012734456744498","0.0188546702370674","3"
"Min 1x per month","1996","no migration background","East Germany","69","0.0202605933777658","0.0156042684857117","0.02491691826982","3"
"Min 1x per month","1996","direct migration background","West Germany","11","","","","3"
"Min 1x per month","1996","direct migration background","East Germany","2","","","","3"
"Min 1x per month","1996","indirect migration background","West Germany","2","","","","3"
"Min 1x per month","1996","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1996","no migration background","West Germany","60","0.00755270800042973","0.00542777639886168","0.00967763960199778","2"
"Min 1x per week","1996","no migration background","East Germany","32","0.00939654555565301","0.00620797568738536","0.0125851154239207","2"
"Min 1x per week","1996","direct migration background","West Germany","9","","","","2"
"Min 1x per week","1996","direct migration background","East Germany","","","","","2"
"Min 1x per week","1996","indirect migration background","West Germany","2","","","","2"
"Min 1x per week","1996","indirect migration background","East Germany","","","","","2"
"Never","1996","no migration background","West Germany","5632","0.87736672741366","0.869316009278145","0.885417445549175","5"
"Never","1996","no migration background","East Germany","3156","0.901156796927713","0.891293195984383","0.911020397871043","5"
"Never","1996","direct migration background","West Germany","2338","0.928638986954275","0.918480770189419","0.938797203719132","5"
"Never","1996","direct migration background","East Germany","129","0.925422924758716","0.881906132618567","0.968939716898864","5"
"Never","1996","indirect migration background","West Germany","490","0.911852099081013","0.887623773145325","0.936080425016701","5"
"Never","1996","indirect migration background","East Germany","19","","","","5"
"Rarely","1996","no migration background","East Germany","260","0.0691860641388681","0.0607991410997252","0.077572987178011","4"
"Rarely","1996","no migration background","West Germany","582","0.0992860010951276","0.0919463173312527","0.106625684859002","4"
"Rarely","1996","direct migration background","West Germany","109","0.0607453362428475","0.0513196784871468","0.0701709939985481","4"
"Rarely","1996","direct migration background","East Germany","9","","","","4"
"Rarely","1996","indirect migration background","West Germany","32","0.0742269786558099","0.0518248972596146","0.0966290600520051","4"
"Rarely","1996","indirect migration background","East Germany","1","","","","4"
"Daily","1997","no migration background","West Germany","","","","","1"
"Daily","1997","no migration background","East Germany","","","","","1"
"Daily","1997","direct migration background","West Germany","","","","","1"
"Daily","1997","indirect migration background","West Germany","","","","","1"
"Daily","1997","direct migration background","East Germany","","","","","1"
"Daily","1997","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1997","no migration background","West Germany","113","0.0175928003199748","0.0143436444301682","0.0208419562097815","3"
"Min 1x per month","1997","no migration background","East Germany","74","0.0218540195165917","0.0169802397366372","0.0267277992965463","3"
"Min 1x per month","1997","direct migration background","West Germany","17","","","","3"
"Min 1x per month","1997","indirect migration background","West Germany","8","","","","3"
"Min 1x per month","1997","direct migration background","East Germany","3","","","","3"
"Min 1x per month","1997","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1997","no migration background","West Germany","59","0.00914722666707999","0.00679430982292843","0.0115001435112316","2"
"Min 1x per week","1997","direct migration background","West Germany","11","","","","2"
"Min 1x per week","1997","no migration background","East Germany","22","","","","2"
"Min 1x per week","1997","indirect migration background","West Germany","2","","","","2"
"Min 1x per week","1997","direct migration background","East Germany","","","","","2"
"Min 1x per week","1997","indirect migration background","East Germany","","","","","2"
"Never","1997","no migration background","West Germany","5640","0.893180899593829","0.885546911727023","0.900814887460635","5"
"Never","1997","no migration background","East Germany","3165","0.918170080983893","0.909032819984207","0.927307341983578","5"
"Never","1997","direct migration background","West Germany","2221","0.934412988652682","0.924376146620912","0.944449830684452","5"
"Never","1997","direct migration background","East Germany","122","0.928349705900008","0.884352417002961","0.972346994797056","5"
"Never","1997","indirect migration background","West Germany","521","0.926955786143454","0.905209296329261","0.948702275957647","5"
"Never","1997","indirect migration background","East Germany","22","","","","5"
"Rarely","1997","no migration background","West Germany","477","0.0800790734191161","0.0733710887319777","0.0867870581062544","4"
"Rarely","1997","no migration background","East Germany","196","0.0530640606514561","0.0455916807872607","0.0605364405156514","4"
"Rarely","1997","direct migration background","West Germany","88","0.0511682350598282","0.042234901276623","0.0601015688430334","4"
"Rarely","1997","direct migration background","East Germany","7","","","","4"
"Rarely","1997","indirect migration background","West Germany","19","","","","4"
"Rarely","1997","indirect migration background","East Germany","","","","","4"
"Daily","1998","no migration background","West Germany","11","","","","1"
"Daily","1998","no migration background","East Germany","5","","","","1"
"Daily","1998","direct migration background","West Germany","","","","","1"
"Daily","1998","direct migration background","East Germany","","","","","1"
"Daily","1998","indirect migration background","West Germany","","","","","1"
"Daily","1998","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1998","no migration background","West Germany","127","0.0157622984702081","0.0129434142974676","0.0185811826429485","3"
"Min 1x per month","1998","direct migration background","West Germany","29","","","","3"
"Min 1x per month","1998","no migration background","East Germany","83","0.0222062009532132","0.0174729193303094","0.026939482576117","3"
"Min 1x per month","1998","direct migration background","East Germany","4","","","","3"
"Min 1x per month","1998","indirect migration background","West Germany","6","","","","3"
"Min 1x per month","1998","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1998","no migration background","West Germany","66","0.00809906553085867","0.0060705933057639","0.0101275377559534","2"
"Min 1x per week","1998","no migration background","East Germany","19","","","","2"
"Min 1x per week","1998","direct migration background","West Germany","10","","","","2"
"Min 1x per week","1998","indirect migration background","West Germany","3","","","","2"
"Min 1x per week","1998","direct migration background","East Germany","","","","","2"
"Min 1x per week","1998","indirect migration background","East Germany","","","","","2"
"Never","1998","no migration background","East Germany","3282","0.888057011341898","0.877929087069929","0.898184935613866","5"
"Never","1998","no migration background","West Germany","6513","0.860321351333029","0.852475992317495","0.868166710348563","5"
"Never","1998","direct migration background","West Germany","2102","0.908137955788379","0.896310821908109","0.91996508966865","5"
"Never","1998","direct migration background","East Germany","101","0.878337867024715","0.819604739613211","0.93707099443622","5"
"Never","1998","indirect migration background","West Germany","519","0.878149806261353","0.851436092618337","0.904863519904369","5"
"Never","1998","indirect migration background","East Germany","26","","","","5"
