"pli0097_h","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","1985","Hamburg","Female","133","0.969273698717061","0.94048069957523","0.998066697858892","5"
"Never","1985","Lower Saxony","Male","476","0.889504460122663","0.86278875174733","0.916220168497996","5"
"Never","1985","Lower Saxony","Female","524","0.949670407492253","0.931465378774408","0.967875436210097","5"
"Never","1985","Bremen","Male","48","0.929444763852571","0.85984258475879","0.999046942946351","5"
"Never","1985","Saxony","Male","","","","","5"
"Never","1985","Saxony","Female","","","","","5"
"Never","1985","Saxony-Anhalt","Male","","","","","5"
"Never","1985","Saxony-Anhalt","Female","","","","","5"
"Never","1985","Thuringia","Male","","","","","5"
"Never","1985","Schleswig-Holstein","Male","139","0.821942043251148","0.764093191805777","0.879790894696519","5"
"Never","1985","Brandenburg","Female","","","","","5"
"Never","1985","North Rhine-Westphalia","Male","1312","0.887934240064199","0.871753494268246","0.904114985860153","5"
"Never","1985","North Rhine-Westphalia","Female","1396","0.939803732818116","0.927690113395686","0.951917352240545","5"
"Never","1985","Hesse","Male","504","0.879589108774046","0.852610783033215","0.906567434514877","5"
"Never","1985","Hesse","Female","527","0.937507323296042","0.917424124396462","0.957590522195622","5"
"Never","1985","Rhineland-Palatinate,Saarland","Male","333","0.868990681516199","0.835066065076316","0.902915297956082","5"
"Never","1985","Rhineland-Palatinate,Saarland","Female","359","0.928792457469838","0.903003205315748","0.954581709623929","5"
"Never","1985","Baden-Württemberg","Male","951","0.914927017578221","0.897814091463234","0.932039943693208","5"
"Never","1985","Baden-Württemberg","Female","986","0.962419250454812","0.950736662172736","0.974101838736887","5"
"Never","1985","Bavaria","Male","795","0.876907994401107","0.855419704161062","0.898396284641151","5"
"Never","1985","Bavaria","Female","931","0.94237517205305","0.927844478044101","0.956905866062","5"
"Never","1985","Berlin","Male","160","0.886656295503512","0.839954044859264","0.93335854614776","5"
"Never","1985","Berlin","Female","178","0.939003270401972","0.904883663683567","0.973122877120376","5"
"Never","1985","Brandenburg","Male","","","","","5"
"Rarely","1985","Hamburg","Male","4","","","","4"
"Rarely","1985","Hamburg","Female","3","","","","4"
"Rarely","1985","North Rhine-Westphalia","Female","60","0.042601657275568","0.0323160451103947","0.0528872694407413","4"
"Rarely","1985","Hesse","Male","27","","","","4"
"Rarely","1985","Bavaria","Male","64","0.0789716823351215","0.0613323513599617","0.0966110133102812","4"
"Rarely","1985","North Rhine-Westphalia","Male","101","0.0743453201277923","0.060889103142517","0.0878015371130676","4"
"Rarely","1985","Mecklenburg-Western Pomerania","Male","","","","","4"
"Rarely","1985","Mecklenburg-Western Pomerania","Female","","","","","4"
"Rarely","1985","Thuringia","Female","","","","","4"
"Rarely","1985","Schleswig-Holstein","Female","3","","","","4"
"Rarely","1985","Saxony","Male","","","","","4"
"Rarely","1985","Lower Saxony","Male","33","0.0698910143178749","0.0481641102538247","0.0916179183819252","4"
"Rarely","1985","Lower Saxony","Female","18","","","","4"
"Rarely","1985","Bremen","Male","3","","","","4"
"Rarely","1985","Bremen","Female","2","","","","4"
"Rarely","1985","Hesse","Female","25","","","","4"
"Rarely","1985","Saxony","Female","","","","","4"
"Rarely","1985","Saxony-Anhalt","Male","","","","","4"
"Rarely","1985","Saxony-Anhalt","Female","","","","","4"
"Rarely","1985","Thuringia","Male","","","","","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","Male","22","","","","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","Female","17","","","","4"
"Rarely","1985","Baden-Württemberg","Male","45","0.0513280296027766","0.0377926465497579","0.0648634126557953","4"
"Rarely","1985","Baden-Württemberg","Female","26","","","","4"
"Rarely","1985","Schleswig-Holstein","Male","16","","","","4"
"Rarely","1985","Brandenburg","Female","","","","","4"
"Rarely","1985","Bavaria","Female","31","0.0314080630622558","0.0205322778869827","0.0422838482375289","4"
"Rarely","1985","Berlin","Male","10","","","","4"
"Rarely","1985","Berlin","Female","7","","","","4"
"Rarely","1985","Brandenburg","Male","","","","","4"
"Daily","1986","Schleswig-Holstein","Male","","","","","1"
"Daily","1986","Schleswig-Holstein","Female","","","","","1"
"Daily","1986","Hamburg","Male","","","","","1"
"Daily","1986","Hamburg","Female","","","","","1"
"Daily","1986","Lower Saxony","Male","","","","","1"
"Daily","1986","Lower Saxony","Female","","","","","1"
"Daily","1986","Bremen","Male","","","","","1"
"Daily","1986","Bremen","Female","","","","","1"
"Daily","1986","North Rhine-Westphalia","Male","","","","","1"
"Daily","1986","North Rhine-Westphalia","Female","","","","","1"
"Daily","1986","Hesse","Male","","","","","1"
"Daily","1986","Hesse","Female","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1986","Baden-Württemberg","Male","","","","","1"
"Daily","1986","Baden-Württemberg","Female","","","","","1"
"Daily","1986","Bavaria","Male","","","","","1"
"Daily","1986","Bavaria","Female","","","","","1"
"Daily","1986","Berlin","Male","","","","","1"
"Daily","1986","Berlin","Female","","","","","1"
"Daily","1986","Brandenburg","Male","","","","","1"
"Daily","1986","Brandenburg","Female","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1986","Saxony","Male","","","","","1"
"Daily","1986","Saxony","Female","","","","","1"
"Daily","1986","Saxony-Anhalt","Male","","","","","1"
"Daily","1986","Saxony-Anhalt","Female","","","","","1"
"Daily","1986","Thuringia","Male","","","","","1"
"Daily","1986","Thuringia","Female","","","","","1"
"Min 1x per month","1986","Saxony","Female","","","","","3"
"Min 1x per month","1986","Saxony","Male","","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Female","","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","Male","","","","","3"
"Min 1x per month","1986","Hamburg","Male","4","","","","3"
"Min 1x per month","1986","Hamburg","Female","","","","","3"
"Min 1x per month","1986","Schleswig-Holstein","Female","1","","","","3"
"Min 1x per month","1986","Brandenburg","Female","","","","","3"
"Min 1x per month","1986","Thuringia","Female","","","","","3"
"Min 1x per month","1986","Schleswig-Holstein","Male","8","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","Male","","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","Female","","","","","3"
"Min 1x per month","1986","Thuringia","Male","","","","","3"
"Min 1x per month","1986","Lower Saxony","Male","12","","","","3"
"Min 1x per month","1986","Lower Saxony","Female","4","","","","3"
"Min 1x per month","1986","Bremen","Male","","","","","3"
"Min 1x per month","1986","Bremen","Female","2","","","","3"
"Min 1x per month","1986","North Rhine-Westphalia","Male","29","","","","3"
"Min 1x per month","1986","North Rhine-Westphalia","Female","15","","","","3"
"Min 1x per month","1986","Hesse","Male","7","","","","3"
"Min 1x per month","1986","Hesse","Female","5","","","","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Male","17","","","","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","Female","6","","","","3"
"Min 1x per month","1986","Baden-Württemberg","Male","13","","","","3"
"Min 1x per month","1986","Baden-Württemberg","Female","4","","","","3"
"Min 1x per month","1986","Bavaria","Male","17","","","","3"
"Min 1x per month","1986","Bavaria","Female","17","","","","3"
"Min 1x per month","1986","Berlin","Male","6","","","","3"
"Min 1x per month","1986","Berlin","Female","2","","","","3"
"Min 1x per month","1986","Brandenburg","Male","","","","","3"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Female","","","","","2"
"Min 1x per week","1986","Saxony","Male","","","","","2"
"Min 1x per week","1986","Saxony","Female","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","Male","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","Female","","","","","2"
"Min 1x per week","1986","Thuringia","Male","","","","","2"
"Min 1x per week","1986","Bremen","Female","","","","","2"
"Min 1x per week","1986","North Rhine-Westphalia","Male","12","","","","2"
"Min 1x per week","1986","North Rhine-Westphalia","Female","3","","","","2"
"Min 1x per week","1986","Hesse","Male","9","","","","2"
"Min 1x per week","1986","Hesse","Female","1","","","","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Male","10","","","","2"
"Min 1x per week","1986","Thuringia","Female","","","","","2"
"Min 1x per week","1986","Schleswig-Holstein","Male","2","","","","2"
"Min 1x per week","1986","Schleswig-Holstein","Female","1","","","","2"
"Min 1x per week","1986","Hamburg","Male","1","","","","2"
"Min 1x per week","1986","Hamburg","Female","","","","","2"
"Min 1x per week","1986","Lower Saxony","Male","11","","","","2"
"Min 1x per week","1986","Lower Saxony","Female","2","","","","2"
"Min 1x per week","1986","Bremen","Male","","","","","2"
"Min 1x per week","1986","Brandenburg","Female","","","","","2"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","Male","","","","","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","Female","3","","","","2"
"Min 1x per week","1986","Baden-Württemberg","Male","11","","","","2"
"Min 1x per week","1986","Baden-Württemberg","Female","3","","","","2"
"Min 1x per week","1986","Bavaria","Male","20","","","","2"
"Min 1x per week","1986","Bavaria","Female","6","","","","2"
"Min 1x per week","1986","Berlin","Male","1","","","","2"
"Min 1x per week","1986","Berlin","Female","","","","","2"
"Min 1x per week","1986","Brandenburg","Male","","","","","2"
"Never","1986","Hamburg","Female","117","0.963158766227465","0.929732782342941","0.996584750111989","5"
"Never","1986","Mecklenburg-Western Pomerania","Male","","","","","5"
"Never","1986","Schleswig-Holstein","Female","155","0.952913972473657","0.920295512151356","0.985532432795957","5"
"Never","1986","Schleswig-Holstein","Male","136","0.850741007185012","0.795177649215694","0.906304365154331","5"
"Never","1986","Thuringia","Female","","","","","5"
"Never","1986","Mecklenburg-Western Pomerania","Female","","","","","5"
"Never","1986","Saxony","Male","","","","","5"
"Never","1986","Hamburg","Male","117","0.907033572103952","0.856330115031303","0.957737029176601","5"
"Never","1986","Lower Saxony","Male","487","0.901266583578042","0.876083295971936","0.926449871184148","5"
"Never","1986","Lower Saxony","Female","535","0.958907103672424","0.942480858351424","0.975333348993423","5"
"Never","1986","Bremen","Female","56","0.954404212408501","0.900718016865697","1.0080904079513","5"
"Never","1986","Brandenburg","Female","","","","","5"
"Never","1986","Saxony","Female","","","","","5"
"Never","1986","Saxony-Anhalt","Male","","","","","5"
"Never","1986","Saxony-Anhalt","Female","","","","","5"
"Never","1986","Thuringia","Male","","","","","5"
"Never","1986","Bremen","Male","48","0.956370598256753","0.899751124851833","1.01299007166167","5"
"Never","1986","North Rhine-Westphalia","Male","1275","0.887097104860062","0.87059591997456","0.903598289745565","5"
"Never","1986","North Rhine-Westphalia","Female","1354","0.947027112712165","0.935406095799779","0.958648129624551","5"
"Never","1986","Hesse","Male","473","0.893294636799155","0.866809432519168","0.919779841079142","5"
"Never","1986","Hesse","Female","495","0.949265620547091","0.930348811844631","0.968182429249552","5"
"Never","1986","Rhineland-Palatinate,Saarland","Male","331","0.868461428023371","0.8342984283262","0.902624427720541","5"
"Never","1986","Rhineland-Palatinate,Saarland","Female","365","0.944737151414196","0.922001659302935","0.967472643525457","5"
"Never","1986","Baden-Württemberg","Male","936","0.915930538730179","0.89875746532023","0.933103612140128","5"
"Never","1986","Baden-Württemberg","Female","947","0.967335974941287","0.956201230216595","0.978470719665979","5"
"Never","1986","Bavaria","Male","752","0.876241515313604","0.854064362435649","0.898418668191559","5"
"Never","1986","Bavaria","Female","852","0.926527617005611","0.90965891824472","0.943396315766502","5"
"Never","1986","Berlin","Male","151","0.845992771002007","0.792205573223363","0.89977996878065","5"
"Never","1986","Berlin","Female","168","0.950491839564571","0.918443587465365","0.982540091663777","5"
"Never","1986","Brandenburg","Male","","","","","5"
"Rarely","1986","Hamburg","Female","5","","","","4"
"Rarely","1986","Mecklenburg-Western Pomerania","Female","","","","","4"
"Rarely","1986","Lower Saxony","Male","29","","","","4"
"Rarely","1986","North Rhine-Westphalia","Female","55","0.0401922312738314","0.0300016421102967","0.050382820437366","4"
"Rarely","1986","North Rhine-Westphalia","Male","97","0.08089402409173","0.0666766947124529","0.0951113534710071","4"
"Rarely","1986","Saxony","Male","","","","","4"
"Rarely","1986","Hesse","Female","16","","","","4"
"Rarely","1986","Thuringia","Female","","","","","4"
"Rarely","1986","Mecklenburg-Western Pomerania","Male","","","","","4"
"Rarely","1986","Hamburg","Male","4","","","","4"
"Rarely","1986","Hesse","Male","33","0.0718498687406059","0.0496967464829555","0.0940029909982562","4"
"Rarely","1986","Bavaria","Male","58","0.0736840317743208","0.0560897050796536","0.0912783584689879","4"
"Rarely","1986","Schleswig-Holstein","Female","5","","","","4"
"Rarely","1986","Saxony","Female","","","","","4"
"Rarely","1986","Schleswig-Holstein","Male","12","","","","4"
"Rarely","1986","Bremen","Female","","","","","4"
"Rarely","1986","Baden-Württemberg","Male","43","0.0526053122942533","0.0387894530917168","0.0664211714967898","4"
"Rarely","1986","Baden-Württemberg","Female","25","","","","4"
"Rarely","1986","Saxony-Anhalt","Male","","","","","4"
"Rarely","1986","Saxony-Anhalt","Female","","","","","4"
"Rarely","1986","Thuringia","Male","","","","","4"
"Rarely","1986","Lower Saxony","Female","20","","","","4"
"Rarely","1986","Bremen","Male","2","","","","4"
"Rarely","1986","Rhineland-Palatinate,Saarland","Male","18","","","","4"
"Rarely","1986","Rhineland-Palatinate,Saarland","Female","14","","","","4"
"Rarely","1986","Brandenburg","Female","","","","","4"
"Rarely","1986","Bavaria","Female","44","0.0458697492804807","0.0323441240062165","0.0593953745547449","4"
"Rarely","1986","Berlin","Male","15","","","","4"
"Rarely","1986","Berlin","Female","6","","","","4"
"Rarely","1986","Brandenburg","Male","","","","","4"
"Daily","1987","Schleswig-Holstein","Male","","","","","1"
"Daily","1987","Schleswig-Holstein","Female","","","","","1"
"Daily","1987","Hamburg","Male","","","","","1"
"Daily","1987","Hamburg","Female","","","","","1"
"Daily","1987","Lower Saxony","Male","","","","","1"
"Daily","1987","Lower Saxony","Female","","","","","1"
"Daily","1987","Bremen","Male","","","","","1"
"Daily","1987","Bremen","Female","","","","","1"
"Daily","1987","North Rhine-Westphalia","Male","","","","","1"
"Daily","1987","North Rhine-Westphalia","Female","","","","","1"
"Daily","1987","Hesse","Male","","","","","1"
"Daily","1987","Hesse","Female","","","","","1"
"Daily","1987","Rhineland-Palatinate,Saarland","Male","","","","","1"
"Daily","1987","Rhineland-Palatinate,Saarland","Female","","","","","1"
"Daily","1987","Baden-Württemberg","Male","","","","","1"
"Daily","1987","Baden-Württemberg","Female","","","","","1"
"Daily","1987","Bavaria","Male","","","","","1"
"Daily","1987","Bavaria","Female","","","","","1"
"Daily","1987","Berlin","Male","","","","","1"
"Daily","1987","Berlin","Female","","","","","1"
"Daily","1987","Brandenburg","Male","","","","","1"
"Daily","1987","Brandenburg","Female","","","","","1"
"Daily","1987","Mecklenburg-Western Pomerania","Male","","","","","1"
"Daily","1987","Mecklenburg-Western Pomerania","Female","","","","","1"
"Daily","1987","Saxony","Male","","","","","1"
"Daily","1987","Saxony","Female","","","","","1"
"Daily","1987","Saxony-Anhalt","Male","","","","","1"
"Daily","1987","Saxony-Anhalt","Female","","","","","1"
"Daily","1987","Thuringia","Male","","","","","1"
"Daily","1987","Thuringia","Female","","","","","1"
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Female","","","","","3"
"Min 1x per month","1987","Saxony","Male","","","","","3"
"Min 1x per month","1987","Hamburg","Female","","","","","3"
"Min 1x per month","1987","Saxony","Female","","","","","3"
"Min 1x per month","1987","Brandenburg","Female","","","","","3"
"Min 1x per month","1987","Mecklenburg-Western Pomerania","Male","","","","","3"
"Min 1x per month","1987","Schleswig-Holstein","Female","","","","","3"
"Min 1x per month","1987","Hamburg","Male","","","","","3"
"Min 1x per month","1987","Schleswig-Holstein","Male","","","","","3"
"Min 1x per month","1987","Saxony-Anhalt","Male","","","","","3"
"Min 1x per month","1987","Saxony-Anhalt","Female","","","","","3"
"Min 1x per month","1987","Thuringia","Male","","","","","3"
"Min 1x per month","1987","Thuringia","Female","","","","","3"
"Min 1x per month","1987","Lower Saxony","Male","","","","","3"
"Min 1x per month","1987","Lower Saxony","Female","","","","","3"
"Min 1x per month","1987","Bremen","Male","","","","","3"
"Min 1x per month","1987","Bremen","Female","","","","","3"
"Min 1x per month","1987","North Rhine-Westphalia","Male","","","","","3"
"Min 1x per month","1987","North Rhine-Westphalia","Female","","","","","3"
"Min 1x per month","1987","Hesse","Male","","","","","3"
"Min 1x per month","1987","Hesse","Female","","","","","3"
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Male","","","","","3"
"Min 1x per month","1987","Rhineland-Palatinate,Saarland","Female","","","","","3"
"Min 1x per month","1987","Baden-Württemberg","Male","","","","","3"
"Min 1x per month","1987","Baden-Württemberg","Female","","","","","3"
"Min 1x per month","1987","Bavaria","Male","","","","","3"
"Min 1x per month","1987","Bavaria","Female","","","","","3"
"Min 1x per month","1987","Berlin","Male","","","","","3"
"Min 1x per month","1987","Berlin","Female","","","","","3"
"Min 1x per month","1987","Brandenburg","Male","","","","","3"
"Min 1x per week","1987","Thuringia","Female","","","","","2"
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Female","","","","","2"
"Min 1x per week","1987","Saxony","Male","","","","","2"
"Min 1x per week","1987","Saxony","Female","","","","","2"
"Min 1x per week","1987","Saxony-Anhalt","Male","","","","","2"
"Min 1x per week","1987","Saxony-Anhalt","Female","","","","","2"
"Min 1x per week","1987","Thuringia","Male","","","","","2"
"Min 1x per week","1987","Schleswig-Holstein","Male","","","","","2"
"Min 1x per week","1987","Schleswig-Holstein","Female","","","","","2"
"Min 1x per week","1987","Hamburg","Male","","","","","2"
"Min 1x per week","1987","Hamburg","Female","","","","","2"
"Min 1x per week","1987","Lower Saxony","Male","","","","","2"
"Min 1x per week","1987","Lower Saxony","Female","","","","","2"
"Min 1x per week","1987","Bremen","Male","","","","","2"
"Min 1x per week","1987","Bremen","Female","","","","","2"
"Min 1x per week","1987","North Rhine-Westphalia","Male","","","","","2"
"Min 1x per week","1987","North Rhine-Westphalia","Female","","","","","2"
"Min 1x per week","1987","Hesse","Male","","","","","2"
"Min 1x per week","1987","Hesse","Female","","","","","2"
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","Male","","","","","2"
"Min 1x per week","1987","Brandenburg","Female","","","","","2"
"Min 1x per week","1987","Mecklenburg-Western Pomerania","Male","","","","","2"
"Min 1x per week","1987","Bavaria","Male","","","","","2"
"Min 1x per week","1987","Bavaria","Female","","","","","2"
"Min 1x per week","1987","Berlin","Male","","","","","2"
"Min 1x per week","1987","Rhineland-Palatinate,Saarland","Female","","","","","2"
"Min 1x per week","1987","Baden-Württemberg","Male","","","","","2"
"Min 1x per week","1987","Baden-Württemberg","Female","","","","","2"
"Min 1x per week","1987","Berlin","Female","","","","","2"
"Min 1x per week","1987","Brandenburg","Male","","","","","2"
"Never","1987","Thuringia","Female","","","","","5"
"Never","1987","Schleswig-Holstein","Female","","","","","5"
"Never","1987","Mecklenburg-Western Pomerania","Male","","","","","5"
"Never","1987","Mecklenburg-Western Pomerania","Female","","","","","5"
"Never","1987","Schleswig-Holstein","Male","","","","","5"
"Never","1987","Hamburg","Male","","","","","5"
"Never","1987","Hamburg","Female","","","","","5"
"Never","1987","Lower Saxony","Male","","","","","5"
"Never","1987","Lower Saxony","Female","","","","","5"
"Never","1987","Bremen","Male","","","","","5"
"Never","1987","Bremen","Female","","","","","5"
"Never","1987","Saxony","Male","","","","","5"
"Never","1987","Saxony","Female","","","","","5"
"Never","1987","Saxony-Anhalt","Male","","","","","5"
"Never","1987","Saxony-Anhalt","Female","","","","","5"
"Never","1987","Thuringia","Male","","","","","5"
"Never","1987","Brandenburg","Female","","","","","5"
"Never","1987","North Rhine-Westphalia","Male","","","","","5"
"Never","1987","North Rhine-Westphalia","Female","","","","","5"
"Never","1987","Hesse","Male","","","","","5"
"Never","1987","Hesse","Female","","","","","5"
"Never","1987","Rhineland-Palatinate,Saarland","Male","","","","","5"
"Never","1987","Rhineland-Palatinate,Saarland","Female","","","","","5"
"Never","1987","Baden-Württemberg","Male","","","","","5"
"Never","1987","Baden-Württemberg","Female","","","","","5"
"Never","1987","Bavaria","Male","","","","","5"
"Never","1987","Bavaria","Female","","","","","5"
"Never","1987","Berlin","Male","","","","","5"
"Never","1987","Berlin","Female","","","","","5"
"Never","1987","Brandenburg","Male","","","","","5"
"Rarely","1987","Baden-Württemberg","Female","","","","","4"
"Rarely","1987","Mecklenburg-Western Pomerania","Male","","","","","4"
"Rarely","1987","Schleswig-Holstein","Female","","","","","4"
"Rarely","1987","Hamburg","Male","","","","","4"
"Rarely","1987","Bavaria","Male","","","","","4"
"Rarely","1987","Mecklenburg-Western Pomerania","Female","","","","","4"
"Rarely","1987","Saxony","Male","","","","","4"
"Rarely","1987","Hamburg","Female","","","","","4"
"Rarely","1987","Lower Saxony","Male","","","","","4"
"Rarely","1987","North Rhine-Westphalia","Female","","","","","4"
"Rarely","1987","Hesse","Male","","","","","4"
"Rarely","1987","Hesse","Female","","","","","4"
"Rarely","1987","Rhineland-Palatinate,Saarland","Male","","","","","4"
"Rarely","1987","Rhineland-Palatinate,Saarland","Female","","","","","4"
"Rarely","1987","Baden-Württemberg","Male","","","","","4"
"Rarely","1987","Saxony","Female","","","","","4"
"Rarely","1987","Thuringia","Female","","","","","4"
"Rarely","1987","Schleswig-Holstein","Male","","","","","4"
"Rarely","1987","North Rhine-Westphalia","Male","","","","","4"
"Rarely","1987","Lower Saxony","Female","","","","","4"
"Rarely","1987","Bremen","Male","","","","","4"
"Rarely","1987","Bremen","Female","","","","","4"
"Rarely","1987","Saxony-Anhalt","Male","","","","","4"
"Rarely","1987","Saxony-Anhalt","Female","","","","","4"
"Rarely","1987","Thuringia","Male","","","","","4"
"Rarely","1987","Brandenburg","Female","","","","","4"
