"pli0097_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Thuringia","direct migration background","","","","","1"
"Daily","1985","Thuringia","indirect migration background","","","","","1"
"Min 1x per month","1985","Hamburg","direct migration background","","","","","3"
"Min 1x per month","1985","Hamburg","indirect migration background","","","","","3"
"Min 1x per month","1985","Brandenburg","indirect migration background","","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","no migration background","12","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","direct migration background","2","","","","3"
"Min 1x per month","1985","Schleswig-Holstein","indirect migration background","","","","","3"
"Min 1x per month","1985","Hamburg","no migration background","4","","","","3"
"Min 1x per month","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Min 1x per month","1985","Saxony","no migration background","","","","","3"
"Min 1x per month","1985","Saxony","direct migration background","","","","","3"
"Min 1x per month","1985","Lower Saxony","no migration background","19","","","","3"
"Min 1x per month","1985","Lower Saxony","direct migration background","","","","","3"
"Min 1x per month","1985","Lower Saxony","indirect migration background","","","","","3"
"Min 1x per month","1985","Bremen","no migration background","","","","","3"
"Min 1x per month","1985","Bremen","direct migration background","1","","","","3"
"Min 1x per month","1985","Bremen","indirect migration background","","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","no migration background","48","0.0219730802460691","0.0156942227341468","0.0282519377579913","3"
"Min 1x per month","1985","North Rhine-Westphalia","direct migration background","6","","","","3"
"Min 1x per month","1985","North Rhine-Westphalia","indirect migration background","","","","","3"
"Min 1x per month","1985","Hesse","no migration background","19","","","","3"
"Min 1x per month","1985","Hesse","direct migration background","","","","","3"
"Min 1x per month","1985","Hesse","indirect migration background","","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","no migration background","16","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","direct migration background","1","","","","3"
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"Min 1x per month","1985","Baden-Württemberg","no migration background","14","","","","3"
"Min 1x per month","1985","Baden-Württemberg","direct migration background","2","","","","3"
"Min 1x per month","1985","Baden-Württemberg","indirect migration background","1","","","","3"
"Min 1x per month","1985","Bavaria","no migration background","36","0.0223936493910159","0.0148196450430638","0.029967653738968","3"
"Min 1x per month","1985","Bavaria","direct migration background","9","","","","3"
"Min 1x per month","1985","Bavaria","indirect migration background","","","","","3"
"Min 1x per month","1985","Berlin","no migration background","7","","","","3"
"Min 1x per month","1985","Berlin","direct migration background","2","","","","3"
"Min 1x per month","1985","Berlin","indirect migration background","","","","","3"
"Min 1x per month","1985","Brandenburg","no migration background","","","","","3"
"Min 1x per month","1985","Brandenburg","direct migration background","","","","","3"
"Min 1x per month","1985","Saxony","indirect migration background","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","no migration background","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","direct migration background","","","","","3"
"Min 1x per month","1985","Saxony-Anhalt","indirect migration background","","","","","3"
"Min 1x per month","1985","Thuringia","no migration background","","","","","3"
"Min 1x per month","1985","Thuringia","direct migration background","","","","","3"
"Min 1x per month","1985","Thuringia","indirect migration background","","","","","3"
"Min 1x per week","1985","Schleswig-Holstein","no migration background","2","","","","2"
"Min 1x per week","1985","Hesse","no migration background","13","","","","2"
"Min 1x per week","1985","Hamburg","direct migration background","1","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","no migration background","14","","","","2"
"Min 1x per week","1985","Brandenburg","indirect migration background","","","","","2"
"Min 1x per week","1985","Lower Saxony","direct migration background","","","","","2"
"Min 1x per week","1985","Saxony","no migration background","","","","","2"
"Min 1x per week","1985","Saxony","direct migration background","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","no migration background","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","direct migration background","","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","direct migration background","1","","","","2"
"Min 1x per week","1985","Thuringia","direct migration background","","","","","2"
"Min 1x per week","1985","Thuringia","indirect migration background","","","","","2"
"Min 1x per week","1985","Hamburg","indirect migration background","","","","","2"
"Min 1x per week","1985","Lower Saxony","no migration background","13","","","","2"
"Min 1x per week","1985","Bremen","indirect migration background","","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","no migration background","14","","","","2"
"Min 1x per week","1985","Hesse","direct migration background","2","","","","2"
"Min 1x per week","1985","Hesse","indirect migration background","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Min 1x per week","1985","Schleswig-Holstein","indirect migration background","","","","","2"
"Min 1x per week","1985","Hamburg","no migration background","2","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","direct migration background","4","","","","2"
"Min 1x per week","1985","North Rhine-Westphalia","indirect migration background","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Min 1x per week","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Min 1x per week","1985","Saxony","indirect migration background","","","","","2"
"Min 1x per week","1985","Lower Saxony","indirect migration background","","","","","2"
"Min 1x per week","1985","Bremen","no migration background","1","","","","2"
"Min 1x per week","1985","Bremen","direct migration background","","","","","2"
"Min 1x per week","1985","Saxony-Anhalt","indirect migration background","","","","","2"
"Min 1x per week","1985","Thuringia","no migration background","","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","direct migration background","","","","","2"
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Min 1x per week","1985","Baden-Württemberg","no migration background","13","","","","2"
"Min 1x per week","1985","Baden-Württemberg","direct migration background","1","","","","2"
"Min 1x per week","1985","Baden-Württemberg","indirect migration background","","","","","2"
"Min 1x per week","1985","Bavaria","no migration background","16","","","","2"
"Min 1x per week","1985","Bavaria","direct migration background","4","","","","2"
"Min 1x per week","1985","Bavaria","indirect migration background","","","","","2"
"Min 1x per week","1985","Berlin","no migration background","2","","","","2"
"Min 1x per week","1985","Berlin","direct migration background","","","","","2"
"Min 1x per week","1985","Berlin","indirect migration background","","","","","2"
"Min 1x per week","1985","Brandenburg","no migration background","","","","","2"
"Min 1x per week","1985","Brandenburg","direct migration background","","","","","2"
"Never","1985","Schleswig-Holstein","direct migration background","35","0.871344221962152","0.766262951934904","0.9764254919894","5"
"Never","1985","Schleswig-Holstein","no migration background","275","0.895850958669018","0.861682575945141","0.930019341392896","5"
"Never","1985","Schleswig-Holstein","indirect migration background","1","","","","5"
"Never","1985","Hamburg","no migration background","193","0.962529851106953","0.93640523693976","0.988654465274146","5"
"Never","1985","Lower Saxony","no migration background","846","0.922244564850819","0.904959498108573","0.939529631593065","5"
"Never","1985","Lower Saxony","direct migration background","147","0.909619064227462","0.864186152671774","0.955051975783151","5"
"Never","1985","Bremen","indirect migration background","","","","","5"
"Never","1985","Brandenburg","indirect migration background","","","","","5"
"Never","1985","Mecklenburg-Western Pomerania","no migration background","","","","","5"
"Never","1985","Saxony-Anhalt","no migration background","","","","","5"
"Never","1985","Saxony-Anhalt","direct migration background","","","","","5"
"Never","1985","Saxony-Anhalt","indirect migration background","","","","","5"
"Never","1985","Hamburg","direct migration background","65","0.925632492853422","0.863726249114376","0.987538736592467","5"
"Never","1985","Hamburg","indirect migration background","2","","","","5"
"Never","1985","Lower Saxony","indirect migration background","7","","","","5"
"Never","1985","Bremen","no migration background","83","0.94108894191015","0.89217115122382","0.990006732596481","5"
"Never","1985","Bremen","direct migration background","24","","","","5"
"Never","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","5"
"Never","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","5"
"Never","1985","Saxony","no migration background","","","","","5"
"Never","1985","Saxony","direct migration background","","","","","5"
"Never","1985","Saxony","indirect migration background","","","","","5"
"Never","1985","Thuringia","no migration background","","","","","5"
"Never","1985","Thuringia","direct migration background","","","","","5"
"Never","1985","Thuringia","indirect migration background","","","","","5"
"Never","1985","North Rhine-Westphalia","no migration background","1892","0.909334235973772","0.897035989678616","0.921632482268927","5"
"Never","1985","North Rhine-Westphalia","direct migration background","772","0.964596406582707","0.951814759836762","0.977378053328651","5"
"Never","1985","North Rhine-Westphalia","indirect migration background","44","1","1","1","5"
"Never","1985","Hesse","no migration background","620","0.899835869604905","0.877531947777537","0.922139791432273","5"
"Never","1985","Hesse","direct migration background","400","0.964246984505008","0.946274560913955","0.982219408096061","5"
"Never","1985","Hesse","indirect migration background","11","","","","5"
"Never","1985","Rhineland-Palatinate,Saarland","no migration background","557","0.892684749556166","0.868419326815905","0.916950172296427","5"
"Never","1985","Rhineland-Palatinate,Saarland","direct migration background","128","0.993719350239831","0.98013901233772","1.00729968814194","5"
"Never","1985","Rhineland-Palatinate,Saarland","indirect migration background","7","","","","5"
"Never","1985","Baden-Württemberg","no migration background","1130","0.935273251731766","0.921444198278402","0.949102305185131","5"
"Never","1985","Baden-Württemberg","direct migration background","776","0.975395706299891","0.964586209919738","0.986205202680045","5"
"Never","1985","Baden-Württemberg","indirect migration background","31","0.849254540560562","0.728986650718558","0.969522430402567","5"
"Never","1985","Bavaria","no migration background","1330","0.912323407815694","0.897845782078237","0.926801033553151","5"
"Never","1985","Bavaria","direct migration background","368","0.919228756096072","0.892185687233679","0.946271824958465","5"
"Never","1985","Bavaria","indirect migration background","28","","","","5"
"Never","1985","Berlin","no migration background","240","0.922031074794311","0.889502773034497","0.954559376554124","5"
"Never","1985","Berlin","direct migration background","94","0.850506521062841","0.780966094171392","0.92004694795429","5"
"Never","1985","Berlin","indirect migration background","4","","","","5"
"Never","1985","Brandenburg","no migration background","","","","","5"
"Never","1985","Brandenburg","direct migration background","","","","","5"
"Rarely","1985","Schleswig-Holstein","no migration background","18","","","","4"
"Rarely","1985","Schleswig-Holstein","direct migration background","1","","","","4"
"Rarely","1985","Hamburg","no migration background","4","","","","4"
"Rarely","1985","Hamburg","direct migration background","3","","","","4"
"Rarely","1985","Hamburg","indirect migration background","","","","","4"
"Rarely","1985","Lower Saxony","no migration background","44","0.0465872295601814","0.0329835449316383","0.0601909141887244","4"
"Rarely","1985","Lower Saxony","direct migration background","6","","","","4"
"Rarely","1985","Lower Saxony","indirect migration background","1","","","","4"
"Rarely","1985","Bremen","no migration background","5","","","","4"
"Rarely","1985","Bremen","indirect migration background","","","","","4"
"Rarely","1985","North Rhine-Westphalia","no migration background","140","0.0616219178194475","0.0513224144205881","0.0719214212183069","4"
"Rarely","1985","North Rhine-Westphalia","direct migration background","21","","","","4"
"Rarely","1985","North Rhine-Westphalia","indirect migration background","","","","","4"
"Rarely","1985","Baden-Württemberg","no migration background","59","0.0430552951607567","0.0316465465462929","0.0544640437752204","4"
"Rarely","1985","Brandenburg","indirect migration background","","","","","4"
"Rarely","1985","Saxony-Anhalt","no migration background","","","","","4"
"Rarely","1985","Saxony-Anhalt","direct migration background","","","","","4"
"Rarely","1985","Saxony-Anhalt","indirect migration background","","","","","4"
"Rarely","1985","Schleswig-Holstein","indirect migration background","","","","","4"
"Rarely","1985","Thuringia","direct migration background","","","","","4"
"Rarely","1985","Bremen","direct migration background","","","","","4"
"Rarely","1985","Thuringia","no migration background","","","","","4"
"Rarely","1985","Baden-Württemberg","direct migration background","10","","","","4"
"Rarely","1985","Baden-Württemberg","indirect migration background","2","","","","4"
"Rarely","1985","Bavaria","no migration background","84","0.0547261239692774","0.0430833282193086","0.0663689197192462","4"
"Rarely","1985","Mecklenburg-Western Pomerania","no migration background","","","","","4"
"Rarely","1985","Mecklenburg-Western Pomerania","direct migration background","","","","","4"
"Rarely","1985","Mecklenburg-Western Pomerania","indirect migration background","","","","","4"
"Rarely","1985","Saxony","no migration background","","","","","4"
"Rarely","1985","Saxony","direct migration background","","","","","4"
"Rarely","1985","Saxony","indirect migration background","","","","","4"
"Rarely","1985","Thuringia","indirect migration background","","","","","4"
"Rarely","1985","Hesse","no migration background","44","0.0572083971416709","0.0399547379975863","0.0744620562857555","4"
"Rarely","1985","Hesse","direct migration background","8","","","","4"
"Rarely","1985","Hesse","indirect migration background","","","","","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","no migration background","38","0.0630096763560235","0.0439603659004217","0.0820589868116253","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","direct migration background","1","","","","4"
"Rarely","1985","Rhineland-Palatinate,Saarland","indirect migration background","","","","","4"
"Rarely","1985","Bavaria","direct migration background","9","","","","4"
"Rarely","1985","Bavaria","indirect migration background","2","","","","4"
"Rarely","1985","Berlin","no migration background","12","","","","4"
"Rarely","1985","Berlin","direct migration background","5","","","","4"
"Rarely","1985","Berlin","indirect migration background","","","","","4"
"Rarely","1985","Brandenburg","no migration background","","","","","4"
"Rarely","1985","Brandenburg","direct migration background","","","","","4"
"Daily","1986","Schleswig-Holstein","no migration background","","","","","1"
"Daily","1986","Schleswig-Holstein","direct migration background","","","","","1"
"Daily","1986","Schleswig-Holstein","indirect migration background","","","","","1"
"Daily","1986","Hamburg","no migration background","","","","","1"
"Daily","1986","Hamburg","direct migration background","","","","","1"
"Daily","1986","Hamburg","indirect migration background","","","","","1"
"Daily","1986","Lower Saxony","no migration background","","","","","1"
"Daily","1986","Lower Saxony","direct migration background","","","","","1"
"Daily","1986","Lower Saxony","indirect migration background","","","","","1"
"Daily","1986","Bremen","no migration background","","","","","1"
"Daily","1986","Bremen","direct migration background","","","","","1"
"Daily","1986","Bremen","indirect migration background","","","","","1"
"Daily","1986","North Rhine-Westphalia","no migration background","","","","","1"
"Daily","1986","North Rhine-Westphalia","direct migration background","","","","","1"
"Daily","1986","North Rhine-Westphalia","indirect migration background","","","","","1"
"Daily","1986","Hesse","no migration background","","","","","1"
"Daily","1986","Hesse","direct migration background","","","","","1"
"Daily","1986","Hesse","indirect migration background","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","no migration background","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","direct migration background","","","","","1"
"Daily","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","","","1"
"Daily","1986","Baden-Württemberg","no migration background","","","","","1"
"Daily","1986","Baden-Württemberg","direct migration background","","","","","1"
"Daily","1986","Baden-Württemberg","indirect migration background","","","","","1"
"Daily","1986","Bavaria","no migration background","","","","","1"
"Daily","1986","Bavaria","direct migration background","","","","","1"
"Daily","1986","Bavaria","indirect migration background","","","","","1"
"Daily","1986","Berlin","no migration background","","","","","1"
"Daily","1986","Berlin","direct migration background","","","","","1"
"Daily","1986","Berlin","indirect migration background","","","","","1"
"Daily","1986","Brandenburg","no migration background","","","","","1"
"Daily","1986","Brandenburg","direct migration background","","","","","1"
"Daily","1986","Brandenburg","indirect migration background","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","no migration background","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","direct migration background","","","","","1"
"Daily","1986","Mecklenburg-Western Pomerania","indirect migration background","","","","","1"
"Daily","1986","Saxony","no migration background","","","","","1"
"Daily","1986","Saxony","direct migration background","","","","","1"
"Daily","1986","Saxony","indirect migration background","","","","","1"
"Daily","1986","Saxony-Anhalt","no migration background","","","","","1"
"Daily","1986","Saxony-Anhalt","direct migration background","","","","","1"
"Daily","1986","Saxony-Anhalt","indirect migration background","","","","","1"
"Daily","1986","Thuringia","no migration background","","","","","1"
"Daily","1986","Thuringia","direct migration background","","","","","1"
"Daily","1986","Thuringia","indirect migration background","","","","","1"
"Min 1x per month","1986","Schleswig-Holstein","no migration background","9","","","","3"
"Min 1x per month","1986","Schleswig-Holstein","direct migration background","","","","","3"
"Min 1x per month","1986","Schleswig-Holstein","indirect migration background","","","","","3"
"Min 1x per month","1986","Hamburg","no migration background","4","","","","3"
"Min 1x per month","1986","Hamburg","direct migration background","","","","","3"
"Min 1x per month","1986","Hamburg","indirect migration background","","","","","3"
"Min 1x per month","1986","Brandenburg","indirect migration background","","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","no migration background","","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","direct migration background","","","","","3"
"Min 1x per month","1986","Mecklenburg-Western Pomerania","indirect migration background","","","","","3"
"Min 1x per month","1986","Saxony","no migration background","","","","","3"
"Min 1x per month","1986","Saxony","direct migration background","","","","","3"
"Min 1x per month","1986","Lower Saxony","no migration background","13","","","","3"
"Min 1x per month","1986","Lower Saxony","direct migration background","2","","","","3"
"Min 1x per month","1986","Lower Saxony","indirect migration background","1","","","","3"
"Min 1x per month","1986","Bremen","no migration background","2","","","","3"
"Min 1x per month","1986","Bremen","direct migration background","","","","","3"
"Min 1x per month","1986","Bremen","indirect migration background","","","","","3"
"Min 1x per month","1986","North Rhine-Westphalia","no migration background","38","0.0180555329033855","0.0122561177841129","0.023854948022658","3"
"Min 1x per month","1986","North Rhine-Westphalia","direct migration background","6","","","","3"
"Min 1x per month","1986","North Rhine-Westphalia","indirect migration background","","","","","3"
"Min 1x per month","1986","Hesse","no migration background","12","","","","3"
"Min 1x per month","1986","Hesse","direct migration background","","","","","3"
"Min 1x per month","1986","Hesse","indirect migration background","","","","","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","no migration background","23","","","","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","direct migration background","","","","","3"
"Min 1x per month","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","","","3"
"Min 1x per month","1986","Baden-Württemberg","no migration background","14","","","","3"
"Min 1x per month","1986","Baden-Württemberg","direct migration background","3","","","","3"
"Min 1x per month","1986","Baden-Württemberg","indirect migration background","","","","","3"
"Min 1x per month","1986","Bavaria","no migration background","28","","","","3"
"Min 1x per month","1986","Bavaria","direct migration background","6","","","","3"
"Min 1x per month","1986","Bavaria","indirect migration background","","","","","3"
"Min 1x per month","1986","Berlin","no migration background","8","","","","3"
"Min 1x per month","1986","Berlin","direct migration background","","","","","3"
"Min 1x per month","1986","Berlin","indirect migration background","","","","","3"
"Min 1x per month","1986","Brandenburg","no migration background","","","","","3"
"Min 1x per month","1986","Brandenburg","direct migration background","","","","","3"
"Min 1x per month","1986","Saxony","indirect migration background","","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","no migration background","","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","direct migration background","","","","","3"
"Min 1x per month","1986","Saxony-Anhalt","indirect migration background","","","","","3"
"Min 1x per month","1986","Thuringia","no migration background","","","","","3"
"Min 1x per month","1986","Thuringia","direct migration background","","","","","3"
"Min 1x per month","1986","Thuringia","indirect migration background","","","","","3"
"Min 1x per week","1986","Schleswig-Holstein","no migration background","2","","","","2"
"Min 1x per week","1986","Schleswig-Holstein","direct migration background","1","","","","2"
"Min 1x per week","1986","Schleswig-Holstein","indirect migration background","","","","","2"
"Min 1x per week","1986","Hamburg","no migration background","1","","","","2"
"Min 1x per week","1986","Hamburg","direct migration background","","","","","2"
"Min 1x per week","1986","Hamburg","indirect migration background","","","","","2"
"Min 1x per week","1986","Lower Saxony","no migration background","12","","","","2"
"Min 1x per week","1986","Lower Saxony","direct migration background","1","","","","2"
"Min 1x per week","1986","Bremen","indirect migration background","","","","","2"
"Min 1x per week","1986","North Rhine-Westphalia","no migration background","12","","","","2"
"Min 1x per week","1986","North Rhine-Westphalia","direct migration background","3","","","","2"
"Min 1x per week","1986","North Rhine-Westphalia","indirect migration background","","","","","2"
"Min 1x per week","1986","Hesse","no migration background","7","","","","2"
"Min 1x per week","1986","Hesse","direct migration background","3","","","","2"
"Min 1x per week","1986","Hesse","indirect migration background","","","","","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","no migration background","13","","","","2"
"Min 1x per week","1986","Brandenburg","indirect migration background","","","","","2"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","no migration background","","","","","2"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","direct migration background","","","","","2"
"Min 1x per week","1986","Mecklenburg-Western Pomerania","indirect migration background","","","","","2"
"Min 1x per week","1986","Saxony","no migration background","","","","","2"
"Min 1x per week","1986","Saxony","direct migration background","","","","","2"
"Min 1x per week","1986","Saxony","indirect migration background","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","no migration background","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","direct migration background","","","","","2"
"Min 1x per week","1986","Thuringia","direct migration background","","","","","2"
"Min 1x per week","1986","Thuringia","indirect migration background","","","","","2"
"Min 1x per week","1986","Lower Saxony","indirect migration background","","","","","2"
"Min 1x per week","1986","Bremen","no migration background","","","","","2"
"Min 1x per week","1986","Bremen","direct migration background","","","","","2"
"Min 1x per week","1986","Saxony-Anhalt","indirect migration background","","","","","2"
"Min 1x per week","1986","Thuringia","no migration background","","","","","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","direct migration background","","","","","2"
"Min 1x per week","1986","Rhineland-Palatinate,Saarland","indirect migration background","","","","","2"
"Min 1x per week","1986","Baden-Württemberg","no migration background","11","","","","2"
"Min 1x per week","1986","Baden-Württemberg","direct migration background","3","","","","2"
"Min 1x per week","1986","Baden-Württemberg","indirect migration background","","","","","2"
"Min 1x per week","1986","Bavaria","no migration background","17","","","","2"
"Min 1x per week","1986","Bavaria","direct migration background","8","","","","2"
"Min 1x per week","1986","Bavaria","indirect migration background","1","","","","2"
"Min 1x per week","1986","Berlin","no migration background","1","","","","2"
"Min 1x per week","1986","Berlin","direct migration background","","","","","2"
"Min 1x per week","1986","Berlin","indirect migration background","","","","","2"
"Min 1x per week","1986","Brandenburg","no migration background","","","","","2"
"Min 1x per week","1986","Brandenburg","direct migration background","","","","","2"
"Never","1986","Schleswig-Holstein","direct migration background","36","0.887092405563409","0.786468237989395","0.987716573137424","5"
"Never","1986","Brandenburg","indirect migration background","","","","","5"
"Never","1986","Schleswig-Holstein","no migration background","254","0.903396687520332","0.86885606288037","0.937937312160295","5"
"Never","1986","Mecklenburg-Western Pomerania","no migration background","","","","","5"
"Never","1986","Schleswig-Holstein","indirect migration background","1","","","","5"
"Never","1986","Hamburg","no migration background","165","0.928841514755947","0.891073666178338","0.966609363333557","5"
"Never","1986","Hamburg","direct migration background","67","0.995375031888123","0.979248485233248","1.011501578543","5"
"Never","1986","Hamburg","indirect migration background","2","","","","5"
"Never","1986","Lower Saxony","no migration background","847","0.929660915396652","0.913118939149657","0.946202891643647","5"
"Never","1986","Lower Saxony","direct migration background","166","0.963663717452595","0.935698585785399","0.991628849119791","5"
"Never","1986","Lower Saxony","indirect migration background","9","","","","5"
"Never","1986","Bremen","no migration background","80","0.95119915230126","0.905124946454767","0.997273358147753","5"
"Never","1986","Bremen","direct migration background","24","","","","5"
"Never","1986","Bremen","indirect migration background","","","","","5"
"Never","1986","Mecklenburg-Western Pomerania","direct migration background","","","","","5"
"Never","1986","Mecklenburg-Western Pomerania","indirect migration background","","","","","5"
"Never","1986","Saxony","no migration background","","","","","5"
"Never","1986","Saxony","direct migration background","","","","","5"
"Never","1986","Saxony","indirect migration background","","","","","5"
"Never","1986","Saxony-Anhalt","no migration background","","","","","5"
"Never","1986","Saxony-Anhalt","direct migration background","","","","","5"
"Never","1986","Saxony-Anhalt","indirect migration background","","","","","5"
"Never","1986","Thuringia","no migration background","","","","","5"
"Never","1986","Thuringia","direct migration background","","","","","5"
"Never","1986","Thuringia","indirect migration background","","","","","5"
"Never","1986","North Rhine-Westphalia","no migration background","1846","0.913047902071206","0.900775703009912","0.9253201011325","5"
"Never","1986","North Rhine-Westphalia","direct migration background","740","0.963534621526968","0.950294963938301","0.976774279115635","5"
"Never","1986","North Rhine-Westphalia","indirect migration background","43","0.978586085594625","0.936291051101801","1.02088112008745","5"
"Never","1986","Hesse","no migration background","586","0.910522901298285","0.888546227007751","0.932499575588819","5"
"Never","1986","Hesse","direct migration background","373","0.988200564144399","0.977357830887892","0.999043297400906","5"
"Never","1986","Hesse","indirect migration background","9","","","","5"
"Never","1986","Rhineland-Palatinate,Saarland","no migration background","563","0.903557115586194","0.880450985121948","0.92666324605044","5"
"Never","1986","Rhineland-Palatinate,Saarland","direct migration background","124","0.965815144032922","0.934337154339839","0.997293133726004","5"
"Never","1986","Rhineland-Palatinate,Saarland","indirect migration background","9","","","","5"
"Never","1986","Baden-Württemberg","no migration background","1100","0.941515520864586","0.928092566995309","0.954938474733863","5"
"Never","1986","Baden-Württemberg","direct migration background","743","0.951919505222791","0.936759409258297","0.967079601187284","5"
"Never","1986","Baden-Württemberg","indirect migration background","40","0.946986425474048","0.880016581953544","1.01395626899455","5"
"Never","1986","Bavaria","no migration background","1220","0.903164402762096","0.88740643830967","0.918922367214521","5"
"Never","1986","Bavaria","direct migration background","354","0.91286989950494","0.884551144634731","0.941188654375148","5"
"Never","1986","Bavaria","indirect migration background","30","0.81910301615786","0.685733054194835","0.952472978120886","5"
"Never","1986","Berlin","no migration background","215","0.900937927593424","0.863220617748986","0.938655237437861","5"
"Never","1986","Berlin","direct migration background","101","0.896060112884719","0.837686962231961","0.954433263537476","5"
"Never","1986","Berlin","indirect migration background","3","","","","5"
"Never","1986","Brandenburg","no migration background","","","","","5"
