"pli0097_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Daily","1985","Couple + C. LE and GT 16","higher education","","","","","1"
"Min 1x per month","1985","1-pers.-HH","higher vocational","2","","","","3"
"Min 1x per month","1985","Single parent ","general elemantary","4","","","","3"
"Min 1x per month","1985","Single parent ","higher vocational","","","","","3"
"Min 1x per month","1985","1-pers.-HH","in school","","","","","3"
"Min 1x per month","1985","Single parent ","inadequately","","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","higher vocational","5","","","","3"
"Min 1x per month","1985","1-pers.-HH","vocational + Abi","2","","","","3"
"Min 1x per month","1985","1-pers.-HH","higher education","5","","","","3"
"Min 1x per month","1985","Single parent ","higher education","2","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","higher education","13","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Min 1x per month","1985","1-pers.-HH","inadequately","1","","","","3"
"Min 1x per month","1985","1-pers.-HH","general elemantary","2","","","","3"
"Min 1x per month","1985","1-pers.-HH","middle vocational","13","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","in school","","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","inadequately","","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","general elemantary","3","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","middle vocational","22","","","","3"
"Min 1x per month","1985","Single parent ","in school","","","","","3"
"Min 1x per month","1985","Single parent ","middle vocational","5","","","","3"
"Min 1x per month","1985","Single parent ","vocational + Abi","1","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","in school","","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","inadequately","","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","middle vocational","9","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","vocational + Abi","3","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","higher vocational","1","","","","3"
"Min 1x per month","1985","(Married) couple without C. ","higher education","3","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","general elemantary","6","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","middle vocational","23","","","","3"
"Min 1x per month","1985","Couple + C. LE 16 ","vocational + Abi","3","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","in school","1","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","inadequately","1","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","general elemantary","10","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","middle vocational","16","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","vocational + Abi","2","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","higher vocational","8","","","","3"
"Min 1x per month","1985","Couple + C. GT 16 ","higher education","11","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","in school","","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","inadequately","","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","general elemantary","4","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","higher vocational","1","","","","3"
"Min 1x per month","1985","Couple + C. LE and GT 16","higher education","3","","","","3"
"Min 1x per week","1985","1-pers.-HH","higher education","4","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","inadequately","1","","","","2"
"Min 1x per week","1985","1-pers.-HH","middle vocational","5","","","","2"
"Min 1x per week","1985","1-pers.-HH","inadequately","1","","","","2"
"Min 1x per week","1985","1-pers.-HH","higher vocational","1","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","middle vocational","10","","","","2"
"Min 1x per week","1985","1-pers.-HH","in school","","","","","2"
"Min 1x per week","1985","1-pers.-HH","general elemantary","","","","","2"
"Min 1x per week","1985","1-pers.-HH","vocational + Abi","2","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","in school","","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","higher education","3","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","general elemantary","","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","middle vocational","8","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","vocational + Abi","1","","","","2"
"Min 1x per week","1985","(Married) couple without C. ","higher vocational","4","","","","2"
"Min 1x per week","1985","Single parent ","in school","","","","","2"
"Min 1x per week","1985","Single parent ","inadequately","","","","","2"
"Min 1x per week","1985","Single parent ","general elemantary","3","","","","2"
"Min 1x per week","1985","Single parent ","middle vocational","1","","","","2"
"Min 1x per week","1985","Single parent ","vocational + Abi","","","","","2"
"Min 1x per week","1985","Single parent ","higher vocational","","","","","2"
"Min 1x per week","1985","Single parent ","higher education","","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","in school","","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","inadequately","","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","general elemantary","1","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","middle vocational","12","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","vocational + Abi","2","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","higher vocational","2","","","","2"
"Min 1x per week","1985","Couple + C. LE 16 ","higher education","7","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","in school","1","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","inadequately","","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","general elemantary","7","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","middle vocational","6","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","higher vocational","3","","","","2"
"Min 1x per week","1985","Couple + C. GT 16 ","higher education","5","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","in school","","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","inadequately","1","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","general elemantary","1","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","vocational + Abi","","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","higher vocational","1","","","","2"
"Min 1x per week","1985","Couple + C. LE and GT 16","higher education","2","","","","2"
"Never","1985","1-pers.-HH","in school","","","","","5"
"Never","1985","1-pers.-HH","inadequately","52","0.942124976745398","0.880413406900982","1.00383654658981","5"
"Never","1985","1-pers.-HH","general elemantary","325","0.972270115936883","0.954660805361108","0.989879426512658","5"
"Never","1985","1-pers.-HH","vocational + Abi","31","0.817021084644337","0.694086678011295","0.939955491277379","5"
"Never","1985","1-pers.-HH","higher education","91","0.864112360345942","0.798878925822872","0.929345794869012","5"
"Never","1985","(Married) couple without C. ","inadequately","97","0.946116174614334","0.901413192383469","0.990819156845198","5"
"Never","1985","(Married) couple without C. ","general elemantary","578","0.981599068862314","0.970754580822787","0.99244355690184","5"
"Never","1985","(Married) couple without C. ","middle vocational","1193","0.936616942164132","0.923232462643544","0.950001421684721","5"
"Never","1985","(Married) couple without C. ","vocational + Abi","63","0.882167786902353","0.807696397302013","0.956639176502693","5"
"Never","1985","(Married) couple without C. ","higher education","160","0.838133758162167","0.785898202868367","0.890369313455967","5"
"Never","1985","Single parent ","in school","17","","","","5"
"Never","1985","Single parent ","general elemantary","180","0.92650240988241","0.889591283104153","0.963413536660667","5"
"Never","1985","Single parent ","middle vocational","217","0.898381924310922","0.860076072306147","0.936687776315697","5"
"Never","1985","Single parent ","vocational + Abi","7","","","","5"
"Never","1985","Single parent ","higher vocational","19","","","","5"
"Never","1985","Single parent ","higher education","12","","","","5"
"Never","1985","Couple + C. LE 16 ","in school","1","","","","5"
"Never","1985","Couple + C. LE 16 ","inadequately","248","0.99094528509122","0.979250020573485","1.00264054960896","5"
"Never","1985","Couple + C. LE 16 ","general elemantary","526","0.955091836813336","0.937720350347803","0.972463323278868","5"
"Never","1985","Couple + C. LE 16 ","middle vocational","1218","0.922397146697842","0.907914612407499","0.936879680988185","5"
"Never","1985","Couple + C. LE 16 ","higher vocational","161","0.861364257756271","0.811568395587055","0.911160119925488","5"
"Never","1985","Couple + C. GT 16 ","inadequately","131","0.991531882724662","0.976017215472588","1.00704654997674","5"
"Never","1985","Couple + C. GT 16 ","general elemantary","560","0.917309286376489","0.895345061235817","0.93927351151716","5"
"Never","1985","Couple + C. LE and GT 16","higher education","34","0.685831405511513","0.554515437012917","0.81714737401011","5"
"Never","1985","1-pers.-HH","higher vocational","68","0.855272162678002","0.77817625920968","0.932368066146325","5"
"Never","1985","(Married) couple without C. ","in school","","","","","5"
"Never","1985","Couple + C. GT 16 ","in school","75","0.919676847247386","0.860487495773314","0.978866198721458","5"
"Never","1985","Couple + C. GT 16 ","middle vocational","827","0.901321892375791","0.881987730107097","0.920656054644486","5"
"Never","1985","1-pers.-HH","middle vocational","509","0.938877941628305","0.918802829423078","0.958953053833531","5"
"Never","1985","Single parent ","inadequately","41","1","1","1","5"
"Never","1985","Couple + C. LE 16 ","higher education","191","0.77617682540128","0.723878709964981","0.828474940837579","5"
"Never","1985","Couple + C. GT 16 ","vocational + Abi","26","","","","5"
"Never","1985","Couple + C. GT 16 ","higher vocational","83","0.838822350529203","0.766755507635506","0.9108891934229","5"
"Never","1985","Couple + C. GT 16 ","higher education","78","0.697358990869769","0.610313096348604","0.784404885390934","5"
"Never","1985","Couple + C. LE and GT 16","in school","75","0.931789110687232","0.876196097134988","0.987382124239475","5"
"Never","1985","Couple + C. LE and GT 16","inadequately","192","0.987007604807675","0.971154113609236","1.00286109600611","5"
"Never","1985","Couple + C. LE and GT 16","middle vocational","516","0.891426583528445","0.865886917977741","0.916966249079148","5"
"Never","1985","Couple + C. LE and GT 16","vocational + Abi","13","","","","5"
"Never","1985","Couple + C. LE and GT 16","higher vocational","31","0.867427822671172","0.756653345442204","0.978202299900139","5"
"Never","1985","(Married) couple without C. ","higher vocational","143","0.943703644908387","0.907181158972443","0.98022613084433","5"
"Never","1985","Couple + C. LE 16 ","vocational + Abi","67","0.80542539557085","0.717003775860004","0.893847015281696","5"
"Never","1985","Couple + C. LE and GT 16","general elemantary","484","0.95402770320345","0.935689456034189","0.972365950372711","5"
"Rarely","1985","1-pers.-HH","general elemantary","7","","","","4"
"Rarely","1985","Single parent ","general elemantary","5","","","","4"
"Rarely","1985","Single parent ","middle vocational","16","","","","4"
"Rarely","1985","1-pers.-HH","in school","","","","","4"
"Rarely","1985","1-pers.-HH","higher education","6","","","","4"
"Rarely","1985","(Married) couple without C. ","general elemantary","9","","","","4"
"Rarely","1985","1-pers.-HH","higher vocational","9","","","","4"
"Rarely","1985","(Married) couple without C. ","inadequately","","","","","4"
"Rarely","1985","(Married) couple without C. ","middle vocational","50","0.0392230796486805","0.0285591808460876","0.0498869784512734","4"
"Rarely","1985","(Married) couple without C. ","vocational + Abi","5","","","","4"
"Rarely","1985","Couple + C. GT 16 ","in school","4","","","","4"
"Rarely","1985","Couple + C. GT 16 ","inadequately","2","","","","4"
"Rarely","1985","Single parent ","vocational + Abi","1","","","","4"
"Rarely","1985","1-pers.-HH","inadequately","1","","","","4"
"Rarely","1985","Couple + C. GT 16 ","general elemantary","27","","","","4"
"Rarely","1985","1-pers.-HH","middle vocational","20","","","","4"
"Rarely","1985","1-pers.-HH","vocational + Abi","3","","","","4"
"Rarely","1985","(Married) couple without C. ","in school","","","","","4"
"Rarely","1985","Single parent ","in school","2","","","","4"
"Rarely","1985","Single parent ","inadequately","","","","","4"
"Rarely","1985","Single parent ","higher vocational","4","","","","4"
"Rarely","1985","Single parent ","higher education","1","","","","4"
"Rarely","1985","Couple + C. LE 16 ","in school","","","","","4"
"Rarely","1985","Couple + C. LE 16 ","general elemantary","13","","","","4"
"Rarely","1985","Couple + C. LE 16 ","middle vocational","58","0.0484442523782983","0.0368221420840486","0.060066362672548","4"
"Rarely","1985","Couple + C. LE 16 ","higher education","33","0.138930167147587","0.0955320743564737","0.1823282599387","4"
"Rarely","1985","Couple + C. GT 16 ","middle vocational","65","0.0748693760837734","0.0578074275024369","0.09193132466511","4"
"Rarely","1985","Couple + C. GT 16 ","vocational + Abi","7","","","","4"
"Rarely","1985","Couple + C. GT 16 ","higher vocational","6","","","","4"
"Rarely","1985","Couple + C. GT 16 ","higher education","13","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","in school","4","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","middle vocational","35","0.0665186958394424","0.0460620070480962","0.0869753846307885","4"
"Rarely","1985","Couple + C. LE and GT 16","vocational + Abi","2","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","higher vocational","3","","","","4"
"Rarely","1985","Couple + C. LE 16 ","inadequately","4","","","","4"
"Rarely","1985","(Married) couple without C. ","higher vocational","5","","","","4"
"Rarely","1985","(Married) couple without C. ","higher education","25","","","","4"
"Rarely","1985","Couple + C. LE 16 ","vocational + Abi","5","","","","4"
"Rarely","1985","Couple + C. LE 16 ","higher vocational","17","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","inadequately","3","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","general elemantary","12","","","","4"
"Rarely","1985","Couple + C. LE and GT 16","higher education","9","","","","4"
"Daily","1986","1-pers.-HH","in school","","","","","1"
"Daily","1986","1-pers.-HH","inadequately","","","","","1"
"Daily","1986","1-pers.-HH","general elemantary","","","","","1"
"Daily","1986","1-pers.-HH","middle vocational","","","","","1"
"Daily","1986","1-pers.-HH","vocational + Abi","","","","","1"
"Daily","1986","1-pers.-HH","higher vocational","","","","","1"
"Daily","1986","1-pers.-HH","higher education","","","","","1"
"Daily","1986","(Married) couple without C. ","in school","","","","","1"
"Daily","1986","(Married) couple without C. ","inadequately","","","","","1"
"Daily","1986","(Married) couple without C. ","general elemantary","","","","","1"
"Daily","1986","(Married) couple without C. ","middle vocational","","","","","1"
"Daily","1986","(Married) couple without C. ","vocational + Abi","","","","","1"
"Daily","1986","(Married) couple without C. ","higher vocational","","","","","1"
"Daily","1986","(Married) couple without C. ","higher education","","","","","1"
"Daily","1986","Single parent ","in school","","","","","1"
"Daily","1986","Single parent ","inadequately","","","","","1"
"Daily","1986","Single parent ","general elemantary","","","","","1"
"Daily","1986","Single parent ","middle vocational","","","","","1"
"Daily","1986","Single parent ","vocational + Abi","","","","","1"
"Daily","1986","Single parent ","higher vocational","","","","","1"
"Daily","1986","Single parent ","higher education","","","","","1"
"Daily","1986","Couple + C. LE 16 ","in school","","","","","1"
"Daily","1986","Couple + C. LE 16 ","inadequately","","","","","1"
"Daily","1986","Couple + C. LE 16 ","general elemantary","","","","","1"
"Daily","1986","Couple + C. LE 16 ","middle vocational","","","","","1"
"Daily","1986","Couple + C. LE 16 ","vocational + Abi","","","","","1"
"Daily","1986","Couple + C. LE 16 ","higher vocational","","","","","1"
"Daily","1986","Couple + C. LE 16 ","higher education","","","","","1"
"Daily","1986","Couple + C. GT 16 ","in school","","","","","1"
"Daily","1986","Couple + C. GT 16 ","inadequately","","","","","1"
"Daily","1986","Couple + C. GT 16 ","general elemantary","","","","","1"
"Daily","1986","Couple + C. GT 16 ","middle vocational","","","","","1"
"Daily","1986","Couple + C. GT 16 ","vocational + Abi","","","","","1"
"Daily","1986","Couple + C. GT 16 ","higher vocational","","","","","1"
"Daily","1986","Couple + C. GT 16 ","higher education","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","in school","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","inadequately","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","general elemantary","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","middle vocational","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","vocational + Abi","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","higher vocational","","","","","1"
"Daily","1986","Couple + C. LE and GT 16","higher education","","","","","1"
"Min 1x per month","1986","1-pers.-HH","in school","","","","","3"
"Min 1x per month","1986","1-pers.-HH","inadequately","","","","","3"
"Min 1x per month","1986","1-pers.-HH","general elemantary","5","","","","3"
"Min 1x per month","1986","1-pers.-HH","higher education","1","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","in school","","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","inadequately","1","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","general elemantary","2","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","middle vocational","16","","","","3"
"Min 1x per month","1986","Single parent ","in school","1","","","","3"
"Min 1x per month","1986","Single parent ","general elemantary","4","","","","3"
"Min 1x per month","1986","Single parent ","middle vocational","7","","","","3"
"Min 1x per month","1986","Single parent ","vocational + Abi","","","","","3"
"Min 1x per month","1986","Single parent ","higher vocational","1","","","","3"
"Min 1x per month","1986","Single parent ","higher education","1","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","in school","","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","inadequately","","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","higher vocational","2","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","middle vocational","15","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","vocational + Abi","","","","","3"
"Min 1x per month","1986","1-pers.-HH","middle vocational","13","","","","3"
"Min 1x per month","1986","1-pers.-HH","vocational + Abi","","","","","3"
"Min 1x per month","1986","1-pers.-HH","higher vocational","4","","","","3"
"Min 1x per month","1986","Single parent ","inadequately","","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","higher education","11","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","vocational + Abi","","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","higher vocational","1","","","","3"
"Min 1x per month","1986","(Married) couple without C. ","higher education","4","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","general elemantary","4","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","middle vocational","15","","","","3"
"Min 1x per month","1986","Couple + C. LE 16 ","vocational + Abi","4","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","in school","1","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","inadequately","","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","general elemantary","11","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","middle vocational","14","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","vocational + Abi","1","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","higher vocational","4","","","","3"
"Min 1x per month","1986","Couple + C. GT 16 ","higher education","5","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","in school","","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","inadequately","1","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","general elemantary","5","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","higher vocational","1","","","","3"
"Min 1x per month","1986","Couple + C. LE and GT 16","higher education","1","","","","3"
"Min 1x per week","1986","1-pers.-HH","middle vocational","4","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","inadequately","","","","","2"
"Min 1x per week","1986","1-pers.-HH","in school","","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","higher education","4","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","in school","","","","","2"
"Min 1x per week","1986","1-pers.-HH","higher vocational","","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","middle vocational","7","","","","2"
"Min 1x per week","1986","1-pers.-HH","inadequately","1","","","","2"
"Min 1x per week","1986","1-pers.-HH","general elemantary","","","","","2"
"Min 1x per week","1986","1-pers.-HH","vocational + Abi","2","","","","2"
"Min 1x per week","1986","1-pers.-HH","higher education","3","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","general elemantary","","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","middle vocational","14","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","vocational + Abi","3","","","","2"
"Min 1x per week","1986","(Married) couple without C. ","higher vocational","2","","","","2"
"Min 1x per week","1986","Single parent ","in school","","","","","2"
"Min 1x per week","1986","Single parent ","inadequately","","","","","2"
"Min 1x per week","1986","Single parent ","general elemantary","","","","","2"
"Min 1x per week","1986","Single parent ","middle vocational","3","","","","2"
"Min 1x per week","1986","Single parent ","vocational + Abi","1","","","","2"
"Min 1x per week","1986","Single parent ","higher vocational","","","","","2"
"Min 1x per week","1986","Single parent ","higher education","1","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","in school","","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","inadequately","1","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","general elemantary","1","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","middle vocational","14","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","vocational + Abi","2","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","higher vocational","","","","","2"
"Min 1x per week","1986","Couple + C. LE 16 ","higher education","6","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","in school","","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","inadequately","","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","general elemantary","4","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","middle vocational","7","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","vocational + Abi","","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","higher vocational","2","","","","2"
"Min 1x per week","1986","Couple + C. GT 16 ","higher education","4","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","in school","","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","inadequately","1","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","general elemantary","1","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","vocational + Abi","1","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","higher vocational","","","","","2"
"Min 1x per week","1986","Couple + C. LE and GT 16","higher education","2","","","","2"
"Never","1986","(Married) couple without C. ","general elemantary","557","0.970211954898114","0.956316637197351","0.984107272598877","5"
"Never","1986","Couple + C. LE 16 ","vocational + Abi","70","0.775684902720516","0.683702136325305","0.867667669115728","5"
"Never","1986","Couple + C. LE 16 ","inadequately","218","0.988823541321956","0.974963533952018","1.00268354869189","5"
"Never","1986","1-pers.-HH","inadequately","43","0.967334649275365","0.914811133644899","1.01985816490583","5"
"Never","1986","1-pers.-HH","higher education","95","0.852059397926867","0.786010552848319","0.918108243005415","5"
"Never","1986","Couple + C. GT 16 ","higher education","82","0.755229695976693","0.673763939442229","0.836695452511156","5"
"Never","1986","Couple + C. LE and GT 16","in school","72","0.95837698410595","0.913175528606829","1.00357843960507","5"
"Never","1986","Couple + C. LE and GT 16","inadequately","181","0.97921601836199","0.958658728647903","0.999773308076076","5"
"Never","1986","Single parent ","higher education","15","","","","5"
"Never","1986","Couple + C. LE and GT 16","vocational + Abi","19","","","","5"
"Never","1986","Couple + C. LE 16 ","higher education","199","0.817829138211044","0.769198367280865","0.866459909141224","5"
"Never","1986","Couple + C. GT 16 ","inadequately","132","0.993717261632251","0.980388582561305","1.0070459407032","5"
"Never","1986","1-pers.-HH","vocational + Abi","26","","","","5"
"Never","1986","(Married) couple without C. ","in school","1","","","","5"
"Never","1986","(Married) couple without C. ","inadequately","89","0.987806351133693","0.965257202759144","1.01035549950824","5"
"Never","1986","Couple + C. LE 16 ","middle vocational","1099","0.926273927269066","0.911331903334127","0.941215951204004","5"
"Never","1986","1-pers.-HH","in school","1","","","","5"
"Never","1986","Couple + C. LE and GT 16","higher education","31","0.715483857753845","0.580628800128454","0.850338915379237","5"
"Never","1986","Single parent ","higher vocational","19","","","","5"
"Never","1986","Couple + C. LE 16 ","in school","","","","","5"
"Never","1986","Couple + C. GT 16 ","general elemantary","614","0.935014761072","0.916079373867558","0.953950148276441","5"
"Never","1986","Couple + C. GT 16 ","middle vocational","889","0.907276560806369","0.88900502624414","0.925548095368598","5"
"Never","1986","Couple + C. GT 16 ","vocational + Abi","32","0.881486163957487","0.774406661011542","0.988565666903432","5"
"Never","1986","Couple + C. LE and GT 16","middle vocational","480","0.89420031974749","0.868014284735064","0.920386354759916","5"
"Never","1986","1-pers.-HH","general elemantary","293","0.96757667704203","0.947633321417647","0.987520032666413","5"
"Never","1986","1-pers.-HH","middle vocational","501","0.93308779687969","0.912032402614893","0.954143191144488","5"
"Never","1986","1-pers.-HH","higher vocational","58","0.866807018675687","0.786634518864599","0.946979518486776","5"
"Never","1986","(Married) couple without C. ","middle vocational","1164","0.930590457572005","0.916512656802681","0.944668258341328","5"
"Never","1986","(Married) couple without C. ","vocational + Abi","66","0.874409508636956","0.798390451881907","0.950428565392005","5"
"Never","1986","Couple + C. LE and GT 16","higher vocational","35","0.877687051860771","0.777395990940017","0.977978112781526","5"
"Never","1986","Single parent ","in school","20","","","","5"
"Never","1986","Single parent ","inadequately","33","1","1","1","5"
"Never","1986","Single parent ","middle vocational","208","0.926237293566896","0.892007550836788","0.960467036297004","5"
"Never","1986","Single parent ","vocational + Abi","5","","","","5"
"Never","1986","Couple + C. LE 16 ","general elemantary","461","0.960364640846783","0.942892753772625","0.977836527920941","5"
"Never","1986","(Married) couple without C. ","higher vocational","136","0.902326951364841","0.855286474896904","0.949367427832777","5"
