"ple0017","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2013","(Married) couple without C. ","Female","349","1","1","1"
"Yes","2013","Single parent ","Male","14","","",""
"Yes","2013","Single parent ","Female","85","1","1","1"
"Yes","2013","Couple + C. LE 16 ","Male","45","1","1","1"
"Yes","2013","Couple + C. LE 16 ","Female","165","1","1","1"
"Yes","2013","Couple + C. GT 16 ","Male","33","1","1","1"
"Yes","2013","Couple + C. GT 16 ","Female","119","1","1","1"
"Yes","2013","Couple + C. LE and GT 16","Male","23","","",""
"Yes","2013","Couple + C. LE and GT 16","Female","54","1","1","1"
"Yes","2014","1-pers.-HH","Male","","","",""
"Yes","2014","1-pers.-HH","Female","","","",""
"Yes","2014","(Married) couple without C. ","Male","","","",""
"Yes","2014","(Married) couple without C. ","Female","","","",""
"Yes","2014","Single parent ","Male","","","",""
"Yes","2014","Single parent ","Female","","","",""
"Yes","2014","Couple + C. LE 16 ","Male","","","",""
"Yes","2014","Couple + C. LE 16 ","Female","","","",""
"Yes","2014","Couple + C. GT 16 ","Male","","","",""
"Yes","2014","Couple + C. GT 16 ","Female","","","",""
"Yes","2014","Couple + C. LE and GT 16","Male","","","",""
"Yes","2014","Couple + C. LE and GT 16","Female","","","",""
"Yes","2015","1-pers.-HH","Male","44","1","1","1"
"Yes","2015","1-pers.-HH","Female","179","1","1","1"
"Yes","2015","(Married) couple without C. ","Male","89","1","1","1"
"Yes","2015","(Married) couple without C. ","Female","323","1","1","1"
"Yes","2015","Single parent ","Male","20","","",""
"Yes","2015","Single parent ","Female","224","1","1","1"
"Yes","2015","Couple + C. LE 16 ","Male","95","1","1","1"
"Yes","2015","Couple + C. LE 16 ","Female","367","1","1","1"
"Yes","2015","Couple + C. GT 16 ","Male","40","1","1","1"
"Yes","2015","Couple + C. GT 16 ","Female","136","1","1","1"
"Yes","2015","Couple + C. LE and GT 16","Male","29","","",""
"Yes","2015","Couple + C. LE and GT 16","Female","119","1","1","1"
"Yes","2016","1-pers.-HH","Male","","","",""
"Yes","2016","1-pers.-HH","Female","","","",""
"Yes","2016","(Married) couple without C. ","Male","","","",""
"Yes","2016","(Married) couple without C. ","Female","","","",""
"Yes","2016","Single parent ","Male","","","",""
"Yes","2016","Single parent ","Female","","","",""
"Yes","2016","Couple + C. LE 16 ","Male","","","",""
"Yes","2016","Couple + C. LE 16 ","Female","","","",""
"Yes","2016","Couple + C. GT 16 ","Male","","","",""
"Yes","2016","Couple + C. GT 16 ","Female","","","",""
"Yes","2016","Couple + C. LE and GT 16","Male","","","",""
"Yes","2016","Couple + C. LE and GT 16","Female","","","",""
"Yes","2017","1-pers.-HH","Male","63","1","1","1"
"Yes","2017","1-pers.-HH","Female","209","1","1","1"
"Yes","2017","(Married) couple without C. ","Male","98","1","1","1"
"Yes","2017","(Married) couple without C. ","Female","386","1","1","1"
"Yes","2017","Single parent ","Male","23","","",""
"Yes","2017","Single parent ","Female","218","1","1","1"
"Yes","2017","Couple + C. LE 16 ","Male","101","1","1","1"
"Yes","2017","Couple + C. LE 16 ","Female","352","1","1","1"
"Yes","2017","Couple + C. GT 16 ","Male","55","1","1","1"
"Yes","2017","Couple + C. GT 16 ","Female","166","1","1","1"
"Yes","2017","Couple + C. LE and GT 16","Male","48","1","1","1"
"Yes","2017","Couple + C. LE and GT 16","Female","138","1","1","1"
"Yes","2018","1-pers.-HH","Male","","","",""
"Yes","2018","1-pers.-HH","Female","","","",""
"Yes","2018","(Married) couple without C. ","Male","","","",""
"Yes","2018","(Married) couple without C. ","Female","","","",""
"Yes","2018","Single parent ","Male","","","",""
"Yes","2018","Single parent ","Female","","","",""
"Yes","2018","Couple + C. LE 16 ","Male","","","",""
"Yes","2018","Couple + C. LE 16 ","Female","","","",""
"Yes","2018","Couple + C. GT 16 ","Male","","","",""
"Yes","2018","Couple + C. GT 16 ","Female","","","",""
"Yes","2018","Couple + C. LE and GT 16","Male","","","",""
"Yes","2018","Couple + C. LE and GT 16","Female","","","",""
"Yes","2019","1-pers.-HH","Male","73","1","1","1"
"Yes","2019","1-pers.-HH","Female","242","1","1","1"
"Yes","2019","(Married) couple without C. ","Male","107","1","1","1"
"Yes","2019","(Married) couple without C. ","Female","417","1","1","1"
"Yes","2019","Single parent ","Male","22","","",""
"Yes","2019","Single parent ","Female","194","1","1","1"
"Yes","2019","Couple + C. LE 16 ","Male","102","1","1","1"
"Yes","2019","Couple + C. LE 16 ","Female","301","1","1","1"
"Yes","2019","Couple + C. GT 16 ","Male","55","1","1","1"
"Yes","2019","Couple + C. GT 16 ","Female","164","1","1","1"
"Yes","2019","Couple + C. LE and GT 16","Male","50","1","1","1"
"Yes","2019","Couple + C. LE and GT 16","Female","135","1","1","1"
