"ple0017","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2011","direct migration background","middle vocational","36","1","1","1"
"Yes","2011","direct migration background","vocational + Abi","16","","",""
"Yes","2011","direct migration background","higher vocational","8","","",""
"Yes","2011","direct migration background","higher education","18","","",""
"Yes","2011","indirect migration background","in school","","","",""
"Yes","2011","indirect migration background","inadequately","2","","",""
"Yes","2011","indirect migration background","general elemantary","16","","",""
"Yes","2011","indirect migration background","middle vocational","23","","",""
"Yes","2011","indirect migration background","vocational + Abi","3","","",""
"Yes","2011","indirect migration background","higher vocational","1","","",""
"Yes","2011","indirect migration background","higher education","1","","",""
"Yes","2012","no migration background","in school","","","",""
"Yes","2012","no migration background","inadequately","","","",""
"Yes","2012","no migration background","general elemantary","","","",""
"Yes","2012","no migration background","middle vocational","","","",""
"Yes","2012","no migration background","vocational + Abi","","","",""
"Yes","2012","no migration background","higher vocational","","","",""
"Yes","2012","no migration background","higher education","","","",""
"Yes","2012","direct migration background","in school","","","",""
"Yes","2012","direct migration background","inadequately","","","",""
"Yes","2012","direct migration background","general elemantary","","","",""
"Yes","2012","direct migration background","middle vocational","","","",""
"Yes","2012","direct migration background","vocational + Abi","","","",""
"Yes","2012","direct migration background","higher vocational","","","",""
"Yes","2012","direct migration background","higher education","","","",""
"Yes","2012","indirect migration background","in school","","","",""
"Yes","2012","indirect migration background","inadequately","","","",""
"Yes","2012","indirect migration background","general elemantary","","","",""
"Yes","2012","indirect migration background","middle vocational","","","",""
"Yes","2012","indirect migration background","vocational + Abi","","","",""
"Yes","2012","indirect migration background","higher vocational","","","",""
"Yes","2012","indirect migration background","higher education","","","",""
"Yes","2013","no migration background","in school","10","","",""
"Yes","2013","no migration background","inadequately","16","","",""
"Yes","2013","no migration background","general elemantary","89","1","1","1"
"Yes","2013","no migration background","middle vocational","539","1","1","1"
"Yes","2013","no migration background","vocational + Abi","65","1","1","1"
"Yes","2013","no migration background","higher vocational","88","1","1","1"
"Yes","2013","no migration background","higher education","236","1","1","1"
"Yes","2013","direct migration background","in school","1","","",""
"Yes","2013","direct migration background","inadequately","4","","",""
"Yes","2013","direct migration background","general elemantary","22","","",""
"Yes","2013","direct migration background","middle vocational","33","1","1","1"
"Yes","2013","direct migration background","vocational + Abi","18","","",""
"Yes","2013","direct migration background","higher vocational","7","","",""
"Yes","2013","direct migration background","higher education","22","","",""
"Yes","2013","indirect migration background","in school","4","","",""
"Yes","2013","indirect migration background","inadequately","2","","",""
"Yes","2013","indirect migration background","general elemantary","11","","",""
"Yes","2013","indirect migration background","middle vocational","26","","",""
"Yes","2013","indirect migration background","vocational + Abi","6","","",""
"Yes","2013","indirect migration background","higher vocational","2","","",""
"Yes","2013","indirect migration background","higher education","","","",""
"Yes","2014","no migration background","in school","","","",""
"Yes","2014","no migration background","inadequately","","","",""
"Yes","2014","no migration background","general elemantary","","","",""
"Yes","2014","no migration background","middle vocational","","","",""
"Yes","2014","no migration background","vocational + Abi","","","",""
"Yes","2014","no migration background","higher vocational","","","",""
"Yes","2014","no migration background","higher education","","","",""
"Yes","2014","direct migration background","in school","","","",""
"Yes","2014","direct migration background","inadequately","","","",""
"Yes","2014","direct migration background","general elemantary","","","",""
"Yes","2014","direct migration background","middle vocational","","","",""
"Yes","2014","direct migration background","vocational + Abi","","","",""
"Yes","2014","direct migration background","higher vocational","","","",""
"Yes","2014","direct migration background","higher education","","","",""
"Yes","2014","indirect migration background","in school","","","",""
"Yes","2014","indirect migration background","inadequately","","","",""
"Yes","2014","indirect migration background","general elemantary","","","",""
"Yes","2014","indirect migration background","middle vocational","","","",""
"Yes","2014","indirect migration background","vocational + Abi","","","",""
"Yes","2014","indirect migration background","higher vocational","","","",""
"Yes","2014","indirect migration background","higher education","","","",""
"Yes","2015","no migration background","in school","11","","",""
"Yes","2015","no migration background","inadequately","19","","",""
"Yes","2015","no migration background","general elemantary","112","1","1","1"
"Yes","2015","no migration background","middle vocational","651","1","1","1"
"Yes","2015","no migration background","vocational + Abi","101","1","1","1"
"Yes","2015","no migration background","higher vocational","82","1","1","1"
"Yes","2015","no migration background","higher education","307","1","1","1"
"Yes","2015","direct migration background","in school","4","","",""
"Yes","2015","direct migration background","inadequately","18","","",""
"Yes","2015","direct migration background","general elemantary","41","1","1","1"
"Yes","2015","direct migration background","middle vocational","94","1","1","1"
"Yes","2015","direct migration background","vocational + Abi","56","1","1","1"
"Yes","2015","direct migration background","higher vocational","8","","",""
"Yes","2015","direct migration background","higher education","52","1","1","1"
"Yes","2015","indirect migration background","in school","5","","",""
"Yes","2015","indirect migration background","inadequately","8","","",""
"Yes","2015","indirect migration background","general elemantary","24","","",""
"Yes","2015","indirect migration background","middle vocational","46","1","1","1"
"Yes","2015","indirect migration background","vocational + Abi","12","","",""
"Yes","2015","indirect migration background","higher vocational","7","","",""
"Yes","2015","indirect migration background","higher education","21","","",""
"Yes","2016","no migration background","in school","","","",""
"Yes","2016","no migration background","inadequately","","","",""
"Yes","2016","no migration background","general elemantary","","","",""
"Yes","2016","no migration background","middle vocational","","","",""
"Yes","2016","no migration background","vocational + Abi","","","",""
"Yes","2016","no migration background","higher vocational","","","",""
"Yes","2016","no migration background","higher education","","","",""
"Yes","2016","direct migration background","in school","","","",""
"Yes","2016","direct migration background","inadequately","","","",""
"Yes","2016","direct migration background","general elemantary","","","",""
"Yes","2016","direct migration background","middle vocational","","","",""
"Yes","2016","direct migration background","vocational + Abi","","","",""
"Yes","2016","direct migration background","higher vocational","","","",""
"Yes","2016","direct migration background","higher education","","","",""
"Yes","2016","indirect migration background","in school","","","",""
"Yes","2016","indirect migration background","inadequately","","","",""
"Yes","2016","indirect migration background","general elemantary","","","",""
"Yes","2016","indirect migration background","middle vocational","","","",""
"Yes","2016","indirect migration background","vocational + Abi","","","",""
"Yes","2016","indirect migration background","higher vocational","","","",""
"Yes","2016","indirect migration background","higher education","","","",""
"Yes","2017","no migration background","in school","22","","",""
"Yes","2017","no migration background","inadequately","23","","",""
"Yes","2017","no migration background","general elemantary","132","1","1","1"
"Yes","2017","no migration background","middle vocational","679","1","1","1"
"Yes","2017","no migration background","vocational + Abi","128","1","1","1"
"Yes","2017","no migration background","higher vocational","96","1","1","1"
"Yes","2017","no migration background","higher education","329","1","1","1"
"Yes","2017","direct migration background","in school","1","","",""
"Yes","2017","direct migration background","inadequately","23","","",""
"Yes","2017","direct migration background","general elemantary","46","1","1","1"
"Yes","2017","direct migration background","middle vocational","92","1","1","1"
"Yes","2017","direct migration background","vocational + Abi","53","1","1","1"
"Yes","2017","direct migration background","higher vocational","6","","",""
"Yes","2017","direct migration background","higher education","93","1","1","1"
"Yes","2017","indirect migration background","in school","10","","",""
"Yes","2017","indirect migration background","inadequately","7","","",""
"Yes","2017","indirect migration background","general elemantary","26","","",""
"Yes","2017","indirect migration background","middle vocational","59","1","1","1"
"Yes","2017","indirect migration background","vocational + Abi","12","","",""
"Yes","2017","indirect migration background","higher vocational","9","","",""
"Yes","2017","indirect migration background","higher education","15","","",""
"Yes","2018","no migration background","in school","","","",""
"Yes","2018","no migration background","inadequately","","","",""
"Yes","2018","no migration background","general elemantary","","","",""
"Yes","2018","no migration background","middle vocational","","","",""
"Yes","2018","no migration background","vocational + Abi","","","",""
"Yes","2018","no migration background","higher vocational","","","",""
"Yes","2018","no migration background","higher education","","","",""
"Yes","2018","direct migration background","in school","","","",""
"Yes","2018","direct migration background","inadequately","","","",""
"Yes","2018","direct migration background","general elemantary","","","",""
"Yes","2018","direct migration background","middle vocational","","","",""
"Yes","2018","direct migration background","vocational + Abi","","","",""
"Yes","2018","direct migration background","higher vocational","","","",""
"Yes","2018","direct migration background","higher education","","","",""
"Yes","2018","indirect migration background","in school","","","",""
"Yes","2018","indirect migration background","inadequately","","","",""
"Yes","2018","indirect migration background","general elemantary","","","",""
"Yes","2018","indirect migration background","middle vocational","","","",""
"Yes","2018","indirect migration background","vocational + Abi","","","",""
"Yes","2018","indirect migration background","higher vocational","","","",""
"Yes","2018","indirect migration background","higher education","","","",""
"Yes","2019","no migration background","in school","21","","",""
"Yes","2019","no migration background","inadequately","18","","",""
"Yes","2019","no migration background","general elemantary","128","1","1","1"
"Yes","2019","no migration background","middle vocational","680","1","1","1"
"Yes","2019","no migration background","vocational + Abi","127","1","1","1"
"Yes","2019","no migration background","higher vocational","110","1","1","1"
"Yes","2019","no migration background","higher education","391","1","1","1"
"Yes","2019","direct migration background","in school","1","","",""
"Yes","2019","direct migration background","inadequately","14","","",""
"Yes","2019","direct migration background","general elemantary","36","1","1","1"
"Yes","2019","direct migration background","middle vocational","88","1","1","1"
"Yes","2019","direct migration background","vocational + Abi","42","1","1","1"
"Yes","2019","direct migration background","higher vocational","5","","",""
"Yes","2019","direct migration background","higher education","84","1","1","1"
"Yes","2019","indirect migration background","in school","4","","",""
"Yes","2019","indirect migration background","inadequately","4","","",""
"Yes","2019","indirect migration background","general elemantary","18","","",""
"Yes","2019","indirect migration background","middle vocational","55","1","1","1"
"Yes","2019","indirect migration background","vocational + Abi","15","","",""
"Yes","2019","indirect migration background","higher vocational","8","","",""
"Yes","2019","indirect migration background","higher education","25","","",""
