"pli0093_h","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1993","no degree/no degree yet","direct migration background","","","",""
"Min 1x per week","1993","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1993","lower secondary degree","no migration background","","","",""
"Min 1x per month","1993","lower secondary degree","direct migration background","","","",""
"Min 1x per month","1993","lower secondary degree","indirect migration background","","","",""
"Min 1x per month","1993","secondary school degree","no migration background","","","",""
"Min 1x per month","1993","secondary school degree","direct migration background","","","",""
"Min 1x per month","1993","secondary school degree","indirect migration background","","","",""
"Min 1x per month","1993","college entrance qualification","no migration background","","","",""
"Min 1x per month","1993","college entrance qualification","direct migration background","","","",""
"Min 1x per month","1993","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1993","Other degree","no migration background","","","",""
"Min 1x per month","1993","Other degree","direct migration background","","","",""
"Min 1x per month","1993","Other degree","indirect migration background","","","",""
"Min 1x per month","1993","no degree/no degree yet","no migration background","","","",""
"Min 1x per month","1993","no degree/no degree yet","direct migration background","","","",""
"Min 1x per month","1993","no degree/no degree yet","indirect migration background","","","",""
"Rarely","1993","lower secondary degree","no migration background","","","",""
"Rarely","1993","lower secondary degree","direct migration background","","","",""
"Rarely","1993","lower secondary degree","indirect migration background","","","",""
"Rarely","1993","secondary school degree","no migration background","","","",""
"Rarely","1993","secondary school degree","direct migration background","","","",""
"Rarely","1993","secondary school degree","indirect migration background","","","",""
"Rarely","1993","college entrance qualification","no migration background","","","",""
"Rarely","1993","college entrance qualification","direct migration background","","","",""
"Rarely","1993","college entrance qualification","indirect migration background","","","",""
"Rarely","1993","Other degree","no migration background","","","",""
"Rarely","1993","Other degree","direct migration background","","","",""
"Rarely","1993","Other degree","indirect migration background","","","",""
"Rarely","1993","no degree/no degree yet","no migration background","","","",""
"Rarely","1993","no degree/no degree yet","direct migration background","","","",""
"Rarely","1993","no degree/no degree yet","indirect migration background","","","",""
"Never","1993","lower secondary degree","no migration background","","","",""
"Never","1993","lower secondary degree","direct migration background","","","",""
"Never","1993","lower secondary degree","indirect migration background","","","",""
"Never","1993","secondary school degree","no migration background","","","",""
"Never","1993","secondary school degree","direct migration background","","","",""
"Never","1993","secondary school degree","indirect migration background","","","",""
"Never","1993","college entrance qualification","no migration background","","","",""
"Never","1993","college entrance qualification","direct migration background","","","",""
"Never","1993","college entrance qualification","indirect migration background","","","",""
"Never","1993","Other degree","no migration background","","","",""
"Never","1993","Other degree","direct migration background","","","",""
"Never","1993","Other degree","indirect migration background","","","",""
"Never","1993","no degree/no degree yet","no migration background","","","",""
"Never","1993","no degree/no degree yet","direct migration background","","","",""
"Never","1993","no degree/no degree yet","indirect migration background","","","",""
"Daily","1994","lower secondary degree","no migration background","","","",""
"Daily","1994","lower secondary degree","direct migration background","","","",""
"Daily","1994","lower secondary degree","indirect migration background","","","",""
"Daily","1994","secondary school degree","no migration background","","","",""
"Daily","1994","secondary school degree","direct migration background","","","",""
"Daily","1994","secondary school degree","indirect migration background","","","",""
"Daily","1994","college entrance qualification","no migration background","","","",""
"Daily","1994","college entrance qualification","direct migration background","","","",""
"Daily","1994","college entrance qualification","indirect migration background","","","",""
"Daily","1994","Other degree","no migration background","","","",""
"Daily","1994","Other degree","direct migration background","","","",""
"Daily","1994","Other degree","indirect migration background","","","",""
"Daily","1994","no degree/no degree yet","no migration background","","","",""
"Daily","1994","no degree/no degree yet","direct migration background","","","",""
"Daily","1994","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per week","1994","lower secondary degree","no migration background","","","",""
"Min 1x per week","1994","lower secondary degree","direct migration background","","","",""
"Min 1x per week","1994","lower secondary degree","indirect migration background","","","",""
"Min 1x per week","1994","secondary school degree","no migration background","","","",""
"Min 1x per week","1994","secondary school degree","direct migration background","","","",""
"Min 1x per week","1994","secondary school degree","indirect migration background","","","",""
"Min 1x per week","1994","college entrance qualification","no migration background","","","",""
"Min 1x per week","1994","college entrance qualification","direct migration background","","","",""
"Min 1x per week","1994","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1994","Other degree","no migration background","","","",""
"Min 1x per week","1994","Other degree","direct migration background","","","",""
"Min 1x per week","1994","Other degree","indirect migration background","","","",""
"Min 1x per week","1994","no degree/no degree yet","no migration background","","","",""
"Min 1x per week","1994","no degree/no degree yet","direct migration background","","","",""
"Min 1x per week","1994","no degree/no degree yet","indirect migration background","","","",""
"Min 1x per month","1994","lower secondary degree","no migration background","","","",""
"Min 1x per month","1994","lower secondary degree","direct migration background","","","",""
"Min 1x per month","1994","lower secondary degree","indirect migration background","","","",""
"Min 1x per month","1994","secondary school degree","no migration background","","","",""
"Min 1x per month","1994","secondary school degree","direct migration background","","","",""
"Min 1x per month","1994","secondary school degree","indirect migration background","","","",""
"Min 1x per month","1994","college entrance qualification","no migration background","","","",""
"Min 1x per month","1994","college entrance qualification","direct migration background","","","",""
"Min 1x per month","1994","college entrance qualification","indirect migration background","","","",""
"Min 1x per month","1994","Other degree","no migration background","","","",""
"Min 1x per month","1994","Other degree","direct migration background","","","",""
"Min 1x per month","1994","Other degree","indirect migration background","","","",""
"Min 1x per month","1994","no degree/no degree yet","no migration background","","","",""
"Min 1x per month","1994","no degree/no degree yet","direct migration background","","","",""
"Min 1x per month","1994","no degree/no degree yet","indirect migration background","","","",""
"Rarely","1994","lower secondary degree","no migration background","","","",""
"Rarely","1994","lower secondary degree","direct migration background","","","",""
"Rarely","1994","lower secondary degree","indirect migration background","","","",""
"Rarely","1994","secondary school degree","no migration background","","","",""
"Rarely","1994","secondary school degree","direct migration background","","","",""
"Rarely","1994","secondary school degree","indirect migration background","","","",""
"Rarely","1994","college entrance qualification","no migration background","","","",""
"Rarely","1994","college entrance qualification","direct migration background","","","",""
"Rarely","1994","college entrance qualification","indirect migration background","","","",""
"Rarely","1994","Other degree","no migration background","","","",""
"Rarely","1994","Other degree","direct migration background","","","",""
"Rarely","1994","Other degree","indirect migration background","","","",""
"Rarely","1994","no degree/no degree yet","no migration background","","","",""
"Rarely","1994","no degree/no degree yet","direct migration background","","","",""
"Rarely","1994","no degree/no degree yet","indirect migration background","","","",""
"Never","1994","lower secondary degree","no migration background","","","",""
"Never","1994","lower secondary degree","direct migration background","","","",""
"Never","1994","lower secondary degree","indirect migration background","","","",""
"Never","1994","secondary school degree","no migration background","","","",""
"Never","1994","secondary school degree","direct migration background","","","",""
"Never","1994","secondary school degree","indirect migration background","","","",""
"Never","1994","college entrance qualification","no migration background","","","",""
"Never","1994","college entrance qualification","direct migration background","","","",""
"Never","1994","college entrance qualification","indirect migration background","","","",""
"Never","1994","Other degree","no migration background","","","",""
"Never","1994","Other degree","direct migration background","","","",""
"Never","1994","Other degree","indirect migration background","","","",""
"Never","1994","no degree/no degree yet","no migration background","","","",""
"Never","1994","no degree/no degree yet","direct migration background","","","",""
"Never","1994","no degree/no degree yet","indirect migration background","","","",""
"Daily","1995","lower secondary degree","no migration background","73","0.0162365582454862","0.0125715296241606","0.0199015868668117"
"Daily","1995","lower secondary degree","direct migration background","15","","",""
"Daily","1995","lower secondary degree","indirect migration background","9","","",""
"Daily","1995","secondary school degree","no migration background","83","0.0296856444596984","0.0238659123629919","0.0355053765564049"
"Daily","1995","secondary school degree","direct migration background","6","","",""
"Daily","1995","secondary school degree","indirect migration background","8","","",""
"Daily","1995","college entrance qualification","no migration background","84","0.0574293131559703","0.0462133792840901","0.0686452470278505"
"Daily","1995","college entrance qualification","direct migration background","11","","",""
"Daily","1995","college entrance qualification","indirect migration background","3","","",""
"Daily","1995","Other degree","no migration background","2","","",""
"Daily","1995","Other degree","direct migration background","10","","",""
"Daily","1995","Other degree","indirect migration background","","","",""
"Daily","1995","no degree/no degree yet","no migration background","24","","",""
"Daily","1995","no degree/no degree yet","direct migration background","8","","",""
"Daily","1995","no degree/no degree yet","indirect migration background","4","","",""
"Min 1x per week","1995","lower secondary degree","no migration background","279","0.0652392445673091","0.0580779796387244","0.0724005094958938"
"Min 1x per week","1995","lower secondary degree","direct migration background","41","0.0564431834848339","0.0384226520314587","0.0744637149382091"
"Min 1x per week","1995","lower secondary degree","indirect migration background","18","","",""
"Min 1x per week","1995","secondary school degree","no migration background","275","0.0944084025772634","0.0843820022567662","0.104434802897761"
"Min 1x per week","1995","secondary school degree","direct migration background","23","","",""
"Min 1x per week","1995","secondary school degree","indirect migration background","13","","",""
"Min 1x per week","1995","college entrance qualification","no migration background","242","0.154899344559812","0.137457569809473","0.172341119310151"
"Min 1x per week","1995","college entrance qualification","direct migration background","27","","",""
"Min 1x per week","1995","college entrance qualification","indirect migration background","12","","",""
"Min 1x per week","1995","Other degree","no migration background","7","","",""
"Min 1x per week","1995","Other degree","direct migration background","43","0.0768216931866193","0.0610121407668671","0.0926312456063715"
"Min 1x per week","1995","Other degree","indirect migration background","1","","",""
"Min 1x per week","1995","no degree/no degree yet","no migration background","50","0.200698160513338","0.150545710808446","0.250850610218229"
"Min 1x per week","1995","no degree/no degree yet","direct migration background","15","","",""
"Min 1x per week","1995","no degree/no degree yet","indirect migration background","7","","",""
"Min 1x per month","1995","lower secondary degree","no migration background","293","0.0683786071616783","0.0610593855854448","0.0756978287379119"
"Min 1x per month","1995","lower secondary degree","direct migration background","39","0.0681332994786764","0.0484574077901944","0.0878091911671584"
"Min 1x per month","1995","lower secondary degree","indirect migration background","11","","",""
"Min 1x per month","1995","secondary school degree","no migration background","318","0.0961423319769308","0.0860339679592181","0.106250695994644"
"Min 1x per month","1995","secondary school degree","direct migration background","16","","",""
"Min 1x per month","1995","secondary school degree","indirect migration background","19","","",""
"Min 1x per month","1995","college entrance qualification","no migration background","236","0.154867800805382","0.13742747659511","0.172308125015655"
"Min 1x per month","1995","college entrance qualification","direct migration background","33","0.192074803519602","0.136641852259412","0.247507754779792"
"Min 1x per month","1995","college entrance qualification","indirect migration background","11","","",""
"Min 1x per month","1995","Other degree","no migration background","2","","",""
"Min 1x per month","1995","Other degree","direct migration background","51","0.0597627550632982","0.0456903323402168","0.0738351777863797"
"Min 1x per month","1995","Other degree","indirect migration background","1","","",""
"Min 1x per month","1995","no degree/no degree yet","no migration background","15","","",""
"Min 1x per month","1995","no degree/no degree yet","direct migration background","15","","",""
"Min 1x per month","1995","no degree/no degree yet","indirect migration background","9","","",""
"Rarely","1995","lower secondary degree","no migration background","1160","0.244930054244345","0.232459100313934","0.257401008174756"
"Rarely","1995","lower secondary degree","direct migration background","142","0.24749128171919","0.213792551512984","0.281190011925396"
"Rarely","1995","lower secondary degree","indirect migration background","52","0.315909005780966","0.249633182863814","0.382184828698119"
"Rarely","1995","secondary school degree","no migration background","1231","0.384045662589122","0.367367845174997","0.400723480003247"
"Rarely","1995","secondary school degree","direct migration background","55","0.289432434245704","0.224949086092065","0.353915782399344"
"Rarely","1995","secondary school degree","indirect migration background","35","0.332000710502199","0.247388680024629","0.41661274097977"
"Rarely","1995","college entrance qualification","no migration background","631","0.346002163653669","0.323070306528186","0.368934020779153"
"Rarely","1995","college entrance qualification","direct migration background","58","0.247440485428966","0.186717511799206","0.308163459058727"
"Rarely","1995","college entrance qualification","indirect migration background","21","","",""
"Rarely","1995","Other degree","no migration background","17","","",""
"Rarely","1995","Other degree","direct migration background","167","0.142426878323346","0.121679348370079","0.163174408276614"
"Rarely","1995","Other degree","indirect migration background","5","","",""
"Rarely","1995","no degree/no degree yet","no migration background","62","0.237830081500905","0.184518159111184","0.291142003890627"
"Rarely","1995","no degree/no degree yet","direct migration background","59","0.101980445223248","0.0766893233152409","0.127271567131256"
"Rarely","1995","no degree/no degree yet","indirect migration background","12","","",""
"Never","1995","lower secondary degree","no migration background","2763","0.605215535781182","0.591040632504254","0.619390439058109"
"Never","1995","lower secondary degree","direct migration background","393","0.59854150187254","0.560263850855512","0.636819152889567"
"Never","1995","lower secondary degree","indirect migration background","99","0.440247805009176","0.369475442848598","0.511020167169754"
"Never","1995","secondary school degree","no migration background","1360","0.395717958396986","0.378949766031113","0.412486150762859"
