"pli0093_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","1990","North Rhine-Westphalia","East Germany","","","","","5"
"Never","1990","Hesse","West Germany","567","0.512963308133685","0.481653476207452","0.544273140059918","5"
"Never","1990","Hesse","East Germany","","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","West Germany","394","0.564523630162921","0.526952142466518","0.602095117859324","5"
"Never","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Never","1990","Baden-Württemberg","West Germany","875","0.417116317242552","0.394280327632971","0.439952306852133","5"
"Never","1990","Baden-Württemberg","East Germany","","","","","5"
"Never","1990","Bavaria","West Germany","718","0.43028231140141","0.405984097797089","0.454580525005731","5"
"Never","1990","Bavaria","East Germany","","","","","5"
"Never","1990","Berlin","West Germany","153","0.418750330998343","0.365440281839362","0.472060380157325","5"
"Never","1990","Berlin","East Germany","","","","","5"
"Never","1990","Brandenburg","West Germany","","","","","5"
"Rarely","1990","Saxony","West Germany","","","","","4"
"Rarely","1990","Hamburg","West Germany","46","0.271963213102759","0.204273014098731","0.339653412106787","4"
"Rarely","1990","Schleswig-Holstein","East Germany","","","","","4"
"Rarely","1990","North Rhine-Westphalia","West Germany","691","0.292366631809846","0.274743584699556","0.309989678920136","4"
"Rarely","1990","Mecklenburg-Western Pomerania","East Germany","","","","","4"
"Rarely","1990","Bavaria","West Germany","461","0.293586592035067","0.271237220101592","0.315935963968542","4"
"Rarely","1990","North Rhine-Westphalia","East Germany","","","","","4"
"Rarely","1990","Hesse","West Germany","231","0.282254081986533","0.254059722912931","0.310448441060135","4"
"Rarely","1990","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"Rarely","1990","Schleswig-Holstein","West Germany","87","0.336873024754","0.281903701979245","0.391842347528754","4"
"Rarely","1990","Hamburg","East Germany","","","","","4"
"Rarely","1990","Lower Saxony","West Germany","291","0.295029467220093","0.266417918807324","0.323641015632862","4"
"Rarely","1990","Lower Saxony","East Germany","","","","","4"
"Rarely","1990","Bremen","West Germany","23","","","","4"
"Rarely","1990","Bremen","East Germany","","","","","4"
"Rarely","1990","Hesse","East Germany","","","","","4"
"Rarely","1990","Baden-Württemberg","East Germany","","","","","4"
"Rarely","1990","Saxony","East Germany","","","","","4"
"Rarely","1990","Thuringia","East Germany","","","","","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","West Germany","140","0.213158312380512","0.182124877359535","0.244191747401488","4"
"Rarely","1990","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"Rarely","1990","Baden-Württemberg","West Germany","508","0.310381748761186","0.288955173563545","0.331808323958827","4"
"Rarely","1990","Saxony-Anhalt","West Germany","","","","","4"
"Rarely","1990","Saxony-Anhalt","East Germany","","","","","4"
"Rarely","1990","Thuringia","West Germany","","","","","4"
"Rarely","1990","Brandenburg","East Germany","","","","","4"
"Rarely","1990","Bavaria","East Germany","","","","","4"
"Rarely","1990","Berlin","West Germany","93","0.330312929798079","0.279491265155184","0.381134594440974","4"
"Rarely","1990","Berlin","East Germany","","","","","4"
"Rarely","1990","Brandenburg","West Germany","","","","","4"
"Daily","1991","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1991","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1991","Hamburg","West Germany","","","","","1"
"Daily","1991","Hamburg","East Germany","","","","","1"
"Daily","1991","Lower Saxony","West Germany","","","","","1"
"Daily","1991","Lower Saxony","East Germany","","","","","1"
"Daily","1991","Bremen","West Germany","","","","","1"
"Daily","1991","Bremen","East Germany","","","","","1"
"Daily","1991","North Rhine-Westphalia","West Germany","","","","","1"
"Daily","1991","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1991","Hesse","West Germany","","","","","1"
"Daily","1991","Hesse","East Germany","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Daily","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1991","Baden-Württemberg","West Germany","","","","","1"
"Daily","1991","Baden-Württemberg","East Germany","","","","","1"
"Daily","1991","Bavaria","West Germany","","","","","1"
"Daily","1991","Bavaria","East Germany","","","","","1"
"Daily","1991","Berlin","West Germany","","","","","1"
"Daily","1991","Berlin","East Germany","","","","","1"
"Daily","1991","Brandenburg","West Germany","","","","","1"
"Daily","1991","Brandenburg","East Germany","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1991","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1991","Saxony","West Germany","","","","","1"
"Daily","1991","Saxony","East Germany","","","","","1"
"Daily","1991","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1991","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1991","Thuringia","West Germany","","","","","1"
"Daily","1991","Thuringia","East Germany","","","","","1"
"Min 1x per month","1991","Saxony","East Germany","","","","","3"
"Min 1x per month","1991","Hamburg","West Germany","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1991","Hamburg","East Germany","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1991","Saxony","West Germany","","","","","3"
"Min 1x per month","1991","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1991","Schleswig-Holstein","West Germany","","","","","3"
"Min 1x per month","1991","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1991","Thuringia","East Germany","","","","","3"
"Min 1x per month","1991","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1991","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1991","Thuringia","West Germany","","","","","3"
"Min 1x per month","1991","Lower Saxony","West Germany","","","","","3"
"Min 1x per month","1991","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1991","Bremen","West Germany","","","","","3"
"Min 1x per month","1991","Bremen","East Germany","","","","","3"
"Min 1x per month","1991","North Rhine-Westphalia","West Germany","","","","","3"
"Min 1x per month","1991","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1991","Hesse","West Germany","","","","","3"
"Min 1x per month","1991","Hesse","East Germany","","","","","3"
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","3"
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1991","Baden-Württemberg","West Germany","","","","","3"
"Min 1x per month","1991","Baden-Württemberg","East Germany","","","","","3"
"Min 1x per month","1991","Bavaria","West Germany","","","","","3"
"Min 1x per month","1991","Bavaria","East Germany","","","","","3"
"Min 1x per month","1991","Berlin","West Germany","","","","","3"
"Min 1x per month","1991","Berlin","East Germany","","","","","3"
"Min 1x per month","1991","Brandenburg","West Germany","","","","","3"
"Min 1x per week","1991","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Min 1x per week","1991","Saxony","West Germany","","","","","2"
"Min 1x per week","1991","Saxony","East Germany","","","","","2"
"Min 1x per week","1991","Saxony-Anhalt","West Germany","","","","","2"
"Min 1x per week","1991","Saxony-Anhalt","East Germany","","","","","2"
"Min 1x per week","1991","Thuringia","West Germany","","","","","2"
"Min 1x per week","1991","Thuringia","East Germany","","","","","2"
"Min 1x per week","1991","Schleswig-Holstein","West Germany","","","","","2"
"Min 1x per week","1991","Schleswig-Holstein","East Germany","","","","","2"
"Min 1x per week","1991","Hamburg","West Germany","","","","","2"
"Min 1x per week","1991","Hamburg","East Germany","","","","","2"
"Min 1x per week","1991","Lower Saxony","West Germany","","","","","2"
"Min 1x per week","1991","Lower Saxony","East Germany","","","","","2"
"Min 1x per week","1991","Bremen","West Germany","","","","","2"
"Min 1x per week","1991","Bremen","East Germany","","","","","2"
"Min 1x per week","1991","North Rhine-Westphalia","West Germany","","","","","2"
"Min 1x per week","1991","North Rhine-Westphalia","East Germany","","","","","2"
"Min 1x per week","1991","Hesse","West Germany","","","","","2"
"Min 1x per week","1991","Hesse","East Germany","","","","","2"
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","2"
"Min 1x per week","1991","Brandenburg","East Germany","","","","","2"
"Min 1x per week","1991","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Min 1x per week","1991","Baden-Württemberg","East Germany","","","","","2"
"Min 1x per week","1991","Bavaria","West Germany","","","","","2"
"Min 1x per week","1991","Bavaria","East Germany","","","","","2"
"Min 1x per week","1991","Berlin","West Germany","","","","","2"
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Min 1x per week","1991","Baden-Württemberg","West Germany","","","","","2"
"Min 1x per week","1991","Berlin","East Germany","","","","","2"
"Min 1x per week","1991","Brandenburg","West Germany","","","","","2"
"Never","1991","Mecklenburg-Western Pomerania","East Germany","","","","","5"
"Never","1991","North Rhine-Westphalia","West Germany","","","","","5"
"Never","1991","Schleswig-Holstein","East Germany","","","","","5"
"Never","1991","Hamburg","West Germany","","","","","5"
"Never","1991","Hamburg","East Germany","","","","","5"
"Never","1991","Lower Saxony","West Germany","","","","","5"
"Never","1991","Bremen","West Germany","","","","","5"
"Never","1991","Bremen","East Germany","","","","","5"
"Never","1991","Saxony","West Germany","","","","","5"
"Never","1991","Saxony","East Germany","","","","","5"
"Never","1991","Saxony-Anhalt","West Germany","","","","","5"
"Never","1991","Saxony-Anhalt","East Germany","","","","","5"
"Never","1991","Thuringia","West Germany","","","","","5"
"Never","1991","Thuringia","East Germany","","","","","5"
"Never","1991","Lower Saxony","East Germany","","","","","5"
"Never","1991","Schleswig-Holstein","West Germany","","","","","5"
"Never","1991","Brandenburg","East Germany","","","","","5"
"Never","1991","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Never","1991","North Rhine-Westphalia","East Germany","","","","","5"
"Never","1991","Hesse","West Germany","","","","","5"
"Never","1991","Hesse","East Germany","","","","","5"
"Never","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","5"
"Never","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Never","1991","Baden-Württemberg","West Germany","","","","","5"
"Never","1991","Baden-Württemberg","East Germany","","","","","5"
"Never","1991","Bavaria","West Germany","","","","","5"
"Never","1991","Bavaria","East Germany","","","","","5"
"Never","1991","Berlin","West Germany","","","","","5"
"Never","1991","Berlin","East Germany","","","","","5"
"Never","1991","Brandenburg","West Germany","","","","","5"
"Rarely","1991","Schleswig-Holstein","East Germany","","","","","4"
"Rarely","1991","Hamburg","West Germany","","","","","4"
"Rarely","1991","North Rhine-Westphalia","West Germany","","","","","4"
"Rarely","1991","North Rhine-Westphalia","East Germany","","","","","4"
"Rarely","1991","Hesse","West Germany","","","","","4"
"Rarely","1991","Hesse","East Germany","","","","","4"
"Rarely","1991","Rhineland-Palatinate,Saarland","West Germany","","","","","4"
"Rarely","1991","Rhineland-Palatinate,Saarland","East Germany","","","","","4"
"Rarely","1991","Baden-Württemberg","West Germany","","","","","4"
"Rarely","1991","Baden-Württemberg","East Germany","","","","","4"
"Rarely","1991","Bavaria","West Germany","","","","","4"
"Rarely","1991","Mecklenburg-Western Pomerania","West Germany","","","","","4"
"Rarely","1991","Mecklenburg-Western Pomerania","East Germany","","","","","4"
"Rarely","1991","Saxony","West Germany","","","","","4"
"Rarely","1991","Schleswig-Holstein","West Germany","","","","","4"
"Rarely","1991","Hamburg","East Germany","","","","","4"
"Rarely","1991","Lower Saxony","West Germany","","","","","4"
"Rarely","1991","Lower Saxony","East Germany","","","","","4"
"Rarely","1991","Bremen","West Germany","","","","","4"
"Rarely","1991","Bremen","East Germany","","","","","4"
"Rarely","1991","Saxony","East Germany","","","","","4"
"Rarely","1991","Thuringia","East Germany","","","","","4"
"Rarely","1991","Saxony-Anhalt","West Germany","","","","","4"
"Rarely","1991","Saxony-Anhalt","East Germany","","","","","4"
"Rarely","1991","Thuringia","West Germany","","","","","4"
"Rarely","1991","Brandenburg","East Germany","","","","","4"
"Rarely","1991","Bavaria","East Germany","","","","","4"
"Rarely","1991","Berlin","West Germany","","","","","4"
"Rarely","1991","Berlin","East Germany","","","","","4"
"Rarely","1991","Brandenburg","West Germany","","","","","4"
"Daily","1992","Schleswig-Holstein","West Germany","","","","","1"
"Daily","1992","Schleswig-Holstein","East Germany","","","","","1"
"Daily","1992","Hamburg","West Germany","","","","","1"
"Daily","1992","Hamburg","East Germany","","","","","1"
"Daily","1992","Lower Saxony","West Germany","","","","","1"
"Daily","1992","Lower Saxony","East Germany","","","","","1"
"Daily","1992","Bremen","West Germany","","","","","1"
"Daily","1992","Bremen","East Germany","","","","","1"
"Daily","1992","North Rhine-Westphalia","West Germany","","","","","1"
"Daily","1992","North Rhine-Westphalia","East Germany","","","","","1"
"Daily","1992","Hesse","West Germany","","","","","1"
"Daily","1992","Hesse","East Germany","","","","","1"
"Daily","1992","Rhineland-Palatinate,Saarland","West Germany","","","","","1"
"Daily","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","1"
"Daily","1992","Baden-Württemberg","West Germany","","","","","1"
"Daily","1992","Baden-Württemberg","East Germany","","","","","1"
"Daily","1992","Bavaria","West Germany","","","","","1"
"Daily","1992","Bavaria","East Germany","","","","","1"
"Daily","1992","Berlin","West Germany","","","","","1"
"Daily","1992","Berlin","East Germany","","","","","1"
"Daily","1992","Brandenburg","West Germany","","","","","1"
"Daily","1992","Brandenburg","East Germany","","","","","1"
"Daily","1992","Mecklenburg-Western Pomerania","West Germany","","","","","1"
"Daily","1992","Mecklenburg-Western Pomerania","East Germany","","","","","1"
"Daily","1992","Saxony","West Germany","","","","","1"
"Daily","1992","Saxony","East Germany","","","","","1"
"Daily","1992","Saxony-Anhalt","West Germany","","","","","1"
"Daily","1992","Saxony-Anhalt","East Germany","","","","","1"
"Daily","1992","Thuringia","West Germany","","","","","1"
"Daily","1992","Thuringia","East Germany","","","","","1"
"Min 1x per month","1992","Saxony","East Germany","","","","","3"
"Min 1x per month","1992","Mecklenburg-Western Pomerania","West Germany","","","","","3"
"Min 1x per month","1992","Saxony","West Germany","","","","","3"
"Min 1x per month","1992","Mecklenburg-Western Pomerania","East Germany","","","","","3"
"Min 1x per month","1992","Hamburg","West Germany","","","","","3"
"Min 1x per month","1992","Hamburg","East Germany","","","","","3"
"Min 1x per month","1992","Schleswig-Holstein","East Germany","","","","","3"
"Min 1x per month","1992","Brandenburg","East Germany","","","","","3"
"Min 1x per month","1992","Schleswig-Holstein","West Germany","","","","","3"
"Min 1x per month","1992","Saxony-Anhalt","West Germany","","","","","3"
"Min 1x per month","1992","Saxony-Anhalt","East Germany","","","","","3"
"Min 1x per month","1992","Thuringia","West Germany","","","","","3"
"Min 1x per month","1992","Thuringia","East Germany","","","","","3"
"Min 1x per month","1992","Baden-Württemberg","East Germany","","","","","3"
"Min 1x per month","1992","Bavaria","West Germany","","","","","3"
"Min 1x per month","1992","Bavaria","East Germany","","","","","3"
"Min 1x per month","1992","Berlin","West Germany","","","","","3"
"Min 1x per month","1992","Berlin","East Germany","","","","","3"
"Min 1x per month","1992","Brandenburg","West Germany","","","","","3"
"Min 1x per month","1992","Lower Saxony","West Germany","","","","","3"
"Min 1x per month","1992","Lower Saxony","East Germany","","","","","3"
"Min 1x per month","1992","Bremen","West Germany","","","","","3"
"Min 1x per month","1992","Bremen","East Germany","","","","","3"
"Min 1x per month","1992","North Rhine-Westphalia","West Germany","","","","","3"
"Min 1x per month","1992","North Rhine-Westphalia","East Germany","","","","","3"
"Min 1x per month","1992","Hesse","West Germany","","","","","3"
"Min 1x per month","1992","Hesse","East Germany","","","","","3"
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","West Germany","","","","","3"
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","3"
"Min 1x per month","1992","Baden-Württemberg","West Germany","","","","","3"
"Min 1x per week","1992","Thuringia","East Germany","","","","","2"
"Min 1x per week","1992","Mecklenburg-Western Pomerania","East Germany","","","","","2"
"Min 1x per week","1992","Saxony","West Germany","","","","","2"
"Min 1x per week","1992","Saxony","East Germany","","","","","2"
"Min 1x per week","1992","Saxony-Anhalt","West Germany","","","","","2"
"Min 1x per week","1992","Saxony-Anhalt","East Germany","","","","","2"
"Min 1x per week","1992","Thuringia","West Germany","","","","","2"
"Min 1x per week","1992","Schleswig-Holstein","West Germany","","","","","2"
"Min 1x per week","1992","Schleswig-Holstein","East Germany","","","","","2"
"Min 1x per week","1992","Hamburg","West Germany","","","","","2"
"Min 1x per week","1992","Hamburg","East Germany","","","","","2"
"Min 1x per week","1992","Lower Saxony","West Germany","","","","","2"
"Min 1x per week","1992","Lower Saxony","East Germany","","","","","2"
"Min 1x per week","1992","Bremen","West Germany","","","","","2"
"Min 1x per week","1992","Bremen","East Germany","","","","","2"
"Min 1x per week","1992","North Rhine-Westphalia","West Germany","","","","","2"
"Min 1x per week","1992","North Rhine-Westphalia","East Germany","","","","","2"
"Min 1x per week","1992","Hesse","West Germany","","","","","2"
"Min 1x per week","1992","Hesse","East Germany","","","","","2"
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","West Germany","","","","","2"
"Min 1x per week","1992","Brandenburg","East Germany","","","","","2"
"Min 1x per week","1992","Mecklenburg-Western Pomerania","West Germany","","","","","2"
"Min 1x per week","1992","Baden-Württemberg","East Germany","","","","","2"
"Min 1x per week","1992","Bavaria","West Germany","","","","","2"
"Min 1x per week","1992","Bavaria","East Germany","","","","","2"
"Min 1x per week","1992","Baden-Württemberg","West Germany","","","","","2"
"Min 1x per week","1992","Berlin","West Germany","","","","","2"
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","2"
"Min 1x per week","1992","Berlin","East Germany","","","","","2"
"Min 1x per week","1992","Brandenburg","West Germany","","","","","2"
"Never","1992","Mecklenburg-Western Pomerania","East Germany","","","","","5"
"Never","1992","Schleswig-Holstein","East Germany","","","","","5"
"Never","1992","Hamburg","West Germany","","","","","5"
"Never","1992","Hamburg","East Germany","","","","","5"
"Never","1992","Lower Saxony","West Germany","","","","","5"
"Never","1992","Lower Saxony","East Germany","","","","","5"
"Never","1992","Bremen","West Germany","","","","","5"
"Never","1992","Bremen","East Germany","","","","","5"
"Never","1992","North Rhine-Westphalia","West Germany","","","","","5"
"Never","1992","Saxony","West Germany","","","","","5"
"Never","1992","Saxony","East Germany","","","","","5"
"Never","1992","Saxony-Anhalt","West Germany","","","","","5"
"Never","1992","Saxony-Anhalt","East Germany","","","","","5"
"Never","1992","Thuringia","West Germany","","","","","5"
"Never","1992","Thuringia","East Germany","","","","","5"
"Never","1992","Schleswig-Holstein","West Germany","","","","","5"
"Never","1992","Brandenburg","East Germany","","","","","5"
"Never","1992","Mecklenburg-Western Pomerania","West Germany","","","","","5"
"Never","1992","North Rhine-Westphalia","East Germany","","","","","5"
"Never","1992","Hesse","West Germany","","","","","5"
"Never","1992","Hesse","East Germany","","","","","5"
"Never","1992","Rhineland-Palatinate,Saarland","West Germany","","","","","5"
"Never","1992","Rhineland-Palatinate,Saarland","East Germany","","","","","5"
"Never","1992","Baden-Württemberg","West Germany","","","","","5"
"Never","1992","Baden-Württemberg","East Germany","","","","","5"
"Never","1992","Bavaria","West Germany","","","","","5"
"Never","1992","Bavaria","East Germany","","","","","5"
"Never","1992","Berlin","West Germany","","","","","5"
"Never","1992","Berlin","East Germany","","","","","5"
"Never","1992","Brandenburg","West Germany","","","","","5"
"Rarely","1992","Schleswig-Holstein","East Germany","","","","","4"
"Rarely","1992","Hamburg","West Germany","","","","","4"
"Rarely","1992","Hamburg","East Germany","","","","","4"
"Rarely","1992","Lower Saxony","West Germany","","","","","4"
"Rarely","1992","Lower Saxony","East Germany","","","","","4"
"Rarely","1992","Bremen","West Germany","","","","","4"
"Rarely","1992","Bremen","East Germany","","","","","4"
"Rarely","1992","North Rhine-Westphalia","West Germany","","","","","4"
"Rarely","1992","North Rhine-Westphalia","East Germany","","","","","4"
"Rarely","1992","Hesse","West Germany","","","","","4"
"Rarely","1992","Hesse","East Germany","","","","","4"
