"pli0093_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1994","no migration background","Urban Area","","","","","4"
"Rarely","1994","direct migration background","Rural Area","","","","","4"
"Rarely","1994","direct migration background","Urban Area","","","","","4"
"Rarely","1994","indirect migration background","Urban Area","","","","","4"
"Rarely","1994","indirect migration background","Rural Area","","","","","4"
"Daily","1995","no migration background","Urban Area","189","0.0328610886915276","0.028374111138604","0.0373480662444511","1"
"Daily","1995","no migration background","Rural Area","80","0.0211222536088567","0.0166174897042251","0.0256270175134883","1"
"Daily","1995","direct migration background","Urban Area","39","0.0262189436614833","0.0197351531038023","0.0327027342191642","1"
"Daily","1995","direct migration background","Rural Area","14","","","","1"
"Daily","1995","indirect migration background","Urban Area","24","","","","1"
"Daily","1995","indirect migration background","Rural Area","3","","","","1"
"Min 1x per month","1995","no migration background","Urban Area","591","0.0952702682114132","0.0878809117060076","0.102659624716819","3"
"Min 1x per month","1995","no migration background","Rural Area","291","0.0827229301324523","0.0740931267011362","0.0913527335637684","3"
"Min 1x per month","1995","direct migration background","Urban Area","132","0.0775667331857971","0.0667125798969902","0.088420886474604","3"
"Min 1x per month","1995","direct migration background","Rural Area","26","","","","3"
"Min 1x per month","1995","indirect migration background","Urban Area","50","0.106894545437256","0.0778921419873655","0.135896948887147","3"
"Min 1x per month","1995","indirect migration background","Rural Area","5","","","","3"
"Min 1x per week","1995","no migration background","Urban Area","604","0.0986166902519189","0.0911125928541445","0.106120787649693","2"
"Min 1x per week","1995","no migration background","Rural Area","272","0.0787118731507787","0.070275504653471","0.0871482416480864","2"
"Min 1x per week","1995","direct migration background","Urban Area","130","0.0883569480691633","0.076840369148672","0.0998735269896547","2"
"Min 1x per week","1995","direct migration background","Rural Area","26","","","","2"
"Min 1x per week","1995","indirect migration background","Urban Area","46","0.14570434862517","0.112587789906686","0.178820907343654","2"
"Min 1x per week","1995","indirect migration background","Rural Area","10","","","","2"
"Never","1995","no migration background","Urban Area","2852","0.482931656523959","0.470354417721134","0.495508895326784","5"
"Never","1995","no migration background","Rural Area","1948","0.498631905825427","0.482967783753558","0.514296027897297","5"
"Never","1995","direct migration background","Urban Area","1618","0.613582303624812","0.593823727797521","0.633340879452103","5"
"Never","1995","direct migration background","Rural Area","304","0.606183841713415","0.561679073960655","0.650688609466176","5"
"Never","1995","indirect migration background","Urban Area","208","0.424665607060866","0.378268750302054","0.471062463819677","5"
"Never","1995","indirect migration background","Rural Area","27","","","","5"
"Rarely","1995","no migration background","Rural Area","1323","0.318811037282485","0.304211531455649","0.333410543109321","4"
"Rarely","1995","no migration background","Urban Area","1828","0.290320296321182","0.278895765164767","0.301744827477596","4"
"Rarely","1995","direct migration background","Urban Area","414","0.194275071458744","0.178220723904444","0.210329419013044","4"
"Rarely","1995","direct migration background","Rural Area","93","0.19909957591273","0.162726332846497","0.235472818978962","4"
"Rarely","1995","indirect migration background","Urban Area","108","0.267942159615309","0.226370432170383","0.309513887060235","4"
"Rarely","1995","indirect migration background","Rural Area","30","0.311606328320029","0.20678756572339","0.416425090916669","4"
"Daily","1996","no migration background","Urban Area","","","","","1"
"Daily","1996","no migration background","Rural Area","","","","","1"
"Daily","1996","direct migration background","Urban Area","","","","","1"
"Daily","1996","direct migration background","Rural Area","","","","","1"
"Daily","1996","indirect migration background","Urban Area","","","","","1"
"Daily","1996","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1996","no migration background","Urban Area","","","","","3"
"Min 1x per month","1996","no migration background","Rural Area","","","","","3"
"Min 1x per month","1996","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1996","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1996","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1996","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1996","no migration background","Urban Area","","","","","2"
"Min 1x per week","1996","no migration background","Rural Area","","","","","2"
"Min 1x per week","1996","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1996","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1996","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1996","indirect migration background","Rural Area","","","","","2"
"Never","1996","no migration background","Urban Area","","","","","5"
"Never","1996","no migration background","Rural Area","","","","","5"
"Never","1996","direct migration background","Urban Area","","","","","5"
"Never","1996","direct migration background","Rural Area","","","","","5"
"Never","1996","indirect migration background","Urban Area","","","","","5"
"Never","1996","indirect migration background","Rural Area","","","","","5"
"Rarely","1996","no migration background","Rural Area","","","","","4"
"Rarely","1996","no migration background","Urban Area","","","","","4"
"Rarely","1996","direct migration background","Urban Area","","","","","4"
"Rarely","1996","direct migration background","Rural Area","","","","","4"
"Rarely","1996","indirect migration background","Urban Area","","","","","4"
"Rarely","1996","indirect migration background","Rural Area","","","","","4"
"Daily","1997","no migration background","Urban Area","","","","","1"
"Daily","1997","no migration background","Rural Area","","","","","1"
"Daily","1997","direct migration background","Urban Area","","","","","1"
"Daily","1997","direct migration background","Rural Area","","","","","1"
"Daily","1997","indirect migration background","Urban Area","","","","","1"
"Daily","1997","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","1997","no migration background","Urban Area","","","","","3"
"Min 1x per month","1997","no migration background","Rural Area","","","","","3"
"Min 1x per month","1997","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1997","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1997","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1997","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1997","no migration background","Urban Area","","","","","2"
"Min 1x per week","1997","no migration background","Rural Area","","","","","2"
"Min 1x per week","1997","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1997","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1997","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1997","indirect migration background","Urban Area","","","","","2"
"Never","1997","no migration background","Urban Area","","","","","5"
"Never","1997","no migration background","Rural Area","","","","","5"
"Never","1997","direct migration background","Urban Area","","","","","5"
"Never","1997","direct migration background","Rural Area","","","","","5"
"Never","1997","indirect migration background","Urban Area","","","","","5"
"Never","1997","indirect migration background","Rural Area","","","","","5"
"Rarely","1997","no migration background","Urban Area","","","","","4"
"Rarely","1997","direct migration background","Urban Area","","","","","4"
"Rarely","1997","no migration background","Rural Area","","","","","4"
"Rarely","1997","direct migration background","Rural Area","","","","","4"
"Rarely","1997","indirect migration background","Urban Area","","","","","4"
"Rarely","1997","indirect migration background","Rural Area","","","","","4"
"Daily","1998","no migration background","Urban Area","200","0.0313672554123772","0.0272373257584558","0.0354971850662986","1"
"Daily","1998","no migration background","Rural Area","66","0.0176046705208664","0.0137015483707287","0.0215077926710041","1"
"Daily","1998","direct migration background","Urban Area","28","","","","1"
"Daily","1998","direct migration background","Rural Area","7","","","","1"
"Daily","1998","indirect migration background","Rural Area","2","","","","1"
"Daily","1998","indirect migration background","Urban Area","17","","","","1"
"Min 1x per month","1998","no migration background","Urban Area","633","0.0905038702815897","0.0837062198935161","0.0973015206696634","3"
"Min 1x per month","1998","no migration background","Rural Area","351","0.0801257454238473","0.0720681525293108","0.0881833383183838","3"
"Min 1x per month","1998","direct migration background","Urban Area","100","0.0646237349123589","0.0538297043934843","0.0754177654312335","3"
"Min 1x per month","1998","direct migration background","Rural Area","23","","","","3"
"Min 1x per month","1998","indirect migration background","Rural Area","6","","","","3"
"Min 1x per month","1998","indirect migration background","Urban Area","43","0.0806491002305399","0.0569937372855504","0.104304463175529","3"
"Min 1x per week","1998","no migration background","Urban Area","627","0.0922742751508452","0.0854171438739766","0.0991314064277138","2"
"Min 1x per week","1998","no migration background","Rural Area","335","0.0809044324513774","0.0728112088128513","0.0889976560899034","2"
"Min 1x per week","1998","direct migration background","Urban Area","70","0.0592630085119361","0.0488967890284317","0.0696292279954405","2"
"Min 1x per week","1998","direct migration background","Rural Area","14","","","","2"
"Min 1x per week","1998","indirect migration background","Urban Area","45","0.117847851056259","0.0898372916793076","0.145858410433211","2"
"Min 1x per week","1998","indirect migration background","Rural Area","10","","","","2"
"Never","1998","no migration background","Urban Area","3413","0.505038725753657","0.493192697289615","0.5168847542177","5"
"Never","1998","no migration background","Rural Area","2302","0.541539975571889","0.526751580480467","0.556328370663311","5"
"Never","1998","direct migration background","Urban Area","1512","0.678093203202854","0.657581382548365","0.698605023857343","5"
"Never","1998","direct migration background","Rural Area","287","0.650780341139942","0.604408789430798","0.697151892849087","5"
"Never","1998","indirect migration background","Urban Area","289","0.495482321604423","0.452047156561033","0.538917486647813","5"
"Never","1998","indirect migration background","Rural Area","36","0.362645297190669","0.263867572727018","0.46142302165432","5"
"Rarely","1998","no migration background","Urban Area","1970","0.280815873401531","0.270168176150208","0.291463570652853","4"
"Rarely","1998","no migration background","Rural Area","1307","0.27982517603202","0.266501704200705","0.293148647863334","4"
"Rarely","1998","direct migration background","Urban Area","283","0.179231777286089","0.162392935586393","0.196070618985786","4"
"Rarely","1998","direct migration background","Rural Area","75","0.199899655073205","0.160998425778848","0.238800884367562","4"
"Rarely","1998","indirect migration background","Rural Area","37","0.350753607255726","0.252706848651543","0.448800365859909","4"
"Rarely","1998","indirect migration background","Urban Area","115","0.257354299215263","0.219375104734591","0.295333493695935","4"
"Daily","1999","no migration background","Urban Area","","","","","1"
"Daily","1999","no migration background","Rural Area","","","","","1"
"Daily","1999","direct migration background","Urban Area","","","","","1"
"Daily","1999","direct migration background","Rural Area","","","","","1"
"Daily","1999","indirect migration background","Rural Area","","","","","1"
"Daily","1999","indirect migration background","Urban Area","","","","","1"
"Min 1x per month","1999","no migration background","Urban Area","","","","","3"
"Min 1x per month","1999","no migration background","Rural Area","","","","","3"
"Min 1x per month","1999","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1999","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1999","indirect migration background","Rural Area","","","","","3"
"Min 1x per month","1999","indirect migration background","Urban Area","","","","","3"
"Min 1x per week","1999","no migration background","Urban Area","","","","","2"
"Min 1x per week","1999","no migration background","Rural Area","","","","","2"
"Min 1x per week","1999","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1999","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1999","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1999","indirect migration background","Urban Area","","","","","2"
"Never","1999","no migration background","Rural Area","","","","","5"
"Never","1999","no migration background","Urban Area","","","","","5"
"Never","1999","direct migration background","Urban Area","","","","","5"
"Never","1999","direct migration background","Rural Area","","","","","5"
"Never","1999","indirect migration background","Urban Area","","","","","5"
"Never","1999","indirect migration background","Rural Area","","","","","5"
"Rarely","1999","no migration background","Urban Area","","","","","4"
"Rarely","1999","no migration background","Rural Area","","","","","4"
"Rarely","1999","direct migration background","Urban Area","","","","","4"
"Rarely","1999","direct migration background","Rural Area","","","","","4"
"Rarely","1999","indirect migration background","Urban Area","","","","","4"
"Rarely","1999","indirect migration background","Rural Area","","","","","4"
"Daily","2000","no migration background","Urban Area","","","","","1"
"Daily","2000","no migration background","Rural Area","","","","","1"
"Daily","2000","direct migration background","Urban Area","","","","","1"
"Daily","2000","direct migration background","Rural Area","","","","","1"
"Daily","2000","indirect migration background","Urban Area","","","","","1"
"Daily","2000","indirect migration background","Rural Area","","","","","1"
"Min 1x per month","2000","no migration background","Urban Area","","","","","3"
"Min 1x per month","2000","no migration background","Rural Area","","","","","3"
"Min 1x per month","2000","direct migration background","Urban Area","","","","","3"
"Min 1x per month","2000","direct migration background","Rural Area","","","","","3"
"Min 1x per month","2000","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","2000","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","2000","no migration background","Urban Area","","","","","2"
"Min 1x per week","2000","no migration background","Rural Area","","","","","2"
"Min 1x per week","2000","direct migration background","Urban Area","","","","","2"
"Min 1x per week","2000","direct migration background","Rural Area","","","","","2"
"Min 1x per week","2000","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","2000","indirect migration background","Rural Area","","","","","2"
"Never","2000","no migration background","Urban Area","","","","","5"
"Never","2000","no migration background","Rural Area","","","","","5"
"Never","2000","direct migration background","Urban Area","","","","","5"
"Never","2000","direct migration background","Rural Area","","","","","5"
"Never","2000","indirect migration background","Urban Area","","","","","5"
"Never","2000","indirect migration background","Rural Area","","","","","5"
"Rarely","2000","no migration background","Urban Area","","","","","4"
"Rarely","2000","no migration background","Rural Area","","","","","4"
"Rarely","2000","direct migration background","Urban Area","","","","","4"
"Rarely","2000","direct migration background","Rural Area","","","","","4"
"Rarely","2000","indirect migration background","Urban Area","","","","","4"
"Rarely","2000","indirect migration background","Rural Area","","","","","4"
"Daily","2001","no migration background","Urban Area","","","","","1"
"Daily","2001","no migration background","Rural Area","","","","","1"
"Daily","2001","direct migration background","Urban Area","","","","","1"
"Daily","2001","direct migration background","Rural Area","","","","","1"
"Daily","2001","indirect migration background","Rural Area","","","","","1"
"Daily","2001","indirect migration background","Urban Area","","","","","1"
"Min 1x per month","2001","no migration background","Urban Area","743","0.0668021346774773","0.0621943218294494","0.0714099475255052","3"
"Min 1x per month","2001","no migration background","Rural Area","377","0.0559279358684138","0.0504868187236484","0.0613690530131792","3"
"Min 1x per month","2001","direct migration background","Urban Area","96","0.0492961350646027","0.0406548456458253","0.05793742448338","3"
"Min 1x per month","2001","direct migration background","Rural Area","19","","","","3"
"Min 1x per month","2001","indirect migration background","Urban Area","53","0.105600542044025","0.0823989930671547","0.128802091020895","3"
"Min 1x per month","2001","indirect migration background","Rural Area","5","","","","3"
"Min 1x per week","2001","no migration background","Rural Area","507","0.0714209911042722","0.0653229060915861","0.0775190761169584","2"
"Min 1x per week","2001","no migration background","Urban Area","1154","0.096760388977517","0.0913045306682678","0.102216247286766","2"
"Min 1x per week","2001","direct migration background","Urban Area","113","0.0610612317215414","0.0515035865834996","0.0706188768595832","2"
"Min 1x per week","2001","direct migration background","Rural Area","37","0.0911650848495493","0.0660352523040061","0.116294917395092","2"
"Min 1x per week","2001","indirect migration background","Urban Area","65","0.100080908771679","0.0774242692182003","0.122737548325157","2"
"Min 1x per week","2001","indirect migration background","Rural Area","10","","","","2"
"Never","2001","no migration background","Rural Area","4489","0.66873055898061","0.657585371472477","0.679875746488742","5"
"Never","2001","no migration background","Urban Area","6575","0.594595510045844","0.585534682125284","0.603656337966403","5"
"Never","2001","direct migration background","Urban Area","1798","0.721503249345624","0.70361043327158","0.739396065419668","5"
"Never","2001","direct migration background","Rural Area","343","0.64824993984928","0.606560970779181","0.689938908919379","5"
"Never","2001","indirect migration background","Urban Area","389","0.545157791978308","0.507564562629595","0.582751021327021","5"
"Never","2001","indirect migration background","Rural Area","49","0.578300850822773","0.480026427984341","0.676575273661205","5"
"Rarely","2001","no migration background","Urban Area","2807","0.241841966299162","0.233939575631535","0.249744356966789","4"
"Rarely","2001","no migration background","Rural Area","1478","0.203920514046704","0.194379824102175","0.213461203991234","4"
"Rarely","2001","direct migration background","Urban Area","404","0.168139383868232","0.15321111345485","0.183067654281614","4"
"Rarely","2001","indirect migration background","Urban Area","167","0.249160757205988","0.216507128870178","0.281814385541799","4"
"Rarely","2001","direct migration background","Rural Area","105","0.206516081605741","0.171175082294717","0.241857080916765","4"
"Rarely","2001","indirect migration background","Rural Area","33","0.272382728969809","0.183788892906782","0.360976565032836","4"
"Daily","2002","no migration background","Urban Area","","","","","1"
"Daily","2002","no migration background","Rural Area","","","","","1"
"Daily","2002","direct migration background","Urban Area","","","","","1"
"Daily","2002","direct migration background","Rural Area","","","","","1"
"Daily","2002","indirect migration background","Rural Area","","","","","1"
"Daily","2002","indirect migration background","Urban Area","","","","","1"
"Min 1x per month","2002","no migration background","Urban Area","","","","","3"
"Min 1x per month","2002","no migration background","Rural Area","","","","","3"
"Min 1x per month","2002","direct migration background","Urban Area","","","","","3"
"Min 1x per month","2002","direct migration background","Rural Area","","","","","3"
"Min 1x per month","2002","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","2002","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","2002","no migration background","Urban Area","","","","","2"
"Min 1x per week","2002","no migration background","Rural Area","","","","","2"
"Min 1x per week","2002","direct migration background","Urban Area","","","","","2"
"Min 1x per week","2002","direct migration background","Rural Area","","","","","2"
"Min 1x per week","2002","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","2002","indirect migration background","Urban Area","","","","","2"
"Never","2002","no migration background","Urban Area","","","","","5"
"Never","2002","no migration background","Rural Area","","","","","5"
"Never","2002","direct migration background","Urban Area","","","","","5"
"Never","2002","direct migration background","Rural Area","","","","","5"
"Never","2002","indirect migration background","Urban Area","","","","","5"
"Never","2002","indirect migration background","Rural Area","","","","","5"
"Rarely","2002","no migration background","Urban Area","","","","","4"
"Rarely","2002","no migration background","Rural Area","","","","","4"
"Rarely","2002","direct migration background","Urban Area","","","","","4"
"Rarely","2002","direct migration background","Rural Area","","","","","4"
"Rarely","2002","indirect migration background","Urban Area","","","","","4"
"Rarely","2002","indirect migration background","Rural Area","","","","","4"
"Daily","2003","no migration background","Urban Area","379","0.028062085931589","0.0251047618555439","0.031019410007634","1"
"Daily","2003","no migration background","Rural Area","132","0.0165188316802242","0.0134786148252596","0.0195590485351888","1"
"Daily","2003","direct migration background","Urban Area","39","0.0199922168517762","0.0140920338023871","0.0258923999011653","1"
"Daily","2003","direct migration background","Rural Area","15","","","","1"
"Daily","2003","indirect migration background","Urban Area","24","","","","1"
"Daily","2003","indirect migration background","Rural Area","5","","","","1"
"Min 1x per month","2003","no migration background","Urban Area","1196","0.0923120345331729","0.0871286057964684","0.0974954632698775","3"
"Min 1x per month","2003","no migration background","Rural Area","571","0.0771055226913861","0.070742687995734","0.0834683573870381","3"
"Min 1x per month","2003","direct migration background","Urban Area","109","0.0630235956189085","0.0527803836055361","0.0732668076322809","3"
"Min 1x per month","2003","direct migration background","Rural Area","22","","","","3"
"Min 1x per month","2003","indirect migration background","Urban Area","63","0.116685318974614","0.0926258591012016","0.140744778848026","3"
"Min 1x per month","2003","indirect migration background","Rural Area","13","","","","3"
"Min 1x per week","2003","no migration background","Rural Area","585","0.0777501705409131","0.0713630245761416","0.0841373165056846","2"
"Min 1x per week","2003","no migration background","Urban Area","1362","0.0991063411951861","0.0937556834947164","0.104456998895656","2"
"Min 1x per week","2003","direct migration background","Urban Area","113","0.0645238765983509","0.0541677625191863","0.0748799906775155","2"
"Min 1x per week","2003","direct migration background","Rural Area","25","","","","2"
