"pli0093_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1990","direct migration background","vocational + Abi","4","","","","2"
"Min 1x per week","1990","direct migration background","higher vocational","7","","","","2"
"Min 1x per week","1990","direct migration background","higher education","11","","","","2"
"Never","1990","indirect migration background","in school","16","","","","5"
"Never","1990","indirect migration background","vocational + Abi","3","","","","5"
"Never","1990","indirect migration background","inadequately","11","","","","5"
"Never","1990","indirect migration background","general elemantary","58","0.448836068634664","0.35832465125059","0.539347486018737","5"
"Never","1990","indirect migration background","middle vocational","33","0.351295488066763","0.255802338015366","0.44678863811816","5"
"Never","1990","direct migration background","in school","12","","","","5"
"Never","1990","direct migration background","inadequately","450","0.804803992502823","0.771558536365081","0.838049448640564","5"
"Never","1990","direct migration background","general elemantary","620","0.672247146859853","0.640654363514956","0.703839930204751","5"
"Never","1990","indirect migration background","higher vocational","1","","","","5"
"Never","1990","indirect migration background","higher education","","","","","5"
"Never","1990","direct migration background","middle vocational","514","0.553036232904422","0.518627089675782","0.587445376133063","5"
"Never","1990","direct migration background","vocational + Abi","53","0.483780340081553","0.382756111667887","0.584804568495219","5"
"Never","1990","direct migration background","higher vocational","16","","","","5"
"Never","1990","direct migration background","higher education","34","0.254502389865129","0.164007897555055","0.344996882175204","5"
"Never","1990","no migration background","in school","16","","","","5"
"Never","1990","no migration background","inadequately","50","0.768002310869347","0.665386446997195","0.8706181747415","5"
"Never","1990","no migration background","general elemantary","888","0.610235126162392","0.585587555355239","0.634882696969545","5"
"Never","1990","no migration background","middle vocational","1524","0.434552381908122","0.418457931028906","0.450646832787337","5"
"Never","1990","no migration background","vocational + Abi","61","0.323554674013517","0.257207627222478","0.389901720804555","5"
"Never","1990","no migration background","higher vocational","152","0.348836472252499","0.305187770736312","0.392485173768687","5"
"Never","1990","no migration background","higher education","125","0.212191230149051","0.179557737615897","0.244824722682204","5"
"Rarely","1990","no migration background","general elemantary","347","0.221271430280294","0.200292666224391","0.242250194336197","4"
"Rarely","1990","no migration background","middle vocational","1193","0.318483342070524","0.303356770533211","0.333609913607837","4"
"Rarely","1990","no migration background","vocational + Abi","59","0.283008378962268","0.219124968312445","0.34689178961209","4"
"Rarely","1990","no migration background","higher vocational","169","0.361225888439367","0.31723340904729","0.405218367831444","4"
"Rarely","1990","no migration background","higher education","215","0.361147172041828","0.322808951179314","0.399485392904341","4"
"Rarely","1990","direct migration background","in school","6","","","","4"
"Rarely","1990","direct migration background","inadequately","67","0.109590777236058","0.0833888281720988","0.135792726300018","4"
"Rarely","1990","direct migration background","general elemantary","139","0.214571993275332","0.186941421359488","0.242202565191175","4"
"Rarely","1990","direct migration background","middle vocational","173","0.251379319530961","0.221356146435775","0.281402492626147","4"
"Rarely","1990","direct migration background","vocational + Abi","23","","","","4"
"Rarely","1990","direct migration background","higher vocational","14","","","","4"
"Rarely","1990","direct migration background","higher education","23","","","","4"
"Rarely","1990","indirect migration background","in school","7","","","","4"
"Rarely","1990","indirect migration background","inadequately","2","","","","4"
"Rarely","1990","no migration background","in school","31","0.313020697614908","0.222583778709784","0.403457616520033","4"
"Rarely","1990","no migration background","inadequately","11","","","","4"
"Rarely","1990","indirect migration background","general elemantary","20","","","","4"
"Rarely","1990","indirect migration background","middle vocational","30","0.383574228255805","0.286304527848458","0.480843928663153","4"
"Rarely","1990","indirect migration background","vocational + Abi","2","","","","4"
"Rarely","1990","indirect migration background","higher vocational","2","","","","4"
"Rarely","1990","indirect migration background","higher education","","","","","4"
"Daily","1991","no migration background","in school","","","","","1"
"Daily","1991","no migration background","inadequately","","","","","1"
"Daily","1991","no migration background","general elemantary","","","","","1"
"Daily","1991","no migration background","middle vocational","","","","","1"
"Daily","1991","no migration background","vocational + Abi","","","","","1"
"Daily","1991","no migration background","higher vocational","","","","","1"
"Daily","1991","no migration background","higher education","","","","","1"
"Daily","1991","direct migration background","in school","","","","","1"
"Daily","1991","direct migration background","inadequately","","","","","1"
"Daily","1991","direct migration background","general elemantary","","","","","1"
"Daily","1991","direct migration background","middle vocational","","","","","1"
"Daily","1991","direct migration background","vocational + Abi","","","","","1"
"Daily","1991","direct migration background","higher vocational","","","","","1"
"Daily","1991","direct migration background","higher education","","","","","1"
"Daily","1991","indirect migration background","in school","","","","","1"
"Daily","1991","indirect migration background","inadequately","","","","","1"
"Daily","1991","indirect migration background","general elemantary","","","","","1"
"Daily","1991","indirect migration background","middle vocational","","","","","1"
"Daily","1991","indirect migration background","vocational + Abi","","","","","1"
"Daily","1991","indirect migration background","higher vocational","","","","","1"
"Daily","1991","indirect migration background","higher education","","","","","1"
"Min 1x per month","1991","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1991","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","direct migration background","in school","","","","","3"
"Min 1x per month","1991","direct migration background","inadequately","","","","","3"
"Min 1x per month","1991","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1991","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1991","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1991","direct migration background","higher education","","","","","3"
"Min 1x per month","1991","indirect migration background","in school","","","","","3"
"Min 1x per month","1991","indirect migration background","inadequately","","","","","3"
"Min 1x per month","1991","indirect migration background","general elemantary","","","","","3"
"Min 1x per month","1991","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1991","indirect migration background","higher education","","","","","3"
"Min 1x per month","1991","no migration background","in school","","","","","3"
"Min 1x per month","1991","no migration background","inadequately","","","","","3"
"Min 1x per month","1991","no migration background","general elemantary","","","","","3"
"Min 1x per month","1991","no migration background","middle vocational","","","","","3"
"Min 1x per month","1991","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","no migration background","higher vocational","","","","","3"
"Min 1x per month","1991","no migration background","higher education","","","","","3"
"Min 1x per week","1991","indirect migration background","in school","","","","","2"
"Min 1x per week","1991","indirect migration background","inadequately","","","","","2"
"Min 1x per week","1991","indirect migration background","general elemantary","","","","","2"
"Min 1x per week","1991","indirect migration background","middle vocational","","","","","2"
"Min 1x per week","1991","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1991","indirect migration background","higher education","","","","","2"
"Min 1x per week","1991","direct migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","direct migration background","higher vocational","","","","","2"
"Min 1x per week","1991","direct migration background","higher education","","","","","2"
"Min 1x per week","1991","no migration background","in school","","","","","2"
"Min 1x per week","1991","no migration background","inadequately","","","","","2"
"Min 1x per week","1991","no migration background","general elemantary","","","","","2"
"Min 1x per week","1991","no migration background","middle vocational","","","","","2"
"Min 1x per week","1991","no migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","no migration background","higher vocational","","","","","2"
"Min 1x per week","1991","no migration background","higher education","","","","","2"
"Min 1x per week","1991","direct migration background","in school","","","","","2"
"Min 1x per week","1991","direct migration background","inadequately","","","","","2"
"Min 1x per week","1991","direct migration background","general elemantary","","","","","2"
"Min 1x per week","1991","direct migration background","middle vocational","","","","","2"
"Never","1991","indirect migration background","vocational + Abi","","","","","5"
"Never","1991","indirect migration background","in school","","","","","5"
"Never","1991","indirect migration background","inadequately","","","","","5"
"Never","1991","indirect migration background","general elemantary","","","","","5"
"Never","1991","indirect migration background","middle vocational","","","","","5"
"Never","1991","indirect migration background","higher vocational","","","","","5"
"Never","1991","indirect migration background","higher education","","","","","5"
"Never","1991","direct migration background","in school","","","","","5"
"Never","1991","direct migration background","inadequately","","","","","5"
"Never","1991","direct migration background","general elemantary","","","","","5"
"Never","1991","direct migration background","middle vocational","","","","","5"
"Never","1991","direct migration background","vocational + Abi","","","","","5"
"Never","1991","direct migration background","higher vocational","","","","","5"
"Never","1991","direct migration background","higher education","","","","","5"
"Never","1991","no migration background","in school","","","","","5"
"Never","1991","no migration background","inadequately","","","","","5"
"Never","1991","no migration background","general elemantary","","","","","5"
"Never","1991","no migration background","middle vocational","","","","","5"
"Never","1991","no migration background","vocational + Abi","","","","","5"
"Never","1991","no migration background","higher vocational","","","","","5"
"Never","1991","no migration background","higher education","","","","","5"
"Rarely","1991","no migration background","general elemantary","","","","","4"
"Rarely","1991","no migration background","middle vocational","","","","","4"
"Rarely","1991","no migration background","vocational + Abi","","","","","4"
"Rarely","1991","no migration background","higher vocational","","","","","4"
"Rarely","1991","no migration background","higher education","","","","","4"
"Rarely","1991","direct migration background","in school","","","","","4"
"Rarely","1991","direct migration background","inadequately","","","","","4"
"Rarely","1991","direct migration background","general elemantary","","","","","4"
"Rarely","1991","direct migration background","middle vocational","","","","","4"
"Rarely","1991","direct migration background","vocational + Abi","","","","","4"
"Rarely","1991","direct migration background","higher vocational","","","","","4"
"Rarely","1991","direct migration background","higher education","","","","","4"
"Rarely","1991","indirect migration background","in school","","","","","4"
"Rarely","1991","indirect migration background","inadequately","","","","","4"
"Rarely","1991","indirect migration background","vocational + Abi","","","","","4"
"Rarely","1991","indirect migration background","higher vocational","","","","","4"
"Rarely","1991","indirect migration background","higher education","","","","","4"
"Rarely","1991","no migration background","in school","","","","","4"
"Rarely","1991","no migration background","inadequately","","","","","4"
"Rarely","1991","indirect migration background","general elemantary","","","","","4"
"Rarely","1991","indirect migration background","middle vocational","","","","","4"
"Daily","1992","direct migration background","general elemantary","","","","","1"
"Daily","1992","direct migration background","middle vocational","","","","","1"
"Daily","1992","direct migration background","vocational + Abi","","","","","1"
"Daily","1992","direct migration background","higher vocational","","","","","1"
"Daily","1992","direct migration background","higher education","","","","","1"
"Daily","1992","indirect migration background","in school","","","","","1"
"Daily","1992","indirect migration background","inadequately","","","","","1"
"Daily","1992","no migration background","in school","","","","","1"
"Daily","1992","no migration background","inadequately","","","","","1"
"Daily","1992","no migration background","general elemantary","","","","","1"
"Daily","1992","no migration background","middle vocational","","","","","1"
"Daily","1992","no migration background","vocational + Abi","","","","","1"
"Daily","1992","no migration background","higher vocational","","","","","1"
"Daily","1992","no migration background","higher education","","","","","1"
"Daily","1992","direct migration background","in school","","","","","1"
"Daily","1992","direct migration background","inadequately","","","","","1"
"Daily","1992","indirect migration background","general elemantary","","","","","1"
"Daily","1992","indirect migration background","middle vocational","","","","","1"
"Daily","1992","indirect migration background","vocational + Abi","","","","","1"
"Daily","1992","indirect migration background","higher vocational","","","","","1"
"Daily","1992","indirect migration background","higher education","","","","","1"
"Min 1x per month","1992","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1992","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1992","direct migration background","in school","","","","","3"
"Min 1x per month","1992","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1992","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1992","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1992","direct migration background","inadequately","","","","","3"
"Min 1x per month","1992","no migration background","in school","","","","","3"
"Min 1x per month","1992","no migration background","inadequately","","","","","3"
"Min 1x per month","1992","no migration background","general elemantary","","","","","3"
"Min 1x per month","1992","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1992","direct migration background","higher education","","","","","3"
"Min 1x per month","1992","indirect migration background","in school","","","","","3"
"Min 1x per month","1992","indirect migration background","inadequately","","","","","3"
"Min 1x per month","1992","indirect migration background","general elemantary","","","","","3"
"Min 1x per month","1992","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1992","indirect migration background","higher education","","","","","3"
"Min 1x per month","1992","no migration background","middle vocational","","","","","3"
"Min 1x per month","1992","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1992","no migration background","higher vocational","","","","","3"
"Min 1x per month","1992","no migration background","higher education","","","","","3"
"Min 1x per week","1992","indirect migration background","in school","","","","","2"
"Min 1x per week","1992","indirect migration background","inadequately","","","","","2"
"Min 1x per week","1992","indirect migration background","general elemantary","","","","","2"
"Min 1x per week","1992","indirect migration background","middle vocational","","","","","2"
"Min 1x per week","1992","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1992","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1992","indirect migration background","higher education","","","","","2"
"Min 1x per week","1992","direct migration background","in school","","","","","2"
"Min 1x per week","1992","direct migration background","inadequately","","","","","2"
"Min 1x per week","1992","direct migration background","general elemantary","","","","","2"
"Min 1x per week","1992","direct migration background","middle vocational","","","","","2"
"Min 1x per week","1992","direct migration background","vocational + Abi","","","","","2"
"Min 1x per week","1992","direct migration background","higher vocational","","","","","2"
"Min 1x per week","1992","direct migration background","higher education","","","","","2"
"Min 1x per week","1992","no migration background","in school","","","","","2"
"Min 1x per week","1992","no migration background","inadequately","","","","","2"
"Min 1x per week","1992","no migration background","general elemantary","","","","","2"
"Min 1x per week","1992","no migration background","middle vocational","","","","","2"
"Min 1x per week","1992","no migration background","vocational + Abi","","","","","2"
"Min 1x per week","1992","no migration background","higher vocational","","","","","2"
"Min 1x per week","1992","no migration background","higher education","","","","","2"
"Never","1992","indirect migration background","higher vocational","","","","","5"
"Never","1992","direct migration background","in school","","","","","5"
"Never","1992","direct migration background","inadequately","","","","","5"
"Never","1992","direct migration background","general elemantary","","","","","5"
"Never","1992","direct migration background","middle vocational","","","","","5"
"Never","1992","indirect migration background","in school","","","","","5"
"Never","1992","indirect migration background","inadequately","","","","","5"
"Never","1992","indirect migration background","general elemantary","","","","","5"
"Never","1992","indirect migration background","middle vocational","","","","","5"
"Never","1992","indirect migration background","vocational + Abi","","","","","5"
"Never","1992","indirect migration background","higher education","","","","","5"
"Never","1992","direct migration background","vocational + Abi","","","","","5"
"Never","1992","direct migration background","higher vocational","","","","","5"
"Never","1992","direct migration background","higher education","","","","","5"
"Never","1992","no migration background","in school","","","","","5"
"Never","1992","no migration background","inadequately","","","","","5"
"Never","1992","no migration background","general elemantary","","","","","5"
"Never","1992","no migration background","middle vocational","","","","","5"
"Never","1992","no migration background","vocational + Abi","","","","","5"
"Never","1992","no migration background","higher vocational","","","","","5"
"Never","1992","no migration background","higher education","","","","","5"
"Rarely","1992","no migration background","in school","","","","","4"
"Rarely","1992","no migration background","inadequately","","","","","4"
"Rarely","1992","no migration background","general elemantary","","","","","4"
"Rarely","1992","no migration background","middle vocational","","","","","4"
"Rarely","1992","no migration background","vocational + Abi","","","","","4"
"Rarely","1992","no migration background","higher vocational","","","","","4"
"Rarely","1992","no migration background","higher education","","","","","4"
"Rarely","1992","direct migration background","in school","","","","","4"
"Rarely","1992","direct migration background","inadequately","","","","","4"
"Rarely","1992","direct migration background","general elemantary","","","","","4"
"Rarely","1992","direct migration background","middle vocational","","","","","4"
"Rarely","1992","direct migration background","vocational + Abi","","","","","4"
"Rarely","1992","direct migration background","higher vocational","","","","","4"
"Rarely","1992","direct migration background","higher education","","","","","4"
"Rarely","1992","indirect migration background","in school","","","","","4"
"Rarely","1992","indirect migration background","inadequately","","","","","4"
"Rarely","1992","indirect migration background","general elemantary","","","","","4"
"Rarely","1992","indirect migration background","middle vocational","","","","","4"
"Rarely","1992","indirect migration background","vocational + Abi","","","","","4"
"Rarely","1992","indirect migration background","higher vocational","","","","","4"
"Rarely","1992","indirect migration background","higher education","","","","","4"
"Daily","1993","direct migration background","general elemantary","","","","","1"
"Daily","1993","direct migration background","middle vocational","","","","","1"
"Daily","1993","direct migration background","vocational + Abi","","","","","1"
"Daily","1993","direct migration background","higher vocational","","","","","1"
"Daily","1993","direct migration background","higher education","","","","","1"
"Daily","1993","indirect migration background","in school","","","","","1"
"Daily","1993","indirect migration background","inadequately","","","","","1"
"Daily","1993","no migration background","in school","","","","","1"
"Daily","1993","no migration background","inadequately","","","","","1"
"Daily","1993","no migration background","general elemantary","","","","","1"
"Daily","1993","no migration background","middle vocational","","","","","1"
"Daily","1993","no migration background","vocational + Abi","","","","","1"
"Daily","1993","no migration background","higher vocational","","","","","1"
"Daily","1993","no migration background","higher education","","","","","1"
"Daily","1993","direct migration background","in school","","","","","1"
"Daily","1993","direct migration background","inadequately","","","","","1"
"Daily","1993","indirect migration background","general elemantary","","","","","1"
"Daily","1993","indirect migration background","middle vocational","","","","","1"
"Daily","1993","indirect migration background","vocational + Abi","","","","","1"
"Daily","1993","indirect migration background","higher vocational","","","","","1"
"Daily","1993","indirect migration background","higher education","","","","","1"
"Min 1x per month","1993","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1993","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1993","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1993","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1993","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1993","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1993","direct migration background","in school","","","","","3"
"Min 1x per month","1993","direct migration background","inadequately","","","","","3"
"Min 1x per month","1993","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1993","direct migration background","higher education","","","","","3"
"Min 1x per month","1993","indirect migration background","in school","","","","","3"
"Min 1x per month","1993","indirect migration background","inadequately","","","","","3"
"Min 1x per month","1993","indirect migration background","general elemantary","","","","","3"
"Min 1x per month","1993","indirect migration background","higher education","","","","","3"
"Min 1x per month","1993","no migration background","in school","","","","","3"
"Min 1x per month","1993","no migration background","inadequately","","","","","3"
"Min 1x per month","1993","no migration background","general elemantary","","","","","3"
"Min 1x per month","1993","no migration background","middle vocational","","","","","3"
"Min 1x per month","1993","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1993","no migration background","higher vocational","","","","","3"
"Min 1x per month","1993","no migration background","higher education","","","","","3"
"Min 1x per week","1993","indirect migration background","in school","","","","","2"
"Min 1x per week","1993","indirect migration background","inadequately","","","","","2"
"Min 1x per week","1993","indirect migration background","general elemantary","","","","","2"
"Min 1x per week","1993","indirect migration background","middle vocational","","","","","2"
"Min 1x per week","1993","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1993","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1993","indirect migration background","higher education","","","","","2"
"Min 1x per week","1993","direct migration background","in school","","","","","2"
"Min 1x per week","1993","direct migration background","inadequately","","","","","2"
"Min 1x per week","1993","direct migration background","general elemantary","","","","","2"
"Min 1x per week","1993","direct migration background","middle vocational","","","","","2"
"Min 1x per week","1993","direct migration background","vocational + Abi","","","","","2"
"Min 1x per week","1993","direct migration background","higher vocational","","","","","2"
"Min 1x per week","1993","direct migration background","higher education","","","","","2"
"Min 1x per week","1993","no migration background","vocational + Abi","","","","","2"
"Min 1x per week","1993","no migration background","higher vocational","","","","","2"
"Min 1x per week","1993","no migration background","higher education","","","","","2"
"Min 1x per week","1993","no migration background","general elemantary","","","","","2"
"Min 1x per week","1993","no migration background","middle vocational","","","","","2"
"Min 1x per week","1993","no migration background","inadequately","","","","","2"
"Min 1x per week","1993","no migration background","in school","","","","","2"
"Never","1993","indirect migration background","vocational + Abi","","","","","5"
"Never","1993","indirect migration background","higher vocational","","","","","5"
"Never","1993","direct migration background","in school","","","","","5"
"Never","1993","direct migration background","inadequately","","","","","5"
"Never","1993","direct migration background","general elemantary","","","","","5"
"Never","1993","indirect migration background","in school","","","","","5"
"Never","1993","indirect migration background","inadequately","","","","","5"
"Never","1993","indirect migration background","general elemantary","","","","","5"
"Never","1993","indirect migration background","middle vocational","","","","","5"
"Never","1993","indirect migration background","higher education","","","","","5"
"Never","1993","direct migration background","middle vocational","","","","","5"
"Never","1993","direct migration background","vocational + Abi","","","","","5"
"Never","1993","direct migration background","higher vocational","","","","","5"
"Never","1993","direct migration background","higher education","","","","","5"
"Never","1993","no migration background","in school","","","","","5"
"Never","1993","no migration background","inadequately","","","","","5"
"Never","1993","no migration background","general elemantary","","","","","5"
"Never","1993","no migration background","middle vocational","","","","","5"
"Never","1993","no migration background","vocational + Abi","","","","","5"
"Never","1993","no migration background","higher vocational","","","","","5"
"Never","1993","no migration background","higher education","","","","","5"
"Rarely","1993","no migration background","general elemantary","","","","","4"
"Rarely","1993","no migration background","middle vocational","","","","","4"
"Rarely","1993","no migration background","vocational + Abi","","","","","4"
"Rarely","1993","no migration background","higher vocational","","","","","4"
"Rarely","1993","no migration background","higher education","","","","","4"
"Rarely","1993","direct migration background","in school","","","","","4"
"Rarely","1993","direct migration background","inadequately","","","","","4"
"Rarely","1993","direct migration background","general elemantary","","","","","4"
"Rarely","1993","direct migration background","middle vocational","","","","","4"
"Rarely","1993","direct migration background","vocational + Abi","","","","","4"
"Rarely","1993","direct migration background","higher vocational","","","","","4"
"Rarely","1993","direct migration background","higher education","","","","","4"
"Rarely","1993","indirect migration background","in school","","","","","4"
"Rarely","1993","indirect migration background","inadequately","","","","","4"
"Rarely","1993","no migration background","in school","","","","","4"
"Rarely","1993","no migration background","inadequately","","","","","4"
"Rarely","1993","indirect migration background","general elemantary","","","","","4"
"Rarely","1993","indirect migration background","middle vocational","","","","","4"
"Rarely","1993","indirect migration background","vocational + Abi","","","","","4"
"Rarely","1993","indirect migration background","higher vocational","","","","","4"
"Rarely","1993","indirect migration background","higher education","","","","","4"
"Daily","1994","no migration background","in school","","","","","1"
"Daily","1994","no migration background","inadequately","","","","","1"
"Daily","1994","no migration background","general elemantary","","","","","1"
"Daily","1994","no migration background","middle vocational","","","","","1"
"Daily","1994","no migration background","vocational + Abi","","","","","1"
"Daily","1994","no migration background","higher vocational","","","","","1"
"Daily","1994","no migration background","higher education","","","","","1"
"Daily","1994","direct migration background","in school","","","","","1"
"Daily","1994","direct migration background","inadequately","","","","","1"
"Daily","1994","direct migration background","general elemantary","","","","","1"
"Daily","1994","direct migration background","middle vocational","","","","","1"
"Daily","1994","direct migration background","vocational + Abi","","","","","1"
"Daily","1994","direct migration background","higher vocational","","","","","1"
"Daily","1994","direct migration background","higher education","","","","","1"
"Daily","1994","indirect migration background","in school","","","","","1"
"Daily","1994","indirect migration background","inadequately","","","","","1"
"Daily","1994","indirect migration background","general elemantary","","","","","1"
"Daily","1994","indirect migration background","middle vocational","","","","","1"
"Daily","1994","indirect migration background","vocational + Abi","","","","","1"
"Daily","1994","indirect migration background","higher vocational","","","","","1"
"Daily","1994","indirect migration background","higher education","","","","","1"
"Min 1x per month","1994","no migration background","in school","","","","","3"
"Min 1x per month","1994","no migration background","inadequately","","","","","3"
"Min 1x per month","1994","no migration background","general elemantary","","","","","3"
"Min 1x per month","1994","no migration background","middle vocational","","","","","3"
"Min 1x per month","1994","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1994","no migration background","higher vocational","","","","","3"
"Min 1x per month","1994","no migration background","higher education","","","","","3"
"Min 1x per month","1994","direct migration background","in school","","","","","3"
"Min 1x per month","1994","direct migration background","inadequately","","","","","3"
"Min 1x per month","1994","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1994","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1994","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1994","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1994","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1994","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1994","indirect migration background","higher education","","","","","3"
"Min 1x per month","1994","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1994","direct migration background","higher education","","","","","3"
"Min 1x per month","1994","indirect migration background","in school","","","","","3"
"Min 1x per month","1994","indirect migration background","inadequately","","","","","3"
