"plh0206i02","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"4 on scale 1-7","2015","Urban Area","2267","0.140588986555145","0.135450888220736","0.145727084889553","4"
"5 on scale 1-7","2015","Urban Area","1368","0.0830703186603414","0.078990721715407","0.0871499156052758","5"
"5 on scale 1-7","2015","Rural Area","772","0.0903064886580601","0.0844234009427079","0.0961895763734124","5"
"6 on scale 1-7","2015","Rural Area","415","0.0463801334823153","0.0420634327676795","0.050696834196951","6"
"6 on scale 1-7","2015","Urban Area","698","0.0444511638947075","0.041404712058433","0.0474976157309819","6"
"7 Strongly agree","2015","Urban Area","692","0.0358264435484804","0.0330791456029028","0.0385737414940581","7"
"7 Strongly agree","2015","Rural Area","382","0.0445420139534808","0.0403076418551381","0.0487763860518235","7"
"1 Strongly disagree","2016","Urban Area","2138","0.549494651278045","0.531612930075345","0.567376372480745","1"
"1 Strongly disagree","2016","Rural Area","930","0.624206483042908","0.598118357380994","0.650294608704822","1"
"2 on scale 1-7 ","2016","Rural Area","111","0.136697181402072","0.118193188302868","0.155201174501276","2"
"2 on scale 1-7 ","2016","Urban Area","268","0.128263744285373","0.116246023206839","0.140281465363908","2"
"3 on scale 1-7 ","2016","Rural Area","67","0.060400974330148","0.0475688857322052","0.0732330629280908","3"
"3 on scale 1-7 ","2016","Urban Area","141","0.0975740884812418","0.0869093394766794","0.108238837485804","3"
"4 on scale 1-7","2016","Urban Area","142","0.0744858447415216","0.065049451836979","0.0839222376460642","4"
"4 on scale 1-7","2016","Rural Area","58","0.0395220696485452","0.0290274275298759","0.0500167117672145","4"
"5 on scale 1-7","2016","Rural Area","49","0.0535664766187532","0.0414382948695433","0.0656946583679631","5"
"5 on scale 1-7","2016","Urban Area","94","0.0713638794335023","0.0621117942977043","0.0806159645693003","5"
"6 on scale 1-7","2016","Urban Area","59","0.0336881892609617","0.0272037102786845","0.0401726682432389","6"
"6 on scale 1-7","2016","Rural Area","33","0.0322834301417775","0.022762748932196","0.0418041113513591","6"
"7 Strongly agree","2016","Urban Area","132","0.0451296025193543","0.0376688853237714","0.0525903197149373","7"
"7 Strongly agree","2016","Rural Area","76","0.0533233848157963","0.0412212000853915","0.0654255695462011","7"
"1 Strongly disagree","2017","Urban Area","1491","0.68798878238247","0.667922870645577","0.708054694119362","1"
"1 Strongly disagree","2017","Rural Area","605","0.809527902578395","0.781647297251773","0.837408507905017","1"
"2 on scale 1-7 ","2017","Rural Area","57","0.0731791490579356","0.0546880731792126","0.0916702249366586","2"
"2 on scale 1-7 ","2017","Urban Area","224","0.126625163218533","0.11222247824734","0.141027848189725","2"
"3 on scale 1-7 ","2017","Rural Area","21","","","","3"
"3 on scale 1-7 ","2017","Urban Area","96","0.0414572526078581","0.032823708411961","0.0500907968037553","3"
"4 on scale 1-7","2017","Rural Area","29","","","","4"
"4 on scale 1-7","2017","Urban Area","80","0.0506554501163996","0.0411579756421878","0.0601529245906114","4"
"5 on scale 1-7","2017","Urban Area","56","0.034360593763262","0.0264716123104055","0.0422495752161184","5"
"5 on scale 1-7","2017","Rural Area","17","","","","5"
"6 on scale 1-7","2017","Rural Area","5","","","","6"
"6 on scale 1-7","2017","Urban Area","25","","","","6"
"7 Strongly agree","2017","Urban Area","76","0.043002079999348","0.0342162389234481","0.0517879210752479","7"
"7 Strongly agree","2017","Rural Area","28","","","","7"
"1 Strongly disagree","2018","Rural Area","109","0.779233743801071","0.712859026654691","0.845608460947451","1"
"1 Strongly disagree","2018","Urban Area","174","0.658020724827109","0.600359867298744","0.715681582355474","1"
"2 on scale 1-7 ","2018","Rural Area","13","","","","2"
"2 on scale 1-7 ","2018","Urban Area","26","","","","2"
"3 on scale 1-7 ","2018","Rural Area","5","","","","3"
"3 on scale 1-7 ","2018","Urban Area","16","","","","3"
"4 on scale 1-7","2018","Urban Area","16","","","","4"
"4 on scale 1-7","2018","Rural Area","9","","","","4"
"5 on scale 1-7","2018","Rural Area","3","","","","5"
"5 on scale 1-7","2018","Urban Area","8","","","","5"
"6 on scale 1-7","2018","Urban Area","7","","","","6"
"6 on scale 1-7","2018","Rural Area","7","","","","6"
"7 Strongly agree","2018","Urban Area","13","","","","7"
"7 Strongly agree","2018","Rural Area","4","","","","7"
"1 Strongly disagree","2019","Rural Area","58","0.63289042173326","0.538416877070504","0.727363966396016","1"
"1 Strongly disagree","2019","Urban Area","92","0.606387999051108","0.532730969061899","0.680045029040317","1"
"2 on scale 1-7 ","2019","Rural Area","23","","","","2"
"2 on scale 1-7 ","2019","Urban Area","20","","","","2"
"3 on scale 1-7 ","2019","Urban Area","25","","","","3"
"3 on scale 1-7 ","2019","Rural Area","6","","","","3"
"4 on scale 1-7","2019","Rural Area","5","","","","4"
"4 on scale 1-7","2019","Urban Area","12","","","","4"
"5 on scale 1-7","2019","Urban Area","7","","","","5"
"5 on scale 1-7","2019","Rural Area","2","","","","5"
"6 on scale 1-7","2019","Rural Area","1","","","","6"
"6 on scale 1-7","2019","Urban Area","4","","","","6"
"7 Strongly agree","2019","Urban Area","9","","","","7"
"7 Strongly agree","2019","Rural Area","5","","","","7"
