"plh0206i02","year","sampreg","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2007","East Germany","","","",""
"2 on scale 1-7 ","2007","West Germany","","","",""
"2 on scale 1-7 ","2007","East Germany","","","",""
"3 on scale 1-7 ","2007","West Germany","","","",""
"3 on scale 1-7 ","2007","East Germany","","","",""
"4 on scale 1-7","2007","West Germany","","","",""
"4 on scale 1-7","2007","East Germany","","","",""
"5 on scale 1-7","2007","West Germany","","","",""
"5 on scale 1-7","2007","East Germany","","","",""
"6 on scale 1-7","2007","West Germany","","","",""
"6 on scale 1-7","2007","East Germany","","","",""
"7 Strongly agree","2007","West Germany","","","",""
"7 Strongly agree","2007","East Germany","","","",""
"1 Strongly disagree","2008","West Germany","","","",""
"1 Strongly disagree","2008","East Germany","","","",""
"2 on scale 1-7 ","2008","West Germany","","","",""
"2 on scale 1-7 ","2008","East Germany","","","",""
"3 on scale 1-7 ","2008","West Germany","","","",""
"3 on scale 1-7 ","2008","East Germany","","","",""
"4 on scale 1-7","2008","West Germany","","","",""
"4 on scale 1-7","2008","East Germany","","","",""
"5 on scale 1-7","2008","West Germany","","","",""
"5 on scale 1-7","2008","East Germany","","","",""
"6 on scale 1-7","2008","West Germany","","","",""
"6 on scale 1-7","2008","East Germany","","","",""
"7 Strongly agree","2008","West Germany","","","",""
"7 Strongly agree","2008","East Germany","","","",""
"1 Strongly disagree","2009","West Germany","","","",""
"1 Strongly disagree","2009","East Germany","","","",""
"2 on scale 1-7 ","2009","West Germany","","","",""
"2 on scale 1-7 ","2009","East Germany","","","",""
"3 on scale 1-7 ","2009","West Germany","","","",""
"3 on scale 1-7 ","2009","East Germany","","","",""
"4 on scale 1-7","2009","West Germany","","","",""
"4 on scale 1-7","2009","East Germany","","","",""
"5 on scale 1-7","2009","West Germany","","","",""
"5 on scale 1-7","2009","East Germany","","","",""
"6 on scale 1-7","2009","West Germany","","","",""
"6 on scale 1-7","2009","East Germany","","","",""
"7 Strongly agree","2009","West Germany","","","",""
"7 Strongly agree","2009","East Germany","","","",""
"1 Strongly disagree","2010","West Germany","2306","0.181666437745272","0.17491640658618","0.188416468904365"
"1 Strongly disagree","2010","East Germany","681","0.181133406491118","0.169393389938023","0.192873423044213"
"2 on scale 1-7 ","2010","West Germany","2761","0.207141729914858","0.200047017016609","0.214236442813108"
"2 on scale 1-7 ","2010","East Germany","875","0.20646908584304","0.194130303662197","0.218807868023883"
"3 on scale 1-7 ","2010","West Germany","2590","0.205249115091228","0.198178464072404","0.212319766110052"
"3 on scale 1-7 ","2010","East Germany","823","0.190460006292663","0.178490288629054","0.202429723956271"
"4 on scale 1-7","2010","West Germany","2231","0.177416677869782","0.170728767914435","0.18410458782513"
"4 on scale 1-7","2010","East Germany","816","0.190762493268227","0.178785512517416","0.202739474019038"
"5 on scale 1-7","2010","West Germany","1379","0.121294036316509","0.115578660972088","0.12700941166093"
"5 on scale 1-7","2010","East Germany","482","0.108393755357913","0.0989171774552556","0.117870333260571"
"6 on scale 1-7","2010","West Germany","623","0.0498374963997177","0.0460278883266966","0.0536471044727388"
"6 on scale 1-7","2010","East Germany","221","0.0549672079686667","0.0480195547527422","0.0619148611845912"
"7 Strongly agree","2010","West Germany","644","0.0573945066626326","0.0533225476985557","0.0614664656267094"
"7 Strongly agree","2010","East Germany","236","0.0678140447783713","0.0601497189929333","0.0754783705638093"
"1 Strongly disagree","2011","West Germany","","","",""
"1 Strongly disagree","2011","East Germany","","","",""
"2 on scale 1-7 ","2011","West Germany","","","",""
"2 on scale 1-7 ","2011","East Germany","","","",""
"3 on scale 1-7 ","2011","West Germany","","","",""
"3 on scale 1-7 ","2011","East Germany","","","",""
"4 on scale 1-7","2011","West Germany","","","",""
"4 on scale 1-7","2011","East Germany","","","",""
"5 on scale 1-7","2011","West Germany","","","",""
"5 on scale 1-7","2011","East Germany","","","",""
"6 on scale 1-7","2011","West Germany","","","",""
"6 on scale 1-7","2011","East Germany","","","",""
"7 Strongly agree","2011","West Germany","","","",""
"7 Strongly agree","2011","East Germany","","","",""
"1 Strongly disagree","2012","West Germany","","","",""
"1 Strongly disagree","2012","East Germany","","","",""
"2 on scale 1-7 ","2012","West Germany","","","",""
"2 on scale 1-7 ","2012","East Germany","","","",""
"3 on scale 1-7 ","2012","West Germany","","","",""
"3 on scale 1-7 ","2012","East Germany","","","",""
"4 on scale 1-7","2012","West Germany","","","",""
"4 on scale 1-7","2012","East Germany","","","",""
"5 on scale 1-7","2012","West Germany","","","",""
"5 on scale 1-7","2012","East Germany","","","",""
"6 on scale 1-7","2012","West Germany","","","",""
"6 on scale 1-7","2012","East Germany","","","",""
"7 Strongly agree","2012","West Germany","","","",""
"7 Strongly agree","2012","East Germany","","","",""
"1 Strongly disagree","2013","West Germany","","","",""
"1 Strongly disagree","2013","East Germany","","","",""
"2 on scale 1-7 ","2013","West Germany","","","",""
"2 on scale 1-7 ","2013","East Germany","","","",""
"3 on scale 1-7 ","2013","West Germany","","","",""
"3 on scale 1-7 ","2013","East Germany","","","",""
"4 on scale 1-7","2013","West Germany","","","",""
"4 on scale 1-7","2013","East Germany","","","",""
"5 on scale 1-7","2013","West Germany","","","",""
"5 on scale 1-7","2013","East Germany","","","",""
"6 on scale 1-7","2013","West Germany","","","",""
"6 on scale 1-7","2013","East Germany","","","",""
"7 Strongly agree","2013","West Germany","","","",""
"7 Strongly agree","2013","East Germany","","","",""
"1 Strongly disagree","2014","West Germany","","","",""
"1 Strongly disagree","2014","East Germany","","","",""
"2 on scale 1-7 ","2014","West Germany","","","",""
"2 on scale 1-7 ","2014","East Germany","","","",""
"3 on scale 1-7 ","2014","West Germany","","","",""
"3 on scale 1-7 ","2014","East Germany","","","",""
"4 on scale 1-7","2014","West Germany","","","",""
"4 on scale 1-7","2014","East Germany","","","",""
"5 on scale 1-7","2014","West Germany","","","",""
"5 on scale 1-7","2014","East Germany","","","",""
"6 on scale 1-7","2014","West Germany","","","",""
"6 on scale 1-7","2014","East Germany","","","",""
"7 Strongly agree","2014","West Germany","","","",""
"7 Strongly agree","2014","East Germany","","","",""
"1 Strongly disagree","2015","West Germany","6165","0.261376931022905","0.25547179608405","0.267282065961761"
"1 Strongly disagree","2015","East Germany","1307","0.227540009766267","0.216390004488322","0.238690015044212"
"2 on scale 1-7 ","2015","West Germany","5486","0.262092943084183","0.256182592252628","0.268003293915739"
"2 on scale 1-7 ","2015","East Germany","1378","0.255516372308965","0.24391671572556","0.26711602889237"
"3 on scale 1-7 ","2015","West Germany","3477","0.168703605289016","0.163670628870087","0.173736581707944"
"3 on scale 1-7 ","2015","East Germany","924","0.183719911148269","0.173420653930633","0.194019168365906"
"4 on scale 1-7","2015","West Germany","2811","0.144431134508197","0.13970677800283","0.149155491013565"
"4 on scale 1-7","2015","East Germany","824","0.138595488001974","0.129406105973663","0.147784870030285"
"5 on scale 1-7","2015","West Germany","1624","0.0818886153761741","0.0782035583285333","0.0855736724238148"
"5 on scale 1-7","2015","East Germany","516","0.101268783110853","0.0932453377628056","0.1092922284589"
"6 on scale 1-7","2015","West Germany","873","0.0448870195467632","0.0421042802326534","0.047669758860873"
"6 on scale 1-7","2015","East Germany","240","0.0458387672325108","0.0402767089160456","0.051400825548976"
"7 Strongly agree","2015","West Germany","832","0.0366197511727612","0.0340954490715972","0.0391440532739251"
"7 Strongly agree","2015","East Germany","242","0.0475206684311613","0.0418624821645368","0.0531788546977858"
"1 Strongly disagree","2016","West Germany","2579","0.555478399771405","0.539205486018586","0.571751313524224"
"1 Strongly disagree","2016","East Germany","489","0.656626596558066","0.621846231081004","0.691406962035128"
"2 on scale 1-7 ","2016","West Germany","307","0.130314305638183","0.119289714029524","0.141338897246843"
"2 on scale 1-7 ","2016","East Germany","72","0.132113434800555","0.107310872191502","0.156915997409609"
"3 on scale 1-7 ","2016","West Germany","166","0.0929739528362419","0.0834640555224256","0.102483850150058"
"3 on scale 1-7 ","2016","East Germany","42","0.0539989244276351","0.037443895281722","0.0705539535735483"
"4 on scale 1-7","2016","West Germany","169","0.0700056671492444","0.0616497899141277","0.0783615443843612"
"4 on scale 1-7","2016","East Germany","31","0.0344203650353933","0.0210669187280827","0.0477738113427039"
"5 on scale 1-7","2016","West Germany","118","0.0685580762432064","0.0602826094122652","0.0768335430741475"
"5 on scale 1-7","2016","East Germany","","","",""
"6 on scale 1-7","2016","West Germany","73","0.0332806597795289","0.0274066932492739","0.0391546263097839"
"6 on scale 1-7","2016","East Germany","","","",""
"7 Strongly agree","2016","West Germany","170","0.0493889385821899","0.0422931351131789","0.0564847420512009"
"7 Strongly agree","2016","East Germany","38","0.0352798153253521","0.0217667021507222","0.048792928499982"
"1 Strongly disagree","2017","West Germany","1909","0.72066783384321","0.703246699776363","0.738088967910057"
"1 Strongly disagree","2017","East Germany","187","0.719352701002063","0.664946447833308","0.773758954170817"
"2 on scale 1-7 ","2017","West Germany","262","0.120613760217901","0.107968241737846","0.133259278697956"
"2 on scale 1-7 ","2017","East Germany","","","",""
"3 on scale 1-7 ","2017","West Germany","105","0.0370782903342955","0.0297415403684411","0.0444150403001499"
"3 on scale 1-7 ","2017","East Germany","","","",""
"4 on scale 1-7","2017","West Germany","98","0.0391310314418141","0.0316019653252143","0.0466600975584139"
"4 on scale 1-7","2017","East Germany","","","",""
"5 on scale 1-7","2017","West Germany","61","0.0312341769579257","0.0244799940582774","0.037988359857574"
"5 on scale 1-7","2017","East Germany","","","",""
"6 on scale 1-7","2017","West Germany","","","",""
"6 on scale 1-7","2017","East Germany","","","",""
"7 Strongly agree","2017","West Germany","86","0.0374433919578875","0.030072006675873","0.044814777239902"
"7 Strongly agree","2017","East Germany","","","",""
"1 Strongly disagree","2018","West Germany","247","0.687249255894461","0.639556645518336","0.734941866270586"
"1 Strongly disagree","2018","East Germany","36","0.764571773815689","0.643278265536943","0.885865282094435"
"2 on scale 1-7 ","2018","West Germany","35","0.067164541179662","0.0414151284965708","0.0929139538627532"
"2 on scale 1-7 ","2018","East Germany","","","",""
"3 on scale 1-7 ","2018","West Germany","","","",""
"3 on scale 1-7 ","2018","East Germany","","","",""
"4 on scale 1-7","2018","West Germany","","","",""
"4 on scale 1-7","2018","East Germany","","","",""
"5 on scale 1-7","2018","West Germany","","","",""
"5 on scale 1-7","2018","East Germany","","","",""
"6 on scale 1-7","2018","West Germany","","","",""
"6 on scale 1-7","2018","East Germany","","","",""
"7 Strongly agree","2018","West Germany","","","",""
"7 Strongly agree","2018","East Germany","","","",""
"1 Strongly disagree","2019","West Germany","136","0.599789594561473","0.538812615838767","0.660766573284179"
"1 Strongly disagree","2019","East Germany","","","",""
"2 on scale 1-7 ","2019","West Germany","41","0.181332592269529","0.133379796125416","0.229285388413641"
"2 on scale 1-7 ","2019","East Germany","","","",""
"3 on scale 1-7 ","2019","West Germany","30","0.101652225894302","0.0640422595245442","0.139262192264059"
"3 on scale 1-7 ","2019","East Germany","","","",""
"4 on scale 1-7","2019","West Germany","","","",""
"4 on scale 1-7","2019","East Germany","","","",""
"5 on scale 1-7","2019","West Germany","","","",""
"5 on scale 1-7","2019","East Germany","","","",""
"6 on scale 1-7","2019","West Germany","","","",""
"6 on scale 1-7","2019","East Germany","","","",""
"7 Strongly agree","2019","West Germany","","","",""
"7 Strongly agree","2019","East Germany","","","",""
