"plh0206i02","year","e11103","n","percent","lower_confidence","upper_confidence"
"6 on scale 1-7","2009","Full Time","","","",""
"6 on scale 1-7","2009","Part Time","","","",""
"6 on scale 1-7","2009","Not Working","","","",""
"7 Strongly agree","2009","Full Time","","","",""
"7 Strongly agree","2009","Part Time","","","",""
"7 Strongly agree","2009","Not Working","","","",""
"1 Strongly disagree","2010","Full Time","919","0.140527724829611","0.132042423520052","0.14901302613917"
"1 Strongly disagree","2010","Part Time","669","0.177426506729416","0.16543515671512","0.189417856743711"
"1 Strongly disagree","2010","Not Working","1399","0.224815836549908","0.214527771008463","0.235103902091353"
"2 on scale 1-7 ","2010","Full Time","1390","0.207625398140585","0.197722191581814","0.217528604699356"
"2 on scale 1-7 ","2010","Part Time","870","0.210343812357523","0.197551314134509","0.223136310580537"
"2 on scale 1-7 ","2010","Not Working","1376","0.20454536666705","0.194604589077421","0.214486144256679"
"3 on scale 1-7 ","2010","Full Time","1356","0.207244833602063","0.197348331481013","0.217141335723113"
"3 on scale 1-7 ","2010","Part Time","864","0.221748643844459","0.208709114899012","0.234788172789906"
"3 on scale 1-7 ","2010","Not Working","1193","0.186983999168357","0.177375189418357","0.196592808918357"
"4 on scale 1-7","2010","Full Time","1265","0.195132639878917","0.185456604602436","0.204808675155397"
"4 on scale 1-7","2010","Part Time","706","0.163384398111413","0.151779542416885","0.17498925380594"
"4 on scale 1-7","2010","Not Working","1076","0.173955168948473","0.164613202480836","0.183297135416111"
"5 on scale 1-7","2010","Full Time","833","0.136153425085209","0.127780004255403","0.144526845915015"
"5 on scale 1-7","2010","Part Time","417","0.119306970663612","0.10913238664978","0.129481554677444"
"5 on scale 1-7","2010","Not Working","611","0.101457035684293","0.0940160865683779","0.108897984800209"
"6 on scale 1-7","2010","Full Time","352","0.0540754027737271","0.0485533765344176","0.0595974290130365"
"6 on scale 1-7","2010","Part Time","191","0.0516251276558942","0.0446798108269088","0.0585704444848796"
"6 on scale 1-7","2010","Not Working","301","0.0470475401576401","0.0418293259294676","0.0522657543858126"
"7 Strongly agree","2010","Full Time","329","0.0592405756898881","0.0534766383739804","0.0650045130057958"
"7 Strongly agree","2010","Part Time","182","0.0561645406376836","0.0489376626291957","0.0633914186461715"
"7 Strongly agree","2010","Not Working","369","0.0611950528242785","0.0552880977494378","0.0671020078991192"
"1 Strongly disagree","2011","Full Time","","","",""
"1 Strongly disagree","2011","Part Time","","","",""
"1 Strongly disagree","2011","Not Working","","","",""
"2 on scale 1-7 ","2011","Full Time","","","",""
"2 on scale 1-7 ","2011","Part Time","","","",""
"2 on scale 1-7 ","2011","Not Working","","","",""
"3 on scale 1-7 ","2011","Full Time","","","",""
"3 on scale 1-7 ","2011","Part Time","","","",""
"3 on scale 1-7 ","2011","Not Working","","","",""
"4 on scale 1-7","2011","Full Time","","","",""
"4 on scale 1-7","2011","Part Time","","","",""
"4 on scale 1-7","2011","Not Working","","","",""
"5 on scale 1-7","2011","Full Time","","","",""
"5 on scale 1-7","2011","Part Time","","","",""
"5 on scale 1-7","2011","Not Working","","","",""
"6 on scale 1-7","2011","Full Time","","","",""
"6 on scale 1-7","2011","Part Time","","","",""
"6 on scale 1-7","2011","Not Working","","","",""
"7 Strongly agree","2011","Full Time","","","",""
"7 Strongly agree","2011","Part Time","","","",""
"7 Strongly agree","2011","Not Working","","","",""
"1 Strongly disagree","2012","Full Time","","","",""
"1 Strongly disagree","2012","Part Time","","","",""
"1 Strongly disagree","2012","Not Working","","","",""
"2 on scale 1-7 ","2012","Full Time","","","",""
"2 on scale 1-7 ","2012","Part Time","","","",""
"2 on scale 1-7 ","2012","Not Working","","","",""
"3 on scale 1-7 ","2012","Full Time","","","",""
"3 on scale 1-7 ","2012","Part Time","","","",""
"3 on scale 1-7 ","2012","Not Working","","","",""
"4 on scale 1-7","2012","Full Time","","","",""
"4 on scale 1-7","2012","Part Time","","","",""
"4 on scale 1-7","2012","Not Working","","","",""
"5 on scale 1-7","2012","Full Time","","","",""
"5 on scale 1-7","2012","Part Time","","","",""
"5 on scale 1-7","2012","Not Working","","","",""
"6 on scale 1-7","2012","Full Time","","","",""
"6 on scale 1-7","2012","Part Time","","","",""
"6 on scale 1-7","2012","Not Working","","","",""
"7 Strongly agree","2012","Full Time","","","",""
"7 Strongly agree","2012","Part Time","","","",""
"7 Strongly agree","2012","Not Working","","","",""
"1 Strongly disagree","2013","Full Time","","","",""
"1 Strongly disagree","2013","Part Time","","","",""
"1 Strongly disagree","2013","Not Working","","","",""
"2 on scale 1-7 ","2013","Full Time","","","",""
"2 on scale 1-7 ","2013","Part Time","","","",""
"2 on scale 1-7 ","2013","Not Working","","","",""
"3 on scale 1-7 ","2013","Full Time","","","",""
"3 on scale 1-7 ","2013","Part Time","","","",""
"3 on scale 1-7 ","2013","Not Working","","","",""
"4 on scale 1-7","2013","Full Time","","","",""
"4 on scale 1-7","2013","Part Time","","","",""
"4 on scale 1-7","2013","Not Working","","","",""
"5 on scale 1-7","2013","Full Time","","","",""
"5 on scale 1-7","2013","Part Time","","","",""
"5 on scale 1-7","2013","Not Working","","","",""
"6 on scale 1-7","2013","Full Time","","","",""
"6 on scale 1-7","2013","Part Time","","","",""
"6 on scale 1-7","2013","Not Working","","","",""
"7 Strongly agree","2013","Full Time","","","",""
"7 Strongly agree","2013","Part Time","","","",""
"7 Strongly agree","2013","Not Working","","","",""
"1 Strongly disagree","2014","Full Time","","","",""
"1 Strongly disagree","2014","Part Time","","","",""
"1 Strongly disagree","2014","Not Working","","","",""
"2 on scale 1-7 ","2014","Full Time","","","",""
"2 on scale 1-7 ","2014","Part Time","","","",""
"2 on scale 1-7 ","2014","Not Working","","","",""
"3 on scale 1-7 ","2014","Full Time","","","",""
"3 on scale 1-7 ","2014","Part Time","","","",""
"3 on scale 1-7 ","2014","Not Working","","","",""
"4 on scale 1-7","2014","Full Time","","","",""
"4 on scale 1-7","2014","Part Time","","","",""
"4 on scale 1-7","2014","Not Working","","","",""
"5 on scale 1-7","2014","Full Time","","","",""
"5 on scale 1-7","2014","Part Time","","","",""
"5 on scale 1-7","2014","Not Working","","","",""
"6 on scale 1-7","2014","Full Time","","","",""
"6 on scale 1-7","2014","Part Time","","","",""
"6 on scale 1-7","2014","Not Working","","","",""
"7 Strongly agree","2014","Full Time","","","",""
"7 Strongly agree","2014","Part Time","","","",""
"7 Strongly agree","2014","Not Working","","","",""
"1 Strongly disagree","2015","Full Time","2274","0.210819489417197","0.20261384335197","0.219025135482423"
"1 Strongly disagree","2015","Part Time","2041","0.278498238740174","0.268072959860505","0.288923517619843"
"1 Strongly disagree","2015","Not Working","3157","0.284715725162401","0.275916893721979","0.293514556602823"
"2 on scale 1-7 ","2015","Full Time","2543","0.279153970802127","0.270129694448603","0.288178247155651"
"2 on scale 1-7 ","2015","Part Time","1848","0.25308359855509","0.24297186178186","0.26319533532832"
"2 on scale 1-7 ","2015","Not Working","2473","0.24786972991297","0.239451162137033","0.256288297688908"
"3 on scale 1-7 ","2015","Full Time","1677","0.184767416310766","0.176959724110951","0.192575108510582"
"3 on scale 1-7 ","2015","Part Time","1234","0.178008015211038","0.169111676134177","0.186904354287898"
"3 on scale 1-7 ","2015","Not Working","1490","0.154046785855629","0.147008297034703","0.161085274676555"
"4 on scale 1-7","2015","Full Time","1403","0.154177242173508","0.146912519402678","0.161441964944339"
"4 on scale 1-7","2015","Part Time","898","0.135637385341549","0.127674041850575","0.143600728832522"
"4 on scale 1-7","2015","Not Working","1334","0.137621193926642","0.130904251434416","0.144338136418869"
"5 on scale 1-7","2015","Full Time","829","0.0925557351052253","0.0867255697340624","0.0983859004763882"
"5 on scale 1-7","2015","Part Time","527","0.0736367671925379","0.0675624737445665","0.0797110606405092"
"5 on scale 1-7","2015","Not Working","784","0.0855600888463211","0.0801063651430172","0.091013812549625"
"6 on scale 1-7","2015","Full Time","410","0.0447278772404888","0.0405695187979928","0.0488862356829847"
"6 on scale 1-7","2015","Part Time","274","0.0405448251928805","0.0359577293120819","0.045131921073679"
"6 on scale 1-7","2015","Not Working","429","0.0482031048052899","0.0440268250762597","0.0523793845343201"
"7 Strongly agree","2015","Full Time","356","0.0337982689506868","0.0301628843717418","0.0374336535296318"
"7 Strongly agree","2015","Part Time","280","0.0405911697667315","0.0360015638552683","0.0451807756781947"
"7 Strongly agree","2015","Not Working","438","0.0419833714907461","0.0380731162059578","0.0458936267755343"
"1 Strongly disagree","2016","Full Time","","","",""
"1 Strongly disagree","2016","Part Time","","","",""
"1 Strongly disagree","2016","Not Working","3052","0.569543212666653","0.554702410934081","0.584384014399225"
"2 on scale 1-7 ","2016","Full Time","","","",""
"2 on scale 1-7 ","2016","Part Time","","","",""
"2 on scale 1-7 ","2016","Not Working","377","0.130832177116509","0.120724802862519","0.140939551370498"
"3 on scale 1-7 ","2016","Full Time","","","",""
"3 on scale 1-7 ","2016","Part Time","","","",""
"3 on scale 1-7 ","2016","Not Working","207","0.0872757247703506","0.0788162037195729","0.0957352458211283"
"4 on scale 1-7","2016","Full Time","","","",""
"4 on scale 1-7","2016","Part Time","","","",""
"4 on scale 1-7","2016","Not Working","198","0.0649562975385223","0.0575695062425334","0.0723430888345113"
"5 on scale 1-7","2016","Full Time","","","",""
"5 on scale 1-7","2016","Part Time","","","",""
"5 on scale 1-7","2016","Not Working","143","0.0666897718209698","0.0592120058142491","0.0741675378276904"
"6 on scale 1-7","2016","Full Time","","","",""
"6 on scale 1-7","2016","Part Time","","","",""
"6 on scale 1-7","2016","Not Working","91","0.0331913222604089","0.0278220949610393","0.0385605495597786"
"7 Strongly agree","2016","Full Time","","","",""
"7 Strongly agree","2016","Part Time","","","",""
"7 Strongly agree","2016","Not Working","208","0.047511493826587","0.0411353448255638","0.0538876428276102"
"1 Strongly disagree","2017","Full Time","","","",""
"1 Strongly disagree","2017","Part Time","","","",""
"1 Strongly disagree","2017","Not Working","2096","0.720508065306358","0.703916055552103","0.737100075060613"
"2 on scale 1-7 ","2017","Full Time","","","",""
"2 on scale 1-7 ","2017","Part Time","","","",""
"2 on scale 1-7 ","2017","Not Working","281","0.112325026333875","0.10064993777292","0.12400011489483"
"3 on scale 1-7 ","2017","Full Time","","","",""
"3 on scale 1-7 ","2017","Part Time","","","",""
"3 on scale 1-7 ","2017","Not Working","117","0.0359961892996752","0.0291086741055928","0.0428837044937576"
"4 on scale 1-7","2017","Full Time","","","",""
"4 on scale 1-7","2017","Part Time","","","",""
"4 on scale 1-7","2017","Not Working","109","0.045526670971546","0.0378192376348014","0.0532341043082906"
"5 on scale 1-7","2017","Full Time","","","",""
"5 on scale 1-7","2017","Part Time","","","",""
"5 on scale 1-7","2017","Not Working","73","0.031948099687831","0.0254458032132258","0.0384503961624361"
"6 on scale 1-7","2017","Full Time","","","",""
"6 on scale 1-7","2017","Part Time","","","",""
"6 on scale 1-7","2017","Not Working","30","0.0126470288590809","0.00851536097314925","0.0167786967450126"
"7 Strongly agree","2017","Full Time","","","",""
"7 Strongly agree","2017","Part Time","","","",""
"7 Strongly agree","2017","Not Working","104","0.041048919541634","0.0337131779805507","0.0483846611027173"
"1 Strongly disagree","2018","Full Time","","","",""
"1 Strongly disagree","2018","Part Time","","","",""
"1 Strongly disagree","2018","Not Working","283","0.698758935311529","0.654349327607651","0.743168543015407"
"2 on scale 1-7 ","2018","Full Time","","","",""
"2 on scale 1-7 ","2018","Part Time","","","",""
"2 on scale 1-7 ","2018","Not Working","39","0.074218124107203","0.0488454941038033","0.0995907541106027"
"3 on scale 1-7 ","2018","Full Time","","","",""
"3 on scale 1-7 ","2018","Part Time","","","",""
"3 on scale 1-7 ","2018","Not Working","21","","",""
"4 on scale 1-7","2018","Full Time","","","",""
"4 on scale 1-7","2018","Part Time","","","",""
"4 on scale 1-7","2018","Not Working","25","","",""
"5 on scale 1-7","2018","Full Time","","","",""
"5 on scale 1-7","2018","Part Time","","","",""
"5 on scale 1-7","2018","Not Working","11","","",""
"6 on scale 1-7","2018","Full Time","","","",""
"6 on scale 1-7","2018","Part Time","","","",""
"6 on scale 1-7","2018","Not Working","14","","",""
"7 Strongly agree","2018","Full Time","","","",""
"7 Strongly agree","2018","Part Time","","","",""
"7 Strongly agree","2018","Not Working","17","","",""
"1 Strongly disagree","2019","Full Time","","","",""
"1 Strongly disagree","2019","Part Time","","","",""
"1 Strongly disagree","2019","Not Working","151","0.622450314441604","0.564626649985882","0.680273978897327"
"2 on scale 1-7 ","2019","Full Time","","","",""
"2 on scale 1-7 ","2019","Part Time","","","",""
"2 on scale 1-7 ","2019","Not Working","43","0.169459245600361","0.124710659539601","0.21420783166112"
"3 on scale 1-7 ","2019","Full Time","","","",""
"3 on scale 1-7 ","2019","Part Time","","","",""
"3 on scale 1-7 ","2019","Not Working","31","0.0942679016448898","0.0594142722889331","0.129121531000846"
"4 on scale 1-7","2019","Full Time","","","",""
"4 on scale 1-7","2019","Part Time","","","",""
"4 on scale 1-7","2019","Not Working","17","","",""
"5 on scale 1-7","2019","Full Time","","","",""
"5 on scale 1-7","2019","Part Time","","","",""
"5 on scale 1-7","2019","Not Working","9","","",""
"6 on scale 1-7","2019","Full Time","","","",""
"6 on scale 1-7","2019","Part Time","","","",""
"6 on scale 1-7","2019","Not Working","5","","",""
"7 Strongly agree","2019","Full Time","","","",""
"7 Strongly agree","2019","Part Time","","","",""
"7 Strongly agree","2019","Not Working","14","","",""
