"plh0206i02","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2006","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2006","Employed","Rural Area","","","",""
"4 on scale 1-7","2006","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2006","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2006","Employed","Urban Area","","","",""
"4 on scale 1-7","2006","Employed","Rural Area","","","",""
"5 on scale 1-7","2006","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2006","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2006","Employed","Urban Area","","","",""
"5 on scale 1-7","2006","Employed","Rural Area","","","",""
"6 on scale 1-7","2006","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2006","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2006","Employed","Urban Area","","","",""
"6 on scale 1-7","2006","Employed","Rural Area","","","",""
"7 Strongly agree","2006","Not Employed","Urban Area","","","",""
"7 Strongly agree","2006","Not Employed","Rural Area","","","",""
"7 Strongly agree","2006","Employed","Urban Area","","","",""
"7 Strongly agree","2006","Employed","Rural Area","","","",""
"1 Strongly disagree","2007","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2007","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2007","Employed","Urban Area","","","",""
"1 Strongly disagree","2007","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2007","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2007","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2007","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2007","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2007","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2007","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2007","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2007","Employed","Rural Area","","","",""
"4 on scale 1-7","2007","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2007","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2007","Employed","Urban Area","","","",""
"4 on scale 1-7","2007","Employed","Rural Area","","","",""
"5 on scale 1-7","2007","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2007","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2007","Employed","Urban Area","","","",""
"5 on scale 1-7","2007","Employed","Rural Area","","","",""
"6 on scale 1-7","2007","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2007","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2007","Employed","Urban Area","","","",""
"6 on scale 1-7","2007","Employed","Rural Area","","","",""
"7 Strongly agree","2007","Not Employed","Urban Area","","","",""
"7 Strongly agree","2007","Not Employed","Rural Area","","","",""
"7 Strongly agree","2007","Employed","Urban Area","","","",""
"7 Strongly agree","2007","Employed","Rural Area","","","",""
"1 Strongly disagree","2008","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2008","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2008","Employed","Urban Area","","","",""
"1 Strongly disagree","2008","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2008","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2008","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2008","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2008","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2008","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2008","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2008","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2008","Employed","Rural Area","","","",""
"4 on scale 1-7","2008","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2008","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2008","Employed","Urban Area","","","",""
"4 on scale 1-7","2008","Employed","Rural Area","","","",""
"5 on scale 1-7","2008","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2008","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2008","Employed","Urban Area","","","",""
"5 on scale 1-7","2008","Employed","Rural Area","","","",""
"6 on scale 1-7","2008","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2008","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2008","Employed","Urban Area","","","",""
"6 on scale 1-7","2008","Employed","Rural Area","","","",""
"7 Strongly agree","2008","Not Employed","Urban Area","","","",""
"7 Strongly agree","2008","Not Employed","Rural Area","","","",""
"7 Strongly agree","2008","Employed","Urban Area","","","",""
"7 Strongly agree","2008","Employed","Rural Area","","","",""
"1 Strongly disagree","2009","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2009","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2009","Employed","Urban Area","","","",""
"1 Strongly disagree","2009","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2009","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2009","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2009","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2009","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2009","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2009","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2009","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2009","Employed","Rural Area","","","",""
"4 on scale 1-7","2009","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2009","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2009","Employed","Urban Area","","","",""
"4 on scale 1-7","2009","Employed","Rural Area","","","",""
"5 on scale 1-7","2009","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2009","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2009","Employed","Urban Area","","","",""
"5 on scale 1-7","2009","Employed","Rural Area","","","",""
"6 on scale 1-7","2009","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2009","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2009","Employed","Urban Area","","","",""
"6 on scale 1-7","2009","Employed","Rural Area","","","",""
"7 Strongly agree","2009","Not Employed","Urban Area","","","",""
"7 Strongly agree","2009","Not Employed","Rural Area","","","",""
"7 Strongly agree","2009","Employed","Urban Area","","","",""
"7 Strongly agree","2009","Employed","Rural Area","","","",""
"1 Strongly disagree","2010","Not Employed","Urban Area","970","0.237216602301403","0.224307348104635","0.250125856498172"
"1 Strongly disagree","2010","Not Employed","Rural Area","429","0.196699063495659","0.17991235595131","0.213485771040008"
"1 Strongly disagree","2010","Employed","Urban Area","1069","0.158663090739624","0.150009011787961","0.167317169691286"
"1 Strongly disagree","2010","Employed","Rural Area","519","0.143243132650781","0.131630569700633","0.154855695600929"
"2 on scale 1-7 ","2010","Not Employed","Urban Area","902","0.204644929976159","0.19240133321506","0.216888526737259"
"2 on scale 1-7 ","2010","Not Employed","Rural Area","474","0.204319622626492","0.187292172991645","0.22134707226134"
"2 on scale 1-7 ","2010","Employed","Urban Area","1546","0.217020883825667","0.207256973540228","0.226784794111106"
"2 on scale 1-7 ","2010","Employed","Rural Area","714","0.190319685727095","0.177307177257568","0.203332194196621"
"3 on scale 1-7 ","2010","Not Employed","Urban Area","828","0.187163924858907","0.175326954690784","0.19900089502703"
"3 on scale 1-7 ","2010","Not Employed","Rural Area","365","0.186576046150842","0.170124312757952","0.203027779543731"
"3 on scale 1-7 ","2010","Employed","Urban Area","1501","0.207868810002532","0.198257310474746","0.217480309530318"
"3 on scale 1-7 ","2010","Employed","Rural Area","719","0.222440520361067","0.208654588092242","0.236226452629892"
"4 on scale 1-7","2010","Not Employed","Urban Area","674","0.16802786414923","0.156681073549142","0.179374654749319"
"4 on scale 1-7","2010","Not Employed","Rural Area","402","0.187394394170801","0.170914916357622","0.203873871983979"
"4 on scale 1-7","2010","Employed","Urban Area","1295","0.185704566395848","0.17649370561225","0.194915427179447"
"4 on scale 1-7","2010","Employed","Rural Area","676","0.179381756372925","0.166663660370572","0.192099852375278"
"5 on scale 1-7","2010","Not Employed","Urban Area","373","0.0983683938691099","0.0893304352216562","0.107406352516564"
"5 on scale 1-7","2010","Not Employed","Rural Area","238","0.10846004200694","0.0953280523498417","0.121592031664038"
"5 on scale 1-7","2010","Employed","Urban Area","775","0.124949646472965","0.117117479001009","0.13278181394492"
"5 on scale 1-7","2010","Employed","Rural Area","475","0.141264701376613","0.129719304554719","0.152810098198506"
"6 on scale 1-7","2010","Not Employed","Urban Area","183","0.042377253485769","0.036263729423597","0.0484907775479409"
"6 on scale 1-7","2010","Not Employed","Rural Area","118","0.0576366757870625","0.0477946637538769","0.0674786878202482"
"6 on scale 1-7","2010","Employed","Urban Area","346","0.05127032968509","0.0460463410489204","0.0564943183212595"
"6 on scale 1-7","2010","Employed","Rural Area","197","0.0573721400934115","0.0496634064512589","0.0650808737355642"
"7 Strongly agree","2010","Not Employed","Urban Area","241","0.0622010313594213","0.0548714079009287","0.0695306548179139"
"7 Strongly agree","2010","Not Employed","Rural Area","128","0.0589141557622043","0.0489704173412538","0.0688578941831548"
"7 Strongly agree","2010","Employed","Urban Area","315","0.0545226728782745","0.0491447811358624","0.0599005646206866"
"7 Strongly agree","2010","Employed","Rural Area","196","0.0659780634181075","0.0577491839859062","0.0742069428503088"
"1 Strongly disagree","2011","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2011","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2011","Employed","Urban Area","","","",""
"1 Strongly disagree","2011","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2011","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2011","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2011","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2011","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2011","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2011","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2011","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2011","Employed","Rural Area","","","",""
"4 on scale 1-7","2011","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2011","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2011","Employed","Urban Area","","","",""
"4 on scale 1-7","2011","Employed","Rural Area","","","",""
"5 on scale 1-7","2011","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2011","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2011","Employed","Urban Area","","","",""
"5 on scale 1-7","2011","Employed","Rural Area","","","",""
"6 on scale 1-7","2011","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2011","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2011","Employed","Urban Area","","","",""
"6 on scale 1-7","2011","Employed","Rural Area","","","",""
"7 Strongly agree","2011","Not Employed","Urban Area","","","",""
"7 Strongly agree","2011","Not Employed","Rural Area","","","",""
"7 Strongly agree","2011","Employed","Urban Area","","","",""
"7 Strongly agree","2011","Employed","Rural Area","","","",""
"1 Strongly disagree","2012","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2012","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2012","Employed","Urban Area","","","",""
"1 Strongly disagree","2012","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2012","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2012","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2012","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2012","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2012","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2012","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2012","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2012","Employed","Rural Area","","","",""
"4 on scale 1-7","2012","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2012","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2012","Employed","Urban Area","","","",""
"4 on scale 1-7","2012","Employed","Rural Area","","","",""
"5 on scale 1-7","2012","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2012","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2012","Employed","Urban Area","","","",""
"5 on scale 1-7","2012","Employed","Rural Area","","","",""
"6 on scale 1-7","2012","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2012","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2012","Employed","Urban Area","","","",""
"6 on scale 1-7","2012","Employed","Rural Area","","","",""
"7 Strongly agree","2012","Not Employed","Urban Area","","","",""
"7 Strongly agree","2012","Not Employed","Rural Area","","","",""
"7 Strongly agree","2012","Employed","Urban Area","","","",""
"7 Strongly agree","2012","Employed","Rural Area","","","",""
"1 Strongly disagree","2013","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2013","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2013","Employed","Urban Area","","","",""
"1 Strongly disagree","2013","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2013","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2013","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2013","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2013","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2013","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2013","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2013","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2013","Employed","Rural Area","","","",""
"4 on scale 1-7","2013","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2013","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2013","Employed","Urban Area","","","",""
"4 on scale 1-7","2013","Employed","Rural Area","","","",""
"5 on scale 1-7","2013","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2013","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2013","Employed","Urban Area","","","",""
"5 on scale 1-7","2013","Employed","Rural Area","","","",""
"6 on scale 1-7","2013","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2013","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2013","Employed","Urban Area","","","",""
"6 on scale 1-7","2013","Employed","Rural Area","","","",""
"7 Strongly agree","2013","Not Employed","Urban Area","","","",""
"7 Strongly agree","2013","Not Employed","Rural Area","","","",""
"7 Strongly agree","2013","Employed","Urban Area","","","",""
"7 Strongly agree","2013","Employed","Rural Area","","","",""
"1 Strongly disagree","2014","Not Employed","Urban Area","","","",""
"1 Strongly disagree","2014","Not Employed","Rural Area","","","",""
"1 Strongly disagree","2014","Employed","Urban Area","","","",""
"1 Strongly disagree","2014","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2014","Not Employed","Urban Area","","","",""
"2 on scale 1-7 ","2014","Not Employed","Rural Area","","","",""
"2 on scale 1-7 ","2014","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2014","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2014","Not Employed","Urban Area","","","",""
"3 on scale 1-7 ","2014","Not Employed","Rural Area","","","",""
"3 on scale 1-7 ","2014","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2014","Employed","Rural Area","","","",""
"4 on scale 1-7","2014","Not Employed","Urban Area","","","",""
"4 on scale 1-7","2014","Not Employed","Rural Area","","","",""
"4 on scale 1-7","2014","Employed","Urban Area","","","",""
"4 on scale 1-7","2014","Employed","Rural Area","","","",""
"5 on scale 1-7","2014","Not Employed","Urban Area","","","",""
"5 on scale 1-7","2014","Not Employed","Rural Area","","","",""
"5 on scale 1-7","2014","Employed","Urban Area","","","",""
"5 on scale 1-7","2014","Employed","Rural Area","","","",""
"6 on scale 1-7","2014","Not Employed","Urban Area","","","",""
"6 on scale 1-7","2014","Not Employed","Rural Area","","","",""
"6 on scale 1-7","2014","Employed","Urban Area","","","",""
"6 on scale 1-7","2014","Employed","Rural Area","","","",""
"7 Strongly agree","2014","Not Employed","Urban Area","","","",""
"7 Strongly agree","2014","Not Employed","Rural Area","","","",""
"7 Strongly agree","2014","Employed","Urban Area","","","",""
"7 Strongly agree","2014","Employed","Rural Area","","","",""
"1 Strongly disagree","2015","Not Employed","Urban Area","2141","0.289486275830986","0.278629179117393","0.300343372544579"
"1 Strongly disagree","2015","Not Employed","Rural Area","1016","0.273963422946982","0.258976706909346","0.288950138984619"
"1 Strongly disagree","2015","Employed","Urban Area","2911","0.242212615330082","0.234161693149158","0.250263537511006"
"1 Strongly disagree","2015","Employed","Rural Area","1404","0.226171188453037","0.215325851021594","0.23701652588448"
"2 on scale 1-7 ","2015","Not Employed","Urban Area","1725","0.262163179771696","0.251634364857444","0.272691994685947"
"2 on scale 1-7 ","2015","Not Employed","Rural Area","748","0.215653848925896","0.201833677562804","0.229474020288988"
"2 on scale 1-7 ","2015","Employed","Urban Area","2946","0.272969243248907","0.264597675164692","0.281340811333122"
"2 on scale 1-7 ","2015","Employed","Rural Area","1445","0.260564461575145","0.249185313949069","0.27194360920122"
"3 on scale 1-7 ","2015","Not Employed","Urban Area","959","0.145003911030936","0.136574729566966","0.153433092494906"
"3 on scale 1-7 ","2015","Not Employed","Rural Area","531","0.174428441929757","0.161676775355856","0.187180108503657"
"3 on scale 1-7 ","2015","Employed","Urban Area","1874","0.180509003667664","0.173281387320007","0.18773662001532"
"3 on scale 1-7 ","2015","Employed","Rural Area","1037","0.185643629449139","0.175563891181073","0.195723367717205"
"4 on scale 1-7","2015","Not Employed","Urban Area","812","0.128680734075325","0.120664711997867","0.136696756152783"
"4 on scale 1-7","2015","Not Employed","Rural Area","522","0.157772017792577","0.145522732224241","0.170021303360912"
"4 on scale 1-7","2015","Employed","Urban Area","1455","0.148098229153644","0.141423352309681","0.154773105997608"
"4 on scale 1-7","2015","Employed","Rural Area","846","0.144563454873915","0.135447017765691","0.153679891982139"
"5 on scale 1-7","2015","Not Employed","Urban Area","503","0.0844760255099832","0.077818465674337","0.0911335853456293"
"5 on scale 1-7","2015","Not Employed","Rural Area","281","0.0880034496704116","0.0784836593596238","0.0975232399811995"
"5 on scale 1-7","2015","Employed","Urban Area","865","0.0821838918924993","0.0770227624260786","0.0873450213589201"
"5 on scale 1-7","2015","Employed","Rural Area","491","0.09168892360642","0.0842076123588153","0.0991702348540246"
"6 on scale 1-7","2015","Not Employed","Urban Area","277","0.0499035279773569","0.0446908252457014","0.0551162307090124"
"6 on scale 1-7","2015","Not Employed","Rural Area","152","0.0443705359656872","0.0374510626398584","0.051290009291516"
"6 on scale 1-7","2015","Employed","Urban Area","421","0.0410129495386257","0.0372861122082524","0.0447397868689991"
"6 on scale 1-7","2015","Employed","Rural Area","263","0.0475864256267485","0.0420674775059608","0.0531053737475361"
"7 Strongly agree","2015","Not Employed","Urban Area","286","0.0402863458037164","0.0355791392435266","0.0449935523639061"
"7 Strongly agree","2015","Not Employed","Rural Area","152","0.0458082827686895","0.0387828875091299","0.0528336780282492"
"7 Strongly agree","2015","Employed","Urban Area","406","0.0330140671685777","0.0296564346899991","0.0363716996471562"
"7 Strongly agree","2015","Employed","Rural Area","230","0.0437819164155967","0.038477619320407","0.0490862135107864"
"1 Strongly disagree","2016","Not Employed","Urban Area","2131","0.549268303953855","0.531349588097053","0.567187019810657"
"1 Strongly disagree","2016","Not Employed","Rural Area","921","0.623548031233771","0.597351719433552","0.649744343033991"
"1 Strongly disagree","2016","Employed","Urban Area","","","",""
"1 Strongly disagree","2016","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2016","Not Employed","Urban Area","266","0.128348336098656","0.116302910009691","0.140393762187621"
"2 on scale 1-7 ","2016","Not Employed","Rural Area","111","0.13744820609197","0.118831084390005","0.156065327793935"
"2 on scale 1-7 ","2016","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2016","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2016","Not Employed","Urban Area","141","0.0977685890580125","0.0870727660125787","0.108464412103446"
"3 on scale 1-7 ","2016","Not Employed","Rural Area","66","0.059326635571893","0.0465535832274441","0.0720996879163418"
"3 on scale 1-7 ","2016","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2016","Employed","Rural Area","","","",""
"4 on scale 1-7","2016","Not Employed","Urban Area","140","0.0744234936940861","0.064971645193854","0.0838753421943182"
"4 on scale 1-7","2016","Not Employed","Rural Area","58","0.0397392068989075","0.029177001599155","0.05030141219866"
"4 on scale 1-7","2016","Employed","Urban Area","","","",""
"4 on scale 1-7","2016","Employed","Rural Area","","","",""
"5 on scale 1-7","2016","Not Employed","Urban Area","94","0.0715061335495945","0.0622268011654962","0.0807854659336927"
"5 on scale 1-7","2016","Not Employed","Rural Area","49","0.0538607749069761","0.0416550316347559","0.0660665181791963"
"5 on scale 1-7","2016","Employed","Urban Area","","","",""
"5 on scale 1-7","2016","Employed","Rural Area","","","",""
"6 on scale 1-7","2016","Not Employed","Urban Area","58","0.0334655814470223","0.0269887377960796","0.039942425097965"
"6 on scale 1-7","2016","Not Employed","Rural Area","33","0.0324607977572791","0.022878618565885","0.0420429769486732"
"6 on scale 1-7","2016","Employed","Urban Area","","","",""
"6 on scale 1-7","2016","Employed","Rural Area","","","",""
"7 Strongly agree","2016","Not Employed","Urban Area","132","0.0452195621987741","0.0377366526308103","0.0527024717667378"
"7 Strongly agree","2016","Not Employed","Rural Area","76","0.0536163475392031","0.0414367584600693","0.065795936618337"
"7 Strongly agree","2016","Employed","Urban Area","","","",""
"7 Strongly agree","2016","Employed","Rural Area","","","",""
"1 Strongly disagree","2017","Not Employed","Urban Area","1491","0.68798878238247","0.667922870645577","0.708054694119362"
"1 Strongly disagree","2017","Not Employed","Rural Area","605","0.809527902578395","0.781647297251773","0.837408507905017"
"1 Strongly disagree","2017","Employed","Urban Area","","","",""
"1 Strongly disagree","2017","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2017","Not Employed","Urban Area","224","0.126625163218533","0.11222247824734","0.141027848189725"
"2 on scale 1-7 ","2017","Not Employed","Rural Area","57","0.0731791490579356","0.0546880731792126","0.0916702249366586"
"2 on scale 1-7 ","2017","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2017","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2017","Not Employed","Urban Area","96","0.0414572526078581","0.032823708411961","0.0500907968037553"
"3 on scale 1-7 ","2017","Not Employed","Rural Area","21","","",""
"3 on scale 1-7 ","2017","Employed","Urban Area","","","",""
"3 on scale 1-7 ","2017","Employed","Rural Area","","","",""
"4 on scale 1-7","2017","Not Employed","Urban Area","80","0.0506554501163996","0.0411579756421878","0.0601529245906114"
"4 on scale 1-7","2017","Not Employed","Rural Area","29","","",""
"4 on scale 1-7","2017","Employed","Urban Area","","","",""
"4 on scale 1-7","2017","Employed","Rural Area","","","",""
"5 on scale 1-7","2017","Not Employed","Urban Area","56","0.034360593763262","0.0264716123104055","0.0422495752161184"
"5 on scale 1-7","2017","Not Employed","Rural Area","17","","",""
"5 on scale 1-7","2017","Employed","Urban Area","","","",""
"5 on scale 1-7","2017","Employed","Rural Area","","","",""
"6 on scale 1-7","2017","Not Employed","Urban Area","25","","",""
"6 on scale 1-7","2017","Not Employed","Rural Area","5","","",""
"6 on scale 1-7","2017","Employed","Urban Area","","","",""
"6 on scale 1-7","2017","Employed","Rural Area","","","",""
"7 Strongly agree","2017","Not Employed","Urban Area","76","0.043002079999348","0.0342162389234481","0.0517879210752479"
"7 Strongly agree","2017","Not Employed","Rural Area","28","","",""
"7 Strongly agree","2017","Employed","Urban Area","","","",""
"7 Strongly agree","2017","Employed","Rural Area","","","",""
"1 Strongly disagree","2018","Not Employed","Urban Area","174","0.658020724827109","0.600359867298744","0.715681582355474"
"1 Strongly disagree","2018","Not Employed","Rural Area","109","0.779233743801071","0.712859026654691","0.845608460947451"
"1 Strongly disagree","2018","Employed","Urban Area","","","",""
"1 Strongly disagree","2018","Employed","Rural Area","","","",""
"2 on scale 1-7 ","2018","Not Employed","Urban Area","26","","",""
"2 on scale 1-7 ","2018","Not Employed","Rural Area","13","","",""
"2 on scale 1-7 ","2018","Employed","Urban Area","","","",""
"2 on scale 1-7 ","2018","Employed","Rural Area","","","",""
"3 on scale 1-7 ","2018","Not Employed","Urban Area","16","","",""
"3 on scale 1-7 ","2018","Not Employed","Rural Area","5","","",""
