"plh0206i02","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"5 on scale 1-7","2005","Not Working","Urban Area","507","0.0967032220860731","0.0886662766846225","0.104740167487524","5"
"5 on scale 1-7","2005","Full Time","Urban Area","639","0.117222467108617","0.108624235541582","0.125820698675652","5"
"5 on scale 1-7","2005","Full Time","Rural Area","315","0.112159198773824","0.10009668570832","0.124221711839329","5"
"5 on scale 1-7","2005","Part Time","Urban Area","375","0.117998618520556","0.106915915681166","0.129081321359946","5"
"6 on scale 1-7","2005","Not Working","Rural Area","155","0.0575559559251707","0.0486834960670227","0.0664284157833187","6"
"6 on scale 1-7","2005","Part Time","Urban Area","153","0.0503751122178083","0.0428613637586581","0.0578888606769585","6"
"6 on scale 1-7","2005","Not Working","Urban Area","282","0.050098338349221","0.0441662679073807","0.0560304087910613","6"
"6 on scale 1-7","2005","Full Time","Urban Area","309","0.0608536532113811","0.0544638418509767","0.0672434645717855","6"
"6 on scale 1-7","2005","Part Time","Rural Area","88","0.0565057040712805","0.045014700042762","0.0679967080997989","6"
"6 on scale 1-7","2005","Full Time","Rural Area","184","0.0699729392587066","0.0602215689485472","0.079724309568866","6"
"7 Strongly agree","2005","Not Working","Rural Area","154","0.0594308560069992","0.0504240154064637","0.0684376966075347","7"
"7 Strongly agree","2005","Not Working","Urban Area","298","0.0592117811903357","0.0527936984297059","0.0656298639509655","7"
"7 Strongly agree","2005","Part Time","Urban Area","172","0.059749147220858","0.0516065993946247","0.0678916950470913","7"
"7 Strongly agree","2005","Part Time","Rural Area","83","0.0533116052771242","0.042131224401886","0.0644919861523625","7"
"7 Strongly agree","2005","Full Time","Urban Area","293","0.0646777753049411","0.0581036763577597","0.0712518742521226","7"
"7 Strongly agree","2005","Full Time","Rural Area","161","0.0724743547848343","0.0625635724071693","0.0823851371624993","7"
"1 Strongly disagree","2006","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2006","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2006","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2006","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2006","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2006","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2006","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2006","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2006","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2006","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2006","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2006","Part Time","Urban Area","","","","","4"
"5 on scale 1-7","2006","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2006","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2006","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2006","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2006","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2006","Full Time","Rural Area","","","","","5"
"6 on scale 1-7","2006","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2006","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2006","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2006","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2006","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2006","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2006","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2006","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2006","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2006","Not Working","Urban Area","","","","","7"
"7 Strongly agree","2006","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2006","Full Time","Rural Area","","","","","7"
"1 Strongly disagree","2007","Full Time","Urban Area","","","","","1"
"1 Strongly disagree","2007","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2007","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2007","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2007","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2007","Not Working","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Rural Area","","","","","2"
"3 on scale 1-7 ","2007","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Urban Area","","","","","3"
"4 on scale 1-7","2007","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2007","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2007","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2007","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2007","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2007","Part Time","Rural Area","","","","","4"
"5 on scale 1-7","2007","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2007","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2007","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2007","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2007","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2007","Full Time","Rural Area","","","","","5"
"6 on scale 1-7","2007","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2007","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2007","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2007","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2007","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2007","Full Time","Rural Area","","","","","6"
"7 Strongly agree","2007","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2007","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2007","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2007","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2007","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2007","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2008","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2008","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2008","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2008","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2008","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2008","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2008","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2008","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2008","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Full Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2008","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Not Working","Urban Area","","","","","3"
"4 on scale 1-7","2008","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2008","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2008","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2008","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2008","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2008","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2008","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2008","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2008","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2008","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2008","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2008","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2008","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2008","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2008","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2008","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2008","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2008","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2008","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2008","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2008","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2008","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2008","Not Working","Urban Area","","","","","7"
"7 Strongly agree","2008","Full Time","Rural Area","","","","","7"
"1 Strongly disagree","2009","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2009","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2009","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2009","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2009","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2009","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2009","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Full Time","Rural Area","","","","","2"
"3 on scale 1-7 ","2009","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2009","Full Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2009","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Part Time","Rural Area","","","","","3"
"4 on scale 1-7","2009","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2009","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2009","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2009","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2009","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2009","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2009","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2009","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2009","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2009","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2009","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2009","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2009","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2009","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2009","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2009","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2009","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2009","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2009","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2009","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2009","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2009","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2009","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2009","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2010","Full Time","Rural Area","295","0.118691595164136","0.105270985501096","0.132112204827176","1"
"1 Strongly disagree","2010","Part Time","Urban Area","445","0.172749006084333","0.15831234925143","0.187185662917237","1"
"1 Strongly disagree","2010","Part Time","Rural Area","224","0.18776652738399","0.166246027403365","0.209287027364616","1"
"1 Strongly disagree","2010","Not Working","Urban Area","970","0.237216602301403","0.224307348104635","0.250125856498172","1"
"1 Strongly disagree","2010","Not Working","Rural Area","429","0.196699063495659","0.17991235595131","0.213485771040008","1"
"1 Strongly disagree","2010","Full Time","Urban Area","624","0.150680003103958","0.139877712750722","0.161482293457194","1"
"2 on scale 1-7 ","2010","Part Time","Urban Area","612","0.221317478177307","0.205463864336024","0.237171092018591","2"
"2 on scale 1-7 ","2010","Part Time","Rural Area","258","0.186085572788433","0.164639461592887","0.20753168398398","2"
"2 on scale 1-7 ","2010","Full Time","Rural Area","456","0.192654502808297","0.176289442820806","0.209019562795789","2"
"2 on scale 1-7 ","2010","Not Working","Rural Area","474","0.204319622626492","0.187292172991645","0.22134707226134","2"
"2 on scale 1-7 ","2010","Not Working","Urban Area","902","0.204644929976159","0.19240133321506","0.216888526737259","2"
"2 on scale 1-7 ","2010","Full Time","Urban Area","934","0.214585820969994","0.202189230874115","0.226982411065874","2"
"3 on scale 1-7 ","2010","Full Time","Rural Area","462","0.222122397847057","0.204873946189537","0.239370849504577","3"
"3 on scale 1-7 ","2010","Part Time","Urban Area","607","0.221174687121726","0.205324735330541","0.237024638912911","3"
"3 on scale 1-7 ","2010","Full Time","Urban Area","894","0.20032780322289","0.188241903847916","0.212413702597864","3"
"3 on scale 1-7 ","2010","Not Working","Rural Area","365","0.186576046150842","0.170124312757952","0.203027779543731","3"
"3 on scale 1-7 ","2010","Not Working","Urban Area","828","0.187163924858907","0.175326954690784","0.19900089502703","3"
"3 on scale 1-7 ","2010","Part Time","Rural Area","257","0.223017424934662","0.200078246143923","0.2459566037254","3"
"4 on scale 1-7","2010","Not Working","Rural Area","402","0.187394394170801","0.170914916357622","0.203873871983979","4"
"4 on scale 1-7","2010","Not Working","Urban Area","674","0.16802786414923","0.156681073549142","0.179374654749319","4"
"4 on scale 1-7","2010","Part Time","Urban Area","478","0.165619551410712","0.151423156652974","0.179815946168449","4"
"4 on scale 1-7","2010","Full Time","Rural Area","448","0.190927796246167","0.174618826531586","0.207236765960748","4"
"4 on scale 1-7","2010","Part Time","Rural Area","228","0.15844339798452","0.138320915046554","0.178565880922487","4"
"4 on scale 1-7","2010","Full Time","Urban Area","817","0.197087599082483","0.185075577779283","0.209099620385683","4"
"5 on scale 1-7","2010","Not Working","Rural Area","238","0.10846004200694","0.0953280523498417","0.121592031664038","5"
"5 on scale 1-7","2010","Part Time","Urban Area","262","0.113603637883348","0.101485097689653","0.125722178077042","5"
"5 on scale 1-7","2010","Not Working","Urban Area","373","0.0983683938691099","0.0893304352216562","0.107406352516564","5"
"5 on scale 1-7","2010","Part Time","Rural Area","155","0.131914682179343","0.113266753416551","0.150562610942135","5"
"5 on scale 1-7","2010","Full Time","Rural Area","320","0.146420582867639","0.131750879282097","0.161090286453182","5"
"5 on scale 1-7","2010","Full Time","Urban Area","513","0.131379912356959","0.121179169975067","0.141580654738852","5"
"6 on scale 1-7","2010","Not Working","Rural Area","118","0.0576366757870625","0.0477946637538769","0.0674786878202482","6"
"6 on scale 1-7","2010","Part Time","Urban Area","122","0.0518034914007866","0.0433396230995079","0.0602673597020653","6"
"6 on scale 1-7","2010","Not Working","Urban Area","183","0.042377253485769","0.036263729423597","0.0484907775479409","6"
"6 on scale 1-7","2010","Full Time","Rural Area","128","0.0607586379464272","0.0508459616231719","0.0706713142696825","6"
"6 on scale 1-7","2010","Part Time","Rural Area","69","0.0512308391359869","0.0390816066457893","0.0633800716261844","6"
"6 on scale 1-7","2010","Full Time","Urban Area","224","0.0509681642527252","0.0443270301804504","0.057609298325","6"
"7 Strongly agree","2010","Not Working","Rural Area","128","0.0589141557622043","0.0489704173412538","0.0688578941831548","7"
"7 Strongly agree","2010","Full Time","Urban Area","207","0.0549706970109904","0.0480882857439715","0.0618531082780093","7"
"7 Strongly agree","2010","Full Time","Rural Area","122","0.0684244871202761","0.057948061995568","0.0789009122449843","7"
"7 Strongly agree","2010","Part Time","Urban Area","108","0.0537321479217867","0.0451209345695405","0.0623433612740328","7"
"7 Strongly agree","2010","Part Time","Rural Area","74","0.0615415555930648","0.048298305322716","0.0747848058634136","7"
"7 Strongly agree","2010","Not Working","Urban Area","241","0.0622010313594213","0.0548714079009287","0.0695306548179139","7"
"1 Strongly disagree","2011","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2011","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2011","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2011","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2011","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2011","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2011","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2011","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2011","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2011","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2011","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2011","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2011","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2011","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2011","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2011","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2011","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2011","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2011","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2011","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2011","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2011","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2011","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2011","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2011","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2011","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2011","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2011","Not Working","Urban Area","","","","","6"
"7 Strongly agree","2011","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2011","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2011","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2011","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2011","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2011","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2012","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2012","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2012","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2012","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2012","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2012","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2012","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2012","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2012","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2012","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2012","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2012","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2012","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2012","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2012","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2012","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2012","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2012","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2012","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2012","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2012","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2012","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2012","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2012","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2012","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2012","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2012","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2012","Part Time","Rural Area","","","","","6"
"7 Strongly agree","2012","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2012","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2012","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2012","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2012","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2012","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2013","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2013","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2013","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2013","Full Time","Urban Area","","","","","1"
"1 Strongly disagree","2013","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2013","Not Working","Urban Area","","","","","1"
"2 on scale 1-7 ","2013","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2013","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2013","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2013","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2013","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2013","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2013","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2013","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2013","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2013","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2013","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2013","Full Time","Rural Area","","","","","4"
"5 on scale 1-7","2013","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2013","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2013","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2013","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2013","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2013","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2013","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2013","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2013","Not Working","Urban Area","","","","","6"
