"plh0206i02","year","migback","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2007","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","no migration background","","","","","3"
"4 on scale 1-7","2007","indirect migration background","","","","","4"
"4 on scale 1-7","2007","no migration background","","","","","4"
"4 on scale 1-7","2007","direct migration background","","","","","4"
"5 on scale 1-7","2007","indirect migration background","","","","","5"
"5 on scale 1-7","2007","direct migration background","","","","","5"
"5 on scale 1-7","2007","no migration background","","","","","5"
"6 on scale 1-7","2007","indirect migration background","","","","","6"
"6 on scale 1-7","2007","direct migration background","","","","","6"
"6 on scale 1-7","2007","no migration background","","","","","6"
"7 Strongly agree","2007","indirect migration background","","","","","7"
"7 Strongly agree","2007","no migration background","","","","","7"
"7 Strongly agree","2007","direct migration background","","","","","7"
"1 Strongly disagree","2008","direct migration background","","","","","1"
"1 Strongly disagree","2008","indirect migration background","","","","","1"
"1 Strongly disagree","2008","no migration background","","","","","1"
"2 on scale 1-7 ","2008","indirect migration background","","","","","2"
"2 on scale 1-7 ","2008","no migration background","","","","","2"
"2 on scale 1-7 ","2008","direct migration background","","","","","2"
"3 on scale 1-7 ","2008","indirect migration background","","","","","3"
"3 on scale 1-7 ","2008","direct migration background","","","","","3"
"3 on scale 1-7 ","2008","no migration background","","","","","3"
"4 on scale 1-7","2008","indirect migration background","","","","","4"
"4 on scale 1-7","2008","direct migration background","","","","","4"
"4 on scale 1-7","2008","no migration background","","","","","4"
"5 on scale 1-7","2008","indirect migration background","","","","","5"
"5 on scale 1-7","2008","direct migration background","","","","","5"
"5 on scale 1-7","2008","no migration background","","","","","5"
"6 on scale 1-7","2008","indirect migration background","","","","","6"
"6 on scale 1-7","2008","direct migration background","","","","","6"
"6 on scale 1-7","2008","no migration background","","","","","6"
"7 Strongly agree","2008","indirect migration background","","","","","7"
"7 Strongly agree","2008","no migration background","","","","","7"
"7 Strongly agree","2008","direct migration background","","","","","7"
"1 Strongly disagree","2009","direct migration background","","","","","1"
"1 Strongly disagree","2009","indirect migration background","","","","","1"
"1 Strongly disagree","2009","no migration background","","","","","1"
"2 on scale 1-7 ","2009","indirect migration background","","","","","2"
"2 on scale 1-7 ","2009","no migration background","","","","","2"
"2 on scale 1-7 ","2009","direct migration background","","","","","2"
"3 on scale 1-7 ","2009","indirect migration background","","","","","3"
"3 on scale 1-7 ","2009","direct migration background","","","","","3"
"3 on scale 1-7 ","2009","no migration background","","","","","3"
"4 on scale 1-7","2009","indirect migration background","","","","","4"
"4 on scale 1-7","2009","direct migration background","","","","","4"
"4 on scale 1-7","2009","no migration background","","","","","4"
"5 on scale 1-7","2009","indirect migration background","","","","","5"
"5 on scale 1-7","2009","direct migration background","","","","","5"
"5 on scale 1-7","2009","no migration background","","","","","5"
"6 on scale 1-7","2009","direct migration background","","","","","6"
"6 on scale 1-7","2009","indirect migration background","","","","","6"
"6 on scale 1-7","2009","no migration background","","","","","6"
"7 Strongly agree","2009","indirect migration background","","","","","7"
"7 Strongly agree","2009","no migration background","","","","","7"
"7 Strongly agree","2009","direct migration background","","","","","7"
"1 Strongly disagree","2010","direct migration background","329","0.208631166361482","0.187767175713043","0.229495157009921","1"
"1 Strongly disagree","2010","indirect migration background","107","0.128125569128952","0.10258797274801","0.153663165509894","1"
"1 Strongly disagree","2010","no migration background","2551","0.180139631185029","0.173895868214454","0.186383394155605","1"
"2 on scale 1-7 ","2010","indirect migration background","150","0.194054527191139","0.163837630220169","0.224271424162109","2"
"2 on scale 1-7 ","2010","direct migration background","322","0.2067122233197","0.185919241422417","0.227505205216983","2"
"2 on scale 1-7 ","2010","no migration background","3164","0.20766488368908","0.2010745438504","0.21425522352776","2"
"3 on scale 1-7 ","2010","indirect migration background","122","0.194204244836085","0.163978501444222","0.224429988227948","3"
"3 on scale 1-7 ","2010","direct migration background","280","0.173984409081871","0.154518817647095","0.193450000516646","3"
"3 on scale 1-7 ","2010","no migration background","3011","0.207015991803006","0.200433262614206","0.213598720991807","3"
"4 on scale 1-7","2010","indirect migration background","124","0.221054110292727","0.189348356231287","0.252759864354167","4"
"4 on scale 1-7","2010","no migration background","2682","0.179567121039949","0.173331111592668","0.18580313048723","4"
"4 on scale 1-7","2010","direct migration background","241","0.168925884615218","0.149686716301724","0.188165052928713","4"
"5 on scale 1-7","2010","indirect migration background","84","0.140547863703981","0.113992141534628","0.167103585873333","5"
"5 on scale 1-7","2010","direct migration background","149","0.133333832806389","0.115879051237978","0.150788614374801","5"
"5 on scale 1-7","2010","no migration background","1628","0.115797537434582","0.110598806409164","0.12099626846","5"
"6 on scale 1-7","2010","direct migration background","63","0.0490665888412991","0.0379751905339897","0.0601579871486085","6"
"6 on scale 1-7","2010","indirect migration background","32","0.0514797143607666","0.0345956686143778","0.0683637601071554","6"
"6 on scale 1-7","2010","no migration background","749","0.0510082933799999","0.0474337264636397","0.0545828602963601","6"
"7 Strongly agree","2010","indirect migration background","39","0.0705339704863491","0.0509702670442725","0.0900976739284257","7"
"7 Strongly agree","2010","no migration background","768","0.0588065414683529","0.0549842474076497","0.062628835529056","7"
"7 Strongly agree","2010","direct migration background","73","0.0593458949740408","0.0472140002079453","0.0714777897401364","7"
"1 Strongly disagree","2011","direct migration background","","","","","1"
"1 Strongly disagree","2011","indirect migration background","","","","","1"
"1 Strongly disagree","2011","no migration background","","","","","1"
"2 on scale 1-7 ","2011","indirect migration background","","","","","2"
"2 on scale 1-7 ","2011","direct migration background","","","","","2"
"2 on scale 1-7 ","2011","no migration background","","","","","2"
"3 on scale 1-7 ","2011","direct migration background","","","","","3"
"3 on scale 1-7 ","2011","indirect migration background","","","","","3"
"3 on scale 1-7 ","2011","no migration background","","","","","3"
"4 on scale 1-7","2011","indirect migration background","","","","","4"
"4 on scale 1-7","2011","direct migration background","","","","","4"
"4 on scale 1-7","2011","no migration background","","","","","4"
"5 on scale 1-7","2011","indirect migration background","","","","","5"
"5 on scale 1-7","2011","direct migration background","","","","","5"
"5 on scale 1-7","2011","no migration background","","","","","5"
"6 on scale 1-7","2011","direct migration background","","","","","6"
"6 on scale 1-7","2011","indirect migration background","","","","","6"
"6 on scale 1-7","2011","no migration background","","","","","6"
"7 Strongly agree","2011","indirect migration background","","","","","7"
"7 Strongly agree","2011","no migration background","","","","","7"
"7 Strongly agree","2011","direct migration background","","","","","7"
"1 Strongly disagree","2012","direct migration background","","","","","1"
"1 Strongly disagree","2012","indirect migration background","","","","","1"
"1 Strongly disagree","2012","no migration background","","","","","1"
"2 on scale 1-7 ","2012","indirect migration background","","","","","2"
"2 on scale 1-7 ","2012","direct migration background","","","","","2"
"2 on scale 1-7 ","2012","no migration background","","","","","2"
"3 on scale 1-7 ","2012","indirect migration background","","","","","3"
"3 on scale 1-7 ","2012","direct migration background","","","","","3"
"3 on scale 1-7 ","2012","no migration background","","","","","3"
"4 on scale 1-7","2012","indirect migration background","","","","","4"
"4 on scale 1-7","2012","direct migration background","","","","","4"
"4 on scale 1-7","2012","no migration background","","","","","4"
"5 on scale 1-7","2012","indirect migration background","","","","","5"
"5 on scale 1-7","2012","direct migration background","","","","","5"
"5 on scale 1-7","2012","no migration background","","","","","5"
"6 on scale 1-7","2012","indirect migration background","","","","","6"
"6 on scale 1-7","2012","direct migration background","","","","","6"
"6 on scale 1-7","2012","no migration background","","","","","6"
"7 Strongly agree","2012","indirect migration background","","","","","7"
"7 Strongly agree","2012","no migration background","","","","","7"
"7 Strongly agree","2012","direct migration background","","","","","7"
"1 Strongly disagree","2013","direct migration background","","","","","1"
"1 Strongly disagree","2013","indirect migration background","","","","","1"
"1 Strongly disagree","2013","no migration background","","","","","1"
"2 on scale 1-7 ","2013","indirect migration background","","","","","2"
"2 on scale 1-7 ","2013","no migration background","","","","","2"
"2 on scale 1-7 ","2013","direct migration background","","","","","2"
"3 on scale 1-7 ","2013","indirect migration background","","","","","3"
"3 on scale 1-7 ","2013","direct migration background","","","","","3"
"3 on scale 1-7 ","2013","no migration background","","","","","3"
"4 on scale 1-7","2013","indirect migration background","","","","","4"
"4 on scale 1-7","2013","direct migration background","","","","","4"
"4 on scale 1-7","2013","no migration background","","","","","4"
"5 on scale 1-7","2013","indirect migration background","","","","","5"
"5 on scale 1-7","2013","no migration background","","","","","5"
"5 on scale 1-7","2013","direct migration background","","","","","5"
"6 on scale 1-7","2013","indirect migration background","","","","","6"
"6 on scale 1-7","2013","direct migration background","","","","","6"
"6 on scale 1-7","2013","no migration background","","","","","6"
"7 Strongly agree","2013","indirect migration background","","","","","7"
"7 Strongly agree","2013","no migration background","","","","","7"
"7 Strongly agree","2013","direct migration background","","","","","7"
"1 Strongly disagree","2014","direct migration background","","","","","1"
"1 Strongly disagree","2014","indirect migration background","","","","","1"
"1 Strongly disagree","2014","no migration background","","","","","1"
"2 on scale 1-7 ","2014","indirect migration background","","","","","2"
"2 on scale 1-7 ","2014","no migration background","","","","","2"
"2 on scale 1-7 ","2014","direct migration background","","","","","2"
"3 on scale 1-7 ","2014","indirect migration background","","","","","3"
"3 on scale 1-7 ","2014","direct migration background","","","","","3"
"3 on scale 1-7 ","2014","no migration background","","","","","3"
"4 on scale 1-7","2014","direct migration background","","","","","4"
"4 on scale 1-7","2014","indirect migration background","","","","","4"
"4 on scale 1-7","2014","no migration background","","","","","4"
"5 on scale 1-7","2014","indirect migration background","","","","","5"
"5 on scale 1-7","2014","direct migration background","","","","","5"
"5 on scale 1-7","2014","no migration background","","","","","5"
"6 on scale 1-7","2014","indirect migration background","","","","","6"
"6 on scale 1-7","2014","direct migration background","","","","","6"
"6 on scale 1-7","2014","no migration background","","","","","6"
"7 Strongly agree","2014","indirect migration background","","","","","7"
"7 Strongly agree","2014","no migration background","","","","","7"
"7 Strongly agree","2014","direct migration background","","","","","7"
"1 Strongly disagree","2015","direct migration background","2187","0.350552657048932","0.338235881167312","0.362869432930551","1"
"1 Strongly disagree","2015","indirect migration background","498","0.266365996682842","0.245252694411382","0.287479298954302","1"
"1 Strongly disagree","2015","no migration background","4787","0.237087153227897","0.231079232424649","0.243095074031145","1"
"2 on scale 1-7 ","2015","indirect migration background","402","0.229059871820227","0.208989201376441","0.249130542264013","2"
"2 on scale 1-7 ","2015","no migration background","5166","0.269374820847845","0.263107837497052","0.275641804198638","2"
"2 on scale 1-7 ","2015","direct migration background","1296","0.225766107927254","0.214973810701007","0.236558405153502","2"
"3 on scale 1-7 ","2015","indirect migration background","263","0.172314245599654","0.154276993338372","0.190351497860935","3"
"3 on scale 1-7 ","2015","direct migration background","727","0.129906390983565","0.121227850707542","0.138584931259589","3"
"3 on scale 1-7 ","2015","no migration background","3411","0.178980961082258","0.173565782840088","0.184396139324428","3"
"4 on scale 1-7","2015","indirect migration background","191","0.127552273373748","0.11161951914964","0.143485027597855","4"
"4 on scale 1-7","2015","direct migration background","674","0.132190080856141","0.123447086979071","0.140933074733211","4"
"4 on scale 1-7","2015","no migration background","2770","0.146434974027943","0.141440687699632","0.151429260356254","4"
"5 on scale 1-7","2015","indirect migration background","151","0.100776893566195","0.0863991325690976","0.115154654563293","5"
"5 on scale 1-7","2015","direct migration background","379","0.0681246521593486","0.0616206676898258","0.0746286366288715","5"
"5 on scale 1-7","2015","no migration background","1610","0.0875712996000406","0.0835781729005819","0.0915644262994993","5"
"6 on scale 1-7","2015","direct migration background","232","0.0438814011119893","0.0385939719575748","0.0491688302664039","6"
"6 on scale 1-7","2015","indirect migration background","78","0.0476589860019755","0.0374837218930305","0.0578342501109206","6"
"6 on scale 1-7","2015","no migration background","803","0.0451134760552766","0.0421814910025725","0.0480454611079807","6"
"7 Strongly agree","2015","indirect migration background","101","0.0562717329553589","0.0452653232729502","0.0672781426377676","7"
"7 Strongly agree","2015","no migration background","703","0.0354373151587396","0.0328255846759095","0.0380490456415697","7"
"7 Strongly agree","2015","direct migration background","270","0.0495787099127698","0.043975277677022","0.0551821421485176","7"
"1 Strongly disagree","2016","direct migration background","3060","0.608024330710318","0.593376382225396","0.622672279195239","1"
"1 Strongly disagree","2016","indirect migration background","6","","","","1"
"1 Strongly disagree","2016","no migration background","2","","","","1"
"2 on scale 1-7 ","2016","indirect migration background","3","","","","2"
"2 on scale 1-7 ","2016","direct migration background","371","0.120062769622274","0.110310250850091","0.129815288394457","2"
"2 on scale 1-7 ","2016","no migration background","5","","","","2"
"3 on scale 1-7 ","2016","indirect migration background","4","","","","3"
"3 on scale 1-7 ","2016","direct migration background","203","0.0747562275837609","0.0668651094746909","0.0826473456928309","3"
"3 on scale 1-7 ","2016","no migration background","1","","","","3"
"4 on scale 1-7","2016","indirect migration background","1","","","","4"
"4 on scale 1-7","2016","direct migration background","198","0.0601328659817455","0.0529998047397179","0.0672659272237731","4"
"4 on scale 1-7","2016","no migration background","1","","","","4"
"5 on scale 1-7","2016","indirect migration background","","","","","5"
"5 on scale 1-7","2016","direct migration background","138","0.0583891413326861","0.0513537454063673","0.065424537259005","5"
"5 on scale 1-7","2016","no migration background","5","","","","5"
"6 on scale 1-7","2016","direct migration background","90","0.0281514069563977","0.023188500068455","0.0331143138443404","6"
"6 on scale 1-7","2016","indirect migration background","2","","","","6"
"6 on scale 1-7","2016","no migration background","","","","","6"
"7 Strongly agree","2016","indirect migration background","1","","","","7"
"7 Strongly agree","2016","no migration background","","","","","7"
"7 Strongly agree","2016","direct migration background","207","0.0504832578128176","0.0439140686220528","0.0570524470035824","7"
"1 Strongly disagree","2017","direct migration background","2096","0.720508065306358","0.703916055552103","0.737100075060613","1"
"1 Strongly disagree","2017","indirect migration background","","","","","1"
"1 Strongly disagree","2017","no migration background","","","","","1"
"2 on scale 1-7 ","2017","indirect migration background","","","","","2"
"2 on scale 1-7 ","2017","direct migration background","281","0.112325026333875","0.10064993777292","0.12400011489483","2"
"2 on scale 1-7 ","2017","no migration background","","","","","2"
"3 on scale 1-7 ","2017","indirect migration background","","","","","3"
"3 on scale 1-7 ","2017","direct migration background","117","0.0359961892996752","0.0291086741055928","0.0428837044937576","3"
"3 on scale 1-7 ","2017","no migration background","","","","","3"
"4 on scale 1-7","2017","direct migration background","109","0.045526670971546","0.0378192376348014","0.0532341043082906","4"
"4 on scale 1-7","2017","indirect migration background","","","","","4"
"4 on scale 1-7","2017","no migration background","","","","","4"
"5 on scale 1-7","2017","indirect migration background","","","","","5"
"5 on scale 1-7","2017","no migration background","","","","","5"
"5 on scale 1-7","2017","direct migration background","73","0.031948099687831","0.0254458032132258","0.0384503961624361","5"
"6 on scale 1-7","2017","direct migration background","30","0.0126470288590809","0.00851536097314925","0.0167786967450126","6"
"6 on scale 1-7","2017","no migration background","","","","","6"
"6 on scale 1-7","2017","indirect migration background","","","","","6"
"7 Strongly agree","2017","indirect migration background","","","","","7"
"7 Strongly agree","2017","no migration background","","","","","7"
"7 Strongly agree","2017","direct migration background","104","0.041048919541634","0.0337131779805507","0.0483846611027173","7"
"1 Strongly disagree","2018","direct migration background","283","0.698758935311529","0.654349327607651","0.743168543015407","1"
"1 Strongly disagree","2018","indirect migration background","","","","","1"
"1 Strongly disagree","2018","no migration background","","","","","1"
"2 on scale 1-7 ","2018","indirect migration background","","","","","2"
"2 on scale 1-7 ","2018","direct migration background","39","0.074218124107203","0.0488454941038033","0.0995907541106027","2"
"2 on scale 1-7 ","2018","no migration background","","","","","2"
"3 on scale 1-7 ","2018","direct migration background","21","","","","3"
"3 on scale 1-7 ","2018","indirect migration background","","","","","3"
"3 on scale 1-7 ","2018","no migration background","","","","","3"
"4 on scale 1-7","2018","direct migration background","25","","","","4"
"4 on scale 1-7","2018","indirect migration background","","","","","4"
"4 on scale 1-7","2018","no migration background","","","","","4"
"5 on scale 1-7","2018","no migration background","","","","","5"
"5 on scale 1-7","2018","direct migration background","11","","","","5"
"5 on scale 1-7","2018","indirect migration background","","","","","5"
"6 on scale 1-7","2018","direct migration background","14","","","","6"
"6 on scale 1-7","2018","indirect migration background","","","","","6"
"6 on scale 1-7","2018","no migration background","","","","","6"
"7 Strongly agree","2018","no migration background","","","","","7"
"7 Strongly agree","2018","direct migration background","17","","","","7"
"7 Strongly agree","2018","indirect migration background","","","","","7"
"1 Strongly disagree","2019","direct migration background","151","0.622450314441604","0.564626649985882","0.680273978897327","1"
"1 Strongly disagree","2019","indirect migration background","","","","","1"
"1 Strongly disagree","2019","no migration background","","","","","1"
"2 on scale 1-7 ","2019","indirect migration background","","","","","2"
"2 on scale 1-7 ","2019","direct migration background","43","0.169459245600361","0.124710659539601","0.21420783166112","2"
"2 on scale 1-7 ","2019","no migration background","","","","","2"
"3 on scale 1-7 ","2019","no migration background","","","","","3"
"3 on scale 1-7 ","2019","direct migration background","31","0.0942679016448898","0.0594142722889331","0.129121531000846","3"
"3 on scale 1-7 ","2019","indirect migration background","","","","","3"
"4 on scale 1-7","2019","direct migration background","17","","","","4"
"4 on scale 1-7","2019","no migration background","","","","","4"
"4 on scale 1-7","2019","indirect migration background","","","","","4"
"5 on scale 1-7","2019","no migration background","","","","","5"
"5 on scale 1-7","2019","direct migration background","9","","","","5"
"5 on scale 1-7","2019","indirect migration background","","","","","5"
"6 on scale 1-7","2019","direct migration background","5","","","","6"
"6 on scale 1-7","2019","no migration background","","","","","6"
"6 on scale 1-7","2019","indirect migration background","","","","","6"
"7 Strongly agree","2019","no migration background","","","","","7"
"7 Strongly agree","2019","direct migration background","14","","","","7"
"7 Strongly agree","2019","indirect migration background","","","","","7"
