"plh0206i02","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"2 on scale 1-7 ","2005","Hesse","Full Time","113","0.183135166237697","0.151355236600485","0.214915095874909","2"
"2 on scale 1-7 ","2005","Hesse","Part Time","65","0.156855762956225","0.118481528804469","0.195229997107982","2"
"2 on scale 1-7 ","2005","Hesse","Not Working","77","0.169910699373939","0.135250377468529","0.204571021279349","2"
"2 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Full Time","114","0.270183656542477","0.229064384846652","0.311302928238302","2"
"2 on scale 1-7 ","2005","Baden-Württemberg","Not Working","188","0.193932690137764","0.168215925392478","0.21964945488305","2"
"2 on scale 1-7 ","2005","Bavaria","Full Time","223","0.190777275377447","0.168555746110811","0.212998804644083","2"
"2 on scale 1-7 ","2005","Bavaria","Part Time","134","0.160938556575143","0.13431785579908","0.187559257351205","2"
"2 on scale 1-7 ","2005","Bavaria","Not Working","159","0.15226652374282","0.129539406223614","0.174993641262027","2"
"2 on scale 1-7 ","2005","Berlin","Full Time","78","0.253134876273229","0.203684801930452","0.302584950616006","2"
"2 on scale 1-7 ","2005","Berlin","Part Time","40","0.230283413450348","0.167727233735032","0.292839593165665","2"
"2 on scale 1-7 ","2005","Berlin","Not Working","73","0.235360420316664","0.186194952356348","0.28452588827698","2"
"2 on scale 1-7 ","2005","Brandenburg","Full Time","66","0.217193146431733","0.171802242868413","0.262584049995053","2"
"2 on scale 1-7 ","2005","Brandenburg","Part Time","33","0.128586155900944","0.0804799669064108","0.176692344895478","2"
"2 on scale 1-7 ","2005","Brandenburg","Not Working","88","0.208966682404442","0.168354751542842","0.249578613266043","2"
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Full Time","30","0.0898953622851456","0.049330900822513","0.130459823747778","2"
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Part Time","19","","","","2"
"2 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Not Working","35","0.166633305401967","0.116112074573704","0.217154536230231","2"
"2 on scale 1-7 ","2005","Saxony","Full Time","138","0.167063980929705","0.138004124093261","0.196123837766148","2"
"2 on scale 1-7 ","2005","Saxony","Part Time","49","0.217696431933729","0.169359132132927","0.26603373173453","2"
"2 on scale 1-7 ","2005","Thuringia","Not Working","79","0.208775777599157","0.167694493451504","0.24985706174681","2"
"2 on scale 1-7 ","2005","Bremen","Full Time","10","","","","2"
"2 on scale 1-7 ","2005","Schleswig-Holstein","Full Time","51","0.202866455706693","0.151342306915017","0.254390604498369","2"
"2 on scale 1-7 ","2005","Schleswig-Holstein","Part Time","28","","","","2"
"2 on scale 1-7 ","2005","Schleswig-Holstein","Not Working","40","0.141934316204039","0.0973154909602966","0.186553141447781","2"
"2 on scale 1-7 ","2005","Hamburg","Full Time","25","","","","2"
"2 on scale 1-7 ","2005","Hamburg","Part Time","18","","","","2"
"2 on scale 1-7 ","2005","Hamburg","Not Working","32","0.257693799162503","0.17669424880001","0.338693349524997","2"
"2 on scale 1-7 ","2005","Lower Saxony","Full Time","128","0.176770290644789","0.147123021993434","0.206417559296143","2"
"2 on scale 1-7 ","2005","Lower Saxony","Part Time","101","0.197363698897548","0.161149228569274","0.233578169225823","2"
"2 on scale 1-7 ","2005","Lower Saxony","Not Working","114","0.172161052869146","0.143807014847747","0.200515090890545","2"
"2 on scale 1-7 ","2005","Bremen","Part Time","7","","","","2"
"2 on scale 1-7 ","2005","Bremen","Not Working","8","","","","2"
"2 on scale 1-7 ","2005","North Rhine-Westphalia","Full Time","330","0.198471884736715","0.179121175329167","0.217822594144263","2"
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Part Time","57","0.164301902086908","0.122440781903603","0.206163022270212","3"
"3 on scale 1-7 ","2005","Baden-Württemberg","Full Time","227","0.231022621470687","0.205369350493125","0.256675892448248","3"
"3 on scale 1-7 ","2005","Baden-Württemberg","Part Time","123","0.209646552168559","0.176461789948824","0.242831314388294","3"
"3 on scale 1-7 ","2005","Bavaria","Part Time","134","0.189577451270653","0.161182465941589","0.217972436599717","3"
"3 on scale 1-7 ","2005","Bavaria","Not Working","158","0.143921314560194","0.121717280995656","0.166125348124733","3"
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Not Working","84","0.144723501293806","0.113347519422207","0.176099483165404","3"
"3 on scale 1-7 ","2005","Bavaria","Full Time","224","0.168366541158499","0.147203871185789","0.189529211131209","3"
"3 on scale 1-7 ","2005","Saxony","Not Working","108","0.17748517565566","0.147288200440353","0.207682150870968","3"
"3 on scale 1-7 ","2005","Saxony-Anhalt","Full Time","56","0.17991756275121","0.138092064699431","0.221743060802989","3"
"3 on scale 1-7 ","2005","Saxony-Anhalt","Part Time","27","","","","3"
"3 on scale 1-7 ","2005","Saxony-Anhalt","Not Working","67","0.173285322535259","0.135575774945889","0.21099487012463","3"
"3 on scale 1-7 ","2005","Thuringia","Full Time","74","0.24979340185401","0.203158076052308","0.296428727655713","3"
"3 on scale 1-7 ","2005","Thuringia","Part Time","27","","","","3"
"3 on scale 1-7 ","2005","Thuringia","Not Working","71","0.177053410157792","0.138470752321823","0.215636067993761","3"
"3 on scale 1-7 ","2005","Baden-Württemberg","Not Working","178","0.221065320797992","0.194074505953224","0.24805613564276","3"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","Part Time","157","0.134827969945857","0.11381650644905","0.155839433442664","3"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","Not Working","322","0.177276158881665","0.159073765534875","0.195478552228455","3"
"3 on scale 1-7 ","2005","Hesse","Full Time","95","0.164014464766288","0.133589336705419","0.194439592827156","3"
"3 on scale 1-7 ","2005","Hesse","Part Time","65","0.188050525971943","0.146817963834929","0.229283088108958","3"
"3 on scale 1-7 ","2005","Hesse","Not Working","65","0.144897767576058","0.112411509700979","0.177384025451138","3"
"3 on scale 1-7 ","2005","Rhineland-Palatinate,Saarland","Full Time","78","0.219597129773582","0.181263332416114","0.25793092713105","3"
"3 on scale 1-7 ","2005","Berlin","Full Time","45","0.134980183104948","0.0961188315073363","0.17384153470256","3"
"3 on scale 1-7 ","2005","Berlin","Part Time","37","0.184322347538123","0.126709181038993","0.241935514037253","3"
"3 on scale 1-7 ","2005","Berlin","Not Working","46","0.146351232589233","0.105387183728422","0.187315281450043","3"
"3 on scale 1-7 ","2005","Brandenburg","Full Time","52","0.155699304376019","0.115786672217327","0.195611936534712","3"
"3 on scale 1-7 ","2005","Brandenburg","Part Time","31","0.203179479705724","0.145354991745146","0.261003967666302","3"
"3 on scale 1-7 ","2005","Brandenburg","Not Working","63","0.177063538743132","0.138933657868006","0.215193419618258","3"
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Full Time","45","0.260883445653781","0.198608818927185","0.323158072380378","3"
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Part Time","26","","","","3"
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","Not Working","34","0.160300776774794","0.110560907778595","0.210040645770992","3"
"3 on scale 1-7 ","2005","Saxony","Full Time","109","0.181146760157041","0.151143768768026","0.211149751546056","3"
"3 on scale 1-7 ","2005","Saxony","Part Time","73","0.251652040145605","0.200821925101023","0.302482155190187","3"
"3 on scale 1-7 ","2005","Hamburg","Part Time","14","","","","3"
"3 on scale 1-7 ","2005","Bremen","Full Time","10","","","","3"
"3 on scale 1-7 ","2005","Bremen","Part Time","2","","","","3"
"3 on scale 1-7 ","2005","Bremen","Not Working","11","","","","3"
"3 on scale 1-7 ","2005","North Rhine-Westphalia","Full Time","296","0.18255799787511","0.163815955286639","0.20130004046358","3"
"3 on scale 1-7 ","2005","Schleswig-Holstein","Full Time","49","0.213895171164137","0.161356282215964","0.26643406011231","3"
"3 on scale 1-7 ","2005","Schleswig-Holstein","Part Time","28","","","","3"
"3 on scale 1-7 ","2005","Schleswig-Holstein","Not Working","43","0.172157351221761","0.123890291448552","0.22042441099497","3"
"3 on scale 1-7 ","2005","Hamburg","Full Time","26","","","","3"
"3 on scale 1-7 ","2005","Hamburg","Not Working","19","","","","3"
"3 on scale 1-7 ","2005","Lower Saxony","Full Time","123","0.189651937866249","0.159184637476233","0.220119238256265","3"
"3 on scale 1-7 ","2005","Lower Saxony","Part Time","84","0.149397861325807","0.116962067878833","0.18183365477278","3"
"3 on scale 1-7 ","2005","Lower Saxony","Not Working","116","0.166841189499036","0.138839123850006","0.194843255148066","3"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Part Time","44","0.147831822250904","0.107734860655533","0.187928783846275","4"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Not Working","72","0.149645055976847","0.117831967544487","0.181458144409208","4"
"4 on scale 1-7","2005","Baden-Württemberg","Full Time","201","0.19292747991888","0.168910851504777","0.216944108332984","4"
"4 on scale 1-7","2005","Baden-Württemberg","Part Time","96","0.135602746144703","0.107691764997388","0.163513727292018","4"
"4 on scale 1-7","2005","Bavaria","Not Working","200","0.179988334608796","0.155686186177216","0.204290483040376","4"
"4 on scale 1-7","2005","Berlin","Full Time","57","0.206716320573082","0.160661880220226","0.252770760925937","4"
"4 on scale 1-7","2005","Berlin","Part Time","31","0.184991125821389","0.127297201121861","0.242685050520918","4"
"4 on scale 1-7","2005","Baden-Württemberg","Not Working","149","0.154178087611775","0.13068955100403","0.177666624219521","4"
"4 on scale 1-7","2005","Bavaria","Full Time","285","0.242159719109508","0.217931785102262","0.266387653116755","4"
"4 on scale 1-7","2005","Bavaria","Part Time","169","0.237283831827468","0.206465572850833","0.268102090804103","4"
"4 on scale 1-7","2005","Berlin","Not Working","55","0.242433841697589","0.192766378446193","0.292101304948984","4"
"4 on scale 1-7","2005","Brandenburg","Full Time","63","0.180260502734626","0.137944300947312","0.22257670452194","4"
"4 on scale 1-7","2005","Brandenburg","Part Time","46","0.282601936970493","0.217893741925049","0.347310132015937","4"
"4 on scale 1-7","2005","Saxony","Not Working","109","0.180270012688308","0.149888619229024","0.210651406147593","4"
"4 on scale 1-7","2005","Saxony-Anhalt","Full Time","73","0.221409869579298","0.176200492712652","0.266619246445943","4"
"4 on scale 1-7","2005","Saxony-Anhalt","Part Time","38","0.210469005032367","0.151407948442683","0.269530061622052","4"
"4 on scale 1-7","2005","Saxony-Anhalt","Not Working","59","0.155157009492788","0.119085334335218","0.191228684650357","4"
"4 on scale 1-7","2005","Thuringia","Full Time","73","0.198443854771227","0.155478352267334","0.241409357275119","4"
"4 on scale 1-7","2005","Thuringia","Part Time","47","0.319023674846618","0.251676924778611","0.386370424914624","4"
"4 on scale 1-7","2005","Thuringia","Not Working","74","0.17940228348129","0.140620006486591","0.218184560475988","4"
"4 on scale 1-7","2005","Schleswig-Holstein","Full Time","38","0.197370480638583","0.146374162025498","0.248366799251668","4"
"4 on scale 1-7","2005","Schleswig-Holstein","Part Time","31","0.252497187424508","0.183657789453839","0.321336585395176","4"
"4 on scale 1-7","2005","Schleswig-Holstein","Not Working","50","0.203506245577565","0.152031498860751","0.254980992294379","4"
"4 on scale 1-7","2005","Hamburg","Full Time","7","","","","4"
"4 on scale 1-7","2005","Hamburg","Part Time","17","","","","4"
"4 on scale 1-7","2005","Hamburg","Not Working","14","","","","4"
"4 on scale 1-7","2005","Lower Saxony","Full Time","112","0.17904300399426","0.14924697314738","0.208839034841139","4"
"4 on scale 1-7","2005","Lower Saxony","Part Time","93","0.203590429641922","0.166952070511726","0.240228788772118","4"
"4 on scale 1-7","2005","Lower Saxony","Not Working","108","0.133313181070784","0.107783688860613","0.158842673280955","4"
"4 on scale 1-7","2005","Bremen","Full Time","4","","","","4"
"4 on scale 1-7","2005","Bremen","Part Time","7","","","","4"
"4 on scale 1-7","2005","Bremen","Not Working","9","","","","4"
"4 on scale 1-7","2005","North Rhine-Westphalia","Full Time","335","0.189452908638084","0.170440909834242","0.208464907441927","4"
"4 on scale 1-7","2005","North Rhine-Westphalia","Part Time","189","0.177428801088609","0.15392631098319","0.200931291194029","4"
"4 on scale 1-7","2005","North Rhine-Westphalia","Not Working","279","0.164989216021078","0.147298308638216","0.18268012340394","4"
"4 on scale 1-7","2005","Hesse","Full Time","112","0.198700869934175","0.165914813831547","0.231486926036804","4"
"4 on scale 1-7","2005","Hesse","Part Time","71","0.205117217093225","0.162509217352507","0.247725216833943","4"
"4 on scale 1-7","2005","Hesse","Not Working","87","0.193389847101643","0.156938926843149","0.229840767360138","4"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Full Time","80","0.203004909305805","0.165758005487015","0.240251813124595","4"
"4 on scale 1-7","2005","Brandenburg","Not Working","69","0.194463700811896","0.154928899800148","0.233998501823644","4"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","Full Time","49","0.251911798942429","0.190347056835647","0.313476541049211","4"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","Part Time","24","","","","4"
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","Not Working","46","0.206813297538783","0.151903241112486","0.261723353965079","4"
"4 on scale 1-7","2005","Saxony","Full Time","123","0.219066569773779","0.186845400442799","0.251287739104759","4"
"4 on scale 1-7","2005","Saxony","Part Time","55","0.178367497336916","0.133527483260119","0.223207511413714","4"
"5 on scale 1-7","2005","Baden-Württemberg","Not Working","89","0.104651844374848","0.0847416920904862","0.12456199665921","5"
"5 on scale 1-7","2005","Bavaria","Full Time","157","0.134191330309269","0.11491387159877","0.153468789019768","5"
"5 on scale 1-7","2005","Bavaria","Part Time","97","0.142041204028801","0.116752129372071","0.167330278685531","5"
"5 on scale 1-7","2005","Bavaria","Not Working","111","0.107361708087802","0.0877789013815955","0.126944514794008","5"
"5 on scale 1-7","2005","Berlin","Full Time","41","0.151802084259997","0.110992954463299","0.192611214056694","5"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Part Time","40","0.114858387633176","0.0788376518220417","0.15087912344431","5"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Not Working","45","0.11398723642306","0.0856457497984623","0.142328723047657","5"
"5 on scale 1-7","2005","Baden-Württemberg","Full Time","117","0.102999029175345","0.0844990288946732","0.121499029456016","5"
"5 on scale 1-7","2005","Baden-Württemberg","Part Time","56","0.119894894127446","0.0934128328387097","0.146376955416183","5"
"5 on scale 1-7","2005","Berlin","Part Time","16","","","","5"
"5 on scale 1-7","2005","Berlin","Not Working","23","","","","5"
"5 on scale 1-7","2005","Brandenburg","Full Time","31","0.102097461506206","0.0687670610459802","0.135427861966431","5"
"5 on scale 1-7","2005","Brandenburg","Part Time","21","","","","5"
"5 on scale 1-7","2005","Brandenburg","Not Working","49","0.116833543916697","0.08474701159614","0.148920076237254","5"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","Full Time","21","","","","5"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","Part Time","13","","","","5"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","Not Working","20","","","","5"
"5 on scale 1-7","2005","Saxony","Not Working","61","0.0784089126302371","0.0571636364199323","0.0996541888405418","5"
"5 on scale 1-7","2005","Saxony-Anhalt","Full Time","38","0.127082363221111","0.0908159286552914","0.16334879778693","5"
"5 on scale 1-7","2005","Saxony-Anhalt","Part Time","26","","","","5"
"5 on scale 1-7","2005","Saxony-Anhalt","Not Working","40","0.110304599006085","0.0790934259721593","0.141515772040011","5"
"5 on scale 1-7","2005","Thuringia","Full Time","42","0.101342389755372","0.068831654392116","0.133853125118628","5"
"5 on scale 1-7","2005","Thuringia","Part Time","28","","","","5"
"5 on scale 1-7","2005","Thuringia","Not Working","50","0.112627113669565","0.0806728567172687","0.144581370621862","5"
"5 on scale 1-7","2005","Schleswig-Holstein","Full Time","13","","","","5"
"5 on scale 1-7","2005","Schleswig-Holstein","Part Time","12","","","","5"
"5 on scale 1-7","2005","Schleswig-Holstein","Not Working","19","","","","5"
"5 on scale 1-7","2005","Hamburg","Full Time","13","","","","5"
"5 on scale 1-7","2005","Hamburg","Part Time","5","","","","5"
"5 on scale 1-7","2005","Hamburg","Not Working","10","","","","5"
"5 on scale 1-7","2005","North Rhine-Westphalia","Part Time","130","0.111857730832668","0.0924672159022137","0.131248245763122","5"
"5 on scale 1-7","2005","North Rhine-Westphalia","Not Working","174","0.102406564974542","0.0879561599345413","0.116856970014542","5"
"5 on scale 1-7","2005","Hesse","Full Time","74","0.108207131488078","0.0826829456797344","0.133731317296422","5"
"5 on scale 1-7","2005","Hesse","Part Time","41","0.1151470704735","0.0814648637759552","0.148829277171045","5"
"5 on scale 1-7","2005","Hesse","Not Working","41","0.0862775164739499","0.0603646299331705","0.112190403014729","5"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Full Time","55","0.0933099018960856","0.066375806941969","0.120243996850202","5"
"5 on scale 1-7","2005","Saxony","Full Time","81","0.124399044895242","0.0986887017928593","0.150109387997625","5"
"5 on scale 1-7","2005","Saxony","Part Time","32","0.136141522799931","0.0959730169933508","0.176310028606512","5"
"5 on scale 1-7","2005","Bremen","Full Time","4","","","","5"
"5 on scale 1-7","2005","Bremen","Part Time","2","","","","5"
"5 on scale 1-7","2005","Lower Saxony","Full Time","69","0.119071553120322","0.0939009362244178","0.144242170016226","5"
"5 on scale 1-7","2005","Lower Saxony","Part Time","42","0.10256895107409","0.0749633248543404","0.13017457729384","5"
"5 on scale 1-7","2005","Lower Saxony","Not Working","59","0.0887431905453564","0.0673850988003799","0.110101282290333","5"
"5 on scale 1-7","2005","Bremen","Not Working","9","","","","5"
"5 on scale 1-7","2005","North Rhine-Westphalia","Full Time","198","0.122332136047009","0.106434835248678","0.13822943684534","5"
"6 on scale 1-7","2005","Saxony-Anhalt","Part Time","9","","","","6"
"6 on scale 1-7","2005","Saxony","Not Working","37","0.0547363091074874","0.0367589962712012","0.0727136219437735","6"
"6 on scale 1-7","2005","Saxony-Anhalt","Full Time","17","","","","6"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Part Time","15","","","","6"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Not Working","24","","","","6"
"6 on scale 1-7","2005","Baden-Württemberg","Full Time","53","0.0480937022501504","0.0350710357722006","0.0611163687281002","6"
"6 on scale 1-7","2005","Baden-Württemberg","Part Time","15","","","","6"
"6 on scale 1-7","2005","Baden-Württemberg","Not Working","44","0.0534652723020277","0.0388330822105662","0.0680974623934892","6"
"6 on scale 1-7","2005","Bavaria","Full Time","53","0.0518353950912033","0.0392972969948489","0.0643734931875578","6"
"6 on scale 1-7","2005","Bavaria","Part Time","37","0.0546345015527462","0.0381708594198051","0.0710981436856873","6"
"6 on scale 1-7","2005","Bavaria","Not Working","49","0.0528084096033474","0.0386608042912599","0.0669560149154349","6"
"6 on scale 1-7","2005","Berlin","Full Time","26","","","","6"
"6 on scale 1-7","2005","Berlin","Part Time","11","","","","6"
"6 on scale 1-7","2005","Berlin","Not Working","15","","","","6"
"6 on scale 1-7","2005","Brandenburg","Full Time","26","","","","6"
"6 on scale 1-7","2005","Brandenburg","Part Time","16","","","","6"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","Full Time","10","","","","6"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","Part Time","4","","","","6"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","Not Working","25","","","","6"
"6 on scale 1-7","2005","Saxony","Full Time","33","0.0555996629521284","0.0377487520575713","0.0734505738466856","6"
"6 on scale 1-7","2005","Saxony","Part Time","19","","","","6"
"6 on scale 1-7","2005","Saxony-Anhalt","Not Working","30","0.0720058152390101","0.046251558441336","0.0977600720366842","6"
"6 on scale 1-7","2005","Thuringia","Full Time","27","","","","6"
"6 on scale 1-7","2005","Thuringia","Part Time","10","","","","6"
"6 on scale 1-7","2005","Thuringia","Not Working","21","","","","6"
"6 on scale 1-7","2005","Brandenburg","Not Working","19","","","","6"
"6 on scale 1-7","2005","Schleswig-Holstein","Full Time","12","","","","6"
"6 on scale 1-7","2005","Schleswig-Holstein","Part Time","4","","","","6"
"6 on scale 1-7","2005","Schleswig-Holstein","Not Working","12","","","","6"
"6 on scale 1-7","2005","Hamburg","Full Time","7","","","","6"
"6 on scale 1-7","2005","Hamburg","Part Time","1","","","","6"
"6 on scale 1-7","2005","Hamburg","Not Working","","","","","6"
"6 on scale 1-7","2005","Lower Saxony","Full Time","47","0.0786932445855231","0.0577670438499503","0.0996194453210959","6"
"6 on scale 1-7","2005","Lower Saxony","Part Time","19","","","","6"
"6 on scale 1-7","2005","Lower Saxony","Not Working","40","0.0557048094754093","0.0384791931187127","0.0729304258321059","6"
"6 on scale 1-7","2005","Bremen","Full Time","6","","","","6"
"6 on scale 1-7","2005","North Rhine-Westphalia","Part Time","64","0.0656104927754902","0.0503781853548769","0.0808428001961034","6"
"6 on scale 1-7","2005","North Rhine-Westphalia","Not Working","92","0.0521035389389235","0.041511237069328","0.062695840808519","6"
"6 on scale 1-7","2005","Hesse","Full Time","45","0.0802526147840451","0.0579294464356792","0.102575783132411","6"
"6 on scale 1-7","2005","Hesse","Part Time","15","","","","6"
"6 on scale 1-7","2005","Hesse","Not Working","27","","","","6"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","Full Time","20","","","","6"
"6 on scale 1-7","2005","Bremen","Part Time","2","","","","6"
"6 on scale 1-7","2005","Bremen","Not Working","2","","","","6"
"6 on scale 1-7","2005","North Rhine-Westphalia","Full Time","111","0.0754438739379851","0.0626304072417421","0.0882573406342281","6"
"7 Strongly agree","2005","Saxony","Not Working","21","","","","7"
"7 Strongly agree","2005","Saxony-Anhalt","Full Time","22","","","","7"
