"party","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Other","1986","no migration background","Rural Area","5","","","","8"
"Other","1986","direct migration background","Urban Area","5","","","","8"
"Other","1986","direct migration background","Rural Area","","","","","8"
"Other","1986","indirect migration background","Urban Area","","","","","8"
"Other","1986","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1986","no migration background","Urban Area","","","","","5"
"PDS/Linke","1986","no migration background","Rural Area","","","","","5"
"PDS/Linke","1986","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1986","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1986","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1986","indirect migration background","Rural Area","","","","","5"
"SPD","1986","no migration background","Urban Area","1609","0.46458881968117","0.448020663706159","0.481156975656182","1"
"SPD","1986","no migration background","Rural Area","418","0.401741507942641","0.371801820144591","0.431681195740691","1"
"SPD","1986","direct migration background","Urban Area","567","0.535519115418642","0.501109268918506","0.569928961918777","1"
"SPD","1986","direct migration background","Rural Area","71","0.538755679508586","0.445172824904122","0.632338534113049","1"
"SPD","1986","indirect migration background","Urban Area","25","","","","1"
"SPD","1986","indirect migration background","Rural Area","1","","","","1"
"AfD","1987","no migration background","Urban Area","","","","","7"
"AfD","1987","no migration background","Rural Area","","","","","7"
"AfD","1987","direct migration background","Urban Area","","","","","7"
"AfD","1987","direct migration background","Rural Area","","","","","7"
"AfD","1987","indirect migration background","Urban Area","","","","","7"
"AfD","1987","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1987","direct migration background","Urban Area","191","0.388365340914558","0.355087835610755","0.421642846218361","2"
"CDU/CSU","1987","no migration background","Rural Area","583","0.541153989821657","0.511892299634169","0.570415680009144","2"
"CDU/CSU","1987","indirect migration background","Urban Area","13","","","","2"
"CDU/CSU","1987","indirect migration background","Rural Area","6","","","","2"
"CDU/CSU","1987","no migration background","Urban Area","1594","0.432033817062448","0.416102662484255","0.447964971640641","2"
"CDU/CSU","1987","direct migration background","Rural Area","32","0.425944999141277","0.332686219637603","0.519203778644952","2"
"FDP","1987","no migration background","Rural Area","54","0.0514594633635779","0.0384856970863328","0.064433229640823","3"
"FDP","1987","no migration background","Urban Area","206","0.0579292282847111","0.0504161523599742","0.065442304209448","3"
"FDP","1987","direct migration background","Rural Area","2","","","","3"
"FDP","1987","indirect migration background","Rural Area","","","","","3"
"FDP","1987","direct migration background","Urban Area","16","","","","3"
"FDP","1987","indirect migration background","Urban Area","","","","","3"
"Grüne","1987","no migration background","Urban Area","302","0.0733820733206011","0.0649957330563845","0.0817684135848176","4"
"Grüne","1987","no migration background","Rural Area","60","0.0433240684657157","0.031368987098334","0.0552791498330975","4"
"Grüne","1987","direct migration background","Urban Area","91","0.0911741592250971","0.0715197179632451","0.110828600486949","4"
"Grüne","1987","direct migration background","Rural Area","11","","","","4"
"Grüne","1987","indirect migration background","Rural Area","","","","","4"
"Grüne","1987","indirect migration background","Urban Area","7","","","","4"
"NPD","1987","no migration background","Urban Area","","","","","6"
"NPD","1987","no migration background","Rural Area","","","","","6"
"NPD","1987","direct migration background","Rural Area","","","","","6"
"NPD","1987","direct migration background","Urban Area","","","","","6"
"NPD","1987","indirect migration background","Urban Area","","","","","6"
"NPD","1987","indirect migration background","Rural Area","","","","","6"
"Other","1987","no migration background","Urban Area","24","","","","8"
"Other","1987","no migration background","Rural Area","10","","","","8"
"Other","1987","direct migration background","Urban Area","3","","","","8"
"Other","1987","direct migration background","Rural Area","","","","","8"
"Other","1987","indirect migration background","Urban Area","","","","","8"
"Other","1987","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1987","indirect migration background","Rural Area","","","","","5"
"PDS/Linke","1987","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1987","no migration background","Urban Area","","","","","5"
"PDS/Linke","1987","no migration background","Rural Area","","","","","5"
"PDS/Linke","1987","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1987","indirect migration background","Urban Area","","","","","5"
"SPD","1987","no migration background","Urban Area","1588","0.429425788132181","0.413506367006542","0.445345209257821","1"
"SPD","1987","no migration background","Rural Area","407","0.354957890046438","0.326859078837065","0.383056701255812","1"
"SPD","1987","direct migration background","Urban Area","523","0.490005786879723","0.455873317147738","0.524138256611708","1"
"SPD","1987","direct migration background","Rural Area","63","0.501808868896812","0.407510674818498","0.596107062975126","1"
"SPD","1987","indirect migration background","Urban Area","34","0.390988113441372","0.260837603836221","0.521138623046523","1"
"SPD","1987","indirect migration background","Rural Area","3","","","","1"
"AfD","1988","no migration background","Urban Area","","","","","7"
"AfD","1988","no migration background","Rural Area","","","","","7"
"AfD","1988","direct migration background","Rural Area","","","","","7"
"AfD","1988","direct migration background","Urban Area","","","","","7"
"AfD","1988","indirect migration background","Urban Area","","","","","7"
"AfD","1988","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1988","indirect migration background","Rural Area","4","","","","2"
"CDU/CSU","1988","no migration background","Rural Area","465","0.490292689889794","0.458553942640677","0.52203143713891","2"
"CDU/CSU","1988","direct migration background","Urban Area","158","0.368418324377547","0.333780123483541","0.403056525271553","2"
"CDU/CSU","1988","indirect migration background","Urban Area","12","","","","2"
"CDU/CSU","1988","no migration background","Urban Area","1343","0.404702600663976","0.388061583885325","0.421343617442627","2"
"CDU/CSU","1988","direct migration background","Rural Area","32","0.411052086989707","0.312628464134143","0.50947570984527","2"
"FDP","1988","no migration background","Urban Area","156","0.0477146755650303","0.0404877363555469","0.0549416147745136","3"
"FDP","1988","indirect migration background","Urban Area","","","","","3"
"FDP","1988","no migration background","Rural Area","42","0.0479609637723632","0.0343943028840866","0.0615276246606398","3"
"FDP","1988","direct migration background","Rural Area","1","","","","3"
"FDP","1988","indirect migration background","Rural Area","","","","","3"
"FDP","1988","direct migration background","Urban Area","15","","","","3"
"Grüne","1988","no migration background","Rural Area","32","0.0296244394363457","0.0188598706731213","0.0403890081995701","4"
"Grüne","1988","no migration background","Urban Area","226","0.0650417310775749","0.0566811391313222","0.0734023230238276","4"
"Grüne","1988","direct migration background","Rural Area","7","","","","4"
"Grüne","1988","direct migration background","Urban Area","66","0.064139421100265","0.04654649617067","0.0817323460298601","4"
"Grüne","1988","indirect migration background","Urban Area","7","","","","4"
"Grüne","1988","indirect migration background","Rural Area","1","","","","4"
"NPD","1988","no migration background","Urban Area","","","","","6"
"NPD","1988","no migration background","Rural Area","","","","","6"
"NPD","1988","direct migration background","Rural Area","","","","","6"
"NPD","1988","direct migration background","Urban Area","","","","","6"
"NPD","1988","indirect migration background","Urban Area","","","","","6"
"NPD","1988","indirect migration background","Rural Area","","","","","6"
"Other","1988","no migration background","Urban Area","28","","","","8"
"Other","1988","no migration background","Rural Area","12","","","","8"
"Other","1988","direct migration background","Urban Area","6","","","","8"
"Other","1988","direct migration background","Rural Area","","","","","8"
"Other","1988","indirect migration background","Urban Area","2","","","","8"
"Other","1988","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1988","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1988","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1988","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1988","indirect migration background","Rural Area","","","","","5"
"PDS/Linke","1988","no migration background","Urban Area","","","","","5"
"PDS/Linke","1988","no migration background","Rural Area","","","","","5"
"SPD","1988","direct migration background","Rural Area","56","0.546163706551421","0.446571924179545","0.645755488923298","1"
"SPD","1988","indirect migration background","Urban Area","50","0.517064882216188","0.400830173504319","0.633299590928058","1"
"SPD","1988","indirect migration background","Rural Area","3","","","","1"
"SPD","1988","no migration background","Urban Area","1589","0.472097831764869","0.455172484267127","0.48902317926261","1"
"SPD","1988","no migration background","Rural Area","402","0.421968339963666","0.390612575930299","0.453324103997032","1"
"SPD","1988","direct migration background","Urban Area","500","0.529007933736514","0.493164645626499","0.564851221846529","1"
"AfD","1989","no migration background","Urban Area","","","","","7"
"AfD","1989","no migration background","Rural Area","","","","","7"
"AfD","1989","direct migration background","Rural Area","","","","","7"
"AfD","1989","direct migration background","Urban Area","","","","","7"
"AfD","1989","indirect migration background","Urban Area","","","","","7"
"AfD","1989","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1989","indirect migration background","Rural Area","2","","","","2"
"CDU/CSU","1989","no migration background","Rural Area","402","0.481993824904493","0.448303287220047","0.515684362588938","2"
"CDU/CSU","1989","direct migration background","Urban Area","143","0.325290615470748","0.293419065292633","0.357162165648863","2"
"CDU/CSU","1989","no migration background","Urban Area","1138","0.371811041406743","0.354801073330527","0.388821009482959","2"
"CDU/CSU","1989","direct migration background","Rural Area","31","0.325619990168975","0.241777273553974","0.409462706783976","2"
"CDU/CSU","1989","indirect migration background","Urban Area","14","","","","2"
"FDP","1989","no migration background","Urban Area","99","0.0307255160259363","0.0246515803170609","0.0367994517348117","3"
"FDP","1989","direct migration background","Rural Area","3","","","","3"
"FDP","1989","no migration background","Rural Area","28","","","","3"
"FDP","1989","indirect migration background","Urban Area","1","","","","3"
"FDP","1989","direct migration background","Urban Area","7","","","","3"
"FDP","1989","indirect migration background","Rural Area","1","","","","3"
"Grüne","1989","no migration background","Rural Area","30","0.0296628000806555","0.0182238240606932","0.0411017761006178","4"
"Grüne","1989","no migration background","Urban Area","228","0.0690238073856287","0.0601017307099282","0.0779458840613293","4"
"Grüne","1989","direct migration background","Rural Area","8","","","","4"
"Grüne","1989","indirect migration background","Rural Area","1","","","","4"
"Grüne","1989","indirect migration background","Urban Area","11","","","","4"
"Grüne","1989","direct migration background","Urban Area","80","0.0983540504883107","0.0780948086894704","0.118613292287151","4"
"NPD","1989","indirect migration background","Urban Area","","","","","6"
"NPD","1989","no migration background","Urban Area","","","","","6"
"NPD","1989","no migration background","Rural Area","","","","","6"
"NPD","1989","direct migration background","Urban Area","","","","","6"
"NPD","1989","direct migration background","Rural Area","","","","","6"
"NPD","1989","indirect migration background","Rural Area","","","","","6"
"Other","1989","no migration background","Urban Area","132","0.0436116153229016","0.0364234933027948","0.0507997373430083","8"
"Other","1989","no migration background","Rural Area","35","0.0421055768605145","0.0285646507018444","0.0556465030191845","8"
"Other","1989","direct migration background","Urban Area","15","","","","8"
"Other","1989","direct migration background","Rural Area","4","","","","8"
"Other","1989","indirect migration background","Urban Area","","","","","8"
"Other","1989","indirect migration background","Rural Area","","","","","8"
"PDS/Linke","1989","no migration background","Urban Area","","","","","5"
"PDS/Linke","1989","no migration background","Rural Area","","","","","5"
"PDS/Linke","1989","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1989","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1989","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1989","indirect migration background","Rural Area","","","","","5"
"SPD","1989","direct migration background","Rural Area","74","0.510127772020401","0.420686418797656","0.599569125243146","1"
"SPD","1989","indirect migration background","Urban Area","67","0.61811088370683","0.519367398286926","0.716854369126735","1"
"SPD","1989","indirect migration background","Rural Area","3","","","","1"
"SPD","1989","no migration background","Urban Area","1504","0.48482801985879","0.467237965542184","0.502418074175397","1"
"SPD","1989","no migration background","Rural Area","350","0.407100040234842","0.373974648746341","0.440225431723343","1"
"SPD","1989","direct migration background","Urban Area","585","0.554502736810313","0.520689759581593","0.588315714039034","1"
"AfD","1990","no migration background","Urban Area","","","","","7"
"AfD","1990","no migration background","Rural Area","","","","","7"
"AfD","1990","direct migration background","Rural Area","","","","","7"
"AfD","1990","direct migration background","Urban Area","","","","","7"
"AfD","1990","indirect migration background","Urban Area","","","","","7"
"AfD","1990","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1990","no migration background","Urban Area","1214","0.389215449983047","0.372279848772887","0.406151051193207","2"
"CDU/CSU","1990","direct migration background","Urban Area","158","0.328666768939012","0.296652594529764","0.360680943348259","2"
"CDU/CSU","1990","direct migration background","Rural Area","23","","","","2"
"CDU/CSU","1990","indirect migration background","Rural Area","1","","","","2"
"CDU/CSU","1990","no migration background","Rural Area","420","0.474513637069043","0.441389387870797","0.507637886267289","2"
"CDU/CSU","1990","indirect migration background","Urban Area","10","","","","2"
"FDP","1990","no migration background","Urban Area","148","0.0452794357328203","0.0380575568090257","0.0525013146566149","3"
"FDP","1990","direct migration background","Rural Area","1","","","","3"
"FDP","1990","no migration background","Rural Area","33","0.0448606931107529","0.0311295302629282","0.0585918559585776","3"
"FDP","1990","indirect migration background","Urban Area","1","","","","3"
"FDP","1990","direct migration background","Urban Area","14","","","","3"
"FDP","1990","indirect migration background","Rural Area","","","","","3"
"Grüne","1990","no migration background","Rural Area","42","0.0417273000253153","0.0284626538704906","0.05499194618014","4"
"Grüne","1990","no migration background","Urban Area","174","0.0506943124982758","0.0430745011053123","0.0583141238912394","4"
"Grüne","1990","direct migration background","Rural Area","11","","","","4"
"Grüne","1990","direct migration background","Urban Area","58","0.0796697811991268","0.061214783747206","0.0981247786510477","4"
"Grüne","1990","indirect migration background","Rural Area","5","","","","4"
"Grüne","1990","indirect migration background","Urban Area","9","","","","4"
"NPD","1990","no migration background","Urban Area","56","0.0152428892078297","0.0109872992957472","0.0194984791199123","6"
"NPD","1990","indirect migration background","Rural Area","1","","","","6"
"NPD","1990","indirect migration background","Urban Area","1","","","","6"
"NPD","1990","no migration background","Rural Area","10","","","","6"
"NPD","1990","direct migration background","Urban Area","3","","","","6"
"NPD","1990","direct migration background","Rural Area","2","","","","6"
"Other","1990","no migration background","Urban Area","16","","","","8"
"Other","1990","direct migration background","Rural Area","1","","","","8"
"Other","1990","indirect migration background","Urban Area","","","","","8"
"Other","1990","indirect migration background","Rural Area","1","","","","8"
"Other","1990","no migration background","Rural Area","8","","","","8"
"Other","1990","direct migration background","Urban Area","3","","","","8"
"PDS/Linke","1990","no migration background","Urban Area","","","","","5"
"PDS/Linke","1990","no migration background","Rural Area","","","","","5"
"PDS/Linke","1990","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1990","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1990","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1990","indirect migration background","Rural Area","","","","","5"
"SPD","1990","direct migration background","Rural Area","68","0.602206130439837","0.509031691242375","0.695380569637299","1"
"SPD","1990","indirect migration background","Urban Area","66","0.566092712758019","0.461949560537517","0.670235864978521","1"
"SPD","1990","indirect migration background","Rural Area","3","","","","1"
"SPD","1990","no migration background","Urban Area","1576","0.493722933350088","0.476357031610137","0.511088835090039","1"
"SPD","1990","no migration background","Rural Area","360","0.42001075128513","0.387270565127087","0.452750937443174","1"
"SPD","1990","direct migration background","Urban Area","591","0.559556615484527","0.525721910102221","0.593391320866833","1"
"AfD","1991","direct migration background","Rural Area","","","","","7"
"AfD","1991","no migration background","Urban Area","","","","","7"
"AfD","1991","no migration background","Rural Area","","","","","7"
"AfD","1991","direct migration background","Urban Area","","","","","7"
"AfD","1991","indirect migration background","Rural Area","","","","","7"
"AfD","1991","indirect migration background","Urban Area","","","","","7"
"CDU/CSU","1991","no migration background","Urban Area","1195","0.400143954051334","0.382673492518379","0.417614415584288","2"
"CDU/CSU","1991","no migration background","Rural Area","457","0.517879887976648","0.485107015456461","0.550652760496834","2"
"CDU/CSU","1991","direct migration background","Urban Area","98","0.513516836604996","0.441879647179893","0.585154026030099","2"
"CDU/CSU","1991","direct migration background","Rural Area","18","","","","2"
"CDU/CSU","1991","indirect migration background","Rural Area","1","","","","2"
"CDU/CSU","1991","indirect migration background","Urban Area","7","","","","2"
"FDP","1991","no migration background","Urban Area","162","0.0593643593717222","0.0509378766194626","0.0677908421239818","3"
"FDP","1991","no migration background","Rural Area","36","0.0456576377067094","0.0319667634575796","0.0593485119558392","3"
"FDP","1991","direct migration background","Rural Area","","","","","3"
"FDP","1991","indirect migration background","Urban Area","","","","","3"
"FDP","1991","indirect migration background","Rural Area","","","","","3"
"FDP","1991","direct migration background","Urban Area","7","","","","3"
"Grüne","1991","no migration background","Urban Area","181","0.0582394657026743","0.0498882122788894","0.0665907191264592","4"
"Grüne","1991","no migration background","Rural Area","31","0.0306078744745819","0.0193102095176917","0.0419055394314721","4"
"Grüne","1991","direct migration background","Rural Area","1","","","","4"
"Grüne","1991","direct migration background","Urban Area","7","","","","4"
"Grüne","1991","indirect migration background","Rural Area","","","","","4"
"Grüne","1991","indirect migration background","Urban Area","1","","","","4"
"NPD","1991","indirect migration background","Rural Area","","","","","6"
"NPD","1991","no migration background","Urban Area","31","0.00869740873007645","0.00538632022853587","0.012008497231617","6"
"NPD","1991","no migration background","Rural Area","10","","","","6"
"NPD","1991","direct migration background","Urban Area","3","","","","6"
"NPD","1991","direct migration background","Rural Area","","","","","6"
"NPD","1991","indirect migration background","Urban Area","1","","","","6"
"Other","1991","no migration background","Urban Area","13","","","","8"
"Other","1991","direct migration background","Rural Area","","","","","8"
"Other","1991","no migration background","Rural Area","6","","","","8"
"Other","1991","indirect migration background","Urban Area","","","","","8"
"Other","1991","indirect migration background","Rural Area","","","","","8"
"Other","1991","direct migration background","Urban Area","","","","","8"
"PDS/Linke","1991","no migration background","Urban Area","3","","","","5"
"PDS/Linke","1991","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1991","no migration background","Rural Area","","","","","5"
"PDS/Linke","1991","direct migration background","Urban Area","","","","","5"
"PDS/Linke","1991","direct migration background","Rural Area","","","","","5"
"PDS/Linke","1991","indirect migration background","Rural Area","1","","","","5"
"SPD","1991","no migration background","Urban Area","1436","0.468367425200888","0.450573495869799","0.486161354531976","1"
"SPD","1991","no migration background","Rural Area","353","0.385974620820689","0.354044916476061","0.417904325165316","1"
"SPD","1991","direct migration background","Rural Area","16","","","","1"
"SPD","1991","indirect migration background","Urban Area","13","","","","1"
"SPD","1991","indirect migration background","Rural Area","1","","","","1"
"SPD","1991","direct migration background","Urban Area","72","0.392052741373346","0.322079420207265","0.462026062539427","1"
"AfD","1992","direct migration background","Rural Area","","","","","7"
"AfD","1992","no migration background","Rural Area","","","","","7"
"AfD","1992","direct migration background","Urban Area","","","","","7"
"AfD","1992","no migration background","Urban Area","","","","","7"
"AfD","1992","indirect migration background","Urban Area","","","","","7"
"AfD","1992","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1992","indirect migration background","Rural Area","1","","","","2"
"CDU/CSU","1992","direct migration background","Rural Area","38","0.449336161438964","0.358024839606232","0.540647483271697","2"
"CDU/CSU","1992","indirect migration background","Urban Area","14","","","","2"
"CDU/CSU","1992","no migration background","Urban Area","1213","0.405093706902207","0.387939495350188","0.422247918454227","2"
"CDU/CSU","1992","no migration background","Rural Area","679","0.457675447059972","0.432662546981285","0.482688347138659","2"
"CDU/CSU","1992","direct migration background","Urban Area","145","0.350695487964178","0.312858480082273","0.388532495846083","2"
"FDP","1992","no migration background","Urban Area","137","0.048141474883536","0.0406612504314328","0.0556216993356392","3"
"FDP","1992","direct migration background","Urban Area","14","","","","3"
"FDP","1992","no migration background","Rural Area","85","0.052432982992413","0.0412421385669652","0.0636238274178609","3"
"FDP","1992","direct migration background","Rural Area","2","","","","3"
"FDP","1992","indirect migration background","Urban Area","4","","","","3"
"FDP","1992","indirect migration background","Rural Area","1","","","","3"
"Grüne","1992","no migration background","Urban Area","240","0.0660953516729778","0.0574136379855378","0.0747770653604178","4"
"Grüne","1992","direct migration background","Urban Area","41","0.0623901467445965","0.04321244452866","0.081567848960533","4"
"Grüne","1992","direct migration background","Rural Area","13","","","","4"
"Grüne","1992","no migration background","Rural Area","87","0.03988526074416","0.0300604680885782","0.0497100533997418","4"
"Grüne","1992","indirect migration background","Urban Area","13","","","","4"
"Grüne","1992","indirect migration background","Rural Area","4","","","","4"
"NPD","1992","indirect migration background","Urban Area","","","","","6"
"NPD","1992","indirect migration background","Rural Area","","","","","6"
"NPD","1992","direct migration background","Rural Area","","","","","6"
"NPD","1992","no migration background","Urban Area","","","","","6"
"NPD","1992","direct migration background","Urban Area","","","","","6"
"NPD","1992","no migration background","Rural Area","","","","","6"
"Other","1992","indirect migration background","Rural Area","2","","","","8"
"Other","1992","no migration background","Urban Area","67","0.0181188127391944","0.0134579848106014","0.0227796406677875","8"
"Other","1992","indirect migration background","Urban Area","2","","","","8"
"Other","1992","direct migration background","Rural Area","4","","","","8"
"Other","1992","no migration background","Rural Area","33","0.0309230513473678","0.0222319280745891","0.0396141746201466","8"
"Other","1992","direct migration background","Urban Area","10","","","","8"
"PDS/Linke","1992","no migration background","Urban Area","43","0.00840483085731577","0.00521475932166026","0.0115949023929713","5"
"PDS/Linke","1992","direct migration background","Rural Area","3","","","","5"
"PDS/Linke","1992","indirect migration background","Urban Area","","","","","5"
"PDS/Linke","1992","indirect migration background","Rural Area","","","","","5"
"PDS/Linke","1992","direct migration background","Urban Area","7","","","","5"
"PDS/Linke","1992","no migration background","Rural Area","71","0.0359419097450984","0.0265962969406861","0.0452875225495108","5"
"SPD","1992","no migration background","Urban Area","1446","0.454145822944768","0.436747607161646","0.471544038727891","1"
"SPD","1992","no migration background","Rural Area","569","0.383141348110989","0.35873358670829","0.407549109513688","1"
"SPD","1992","direct migration background","Rural Area","54","0.41187254395275","0.321525735882754","0.502219352022746","1"
"SPD","1992","direct migration background","Urban Area","394","0.531597422179683","0.49203083813934","0.571164006220025","1"
"SPD","1992","indirect migration background","Urban Area","62","0.482317003575406","0.381835870195469","0.582798136955342","1"
"SPD","1992","indirect migration background","Rural Area","5","","","","1"
"AfD","1993","direct migration background","Rural Area","","","","","7"
"AfD","1993","no migration background","Urban Area","","","","","7"
"AfD","1993","no migration background","Rural Area","","","","","7"
"AfD","1993","direct migration background","Urban Area","","","","","7"
"AfD","1993","indirect migration background","Urban Area","","","","","7"
"AfD","1993","indirect migration background","Rural Area","","","","","7"
"CDU/CSU","1993","no migration background","Rural Area","556","0.431890659597914","0.405398768847545","0.458382550348282","2"
"CDU/CSU","1993","no migration background","Urban Area","995","0.374389180045263","0.3564567970405","0.392321563050027","2"
"CDU/CSU","1993","direct migration background","Rural Area","34","0.473761693154929","0.379592811289871","0.567930575019987","2"
"CDU/CSU","1993","indirect migration background","Rural Area","3","","","","2"
"CDU/CSU","1993","indirect migration background","Urban Area","10","","","","2"
"CDU/CSU","1993","direct migration background","Urban Area","117","0.320454974245701","0.281596491776516","0.359313456714886","2"
"FDP","1993","indirect migration background","Urban Area","1","","","","3"
