"party","year","education","migback","n","percent","lower_confidence","upper_confidence"
"NPD Combination","1984","no degree/no degree yet","indirect migration background","","","",""
"AfD","1984","lower secondary degree","no migration background","","","",""
"AfD","1984","lower secondary degree","direct migration background","","","",""
"AfD","1984","lower secondary degree","indirect migration background","","","",""
"AfD","1984","secondary school degree","no migration background","","","",""
"AfD","1984","secondary school degree","direct migration background","","","",""
"AfD","1984","secondary school degree","indirect migration background","","","",""
"AfD","1984","college entrance qualification","no migration background","","","",""
"AfD","1984","college entrance qualification","direct migration background","","","",""
"AfD","1984","college entrance qualification","indirect migration background","","","",""
"AfD","1984","Other degree","no migration background","","","",""
"AfD","1984","Other degree","direct migration background","","","",""
"AfD","1984","Other degree","indirect migration background","","","",""
"AfD","1984","no degree/no degree yet","no migration background","","","",""
"AfD","1984","no degree/no degree yet","direct migration background","","","",""
"AfD","1984","no degree/no degree yet","indirect migration background","","","",""
"Other","1984","lower secondary degree","no migration background","","","",""
"Other","1984","lower secondary degree","direct migration background","","","",""
"Other","1984","lower secondary degree","indirect migration background","","","",""
"Other","1984","secondary school degree","no migration background","","","",""
"Other","1984","secondary school degree","direct migration background","","","",""
"Other","1984","secondary school degree","indirect migration background","","","",""
"Other","1984","college entrance qualification","no migration background","","","",""
"Other","1984","college entrance qualification","direct migration background","","","",""
"Other","1984","college entrance qualification","indirect migration background","","","",""
"Other","1984","Other degree","no migration background","","","",""
"Other","1984","Other degree","direct migration background","","","",""
"Other","1984","Other degree","indirect migration background","","","",""
"Other","1984","no degree/no degree yet","no migration background","","","",""
"Other","1984","no degree/no degree yet","direct migration background","","","",""
"Other","1984","no degree/no degree yet","indirect migration background","","","",""
"CDU/CSU","1985","lower secondary degree","no migration background","1261","0.445218432931504","0.426940103481264","0.463496762381744"
"CDU/CSU","1985","lower secondary degree","direct migration background","68","0.428775646321082","0.364395260498709","0.493156032143456"
"CDU/CSU","1985","lower secondary degree","indirect migration background","","","",""
"CDU/CSU","1985","secondary school degree","no migration background","480","0.492039649483305","0.461253290746614","0.522826008219996"
"CDU/CSU","1985","secondary school degree","direct migration background","36","0.672337718939737","0.565397961548998","0.779277476330476"
"CDU/CSU","1985","secondary school degree","indirect migration background","","","",""
"CDU/CSU","1985","college entrance qualification","no migration background","309","0.412070606085058","0.377236969703727","0.446904242466389"
"CDU/CSU","1985","college entrance qualification","direct migration background","","","",""
"CDU/CSU","1985","college entrance qualification","indirect migration background","","","",""
"CDU/CSU","1985","Other degree","no migration background","","","",""
"CDU/CSU","1985","Other degree","direct migration background","57","0.157751111172343","0.121759074972007","0.19374314737268"
"CDU/CSU","1985","Other degree","indirect migration background","","","",""
"CDU/CSU","1985","no degree/no degree yet","no migration background","35","0.377977326112389","0.280982525053537","0.474972127171242"
"CDU/CSU","1985","no degree/no degree yet","direct migration background","","","",""
"CDU/CSU","1985","no degree/no degree yet","indirect migration background","","","",""
"SPD","1985","lower secondary degree","no migration background","1413","0.497504960332469","0.479116154881104","0.515893765783834"
"SPD","1985","lower secondary degree","direct migration background","136","0.521442953983416","0.456459106402092","0.58642680156474"
"SPD","1985","lower secondary degree","indirect migration background","","","",""
"SPD","1985","secondary school degree","no migration background","393","0.37211514283842","0.342349035417733","0.401881250259107"
"SPD","1985","secondary school degree","direct migration background","33","0.289876029981014","0.186503422826148","0.393248637135881"
"SPD","1985","secondary school degree","indirect migration background","","","",""
"SPD","1985","college entrance qualification","no migration background","250","0.321060547811508","0.288019074585166","0.35410202103785"
"SPD","1985","college entrance qualification","direct migration background","","","",""
"SPD","1985","college entrance qualification","indirect migration background","","","",""
"SPD","1985","Other degree","no migration background","","","",""
"SPD","1985","Other degree","direct migration background","308","0.767419439526737","0.725703398630464","0.809135480423009"
"SPD","1985","Other degree","indirect migration background","","","",""
"SPD","1985","no degree/no degree yet","no migration background","37","0.391073513557979","0.293456816556532","0.488690210559426"
"SPD","1985","no degree/no degree yet","direct migration background","150","0.755480040298395","0.693545790416177","0.817414290180613"
"SPD","1985","no degree/no degree yet","indirect migration background","","","",""
"FDP","1985","lower secondary degree","no migration background","75","0.0281104909656936","0.022031498802144","0.0341894831292431"
"FDP","1985","lower secondary degree","direct migration background","","","",""
"FDP","1985","lower secondary degree","indirect migration background","","","",""
"FDP","1985","secondary school degree","no migration background","52","0.0569504454346808","0.0426792882978131","0.0712216025715484"
"FDP","1985","secondary school degree","direct migration background","","","",""
"FDP","1985","secondary school degree","indirect migration background","","","",""
"FDP","1985","college entrance qualification","no migration background","57","0.0744842421509111","0.0559030095687805","0.0930654747330416"
"FDP","1985","college entrance qualification","direct migration background","","","",""
"FDP","1985","college entrance qualification","indirect migration background","","","",""
"FDP","1985","Other degree","no migration background","","","",""
"FDP","1985","Other degree","direct migration background","","","",""
"FDP","1985","Other degree","indirect migration background","","","",""
"FDP","1985","no degree/no degree yet","no migration background","","","",""
"FDP","1985","no degree/no degree yet","direct migration background","","","",""
"FDP","1985","no degree/no degree yet","indirect migration background","","","",""
"Grüne","1985","lower secondary degree","no migration background","74","0.0234685947431621","0.017900898016149","0.0290362914701751"
"Grüne","1985","lower secondary degree","direct migration background","","","",""
"Grüne","1985","lower secondary degree","indirect migration background","","","",""
"Grüne","1985","secondary school degree","no migration background","82","0.07364014274212","0.0575562731667151","0.0897240123175249"
"Grüne","1985","secondary school degree","direct migration background","","","",""
"Grüne","1985","secondary school degree","indirect migration background","","","",""
"Grüne","1985","college entrance qualification","no migration background","143","0.18012807621675","0.15293150704012","0.20732464539338"
"Grüne","1985","college entrance qualification","direct migration background","","","",""
"Grüne","1985","college entrance qualification","indirect migration background","","","",""
"Grüne","1985","Other degree","no migration background","","","",""
"Grüne","1985","Other degree","direct migration background","","","",""
"Grüne","1985","Other degree","indirect migration background","","","",""
"Grüne","1985","no degree/no degree yet","no migration background","","","",""
"Grüne","1985","no degree/no degree yet","direct migration background","","","",""
"Grüne","1985","no degree/no degree yet","indirect migration background","","","",""
"PDS/Linke","1985","lower secondary degree","no migration background","","","",""
"PDS/Linke","1985","lower secondary degree","direct migration background","","","",""
"PDS/Linke","1985","lower secondary degree","indirect migration background","","","",""
"PDS/Linke","1985","secondary school degree","no migration background","","","",""
"PDS/Linke","1985","secondary school degree","direct migration background","","","",""
"PDS/Linke","1985","secondary school degree","indirect migration background","","","",""
"PDS/Linke","1985","college entrance qualification","no migration background","","","",""
"PDS/Linke","1985","college entrance qualification","direct migration background","","","",""
"PDS/Linke","1985","college entrance qualification","indirect migration background","","","",""
"PDS/Linke","1985","Other degree","no migration background","","","",""
"PDS/Linke","1985","Other degree","direct migration background","","","",""
"PDS/Linke","1985","Other degree","indirect migration background","","","",""
"PDS/Linke","1985","no degree/no degree yet","no migration background","","","",""
"PDS/Linke","1985","no degree/no degree yet","direct migration background","","","",""
"PDS/Linke","1985","no degree/no degree yet","indirect migration background","","","",""
"NPD Combination","1985","lower secondary degree","no migration background","","","",""
"NPD Combination","1985","lower secondary degree","direct migration background","","","",""
"NPD Combination","1985","lower secondary degree","indirect migration background","","","",""
"NPD Combination","1985","secondary school degree","no migration background","","","",""
"NPD Combination","1985","secondary school degree","direct migration background","","","",""
"NPD Combination","1985","secondary school degree","indirect migration background","","","",""
"NPD Combination","1985","college entrance qualification","no migration background","","","",""
"NPD Combination","1985","college entrance qualification","direct migration background","","","",""
"NPD Combination","1985","college entrance qualification","indirect migration background","","","",""
"NPD Combination","1985","Other degree","no migration background","","","",""
"NPD Combination","1985","Other degree","direct migration background","","","",""
"NPD Combination","1985","Other degree","indirect migration background","","","",""
"NPD Combination","1985","no degree/no degree yet","no migration background","","","",""
"NPD Combination","1985","no degree/no degree yet","direct migration background","","","",""
"NPD Combination","1985","no degree/no degree yet","indirect migration background","","","",""
"AfD","1985","lower secondary degree","no migration background","","","",""
"AfD","1985","lower secondary degree","direct migration background","","","",""
"AfD","1985","lower secondary degree","indirect migration background","","","",""
"AfD","1985","secondary school degree","no migration background","","","",""
"AfD","1985","secondary school degree","direct migration background","","","",""
"AfD","1985","secondary school degree","indirect migration background","","","",""
"AfD","1985","college entrance qualification","no migration background","","","",""
"AfD","1985","college entrance qualification","direct migration background","","","",""
"AfD","1985","college entrance qualification","indirect migration background","","","",""
"AfD","1985","Other degree","no migration background","","","",""
"AfD","1985","Other degree","direct migration background","","","",""
"AfD","1985","Other degree","indirect migration background","","","",""
"AfD","1985","no degree/no degree yet","no migration background","","","",""
"AfD","1985","no degree/no degree yet","direct migration background","","","",""
"AfD","1985","no degree/no degree yet","indirect migration background","","","",""
"Other","1985","lower secondary degree","no migration background","","","",""
"Other","1985","lower secondary degree","direct migration background","","","",""
"Other","1985","lower secondary degree","indirect migration background","","","",""
"Other","1985","secondary school degree","no migration background","","","",""
"Other","1985","secondary school degree","direct migration background","","","",""
"Other","1985","secondary school degree","indirect migration background","","","",""
"Other","1985","college entrance qualification","no migration background","","","",""
"Other","1985","college entrance qualification","direct migration background","","","",""
"Other","1985","college entrance qualification","indirect migration background","","","",""
"Other","1985","Other degree","no migration background","","","",""
"Other","1985","Other degree","direct migration background","","","",""
"Other","1985","Other degree","indirect migration background","","","",""
"Other","1985","no degree/no degree yet","no migration background","","","",""
"Other","1985","no degree/no degree yet","direct migration background","","","",""
"Other","1985","no degree/no degree yet","indirect migration background","","","",""
"CDU/CSU","1986","lower secondary degree","no migration background","1179","0.440689025748472","0.421822146891614","0.459555904605329"
"CDU/CSU","1986","lower secondary degree","direct migration background","67","0.446769513954679","0.380003860074923","0.513535167834434"
"CDU/CSU","1986","lower secondary degree","indirect migration background","","","",""
"CDU/CSU","1986","secondary school degree","no migration background","460","0.503854334374643","0.472110547037723","0.535598121711564"
"CDU/CSU","1986","secondary school degree","direct migration background","34","0.663433140913799","0.555035228840593","0.771831052987005"
"CDU/CSU","1986","secondary school degree","indirect migration background","","","",""
"CDU/CSU","1986","college entrance qualification","no migration background","306","0.412685738893548","0.377753145733534","0.447618332053562"
"CDU/CSU","1986","college entrance qualification","direct migration background","","","",""
"CDU/CSU","1986","college entrance qualification","indirect migration background","","","",""
"CDU/CSU","1986","Other degree","no migration background","","","",""
"CDU/CSU","1986","Other degree","direct migration background","55","0.127504964738504","0.0934273482040778","0.16158258127293"
"CDU/CSU","1986","Other degree","indirect migration background","","","",""
"CDU/CSU","1986","no degree/no degree yet","no migration background","","","",""
"CDU/CSU","1986","no degree/no degree yet","direct migration background","","","",""
"CDU/CSU","1986","no degree/no degree yet","indirect migration background","","","",""
"SPD","1986","lower secondary degree","no migration background","1345","0.508685198266677","0.489687029244472","0.527683367288883"
"SPD","1986","lower secondary degree","direct migration background","129","0.495325855593466","0.428181529980223","0.562470181206709"
"SPD","1986","lower secondary degree","indirect migration background","","","",""
"SPD","1986","secondary school degree","no migration background","372","0.375190107967948","0.344450290891705","0.40592992504419"
"SPD","1986","secondary school degree","direct migration background","","","",""
"SPD","1986","secondary school degree","indirect migration background","","","",""
"SPD","1986","college entrance qualification","no migration background","251","0.325957626640013","0.292698564765437","0.359216688514589"
"SPD","1986","college entrance qualification","direct migration background","","","",""
"SPD","1986","college entrance qualification","indirect migration background","","","",""
"SPD","1986","Other degree","no migration background","","","",""
"SPD","1986","Other degree","direct migration background","286","0.765353014227027","0.722055539238056","0.808650489215997"
"SPD","1986","Other degree","indirect migration background","","","",""
"SPD","1986","no degree/no degree yet","no migration background","36","0.421883196764476","0.314991228226622","0.528775165302329"
"SPD","1986","no degree/no degree yet","direct migration background","153","0.809532893689219","0.752641078825116","0.866424708553322"
"SPD","1986","no degree/no degree yet","indirect migration background","","","",""
"FDP","1986","lower secondary degree","no migration background","60","0.0240838684177882","0.0182577857319592","0.0299099511036173"
"FDP","1986","lower secondary degree","direct migration background","","","",""
"FDP","1986","lower secondary degree","indirect migration background","","","",""
"FDP","1986","secondary school degree","no migration background","46","0.0491843410405798","0.0354545719884489","0.0629141100927107"
"FDP","1986","secondary school degree","direct migration background","","","",""
"FDP","1986","secondary school degree","indirect migration background","","","",""
"FDP","1986","college entrance qualification","no migration background","49","0.0682067360447969","0.050318840960339","0.0860946311292548"
"FDP","1986","college entrance qualification","direct migration background","","","",""
"FDP","1986","college entrance qualification","indirect migration background","","","",""
"FDP","1986","Other degree","no migration background","","","",""
"FDP","1986","Other degree","direct migration background","","","",""
"FDP","1986","Other degree","indirect migration background","","","",""
"FDP","1986","no degree/no degree yet","no migration background","","","",""
"FDP","1986","no degree/no degree yet","direct migration background","","","",""
"FDP","1986","no degree/no degree yet","indirect migration background","","","",""
"Grüne","1986","lower secondary degree","no migration background","60","0.0206585158149643","0.0152531647349202","0.0260638668950083"
"Grüne","1986","lower secondary degree","direct migration background","","","",""
"Grüne","1986","lower secondary degree","indirect migration background","","","",""
"Grüne","1986","secondary school degree","no migration background","71","0.067905186596808","0.0519323091371958","0.0838780640564202"
"Grüne","1986","secondary school degree","direct migration background","","","",""
"Grüne","1986","secondary school degree","indirect migration background","","","",""
"Grüne","1986","college entrance qualification","no migration background","155","0.189622440438695","0.161807739742053","0.217437141135336"
"Grüne","1986","college entrance qualification","direct migration background","","","",""
"Grüne","1986","college entrance qualification","indirect migration background","","","",""
"Grüne","1986","Other degree","no migration background","","","",""
"Grüne","1986","Other degree","direct migration background","","","",""
"Grüne","1986","Other degree","indirect migration background","","","",""
"Grüne","1986","no degree/no degree yet","no migration background","","","",""
"Grüne","1986","no degree/no degree yet","direct migration background","","","",""
"Grüne","1986","no degree/no degree yet","indirect migration background","","","",""
"PDS/Linke","1986","lower secondary degree","no migration background","","","",""
"PDS/Linke","1986","lower secondary degree","direct migration background","","","",""
"PDS/Linke","1986","lower secondary degree","indirect migration background","","","",""
"PDS/Linke","1986","secondary school degree","no migration background","","","",""
"PDS/Linke","1986","secondary school degree","direct migration background","","","",""
"PDS/Linke","1986","secondary school degree","indirect migration background","","","",""
"PDS/Linke","1986","college entrance qualification","no migration background","","","",""
"PDS/Linke","1986","college entrance qualification","direct migration background","","","",""
"PDS/Linke","1986","college entrance qualification","indirect migration background","","","",""
"PDS/Linke","1986","Other degree","no migration background","","","",""
"PDS/Linke","1986","Other degree","direct migration background","","","",""
"PDS/Linke","1986","Other degree","indirect migration background","","","",""
"PDS/Linke","1986","no degree/no degree yet","no migration background","","","",""
"PDS/Linke","1986","no degree/no degree yet","direct migration background","","","",""
"PDS/Linke","1986","no degree/no degree yet","indirect migration background","","","",""
"NPD Combination","1986","lower secondary degree","no migration background","","","",""
"NPD Combination","1986","lower secondary degree","direct migration background","","","",""
"NPD Combination","1986","lower secondary degree","indirect migration background","","","",""
"NPD Combination","1986","secondary school degree","no migration background","","","",""
"NPD Combination","1986","secondary school degree","direct migration background","","","",""
"NPD Combination","1986","secondary school degree","indirect migration background","","","",""
"NPD Combination","1986","college entrance qualification","no migration background","","","",""
"NPD Combination","1986","college entrance qualification","direct migration background","","","",""
"NPD Combination","1986","college entrance qualification","indirect migration background","","","",""
"NPD Combination","1986","Other degree","no migration background","","","",""
"NPD Combination","1986","Other degree","direct migration background","","","",""
"NPD Combination","1986","Other degree","indirect migration background","","","",""
"NPD Combination","1986","no degree/no degree yet","no migration background","","","",""
"NPD Combination","1986","no degree/no degree yet","direct migration background","","","",""
"NPD Combination","1986","no degree/no degree yet","indirect migration background","","","",""
"AfD","1986","lower secondary degree","no migration background","","","",""
"AfD","1986","lower secondary degree","direct migration background","","","",""
"AfD","1986","lower secondary degree","indirect migration background","","","",""
"AfD","1986","secondary school degree","no migration background","","","",""
"AfD","1986","secondary school degree","direct migration background","","","",""
"AfD","1986","secondary school degree","indirect migration background","","","",""
"AfD","1986","college entrance qualification","no migration background","","","",""
"AfD","1986","college entrance qualification","direct migration background","","","",""
"AfD","1986","college entrance qualification","indirect migration background","","","",""
"AfD","1986","Other degree","no migration background","","","",""
"AfD","1986","Other degree","direct migration background","","","",""
"AfD","1986","Other degree","indirect migration background","","","",""
"AfD","1986","no degree/no degree yet","no migration background","","","",""
"AfD","1986","no degree/no degree yet","direct migration background","","","",""
"AfD","1986","no degree/no degree yet","indirect migration background","","","",""
"Other","1986","lower secondary degree","no migration background","","","",""
"Other","1986","lower secondary degree","direct migration background","","","",""
"Other","1986","lower secondary degree","indirect migration background","","","",""
"Other","1986","secondary school degree","no migration background","","","",""
"Other","1986","secondary school degree","direct migration background","","","",""
"Other","1986","secondary school degree","indirect migration background","","","",""
"Other","1986","college entrance qualification","no migration background","","","",""
"Other","1986","college entrance qualification","direct migration background","","","",""
"Other","1986","college entrance qualification","indirect migration background","","","",""
"Other","1986","Other degree","no migration background","","","",""
"Other","1986","Other degree","direct migration background","","","",""
"Other","1986","Other degree","indirect migration background","","","",""
"Other","1986","no degree/no degree yet","no migration background","","","",""
"Other","1986","no degree/no degree yet","direct migration background","","","",""
"Other","1986","no degree/no degree yet","indirect migration background","","","",""
"CDU/CSU","1987","lower secondary degree","no migration background","1302","0.453354404515054","0.435116072282867","0.471592736747241"
"CDU/CSU","1987","lower secondary degree","direct migration background","83","0.444349028565777","0.381087879731833","0.507610177399721"
"CDU/CSU","1987","lower secondary degree","indirect migration background","","","",""
"CDU/CSU","1987","secondary school degree","no migration background","519","0.511556669062456","0.481336234815961","0.541777103308951"
"CDU/CSU","1987","secondary school degree","direct migration background","40","0.695595248399411","0.594125037659235","0.797065459139587"
"CDU/CSU","1987","secondary school degree","indirect migration background","","","",""
"CDU/CSU","1987","college entrance qualification","no migration background","304","0.415340576778406","0.380352162261739","0.450328991295073"
"CDU/CSU","1987","college entrance qualification","direct migration background","","","",""
"CDU/CSU","1987","college entrance qualification","indirect migration background","","","",""
"CDU/CSU","1987","Other degree","no migration background","","","",""
"CDU/CSU","1987","Other degree","direct migration background","48","0.145225941293037","0.107609222775472","0.182842659810602"
"CDU/CSU","1987","Other degree","indirect migration background","","","",""
"CDU/CSU","1987","no degree/no degree yet","no migration background","","","",""
"CDU/CSU","1987","no degree/no degree yet","direct migration background","","","",""
"CDU/CSU","1987","no degree/no degree yet","indirect migration background","","","",""
"SPD","1987","lower secondary degree","no migration background","1341","0.469988485248384","0.451703292710454","0.488273677786313"
"SPD","1987","lower secondary degree","direct migration background","130","0.493629234723673","0.429977731242002","0.557280738205344"
"SPD","1987","lower secondary degree","indirect migration background","","","",""
"SPD","1987","secondary school degree","no migration background","371","0.341789074647864","0.313113748611562","0.370464400684166"
"SPD","1987","secondary school degree","direct migration background","","","",""
"SPD","1987","secondary school degree","indirect migration background","","","",""
"SPD","1987","college entrance qualification","no migration background","219","0.273648793298748","0.241993910840401","0.305303675757096"
"SPD","1987","college entrance qualification","direct migration background","","","",""
"SPD","1987","college entrance qualification","indirect migration background","","","",""
"SPD","1987","Other degree","no migration background","","","",""
"SPD","1987","Other degree","direct migration background","243","0.702624373551448","0.653821271125534","0.751427475977363"
"SPD","1987","Other degree","indirect migration background","","","",""
"SPD","1987","no degree/no degree yet","no migration background","43","0.476282542160784","0.373099650804141","0.579465433517427"
"SPD","1987","no degree/no degree yet","direct migration background","141","0.740353797995095","0.677846916763382","0.802860679226808"
"SPD","1987","no degree/no degree yet","indirect migration background","","","",""
"FDP","1987","lower secondary degree","no migration background","100","0.037982203191029","0.0309790293693176","0.0449853770127403"
"FDP","1987","lower secondary degree","direct migration background","","","",""
"FDP","1987","lower secondary degree","indirect migration background","","","",""
"FDP","1987","secondary school degree","no migration background","79","0.078847209401407","0.0625540340077672","0.0951403847950469"
"FDP","1987","secondary school degree","direct migration background","","","",""
"FDP","1987","secondary school degree","indirect migration background","","","",""
"FDP","1987","college entrance qualification","no migration background","75","0.104805933225319","0.083057792345576","0.126554074105061"
"FDP","1987","college entrance qualification","direct migration background","","","",""
"FDP","1987","college entrance qualification","indirect migration background","","","",""
"FDP","1987","Other degree","no migration background","","","",""
"FDP","1987","Other degree","direct migration background","","","",""
"FDP","1987","Other degree","indirect migration background","","","",""
"FDP","1987","no degree/no degree yet","no migration background","","","",""
"FDP","1987","no degree/no degree yet","direct migration background","","","",""
"FDP","1987","no degree/no degree yet","indirect migration background","","","",""
"Grüne","1987","lower secondary degree","no migration background","101","0.0319210454362653","0.0254807288132262","0.0383613620593044"
"Grüne","1987","lower secondary degree","direct migration background","","","",""
"Grüne","1987","lower secondary degree","indirect migration background","","","",""
"Grüne","1987","secondary school degree","no migration background","73","0.0589493995500288","0.044709959418693","0.0731888396813647"
"Grüne","1987","secondary school degree","direct migration background","","","",""
"Grüne","1987","secondary school degree","indirect migration background","","","",""
"Grüne","1987","college entrance qualification","no migration background","158","0.195956708465997","0.167773502813871","0.224139914118124"
"Grüne","1987","college entrance qualification","direct migration background","","","",""
"Grüne","1987","college entrance qualification","indirect migration background","","","",""
"Grüne","1987","Other degree","no migration background","","","",""
"Grüne","1987","Other degree","direct migration background","40","0.124762691017146","0.0894818914934514","0.16004349054084"
"Grüne","1987","Other degree","indirect migration background","","","",""
"Grüne","1987","no degree/no degree yet","no migration background","","","",""
"Grüne","1987","no degree/no degree yet","direct migration background","","","",""
"Grüne","1987","no degree/no degree yet","indirect migration background","","","",""
"PDS/Linke","1987","lower secondary degree","no migration background","","","",""
"PDS/Linke","1987","lower secondary degree","direct migration background","","","",""
"PDS/Linke","1987","lower secondary degree","indirect migration background","","","",""
"PDS/Linke","1987","secondary school degree","no migration background","","","",""
"PDS/Linke","1987","secondary school degree","direct migration background","","","",""
"PDS/Linke","1987","secondary school degree","indirect migration background","","","",""
"PDS/Linke","1987","college entrance qualification","no migration background","","","",""
"PDS/Linke","1987","college entrance qualification","direct migration background","","","",""
"PDS/Linke","1987","college entrance qualification","indirect migration background","","","",""
"PDS/Linke","1987","Other degree","no migration background","","","",""
"PDS/Linke","1987","Other degree","direct migration background","","","",""
