"party","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","Hamburg","higher vocational","","","","","7"
"AfD","1984","Hamburg","higher education","","","","","7"
"AfD","1984","Lower Saxony","in school","","","","","7"
"AfD","1984","Lower Saxony","inadequately","","","","","7"
"AfD","1984","Lower Saxony","general elemantary","","","","","7"
"AfD","1984","Lower Saxony","middle vocational","","","","","7"
"AfD","1984","Lower Saxony","vocational + Abi","","","","","7"
"AfD","1984","Lower Saxony","higher vocational","","","","","7"
"AfD","1984","Lower Saxony","higher education","","","","","7"
"AfD","1984","Bremen","in school","","","","","7"
"AfD","1984","North Rhine-Westphalia","in school","","","","","7"
"AfD","1984","North Rhine-Westphalia","inadequately","","","","","7"
"AfD","1984","North Rhine-Westphalia","general elemantary","","","","","7"
"AfD","1984","North Rhine-Westphalia","middle vocational","","","","","7"
"AfD","1984","North Rhine-Westphalia","vocational + Abi","","","","","7"
"AfD","1984","North Rhine-Westphalia","higher vocational","","","","","7"
"AfD","1984","North Rhine-Westphalia","higher education","","","","","7"
"AfD","1984","Hesse","in school","","","","","7"
"AfD","1984","Hamburg","inadequately","","","","","7"
"AfD","1984","Hamburg","general elemantary","","","","","7"
"AfD","1984","Hamburg","middle vocational","","","","","7"
"AfD","1984","Bremen","inadequately","","","","","7"
"AfD","1984","Bremen","general elemantary","","","","","7"
"AfD","1984","Bremen","middle vocational","","","","","7"
"AfD","1984","Bremen","vocational + Abi","","","","","7"
"AfD","1984","Bremen","higher vocational","","","","","7"
"AfD","1984","Bremen","higher education","","","","","7"
"AfD","1984","Brandenburg","higher education","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","in school","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","inadequately","","","","","7"
"AfD","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","7"
"AfD","1984","Hesse","inadequately","","","","","7"
"AfD","1984","Hesse","higher education","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","in school","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","inadequately","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","general elemantary","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","middle vocational","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","higher vocational","","","","","7"
"AfD","1984","Rhineland-Palatinate,Saarland","higher education","","","","","7"
"AfD","1984","Baden-Württemberg","in school","","","","","7"
"AfD","1984","Baden-Württemberg","inadequately","","","","","7"
"AfD","1984","Baden-Württemberg","general elemantary","","","","","7"
"AfD","1984","Bavaria","general elemantary","","","","","7"
"AfD","1984","Bavaria","middle vocational","","","","","7"
"AfD","1984","Bavaria","vocational + Abi","","","","","7"
"AfD","1984","Bavaria","higher vocational","","","","","7"
"AfD","1984","Bavaria","higher education","","","","","7"
"AfD","1984","Berlin","in school","","","","","7"
"AfD","1984","Berlin","inadequately","","","","","7"
"AfD","1984","Berlin","general elemantary","","","","","7"
"AfD","1984","Berlin","middle vocational","","","","","7"
"AfD","1984","Baden-Württemberg","higher education","","","","","7"
"AfD","1984","Hesse","general elemantary","","","","","7"
"AfD","1984","Hesse","middle vocational","","","","","7"
"AfD","1984","Hesse","vocational + Abi","","","","","7"
"AfD","1984","Baden-Württemberg","higher vocational","","","","","7"
"AfD","1984","Baden-Württemberg","vocational + Abi","","","","","7"
"AfD","1984","Bavaria","in school","","","","","7"
"AfD","1984","Berlin","vocational + Abi","","","","","7"
"AfD","1984","Brandenburg","vocational + Abi","","","","","7"
"AfD","1984","Brandenburg","higher vocational","","","","","7"
"AfD","1984","Baden-Württemberg","middle vocational","","","","","7"
"AfD","1984","Hesse","higher vocational","","","","","7"
"AfD","1984","Brandenburg","inadequately","","","","","7"
"AfD","1984","Berlin","higher vocational","","","","","7"
"AfD","1984","Bavaria","inadequately","","","","","7"
"AfD","1984","Brandenburg","middle vocational","","","","","7"
"AfD","1984","Brandenburg","in school","","","","","7"
"AfD","1984","Berlin","higher education","","","","","7"
"AfD","1984","Brandenburg","general elemantary","","","","","7"
"CDU/CSU","1984","Schleswig-Holstein","higher vocational","8","","","","2"
"CDU/CSU","1984","Saxony","in school","","","","","2"
"CDU/CSU","1984","Saxony","general elemantary","","","","","2"
"CDU/CSU","1984","Schleswig-Holstein","general elemantary","12","","","","2"
"CDU/CSU","1984","Schleswig-Holstein","middle vocational","55","0.38627015450621","0.309619398917631","0.46292091009479","2"
"CDU/CSU","1984","Schleswig-Holstein","vocational + Abi","","","","","2"
"CDU/CSU","1984","Schleswig-Holstein","higher education","9","","","","2"
"CDU/CSU","1984","Hamburg","in school","1","","","","2"
"CDU/CSU","1984","Saxony","inadequately","","","","","2"
"CDU/CSU","1984","Schleswig-Holstein","in school","","","","","2"
"CDU/CSU","1984","Schleswig-Holstein","inadequately","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","higher education","","","","","2"
"CDU/CSU","1984","North Rhine-Westphalia","higher education","65","0.487332203778007","0.405975252757026","0.568689154798988","2"
"CDU/CSU","1984","Hesse","in school","1","","","","2"
"CDU/CSU","1984","Hesse","inadequately","4","","","","2"
"CDU/CSU","1984","Hesse","general elemantary","51","0.336034181107403","0.266051003847729","0.406017358367076","2"
"CDU/CSU","1984","Baden-Württemberg","vocational + Abi","8","","","","2"
"CDU/CSU","1984","Baden-Württemberg","higher vocational","45","0.644836732609609","0.532728378472889","0.756945086746329","2"
"CDU/CSU","1984","Baden-Württemberg","higher education","28","","","","2"
"CDU/CSU","1984","Hesse","middle vocational","110","0.375633682267334","0.32354048107617","0.427726883458497","2"
"CDU/CSU","1984","Baden-Württemberg","in school","2","","","","2"
"CDU/CSU","1984","Baden-Württemberg","inadequately","8","","","","2"
"CDU/CSU","1984","Baden-Württemberg","general elemantary","146","0.555332270387152","0.498721834672937","0.611942706101366","2"
"CDU/CSU","1984","Baden-Württemberg","middle vocational","213","0.479808473366113","0.435437474664271","0.524179472067955","2"
"CDU/CSU","1984","Hamburg","inadequately","","","","","2"
"CDU/CSU","1984","Hamburg","general elemantary","8","","","","2"
"CDU/CSU","1984","Hamburg","middle vocational","37","0.409580941613939","0.312219923405169","0.50694195982271","2"
"CDU/CSU","1984","Hamburg","vocational + Abi","4","","","","2"
"CDU/CSU","1984","Hamburg","higher vocational","7","","","","2"
"CDU/CSU","1984","Hamburg","higher education","2","","","","2"
"CDU/CSU","1984","Lower Saxony","in school","1","","","","2"
"CDU/CSU","1984","Lower Saxony","inadequately","2","","","","2"
"CDU/CSU","1984","Lower Saxony","general elemantary","83","0.473445915868007","0.402263312243888","0.544628519492125","2"
"CDU/CSU","1984","Lower Saxony","middle vocational","126","0.388873971614446","0.33713226729017","0.440615675938721","2"
"CDU/CSU","1984","Lower Saxony","vocational + Abi","3","","","","2"
"CDU/CSU","1984","Lower Saxony","higher vocational","31","0.578076694790025","0.446353972094619","0.709799417485431","2"
"CDU/CSU","1984","Lower Saxony","higher education","26","","","","2"
"CDU/CSU","1984","Bremen","in school","","","","","2"
"CDU/CSU","1984","Bremen","inadequately","","","","","2"
"CDU/CSU","1984","Bremen","general elemantary","9","","","","2"
"CDU/CSU","1984","Bremen","middle vocational","16","","","","2"
"CDU/CSU","1984","Bremen","vocational + Abi","1","","","","2"
"CDU/CSU","1984","Bremen","higher vocational","2","","","","2"
"CDU/CSU","1984","Hesse","vocational + Abi","3","","","","2"
"CDU/CSU","1984","Hesse","higher vocational","15","","","","2"
"CDU/CSU","1984","Hesse","higher education","20","","","","2"
"CDU/CSU","1984","Bavaria","higher education","51","0.569276606403704","0.470222297285819","0.668330915521589","2"
"CDU/CSU","1984","Berlin","in school","1","","","","2"
"CDU/CSU","1984","Berlin","inadequately","2","","","","2"
"CDU/CSU","1984","Berlin","general elemantary","8","","","","2"
"CDU/CSU","1984","Berlin","middle vocational","27","","","","2"
"CDU/CSU","1984","Berlin","vocational + Abi","","","","","2"
"CDU/CSU","1984","Berlin","higher vocational","9","","","","2"
"CDU/CSU","1984","Berlin","higher education","7","","","","2"
"CDU/CSU","1984","Brandenburg","in school","","","","","2"
"CDU/CSU","1984","Brandenburg","inadequately","","","","","2"
"CDU/CSU","1984","Brandenburg","general elemantary","","","","","2"
"CDU/CSU","1984","Brandenburg","middle vocational","","","","","2"
"CDU/CSU","1984","Brandenburg","vocational + Abi","","","","","2"
"CDU/CSU","1984","Brandenburg","higher vocational","","","","","2"
"CDU/CSU","1984","Brandenburg","higher education","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","in school","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","inadequately","","","","","2"
"CDU/CSU","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","2"
"CDU/CSU","1984","North Rhine-Westphalia","in school","9","","","","2"
"CDU/CSU","1984","North Rhine-Westphalia","inadequately","6","","","","2"
"CDU/CSU","1984","North Rhine-Westphalia","general elemantary","140","0.391983707482971","0.346106700253368","0.437860714712573","2"
"CDU/CSU","1984","North Rhine-Westphalia","middle vocational","373","0.439267663881637","0.407284631141753","0.471250696621521","2"
"CDU/CSU","1984","North Rhine-Westphalia","vocational + Abi","15","","","","2"
"CDU/CSU","1984","North Rhine-Westphalia","higher vocational","62","0.590265144660152","0.497515717136111","0.683014572184192","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","in school","3","","","","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","inadequately","3","","","","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","general elemantary","54","0.376101646225687","0.298322263199564","0.453881029251811","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","middle vocational","89","0.435328294640489","0.367623263543701","0.503033325737276","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","vocational + Abi","3","","","","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","higher vocational","15","","","","2"
"CDU/CSU","1984","Rhineland-Palatinate,Saarland","higher education","12","","","","2"
"CDU/CSU","1984","Bremen","higher education","","","","","2"
"CDU/CSU","1984","Bavaria","in school","4","","","","2"
"CDU/CSU","1984","Bavaria","inadequately","6","","","","2"
"CDU/CSU","1984","Bavaria","general elemantary","164","0.625240741526442","0.569624528137318","0.680856954915567","2"
"CDU/CSU","1984","Bavaria","middle vocational","322","0.58418400675199","0.544107906806894","0.624260106697085","2"
"CDU/CSU","1984","Bavaria","vocational + Abi","13","","","","2"
"CDU/CSU","1984","Bavaria","higher vocational","46","0.55982211435046","0.453665371932295","0.665978856768626","2"
"CDU/CSU","1984","Saxony-Anhalt","middle vocational","","","","","2"
"CDU/CSU","1984","Saxony-Anhalt","vocational + Abi","","","","","2"
"CDU/CSU","1984","Saxony-Anhalt","higher vocational","","","","","2"
"CDU/CSU","1984","Saxony-Anhalt","higher education","","","","","2"
"CDU/CSU","1984","Thuringia","in school","","","","","2"
"CDU/CSU","1984","Thuringia","inadequately","","","","","2"
"CDU/CSU","1984","Saxony","higher education","","","","","2"
"CDU/CSU","1984","Saxony-Anhalt","in school","","","","","2"
"CDU/CSU","1984","Saxony-Anhalt","inadequately","","","","","2"
"CDU/CSU","1984","Saxony","higher vocational","","","","","2"
"CDU/CSU","1984","Saxony-Anhalt","general elemantary","","","","","2"
"CDU/CSU","1984","Thuringia","general elemantary","","","","","2"
"CDU/CSU","1984","Thuringia","middle vocational","","","","","2"
"CDU/CSU","1984","Saxony","vocational + Abi","","","","","2"
"CDU/CSU","1984","Saxony","middle vocational","","","","","2"
"CDU/CSU","1984","Thuringia","vocational + Abi","","","","","2"
"CDU/CSU","1984","Thuringia","higher education","","","","","2"
"CDU/CSU","1984","Thuringia","higher vocational","","","","","2"
"FDP","1984","Hamburg","vocational + Abi","","","","","3"
"FDP","1984","Hamburg","middle vocational","4","","","","3"
"FDP","1984","Saxony","vocational + Abi","","","","","3"
"FDP","1984","Saxony","higher vocational","","","","","3"
"FDP","1984","Saxony","higher education","","","","","3"
"FDP","1984","Hamburg","inadequately","","","","","3"
"FDP","1984","Saxony","middle vocational","","","","","3"
"FDP","1984","Saxony-Anhalt","in school","","","","","3"
"FDP","1984","Hamburg","general elemantary","","","","","3"
"FDP","1984","Saxony-Anhalt","inadequately","","","","","3"
"FDP","1984","Saxony-Anhalt","general elemantary","","","","","3"
"FDP","1984","Saxony-Anhalt","middle vocational","","","","","3"
"FDP","1984","Hamburg","higher vocational","","","","","3"
"FDP","1984","Hamburg","higher education","1","","","","3"
"FDP","1984","Lower Saxony","in school","","","","","3"
"FDP","1984","Bremen","general elemantary","","","","","3"
"FDP","1984","Bremen","middle vocational","","","","","3"
"FDP","1984","Bremen","vocational + Abi","","","","","3"
"FDP","1984","Bremen","higher vocational","","","","","3"
"FDP","1984","Bremen","higher education","","","","","3"
"FDP","1984","North Rhine-Westphalia","in school","","","","","3"
"FDP","1984","Saxony-Anhalt","vocational + Abi","","","","","3"
"FDP","1984","Saxony-Anhalt","higher vocational","","","","","3"
"FDP","1984","Saxony-Anhalt","higher education","","","","","3"
"FDP","1984","Thuringia","in school","","","","","3"
"FDP","1984","Thuringia","inadequately","","","","","3"
"FDP","1984","Thuringia","general elemantary","","","","","3"
"FDP","1984","Thuringia","middle vocational","","","","","3"
"FDP","1984","Thuringia","vocational + Abi","","","","","3"
"FDP","1984","Thuringia","higher vocational","","","","","3"
"FDP","1984","Thuringia","higher education","","","","","3"
"FDP","1984","Schleswig-Holstein","in school","","","","","3"
"FDP","1984","Schleswig-Holstein","inadequately","","","","","3"
"FDP","1984","Schleswig-Holstein","general elemantary","","","","","3"
"FDP","1984","Schleswig-Holstein","middle vocational","2","","","","3"
"FDP","1984","Schleswig-Holstein","vocational + Abi","","","","","3"
"FDP","1984","Schleswig-Holstein","higher vocational","1","","","","3"
"FDP","1984","Schleswig-Holstein","higher education","3","","","","3"
"FDP","1984","Hamburg","in school","","","","","3"
"FDP","1984","Lower Saxony","inadequately","","","","","3"
"FDP","1984","Lower Saxony","general elemantary","1","","","","3"
"FDP","1984","Lower Saxony","middle vocational","9","","","","3"
"FDP","1984","Lower Saxony","vocational + Abi","3","","","","3"
"FDP","1984","Lower Saxony","higher vocational","2","","","","3"
"FDP","1984","Lower Saxony","higher education","4","","","","3"
"FDP","1984","Bremen","in school","","","","","3"
"FDP","1984","Bremen","inadequately","","","","","3"
"FDP","1984","Hesse","inadequately","","","","","3"
"FDP","1984","Hesse","general elemantary","4","","","","3"
"FDP","1984","Hesse","middle vocational","12","","","","3"
"FDP","1984","Hesse","vocational + Abi","1","","","","3"
"FDP","1984","Hesse","higher vocational","1","","","","3"
"FDP","1984","Hesse","higher education","2","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","in school","","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","inadequately","1","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","general elemantary","5","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","middle vocational","1","","","","3"
"FDP","1984","Baden-Württemberg","higher vocational","3","","","","3"
"FDP","1984","Baden-Württemberg","higher education","10","","","","3"
"FDP","1984","Bavaria","in school","","","","","3"
"FDP","1984","Bavaria","inadequately","","","","","3"
"FDP","1984","Bavaria","general elemantary","5","","","","3"
"FDP","1984","Bavaria","middle vocational","6","","","","3"
"FDP","1984","Berlin","higher vocational","","","","","3"
"FDP","1984","Berlin","higher education","3","","","","3"
"FDP","1984","Brandenburg","in school","","","","","3"
"FDP","1984","Brandenburg","inadequately","","","","","3"
"FDP","1984","Brandenburg","general elemantary","","","","","3"
"FDP","1984","Brandenburg","middle vocational","","","","","3"
"FDP","1984","Brandenburg","vocational + Abi","","","","","3"
"FDP","1984","Brandenburg","higher vocational","","","","","3"
"FDP","1984","Brandenburg","higher education","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","in school","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","inadequately","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","3"
"FDP","1984","Mecklenburg-Western Pomerania","higher education","","","","","3"
"FDP","1984","Saxony","in school","","","","","3"
"FDP","1984","Saxony","inadequately","","","","","3"
"FDP","1984","Saxony","general elemantary","","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","higher vocational","3","","","","3"
"FDP","1984","Rhineland-Palatinate,Saarland","higher education","","","","","3"
"FDP","1984","Baden-Württemberg","in school","","","","","3"
"FDP","1984","Baden-Württemberg","inadequately","","","","","3"
"FDP","1984","Baden-Württemberg","general elemantary","6","","","","3"
"FDP","1984","Baden-Württemberg","middle vocational","17","","","","3"
"FDP","1984","Baden-Württemberg","vocational + Abi","3","","","","3"
"FDP","1984","Bavaria","vocational + Abi","2","","","","3"
"FDP","1984","Bavaria","higher vocational","3","","","","3"
"FDP","1984","Bavaria","higher education","9","","","","3"
"FDP","1984","Berlin","in school","","","","","3"
"FDP","1984","Berlin","inadequately","","","","","3"
"FDP","1984","Berlin","general elemantary","2","","","","3"
"FDP","1984","Berlin","middle vocational","4","","","","3"
"FDP","1984","Berlin","vocational + Abi","1","","","","3"
"FDP","1984","North Rhine-Westphalia","inadequately","","","","","3"
"FDP","1984","North Rhine-Westphalia","general elemantary","10","","","","3"
"FDP","1984","North Rhine-Westphalia","middle vocational","16","","","","3"
"FDP","1984","North Rhine-Westphalia","vocational + Abi","3","","","","3"
"FDP","1984","North Rhine-Westphalia","higher vocational","5","","","","3"
"FDP","1984","North Rhine-Westphalia","higher education","12","","","","3"
"FDP","1984","Hesse","in school","","","","","3"
"NPD","1984","Schleswig-Holstein","middle vocational","","","","","6"
"NPD","1984","Schleswig-Holstein","vocational + Abi","","","","","6"
"NPD","1984","Schleswig-Holstein","higher vocational","","","","","6"
"NPD","1984","Schleswig-Holstein","higher education","","","","","6"
"NPD","1984","Hamburg","in school","","","","","6"
"NPD","1984","Hamburg","inadequately","","","","","6"
"NPD","1984","Hamburg","general elemantary","","","","","6"
"NPD","1984","Hamburg","middle vocational","","","","","6"
"NPD","1984","Hamburg","vocational + Abi","","","","","6"
"NPD","1984","Hamburg","higher vocational","","","","","6"
"NPD","1984","Hamburg","higher education","","","","","6"
"NPD","1984","Lower Saxony","in school","","","","","6"
"NPD","1984","Lower Saxony","inadequately","","","","","6"
"NPD","1984","Lower Saxony","general elemantary","","","","","6"
"NPD","1984","Lower Saxony","middle vocational","","","","","6"
"NPD","1984","Lower Saxony","vocational + Abi","","","","","6"
"NPD","1984","Lower Saxony","higher vocational","","","","","6"
"NPD","1984","Lower Saxony","higher education","","","","","6"
"NPD","1984","Bremen","in school","","","","","6"
"NPD","1984","Bremen","inadequately","","","","","6"
"NPD","1984","Bremen","general elemantary","","","","","6"
"NPD","1984","Bremen","middle vocational","","","","","6"
"NPD","1984","Bremen","vocational + Abi","","","","","6"
"NPD","1984","Bremen","higher vocational","","","","","6"
"NPD","1984","Bremen","higher education","","","","","6"
"NPD","1984","North Rhine-Westphalia","in school","","","","","6"
"NPD","1984","North Rhine-Westphalia","inadequately","","","","","6"
"NPD","1984","North Rhine-Westphalia","general elemantary","","","","","6"
"NPD","1984","North Rhine-Westphalia","middle vocational","","","","","6"
"NPD","1984","North Rhine-Westphalia","vocational + Abi","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","higher education","","","","","6"
"NPD","1984","Saxony","in school","","","","","6"
"NPD","1984","Saxony","inadequately","","","","","6"
"NPD","1984","Saxony","general elemantary","","","","","6"
"NPD","1984","Saxony","middle vocational","","","","","6"
"NPD","1984","Saxony","vocational + Abi","","","","","6"
"NPD","1984","Saxony","higher vocational","","","","","6"
"NPD","1984","Saxony","higher education","","","","","6"
"NPD","1984","Saxony-Anhalt","in school","","","","","6"
"NPD","1984","Saxony-Anhalt","inadequately","","","","","6"
"NPD","1984","Saxony-Anhalt","general elemantary","","","","","6"
"NPD","1984","Saxony-Anhalt","middle vocational","","","","","6"
"NPD","1984","Saxony-Anhalt","vocational + Abi","","","","","6"
"NPD","1984","Saxony-Anhalt","higher vocational","","","","","6"
"NPD","1984","Saxony-Anhalt","higher education","","","","","6"
"NPD","1984","Thuringia","in school","","","","","6"
"NPD","1984","Thuringia","inadequately","","","","","6"
"NPD","1984","Thuringia","general elemantary","","","","","6"
"NPD","1984","Thuringia","middle vocational","","","","","6"
"NPD","1984","Thuringia","vocational + Abi","","","","","6"
"NPD","1984","Thuringia","higher vocational","","","","","6"
"NPD","1984","Thuringia","higher education","","","","","6"
"NPD","1984","Schleswig-Holstein","in school","","","","","6"
"NPD","1984","Schleswig-Holstein","inadequately","","","","","6"
"NPD","1984","Schleswig-Holstein","general elemantary","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","6"
"NPD","1984","North Rhine-Westphalia","higher vocational","","","","","6"
"NPD","1984","North Rhine-Westphalia","higher education","","","","","6"
"NPD","1984","Hesse","in school","","","","","6"
"NPD","1984","Hesse","inadequately","","","","","6"
"NPD","1984","Hesse","general elemantary","","","","","6"
"NPD","1984","Hesse","middle vocational","","","","","6"
"NPD","1984","Hesse","vocational + Abi","","","","","6"
"NPD","1984","Hesse","higher vocational","","","","","6"
"NPD","1984","Hesse","higher education","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","in school","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","inadequately","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","general elemantary","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","middle vocational","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","vocational + Abi","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","higher vocational","","","","","6"
"NPD","1984","Rhineland-Palatinate,Saarland","higher education","","","","","6"
"NPD","1984","Baden-Württemberg","in school","","","","","6"
"NPD","1984","Baden-Württemberg","inadequately","","","","","6"
"NPD","1984","Baden-Württemberg","general elemantary","","","","","6"
"NPD","1984","Baden-Württemberg","middle vocational","","","","","6"
"NPD","1984","Baden-Württemberg","vocational + Abi","","","","","6"
"NPD","1984","Baden-Württemberg","higher vocational","","","","","6"
"NPD","1984","Baden-Württemberg","higher education","","","","","6"
"NPD","1984","Bavaria","in school","","","","","6"
"NPD","1984","Bavaria","inadequately","","","","","6"
"NPD","1984","Bavaria","general elemantary","","","","","6"
"NPD","1984","Bavaria","middle vocational","","","","","6"
"NPD","1984","Bavaria","vocational + Abi","","","","","6"
"NPD","1984","Brandenburg","higher education","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","in school","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","inadequately","","","","","6"
"NPD","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","6"
"NPD","1984","Bavaria","higher vocational","","","","","6"
"NPD","1984","Brandenburg","middle vocational","","","","","6"
"NPD","1984","Brandenburg","vocational + Abi","","","","","6"
"NPD","1984","Brandenburg","higher vocational","","","","","6"
"NPD","1984","Berlin","higher vocational","","","","","6"
"NPD","1984","Berlin","vocational + Abi","","","","","6"
"NPD","1984","Bavaria","higher education","","","","","6"
"NPD","1984","Berlin","middle vocational","","","","","6"
"NPD","1984","Brandenburg","inadequately","","","","","6"
"NPD","1984","Brandenburg","general elemantary","","","","","6"
"NPD","1984","Brandenburg","in school","","","","","6"
"NPD","1984","Berlin","higher education","","","","","6"
"NPD","1984","Berlin","in school","","","","","6"
"NPD","1984","Berlin","inadequately","","","","","6"
"NPD","1984","Berlin","general elemantary","","","","","6"
"Other","1984","Saxony","general elemantary","","","","","8"
"Other","1984","Thuringia","in school","","","","","8"
"Other","1984","Saxony","higher vocational","","","","","8"
"Other","1984","Thuringia","higher education","","","","","8"
"Other","1984","Saxony","middle vocational","","","","","8"
"Other","1984","Saxony","vocational + Abi","","","","","8"
"Other","1984","Saxony","higher education","","","","","8"
"Other","1984","Thuringia","inadequately","","","","","8"
"Other","1984","Thuringia","general elemantary","","","","","8"
"Other","1984","Thuringia","middle vocational","","","","","8"
"Other","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","8"
"Other","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","8"
"Other","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","8"
"Other","1984","Mecklenburg-Western Pomerania","higher education","","","","","8"
"Other","1984","Saxony","in school","","","","","8"
"Other","1984","Saxony","inadequately","","","","","8"
"Other","1984","Saxony-Anhalt","general elemantary","","","","","8"
"Other","1984","Saxony-Anhalt","middle vocational","","","","","8"
"Other","1984","Saxony-Anhalt","vocational + Abi","","","","","8"
"Other","1984","Saxony-Anhalt","higher vocational","","","","","8"
"Other","1984","Saxony-Anhalt","higher education","","","","","8"
"Other","1984","Thuringia","vocational + Abi","","","","","8"
"Other","1984","Thuringia","higher vocational","","","","","8"
"Other","1984","Saxony-Anhalt","in school","","","","","8"
"Other","1984","Saxony-Anhalt","inadequately","","","","","8"
"Other","1984","Schleswig-Holstein","in school","","","","","8"
"Other","1984","Schleswig-Holstein","inadequately","","","","","8"
